Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.anglická liga U23,2,9,24,Sunderland_U23,Liverpool_U23,2,3,"1,67","4,13","3,68"
Fotbal,1.anglická liga U23,20,9,24,Crystal_Palace_U23,Reading_U23,1,1,"1,40","4,73","5,16"
Fotbal,1.anglická liga U23,20,9,24,Newcastle_U23,West_Ham_U23,0,1,"3,30","3,93","1,80"
Fotbal,1.anglická liga U23,20,9,24,Nottingham_U23,Brighton_U23,0,1,"1,90","3,78","3,11"
Fotbal,1.anglická liga U23,20,9,24,Southampton_U23,Norwich_U23,2,3,"1,44","4,68","4,76"
Fotbal,1.anglická liga U23,20,9,24,Tottenham_U23,Fulham_U23,1,4,"2,37","3,91","2,32"
Fotbal,1.anglická liga U23,21,9,24,Aston_Villa_U23,Blackburn_U23,2,1,"1,43","4,79","4,76"
Fotbal,1.anglická liga U23,21,9,24,Manchester_United_U23,Manchester_City_U23,1,3,"2,07","4,18","2,60"
Fotbal,1.anglická liga U23,21,9,24,Liverpool_U23,Derby_U23,3,1,"1,51","4,33","4,54"
Fotbal,1.anglická liga U23,21,9,24,Chelsea_U23,West_Bromwich_U23,1,2,"1,37","4,92","5,44"
Fotbal,1.anglická liga U23,22,9,24,Everton_U23,Sunderland_U23,4,3,"2,54","3,91","2,18"
Fotbal,1.anglická liga U23,23,9,24,Stoke_U23,Arsenal_U23,0,1,"5,42","5,13","1,35"
Fotbal,1.anglická liga U23,23,9,24,Leicester_City_U23,Middlesbrough_U23,3,1,"1,65","4,24","3,71"
Fotbal,1.anglická liga U23,23,9,24,Wolves_U23,Leeds_U23,4,1,"1,76","3,94","3,46"
Fotbal,1.anglická liga U23,27,9,24,Middlesbrough_U23,Brighton_U23,0,3,"3,37","4,12","1,75"
Fotbal,1.anglická liga U23,27,9,24,Arsenal_U23,Liverpool_U23,0,3,"2,03","3,84","2,80"
Fotbal,1.anglická liga U23,27,9,24,Fulham_U23,Sunderland_U23,5,2,"1,34","5,17","5,68"
Fotbal,1.anglická liga U23,27,9,24,Manchester_City_U23,Aston_Villa_U23,4,1,"2,01","4,12","2,73"
Fotbal,1.anglická liga U23,27,9,24,Newcastle_U23,Blackburn_U23,2,0,"1,60","4,26","3,98"
Fotbal,1.anglická liga U23,27,9,24,Norwich_U23,Manchester_United_U23,3,5,"3,11","4,25","1,81"
Fotbal,1.anglická liga U23,27,9,24,West_Bromwich_U23,Southampton_U23,1,1,"3,03","4,12","1,86"
Fotbal,1.anglická liga U23,27,9,24,West_Ham_U23,Chelsea_U23,3,2,"2,46","3,90","2,24"
Fotbal,1.anglická liga U23,28,9,24,Tottenham_U23,Leeds_U23,0,3,"1,33","5,03","6,04"
Fotbal,1.anglická liga U23,30,9,24,Leicester_City_U23,Stoke_U23,,,"1,68","4,10","3,68"
Fotbal,1.anglická liga U23,27,9,24,Leicester_City_U23,Stoke_U23,4,0,"1,68","4,10","3,68"
Fotbal,1.anglická liga U23,30,9,24,Crystal_Palace_U23,Nottingham_U23,2,1,"2,46","3,82","2,28"
Fotbal,1.anglická liga U23,30,9,24,Derby_U23,Wolves_U23,4,1,"3,32","3,87","1,81"
Fotbal,1.anglická liga U23,30,9,24,Everton_U23,Reading_U23,3,3,"1,73","4,06","3,47"
Fotbal,1.anglická liga U23,4,10,24,Fulham_U23,Chelsea_U23,0,6,"1,92","4,13","2,88"
Fotbal,1.anglická liga U23,4,10,24,Nottingham_U23,Southampton_U23,0,2,"1,67","3,96","3,85"
Fotbal,1.anglická liga U23,4,10,24,Stoke_U23,Middlesbrough_U23,1,3,"2,84","3,85","2,01"
Fotbal,1.anglická liga U23,4,10,24,Wolves_U23,Everton_U23,4,2,"2,18","3,77","2,60"
Fotbal,1.anglická liga U23,4,10,24,Blackburn_U23,Leicester_City_U23,3,2,"2,29","3,80","2,44"
Fotbal,1.anglická liga U23,4,10,24,Leeds_U23,West_Bromwich_U23,2,1,"2,13","3,87","2,63"
Fotbal,1.anglická liga U23,5,10,24,Aston_Villa_U23,Newcastle_U23,2,3,"1,29","5,20","6,69"
Fotbal,1.anglická liga U23,5,10,24,Arsenal_U23,Tottenham_U23,2,5,"1,73","4,08","3,45"
Fotbal,1.anglická liga U23,5,10,24,Brighton_U23,Crystal_Palace_U23,10,0,"1,73","4,07","3,48"
Fotbal,1.anglická liga U23,5,10,24,Manchester_City_U23,West_Ham_U23,4,1,"1,83","3,95","3,21"
Fotbal,1.anglická liga U23,6,10,24,Manchester_United_U23,Liverpool_U23,0,1,"1,84","4,07","3,10"
Fotbal,1.anglická liga U23,7,10,24,Reading_U23,Norwich_U23,1,2,"3,47","4,24","1,70"
Fotbal,1.anglická liga U23,7,10,24,Sunderland_U23,Derby_U23,6,0,"1,30","5,32","6,46"
Fotbal,1.anglická liga U23,25,10,24,Chelsea_U23,Leicester_City_U23,3,1,"1,27","5,48","7,09"
Fotbal,1.anglická liga U23,25,10,24,Middlesbrough_U23,Aston_Villa_U23,4,2,"3,08","4,07","1,85"
