Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.argentinská liga,2,9,24,Atlético_Tucumán,Racing_Club,1,0,"3,32","2,89","2,37"
Fotbal,1.argentinská liga,2,9,24,Banfield,Instituto,1,2,"3,02","2,57","2,86"
Fotbal,1.argentinská liga,2,9,24,Gimnasia_L.P.,Argentinos,1,0,"2,45","2,71","3,41"
Fotbal,1.argentinská liga,3,9,24,Godoy_Cruz,Central_Córdoba_SdE,1,1,"1,82","3,11","5,08"
Fotbal,1.argentinská liga,13,9,24,Lanus,Union_Santa_Fe,1,1,"2,51","2,73","3,29"
Fotbal,1.argentinská liga,14,9,24,River_Plate,Atlético_Tucumán,4,1,"1,45","4,12","7,69"
Fotbal,1.argentinská liga,14,9,24,San_Lorenzo,Velez_Sarsfield,0,1,"3,70","2,72","2,32"
Fotbal,1.argentinská liga,14,9,24,Racing_Club,Boca_Juniors,2,1,"2,16","3,04","3,64"
Fotbal,1.argentinská liga,15,9,24,Belgrano,Independiente,1,1,"3,07","2,55","2,83"
Fotbal,1.argentinská liga,15,9,24,Tigre_Victoria,Gimnasia_L.P.,1,1,"2,69","2,96","2,80"
Fotbal,1.argentinská liga,15,9,24,Estudiantes,Platense,1,1,"1,76","3,17","5,50"
Fotbal,1.argentinská liga,15,9,24,Godoy_Cruz,Sarmiento,1,1,"1,79","3,14","5,24"
Fotbal,1.argentinská liga,15,9,24,Rosario,Talleres,2,2,"2,95","2,61","2,87"
Fotbal,1.argentinská liga,16,9,24,Argentinos,Newell's,3,0,"2,16","2,78","4,10"
Fotbal,1.argentinská liga,16,9,24,Barracas_Central,Banfield,0,1,"3,20","2,92","2,41"
Fotbal,1.argentinská liga,13,9,24,Deportivo_Riestra,Huracán,1,0,"4,09","2,78","2,16"
Fotbal,1.argentinská liga,13,9,24,Central_Córdoba_SdE,Instituto,2,1,"3,50","2,75","2,38"
Fotbal,1.argentinská liga,17,9,24,Independiente_Rivadavia,Defensa_y_Justicia,1,0,"2,40","2,86","3,31"
Fotbal,1.argentinská liga,20,9,24,Gimnasia_L.P.,Deportivo_Riestra,0,0,"1,92","3,24","4,25"
Fotbal,1.argentinská liga,21,9,24,Union_Santa_Fe,Godoy_Cruz,3,1,"1,73","3,20","5,70"
Fotbal,1.argentinská liga,21,9,24,Boca_Juniors,River_Plate,0,1,"2,72","2,70","3,01"
Fotbal,1.argentinská liga,22,9,24,Instituto,Barracas_Central,0,1,"1,42","4,27","8,06"
Fotbal,1.argentinská liga,22,9,24,Newell's,Tigre_Victoria,1,0,"2,06","3,01","4,02"
Fotbal,1.argentinská liga,22,9,24,Defensa_y_Justicia,San_Lorenzo,0,0,"2,81","2,66","2,97"
Fotbal,1.argentinská liga,22,9,24,Huracán,Lanus,3,0,"1,92","2,97","4,78"
Fotbal,1.argentinská liga,22,9,24,Independiente,Argentinos,0,0,"2,33","2,64","3,80"
Fotbal,1.argentinská liga,22,9,24,Talleres,Racing_Club,2,0,"2,09","3,03","3,89"
Fotbal,1.argentinská liga,23,9,24,Atlético_Tucumán,Belgrano,2,4,"2,01","3,01","4,25"
Fotbal,1.argentinská liga,23,9,24,Platense,Rosario,1,0,"2,54","2,53","3,54"
Fotbal,1.argentinská liga,23,9,24,Sarmiento,Central_Córdoba_SdE,1,3,"2,60","2,59","3,34"
Fotbal,1.argentinská liga,24,9,24,Banfield,Independiente_Rivadavia,2,0,"1,93","3,00","4,66"
Fotbal,1.argentinská liga,24,9,24,Velez_Sarsfield,Estudiantes,2,0,"1,80","3,25","4,90"
Fotbal,1.argentinská liga,27,9,24,Deportivo_Riestra,Newell's,3,3,"2,69","2,67","3,08"
Fotbal,1.argentinská liga,28,9,24,Independiente_Rivadavia,Instituto,1,1,"3,47","2,72","2,41"
Fotbal,1.argentinská liga,28,9,24,San_Lorenzo,Banfield,2,1,"2,01","2,83","4,63"
Fotbal,1.argentinská liga,28,9,24,Estudiantes,Defensa_y_Justicia,1,0,"1,68","3,43","5,51"
Fotbal,1.argentinská liga,28,9,24,Godoy_Cruz,Huracán,1,1,"2,69","2,64","3,12"
Fotbal,1.argentinská liga,29,9,24,Belgrano,Boca_Juniors,2,0,"3,14","2,71","2,61"
Fotbal,1.argentinská liga,29,9,24,Central_Córdoba_SdE,Barracas_Central,2,1,"1,69","3,36","5,63"
Fotbal,1.argentinská liga,29,9,24,River_Plate,Talleres,0,1,"1,54","3,69","6,81"
Fotbal,1.argentinská liga,30,9,24,Sarmiento,Union_Santa_Fe,1,0,"3,40","2,72","2,45"
Fotbal,1.argentinská liga,30,9,24,Lanus,Gimnasia_L.P.,,,"2,13","3,00","3,79"
Fotbal,1.argentinská liga,1,10,24,Argentinos,Atlético_Tucumán,0,0,"1,84","3,14","4,92"
Fotbal,1.argentinská liga,1,10,24,Racing_Club,Platense,1,1,"1,76","3,24","5,27"
Fotbal,1.argentinská liga,1,10,24,Lanus,Gimnasia_L.P.,0,0,"2,11","2,97","3,89"
Fotbal,1.argentinská liga,1,10,24,Tigre_Victoria,Independiente,1,1,"3,56","2,68","2,40"
Fotbal,1.argentinská liga,2,10,24,Rosario,Velez_Sarsfield,3,0,"3,97","2,90","2,13"
Fotbal,1.argentinská liga,5,10,24,Union_Santa_Fe,Central_Córdoba_SdE,0,2,"1,93","3,04","4,63"
Fotbal,1.argentinská liga,5,10,24,Huracán,Sarmiento,3,1,"1,81","2,84","6,13"
Fotbal,1.argentinská liga,5,10,24,Velez_Sarsfield,Racing_Club,1,0,"2,02","3,11","4,01"
Fotbal,1.argentinská liga,5,10,24,Gimnasia_L.P.,Godoy_Cruz,0,1,"1,91","3,09","4,63"
Fotbal,1.argentinská liga,5,10,24,Newell's,Lanus,2,1,"2,85","2,73","2,85"
Fotbal,1.argentinská liga,6,10,24,Instituto,San_Lorenzo,2,0,"2,10","2,80","4,29"
Fotbal,1.argentinská liga,6,10,24,Independiente,Deportivo_Riestra,3,1,"1,61","3,36","6,81"
Fotbal,1.argentinská liga,6,10,24,Talleres,Belgrano,0,0,"1,97","3,02","4,43"
Fotbal,1.argentinská liga,7,10,24,Platense,River_Plate,0,0,"4,76","2,93","1,94"
Fotbal,1.argentinská liga,7,10,24,Boca_Juniors,Argentinos,1,0,"2,27","2,81","3,67"
Fotbal,1.argentinská liga,7,10,24,Barracas_Central,Independiente_Rivadavia,1,1,"2,97","2,65","2,81"
Fotbal,1.argentinská liga,7,10,24,Banfield,Estudiantes,1,2,"3,04","2,72","2,69"
Fotbal,1.argentinská liga,7,10,24,Defensa_y_Justicia,Rosario,2,1,"2,63","2,74","3,08"
Fotbal,1.argentinská liga,8,10,24,Atlético_Tucumán,Tigre_Victoria,1,2,"1,98","3,13","4,15"
Fotbal,1.argentinská liga,18,10,24,Deportivo_Riestra,Atlético_Tucumán,2,0,"2,82","2,98","2,65"
Fotbal,1.argentinská liga,18,10,24,Sarmiento,Gimnasia_L.P.,1,1,"2,22","2,79","3,86"
Fotbal,1.argentinská liga,18,10,24,Central_Córdoba_SdE,Independiente_Rivadavia,2,0,"1,93","2,92","4,86"
Fotbal,1.argentinská liga,19,10,24,Lanus,Independiente,0,2,"2,34","2,67","3,71"
Fotbal,1.argentinská liga,19,10,24,River_Plate,Velez_Sarsfield,1,1,"2,09","3,05","3,82"
