Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.arménská liga,13,9,24,BKMA,Van_Yerevan,0,1,"3,83","3,48","1,77"
Fotbal,1.arménská liga,13,9,24,West_Armenia,Pyunik_Yerevan,1,3,"13,40","7,48","1,14"
Fotbal,1.arménská liga,14,9,24,Gandzasar_Kapan,Ararat-Armenia,0,3,"10,70","6,20","1,19"
Fotbal,1.arménská liga,14,9,24,Shirak_Gyumri,Urartu_Yerevan,0,2,"4,18","3,15","1,80"
Fotbal,1.arménská liga,15,9,24,Ararat_Yerevan,Noah,2,1,"6,36","4,01","1,41"
Fotbal,1.arménská liga,18,9,24,Alashkert_FC,Gandzasar_Kapan,2,2,"1,18","6,07","12,20"
Fotbal,1.arménská liga,18,9,24,Urartu_Yerevan,West_Armenia,1,2,"1,12","7,55","16,10"
Fotbal,1.arménská liga,19,9,24,Van_Yerevan,Noah,1,1,"3,76","3,44","1,80"
Fotbal,1.arménská liga,19,9,24,Ararat-Armenia,Shirak_Gyumri,4,0,"1,23","5,29","9,90"
Fotbal,1.arménská liga,20,9,24,Pyunik_Yerevan,BKMA,4,1,"1,15","6,62","13,90"
Fotbal,1.arménská liga,23,9,24,Ararat_Yerevan,Van_Yerevan,0,3,"2,10","2,93","3,39"
Fotbal,1.arménská liga,23,9,24,Shirak_Gyumri,Alashkert_FC,0,0,"3,94","3,24","1,81"
Fotbal,1.arménská liga,24,9,24,West_Armenia,Ararat-Armenia,1,2,"8,43","5,44","1,24"
Fotbal,1.arménská liga,24,9,24,Noah,Pyunik_Yerevan,2,0,"1,74","3,30","4,26"
Fotbal,1.arménská liga,25,9,24,BKMA,Urartu_Yerevan,2,1,"6,55","4,45","1,35"
Fotbal,1.arménská liga,27,9,24,Gandzasar_Kapan,Shirak_Gyumri,1,2,"5,94","4,27","1,40"
Fotbal,1.arménská liga,28,9,24,Alashkert_FC,West_Armenia,0,2,"1,45","4,14","5,36"
Fotbal,1.arménská liga,28,9,24,Pyunik_Yerevan,Ararat_Yerevan,3,0,"1,54","3,67","5,10"
Fotbal,1.arménská liga,29,9,24,Ararat-Armenia,BKMA,2,0,"1,21","5,64","10,30"
Fotbal,1.arménská liga,29,9,24,Urartu_Yerevan,Noah,2,1,"4,18","3,39","1,73"
Fotbal,1.arménská liga,3,10,24,Ararat-Armenia,Pyunik_Yerevan,1,3,"2,32","2,93","2,96"
Fotbal,1.arménská liga,6,10,24,Van_Yerevan,Pyunik_Yerevan,1,3,"3,74","3,29","1,85"
Fotbal,1.arménská liga,6,10,24,Ararat_Yerevan,Urartu_Yerevan,0,1,"4,16","3,20","1,78"
Fotbal,1.arménská liga,7,10,24,BKMA,Alashkert_FC,1,0,"3,34","3,28","1,97"
Fotbal,1.arménská liga,7,10,24,West_Armenia,Gandzasar_Kapan,2,0,"1,61","3,60","4,60"
Fotbal,1.arménská liga,16,10,24,Alashkert_FC,Noah,0,6,"4,40","3,39","1,69"
Fotbal,1.arménská liga,16,10,24,Urartu_Yerevan,Van_Yerevan,3,1,"1,68","3,36","4,49"
Fotbal,1.arménská liga,17,10,24,Shirak_Gyumri,West_Armenia,2,0,"1,56","3,70","4,86"
Fotbal,1.arménská liga,18,10,24,Ararat-Armenia,Ararat_Yerevan,3,2,"1,42","4,04","6,03"
Fotbal,1.arménská liga,19,10,24,Gandzasar_Kapan,BKMA,1,6,"4,60","4,20","1,52"
Fotbal,1.arménská liga,20,10,24,Noah,Van_Yerevan,5,0,"1,31","4,63","7,61"
Fotbal,1.arménská liga,21,10,24,West_Armenia,Urartu_Yerevan,2,2,"11,90","6,52","1,17"
Fotbal,1.arménská liga,22,10,24,Shirak_Gyumri,Ararat-Armenia,0,3,"5,59","3,87","1,47"
Fotbal,1.arménská liga,23,10,24,Gandzasar_Kapan,Alashkert_FC,0,1,"8,05","4,84","1,28"
Fotbal,1.arménská liga,23,10,24,BKMA,Pyunik_Yerevan,1,2,"6,62","4,71","1,33"
Fotbal,1.arménská liga,26,10,24,Urartu_Yerevan,Ararat_Yerevan,1,0,"1,64","3,41","4,68"
Fotbal,1.arménská liga,27,10,24,Alashkert_FC,BKMA,2,0,"1,95","3,30","3,37"
Fotbal,1.arménská liga,27,10,24,Gandzasar_Kapan,West_Armenia,0,1,"3,39","3,47","1,89"
Fotbal,1.arménská liga,28,10,24,Pyunik_Yerevan,Van_Yerevan,1,0,"1,31","4,43","8,13"
Fotbal,1.arménská liga,28,10,24,Ararat-Armenia,Noah,0,1,"2,11","3,18","3,10"
Fotbal,1.arménská liga,31,10,24,West_Armenia,Alashkert_FC,2,0,"3,25","3,27","2,00"
Fotbal,1.arménská liga,31,10,24,Shirak_Gyumri,Gandzasar_Kapan,0,0,"1,33","4,42","7,27"
Fotbal,1.arménská liga,1,11,24,Noah,Urartu_Yerevan,2,1,"1,47","3,98","5,31"
Fotbal,1.arménská liga,2,11,24,Ararat_Yerevan,Pyunik_Yerevan,0,2,"5,79","3,80","1,46"
Fotbal,1.arménská liga,2,11,24,BKMA,Ararat-Armenia,2,4,"8,54","5,32","1,25"
Fotbal,1.arménská liga,4,11,24,Alashkert_FC,Shirak_Gyumri,1,3,"2,38","2,84","2,98"
Fotbal,1.arménská liga,5,11,24,Van_Yerevan,Ararat_Yerevan,4,0,"2,00","3,10","3,44"
Fotbal,1.arménská liga,6,11,24,Ararat-Armenia,West_Armenia,3,0,"1,09","8,72","17,70"
Fotbal,1.arménská liga,6,11,24,Urartu_Yerevan,BKMA,4,2,"1,30","4,68","7,82"
Fotbal,1.arménská liga,7,11,24,Gandzasar_Kapan,Pyunik_Yerevan,0,5,"17,90","9,44","1,08"
Fotbal,1.arménská liga,9,11,24,West_Armenia,Shirak_Gyumri,0,0,"3,21","3,51","1,94"
Fotbal,1.arménská liga,10,11,24,Ararat_Yerevan,Ararat-Armenia,0,0,"8,74","5,12","1,25"
Fotbal,1.arménská liga,10,11,24,Noah,Alashkert_FC,4,0,"1,08","9,13","19,50"
Fotbal,1.arménská liga,11,11,24,Van_Yerevan,Urartu_Yerevan,3,1,"3,49","3,52","1,84"
Fotbal,1.arménská liga,20,11,24,Urartu_Yerevan,Shirak_Gyumri,1,2,"1,46","3,94","5,52"
Fotbal,1.arménská liga,20,11,24,Noah,Ararat_Yerevan,4,0,"1,14","7,10","15,30"
Fotbal,1.arménská liga,21,11,24,Pyunik_Yerevan,West_Armenia,,,"1,05","11,60","25,90"
Fotbal,1.arménská liga,21,11,24,Ararat-Armenia,Gandzasar_Kapan,3,0,"1,00","19,20","33,00"
Fotbal,1.arménská liga,22,11,24,Van_Yerevan,BKMA,2,3,"1,60","3,76","4,44"
Fotbal,1.arménská liga,24,11,24,Pyunik_Yerevan,Noah,1,3,"2,93","3,00","2,30"
Fotbal,1.arménská liga,26,11,24,West_Armenia,Van_Yerevan,0,2,"3,94","3,76","1,69"
Fotbal,1.arménská liga,27,11,24,Alashkert_FC,Ararat-Armenia,2,2,"10,00","5,58","1,22"
Fotbal,1.arménská liga,27,11,24,BKMA,Ararat_Yerevan,1,1,"3,17","3,47","1,96"
Fotbal,1.arménská liga,28,11,24,Gandzasar_Kapan,Urartu_Yerevan,0,4,"20,10","8,73","1,09"
Fotbal,1.arménská liga,28,11,24,Shirak_Gyumri,Pyunik_Yerevan,1,0,"5,85","3,63","1,48"
Fotbal,1.arménská liga,2,12,24,Van_Yerevan,Shirak_Gyumri,1,0,"1,85","3,34","3,64"
Fotbal,1.arménská liga,2,12,24,Pyunik_Yerevan,Gandzasar_Kapan,,,"1,08","11,10","15,50"
Fotbal,1.arménská liga,3,12,24,Ararat_Yerevan,West_Armenia,2,3,"1,56","3,56","5,08"
Fotbal,1.arménská liga,3,12,24,Urartu_Yerevan,Alashkert_FC,1,0,"1,33","4,38","7,35"
Fotbal,1.arménská liga,4,12,24,Noah,Ararat-Armenia,2,1,"1,83","3,44","3,61"
Fotbal,1.arménská liga,24,2,25,West_Armenia,Noah,0,4,"11,80","7,24","1,16"
Fotbal,1.arménská liga,25,2,25,Alashkert_FC,Pyunik_Yerevan,0,2,"6,16","4,16","1,40"
Fotbal,1.arménská liga,25,2,25,Ararat-Armenia,Urartu_Yerevan,1,2,"1,77","3,36","3,96"
Fotbal,1.arménská liga,1,3,25,Van_Yerevan,Alashkert_FC,1,1,"1,89","3,29","3,58"
Fotbal,1.arménská liga,1,3,25,Pyunik_Yerevan,Ararat-Armenia,1,2,"2,10","3,42","2,94"
Fotbal,1.arménská liga,2,3,25,West_Armenia,BKMA,1,0,"2,91","3,78","1,99"
Fotbal,1.arménská liga,2,3,25,Noah,Shirak_Gyumri,4,0,"1,25","4,95","9,67"
Fotbal,1.arménská liga,8,3,25,Alashkert_FC,Ararat_Yerevan,0,1,"2,28","3,04","2,92"
Fotbal,1.arménská liga,8,3,25,Shirak_Gyumri,BKMA,0,0,"1,83","3,15","4,02"
Fotbal,1.arménská liga,9,3,25,Pyunik_Yerevan,Urartu_Yerevan,0,3,"2,11","3,06","3,20"
Fotbal,1.arménská liga,10,3,25,Ararat-Armenia,Van_Yerevan,1,1,"1,35","4,40","6,78"
Fotbal,1.arménská liga,13,3,25,Ararat_Yerevan,BKMA,1,1,"2,22","2,99","3,06"
Fotbal,1.arménská liga,14,3,25,Pyunik_Yerevan,Shirak_Gyumri,6,1,"1,35","4,11","7,55"
Fotbal,1.arménská liga,15,3,25,Ararat-Armenia,Alashkert_FC,3,0,"1,26","5,01","8,42"
Fotbal,1.arménská liga,16,3,25,Van_Yerevan,West_Armenia,2,0,"1,26","4,96","8,99"
Fotbal,1.arménská liga,27,3,25,BKMA,West_Armenia,3,0,"1,74","3,63","3,78"
Fotbal,1.arménská liga,28,3,25,Ararat-Armenia,Pyunik_Yerevan,3,2,"2,10","3,03","3,27"
Fotbal,1.arménská liga,29,3,25,Alashkert_FC,Van_Yerevan,2,2,"6,81","4,35","1,35"
Fotbal,1.arménská liga,29,3,25,Shirak_Gyumri,Noah,1,2,"9,90","5,18","1,24"
Fotbal,1.arménská liga,4,4,25,Ararat_Yerevan,Shirak_Gyumri,1,2,"3,13","2,70","2,39"
Fotbal,1.arménská liga,5,4,25,Pyunik_Yerevan,Alashkert_FC,1,1,"1,30","4,59","7,82"
Fotbal,1.arménská liga,5,4,25,Urartu_Yerevan,Ararat-Armenia,0,3,"3,02","3,14","2,17"
Fotbal,1.arménská liga,6,4,25,Noah,West_Armenia,5,1,"1,03","16,30","33,00"
Fotbal,1.arménská liga,8,4,25,Shirak_Gyumri,Ararat_Yerevan,,,"2,09","2,79","3,62"
Fotbal,1.arménská liga,9,4,25,Noah,BKMA,,,"1,14","6,78","15,20"
