Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.australská liga,18,10,24,Central_Coast_Mariners,Melbourne_Victory,0,0,"2,98","3,61","2,21"
Fotbal,1.australská liga,19,10,24,Auckland_FC,Brisbane,2,0,"2,22","3,53","3,01"
Fotbal,1.australská liga,19,10,24,Newcastle,Melbourne_City,0,1,"3,00","3,82","2,13"
Fotbal,1.australská liga,19,10,24,Western_Sydney,Sydney_FC,1,2,"3,52","4,00","1,89"
Fotbal,1.australská liga,20,10,24,Wellington_Phoenix,Western_United,1,1,"2,04","3,67","3,32"
Fotbal,1.australská liga,20,10,24,Macarthur,Perth_Glory,6,1,"1,79","4,03","3,89"
Fotbal,1.australská liga,25,10,24,Macarthur,Newcastle,1,2,"1,63","4,32","4,58"
Fotbal,1.australská liga,26,10,24,Adelaide_United,Central_Coast_Mariners,1,1,"1,90","4,03","3,47"
Fotbal,1.australská liga,26,10,24,Melbourne_City,Melbourne_Victory,1,3,"2,68","3,40","2,50"
Fotbal,1.australská liga,26,10,24,Perth_Glory,Wellington_Phoenix,0,2,"2,57","3,61","2,50"
Fotbal,1.australská liga,27,10,24,Auckland_FC,Sydney_FC,1,0,"2,77","3,87","2,25"
Fotbal,1.australská liga,27,10,24,Western_United,Western_Sydney,1,1,"2,72","3,73","2,33"
Fotbal,1.australská liga,1,11,24,Brisbane,Sydney_FC,2,3,"2,96","3,44","2,29"
Fotbal,1.australská liga,2,11,24,Central_Coast_Mariners,Perth_Glory,0,0,"1,69","4,15","4,36"
Fotbal,1.australská liga,2,11,24,Western_Sydney,Adelaide_United,3,4,"2,30","3,86","2,70"
Fotbal,1.australská liga,3,11,24,Melbourne_Victory,Macarthur,2,1,"1,78","3,74","4,28"
Fotbal,1.australská liga,4,11,24,Western_United,Melbourne_City,0,1,"3,17","3,86","2,04"
Fotbal,1.australská liga,2,11,24,Wellington_Phoenix,Auckland_FC,0,2,"2,59","3,32","2,64"
Fotbal,1.australská liga,8,11,24,Western_Sydney,Newcastle,4,1,"2,04","3,83","3,19"
Fotbal,1.australská liga,9,11,24,Melbourne_Victory,Brisbane,2,0,"1,58","4,25","5,13"
Fotbal,1.australská liga,9,11,24,Adelaide_United,Western_United,2,1,"1,74","4,16","4,04"
Fotbal,1.australská liga,10,11,24,Central_Coast_Mariners,Wellington_Phoenix,0,3,"2,40","3,26","2,91"
Fotbal,1.australská liga,10,11,24,Sydney_FC,Macarthur,1,2,"1,72","4,15","4,18"
Fotbal,1.australská liga,10,11,24,Perth_Glory,Melbourne_City,0,5,"2,77","3,61","2,34"
Fotbal,1.australská liga,22,11,24,Perth_Glory,Western_United,1,3,"4,25","4,07","1,72"
Fotbal,1.australská liga,22,11,24,Newcastle,Central_Coast_Mariners,1,2,"3,07","3,28","2,29"
Fotbal,1.australská liga,23,11,24,Brisbane,Adelaide_United,2,3,"3,48","4,03","1,90"
Fotbal,1.australská liga,23,11,24,Sydney_FC,Western_Sydney,4,2,"1,66","4,31","4,42"
Fotbal,1.australská liga,24,11,24,Wellington_Phoenix,Melbourne_Victory,1,0,"4,41","3,44","1,83"
Fotbal,1.australská liga,24,11,24,Macarthur,Auckland_FC,0,1,"2,81","3,44","2,39"
Fotbal,1.australská liga,29,11,24,Adelaide_United,Perth_Glory,2,2,"1,31","5,64","8,07"
Fotbal,1.australská liga,30,11,24,Auckland_FC,Newcastle,2,0,"1,55","4,17","5,51"
Fotbal,1.australská liga,30,11,24,Melbourne_City,Western_Sydney,0,2,"1,88","4,09","3,48"
Fotbal,1.australská liga,30,11,24,Western_United,Melbourne_Victory,,,"4,23","3,94","1,75"
Fotbal,1.australská liga,30,11,24,Macarthur,Brisbane,4,4,"1,86","4,03","3,61"
Fotbal,1.australská liga,1,12,24,Western_United,Melbourne_Victory,1,3,"4,27","3,86","1,75"
Fotbal,1.australská liga,6,12,24,Brisbane,Melbourne_City,1,4,"2,96","3,86","2,14"
