Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.bosensko-hercegovinská liga,2,9,24,Borac_Banja_Luka,Gošk_NK,3,0,"1,16","6,44","13,60"
Fotbal,1.bosensko-hercegovinská liga,3,9,24,Zrinjski_Mostar,Posusje_NK,1,0,"1,43","3,89","6,13"
Fotbal,1.bosensko-hercegovinská liga,11,9,24,Zrinjski_Mostar,Sloga_Doboj,3,1,"1,15","6,74","14,30"
Fotbal,1.bosensko-hercegovinská liga,13,9,24,Radnik_Bijeljina,Igman_Konjic,0,1,"1,72","3,22","4,44"
Fotbal,1.bosensko-hercegovinská liga,14,9,24,Sloboda_Tuzla,Velez_Mostar,1,1,"3,61","2,84","2,07"
Fotbal,1.bosensko-hercegovinská liga,14,9,24,Sarajevo_FK,Posusje_NK,2,2,"1,38","3,92","7,53"
Fotbal,1.bosensko-hercegovinská liga,15,9,24,Sloga_Doboj,Siroki_Brijeg_NK,1,0,"2,74","2,75","2,67"
Fotbal,1.bosensko-hercegovinská liga,15,9,24,Zrinjski_Mostar,Borac_Banja_Luka,1,1,"2,02","2,79","3,89"
Fotbal,1.bosensko-hercegovinská liga,16,9,24,Gošk_NK,Zeljeznicar_Sarajevo,0,3,"3,80","3,01","1,93"
Fotbal,1.bosensko-hercegovinská liga,20,9,24,Igman_Konjic,Sloboda_Tuzla,1,0,"1,80","3,01","4,41"
Fotbal,1.bosensko-hercegovinská liga,20,9,24,Velez_Mostar,Sloga_Doboj,0,0,"1,39","4,08","6,70"
Fotbal,1.bosensko-hercegovinská liga,20,9,24,Siroki_Brijeg_NK,Gošk_NK,2,2,"1,57","3,65","4,84"
Fotbal,1.bosensko-hercegovinská liga,21,9,24,Borac_Banja_Luka,Sarajevo_FK,0,1,"1,87","3,13","3,85"
Fotbal,1.bosensko-hercegovinská liga,21,9,24,Posusje_NK,Radnik_Bijeljina,3,1,"1,86","2,89","4,37"
Fotbal,1.bosensko-hercegovinská liga,21,9,24,Zeljeznicar_Sarajevo,Zrinjski_Mostar,0,2,"2,68","2,82","2,65"
Fotbal,1.bosensko-hercegovinská liga,24,9,24,Radnik_Bijeljina,Sloboda_Tuzla,2,0,"1,67","3,16","4,91"
Fotbal,1.bosensko-hercegovinská liga,24,9,24,Gošk_NK,Velez_Mostar,0,4,"4,49","3,52","1,64"
Fotbal,1.bosensko-hercegovinská liga,24,9,24,Zrinjski_Mostar,Siroki_Brijeg_NK,3,0,"1,27","4,77","9,24"
Fotbal,1.bosensko-hercegovinská liga,25,9,24,Sloga_Doboj,Igman_Konjic,0,2,"2,43","2,71","3,06"
Fotbal,1.bosensko-hercegovinská liga,25,9,24,Posusje_NK,Borac_Banja_Luka,0,2,"4,66","2,89","1,80"
Fotbal,1.bosensko-hercegovinská liga,25,9,24,Sarajevo_FK,Zeljeznicar_Sarajevo,1,1,"1,74","3,15","4,47"
Fotbal,1.bosensko-hercegovinská liga,28,9,24,Sloboda_Tuzla,Sloga_Doboj,0,3,"2,36","2,69","3,19"
Fotbal,1.bosensko-hercegovinská liga,28,9,24,Velez_Mostar,Zrinjski_Mostar,0,1,"3,69","2,99","1,97"
Fotbal,1.bosensko-hercegovinská liga,29,9,24,Igman_Konjic,Gošk_NK,3,2,"1,41","3,98","6,47"
Fotbal,1.bosensko-hercegovinská liga,29,9,24,Zeljeznicar_Sarajevo,Posusje_NK,1,0,"1,72","3,01","4,91"
Fotbal,1.bosensko-hercegovinská liga,29,9,24,Borac_Banja_Luka,Radnik_Bijeljina,2,0,"1,16","6,05","15,30"
Fotbal,1.bosensko-hercegovinská liga,30,9,24,Siroki_Brijeg_NK,Sarajevo_FK,3,3,"4,30","3,29","1,73"
Fotbal,1.bosensko-hercegovinská liga,4,10,24,Posusje_NK,Siroki_Brijeg_NK,,,"2,01","3,01","3,53"
Fotbal,1.bosensko-hercegovinská liga,5,10,24,Gošk_NK,Sloboda_Tuzla,,,"2,54","3,13","2,53"
Fotbal,1.bosensko-hercegovinská liga,12,10,24,Borac_Banja_Luka,Velez_Mostar,2,1,"1,45","3,64","6,45"
Fotbal,1.bosensko-hercegovinská liga,16,10,24,Igman_Konjic,Borac_Banja_Luka,0,4,"4,57","3,58","1,62"
Fotbal,1.bosensko-hercegovinská liga,16,10,24,Zrinjski_Mostar,Radnik_Bijeljina,2,0,"1,17","6,09","13,50"
Fotbal,1.bosensko-hercegovinská liga,18,10,24,Posusje_NK,Siroki_Brijeg_NK,1,2,"2,07","2,81","3,69"
Fotbal,1.bosensko-hercegovinská liga,19,10,24,Gošk_NK,Sloboda_Tuzla,2,0,"2,09","2,94","3,41"
Fotbal,1.bosensko-hercegovinská liga,19,10,24,Sarajevo_FK,Velez_Mostar,4,0,"1,65","3,40","4,60"
Fotbal,1.bosensko-hercegovinská liga,20,10,24,Radnik_Bijeljina,Sloga_Doboj,2,1,"1,70","3,13","4,72"
Fotbal,1.bosensko-hercegovinská liga,20,10,24,Borac_Banja_Luka,Zeljeznicar_Sarajevo,1,0,"1,53","3,37","5,93"
Fotbal,1.bosensko-hercegovinská liga,21,10,24,Zrinjski_Mostar,Igman_Konjic,7,1,"1,17","6,29","13,70"
Fotbal,1.bosensko-hercegovinská liga,25,10,24,Zeljeznicar_Sarajevo,Radnik_Bijeljina,2,0,"1,39","3,94","6,96"
Fotbal,1.bosensko-hercegovinská liga,26,10,24,Sloga_Doboj,Gošk_NK,2,0,"1,61","3,39","4,94"
Fotbal,1.bosensko-hercegovinská liga,26,10,24,Sloboda_Tuzla,Zrinjski_Mostar,0,1,"9,29","4,66","1,27"
Fotbal,1.bosensko-hercegovinská liga,26,10,24,Velez_Mostar,Posusje_NK,3,0,"2,29","2,65","3,37"
Fotbal,1.bosensko-hercegovinská liga,27,10,24,Igman_Konjic,Sarajevo_FK,0,3,"4,58","3,82","1,58"
Fotbal,1.bosensko-hercegovinská liga,28,10,24,Siroki_Brijeg_NK,Borac_Banja_Luka,2,3,"3,85","3,14","1,87"
Fotbal,1.bosensko-hercegovinská liga,2,11,24,Sloga_Doboj,Zrinjski_Mostar,0,1,"7,05","4,13","1,37"
Fotbal,1.bosensko-hercegovinská liga,2,11,24,Velez_Mostar,Borac_Banja_Luka,0,0,"4,61","3,03","1,75"
Fotbal,1.bosensko-hercegovinská liga,2,11,24,Sloboda_Tuzla,Sarajevo_FK,0,6,"8,97","4,34","1,30"
Fotbal,1.bosensko-hercegovinská liga,3,11,24,Igman_Konjic,Posusje_NK,0,3,"2,21","2,88","3,21"
Fotbal,1.bosensko-hercegovinská liga,3,11,24,Siroki_Brijeg_NK,Zeljeznicar_Sarajevo,0,3,"3,03","2,66","2,49"
Fotbal,1.bosensko-hercegovinská liga,4,11,24,Radnik_Bijeljina,Gošk_NK,3,1,"1,39","4,09","6,58"
Fotbal,1.bosensko-hercegovinská liga,6,11,24,Zrinjski_Mostar,Sarajevo_FK,1,1,"1,78","3,24","4,10"
Fotbal,1.bosensko-hercegovinská liga,8,11,24,Posusje_NK,Sloboda_Tuzla,2,0,"1,36","3,86","8,26"
Fotbal,1.bosensko-hercegovinská liga,9,11,24,Sarajevo_FK,Sloga_Doboj,2,0,"1,17","6,13","13,10"
Fotbal,1.bosensko-hercegovinská liga,10,11,24,Zeljeznicar_Sarajevo,Velez_Mostar,2,1,"1,87","2,95","4,15"
Fotbal,1.bosensko-hercegovinská liga,10,11,24,Siroki_Brijeg_NK,Radnik_Bijeljina,2,0,"1,88","3,20","3,74"
Fotbal,1.bosensko-hercegovinská liga,11,11,24,Zrinjski_Mostar,Gošk_NK,3,0,"1,04","12,60","32,00"
Fotbal,1.bosensko-hercegovinská liga,11,11,24,Borac_Banja_Luka,Igman_Konjic,4,0,"1,10","8,56","17,40"
Fotbal,1.bosensko-hercegovinská liga,22,11,24,Igman_Konjic,Zeljeznicar_Sarajevo,0,2,"4,37","3,42","1,69"
Fotbal,1.bosensko-hercegovinská liga,22,11,24,Radnik_Bijeljina,Zrinjski_Mostar,,,"6,22","4,07","1,41"
Fotbal,1.bosensko-hercegovinská liga,23,11,24,Sloga_Doboj,Posusje_NK,,,"2,97","2,67","2,52"
Fotbal,1.bosensko-hercegovinská liga,23,11,24,Radnik_Bijeljina,Zrinjski_Mostar,,,"8,35","4,47","1,30"
Fotbal,1.bosensko-hercegovinská liga,23,11,24,Velez_Mostar,Siroki_Brijeg_NK,3,1,"1,78","3,30","4,04"
Fotbal,1.bosensko-hercegovinská liga,24,11,24,Gošk_NK,Sarajevo_FK,0,3,"8,94","5,20","1,25"
Fotbal,1.bosensko-hercegovinská liga,29,11,24,Sarajevo_FK,Zrinjski_Mostar,0,1,"2,23","2,73","3,39"
Fotbal,1.bosensko-hercegovinská liga,29,11,24,Velez_Mostar,Radnik_Bijeljina,2,1,"1,52","3,54","5,63"
Fotbal,1.bosensko-hercegovinská liga,30,11,24,Posusje_NK,Gošk_NK,1,2,"1,26","4,84","9,44"
Fotbal,1.bosensko-hercegovinská liga,30,11,24,Zeljeznicar_Sarajevo,Sloboda_Tuzla,3,0,"1,16","5,94","16,40"
Fotbal,1.bosensko-hercegovinská liga,30,11,24,Siroki_Brijeg_NK,Igman_Konjic,4,2,"1,54","3,68","5,04"
Fotbal,1.bosensko-hercegovinská liga,1,12,24,Borac_Banja_Luka,Sloga_Doboj,4,0,"1,05","11,10","33,00"
Fotbal,1.bosensko-hercegovinská liga,3,12,24,Radnik_Bijeljina,Sarajevo_FK,2,3,"6,17","4,18","1,40"
Fotbal,1.bosensko-hercegovinská liga,3,12,24,Posusje_NK,Zrinjski_Mostar,1,2,"5,67","3,17","1,59"
Fotbal,1.bosensko-hercegovinská liga,4,12,24,Sloga_Doboj,Zeljeznicar_Sarajevo,4,2,"4,67","3,23","1,68"
Fotbal,1.bosensko-hercegovinská liga,4,12,24,Sloboda_Tuzla,Siroki_Brijeg_NK,0,2,"3,54","2,88","2,07"
Fotbal,1.bosensko-hercegovinská liga,4,12,24,Gošk_NK,Borac_Banja_Luka,0,2,"15,60","7,15","1,13"
Fotbal,1.bosensko-hercegovinská liga,7,12,24,Posusje_NK,Sarajevo_FK,0,0,"4,96","3,36","1,61"
Fotbal,1.bosensko-hercegovinská liga,7,12,24,Velez_Mostar,Sloboda_Tuzla,1,0,"1,12","7,19","17,70"
Fotbal,1.bosensko-hercegovinská liga,8,12,24,Igman_Konjic,Radnik_Bijeljina,2,3,"2,12","3,09","3,16"
Fotbal,1.bosensko-hercegovinská liga,8,12,24,Borac_Banja_Luka,Zrinjski_Mostar,0,1,"1,95","2,78","4,21"
Fotbal,1.bosensko-hercegovinská liga,8,12,24,Siroki_Brijeg_NK,Sloga_Doboj,0,1,"1,52","3,65","5,38"
Fotbal,1.bosensko-hercegovinská liga,9,12,24,Zeljeznicar_Sarajevo,Gošk_NK,4,1,"1,08","8,95","19,90"
Fotbal,1.bosensko-hercegovinská liga,15,12,24,Sloga_Doboj,Posusje_NK,3,1,"2,57","2,55","3,05"
Fotbal,1.bosensko-hercegovinská liga,15,12,24,Radnik_Bijeljina,Zrinjski_Mostar,2,0,"7,39","4,26","1,34"
Fotbal,1.bosensko-hercegovinská liga,15,12,24,Sloboda_Tuzla,Borac_Banja_Luka,2,3,"17,60","8,01","1,11"
Fotbal,1.bosensko-hercegovinská liga,14,2,25,Sloboda_Tuzla,Igman_Konjic,0,1,"3,51","3,00","2,02"
Fotbal,1.bosensko-hercegovinská liga,15,2,25,Radnik_Bijeljina,Posusje_NK,2,1,"1,77","2,96","4,68"
Fotbal,1.bosensko-hercegovinská liga,15,2,25,Gošk_NK,Siroki_Brijeg_NK,1,2,"5,04","3,38","1,60"
Fotbal,1.bosensko-hercegovinská liga,16,2,25,Zrinjski_Mostar,Zeljeznicar_Sarajevo,1,0,"1,35","3,97","8,33"
Fotbal,1.bosensko-hercegovinská liga,21,2,25,Igman_Konjic,Sloga_Doboj,1,2,"2,72","2,76","2,68"
Fotbal,1.bosensko-hercegovinská liga,21,2,25,Siroki_Brijeg_NK,Zrinjski_Mostar,1,1,"5,31","3,67","1,52"
Fotbal,1.bosensko-hercegovinská liga,22,2,25,Velez_Mostar,Gošk_NK,2,2,"1,17","6,18","13,50"
Fotbal,1.bosensko-hercegovinská liga,22,2,25,Zeljeznicar_Sarajevo,Sarajevo_FK,0,0,"2,84","2,59","2,72"
Fotbal,1.bosensko-hercegovinská liga,23,2,25,Sloboda_Tuzla,Radnik_Bijeljina,1,0,"6,37","4,44","1,36"
Fotbal,1.bosensko-hercegovinská liga,23,2,25,Borac_Banja_Luka,Posusje_NK,2,0,"1,23","4,89","12,80"
Fotbal,1.bosensko-hercegovinská liga,28,2,25,Gošk_NK,Igman_Konjic,0,2,"3,66","3,12","1,92"
Fotbal,1.bosensko-hercegovinská liga,1,3,25,Sloga_Doboj,Sloboda_Tuzla,1,0,"1,34","4,06","8,43"
Fotbal,1.bosensko-hercegovinská liga,1,3,25,Zrinjski_Mostar,Velez_Mostar,1,0,"1,37","3,86","7,94"
Fotbal,1.bosensko-hercegovinská liga,1,3,25,Radnik_Bijeljina,Borac_Banja_Luka,0,1,"7,29","4,14","1,36"
Fotbal,1.bosensko-hercegovinská liga,2,3,25,Posusje_NK,Zeljeznicar_Sarajevo,1,1,"2,39","2,65","3,19"
