Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.chilská liga,2,9,24,Union_La_Calera,Audax_Italiano,2,1,"2,86","2,86","2,60"
Fotbal,1.chilská liga,8,9,24,Huachipato,O'Higgins,1,0,"2,12","3,25","3,25"
Fotbal,1.chilská liga,14,9,24,Atletico_Nublense,Cobresal,1,0,"1,56","4,12","4,99"
Fotbal,1.chilská liga,14,9,24,O'Higgins,Coquimbo_Unido,1,1,"2,72","2,93","2,67"
Fotbal,1.chilská liga,15,9,24,Audax_Italiano,Cobreloa,2,0,"1,83","3,37","4,14"
Fotbal,1.chilská liga,15,9,24,Copiapó,Unión_Espaňola,2,3,"2,94","3,70","2,11"
Fotbal,1.chilská liga,15,9,24,Deportes_Iquique,Huachipato,3,1,"1,73","3,76","4,13"
Fotbal,1.chilská liga,15,9,24,Universidad_de_Chile,Palestino,1,0,"1,61","3,72","5,06"
Fotbal,1.chilská liga,24,9,24,Palestino,Deportes_Iquique,2,0,"2,20","3,47","2,93"
Fotbal,1.chilská liga,24,9,24,Cobreloa,Atletico_Nublense,0,1,"2,56","3,37","2,52"
Fotbal,1.chilská liga,25,9,24,Coquimbo_Unido,Everton,2,2,"2,63","2,93","2,76"
Fotbal,1.chilská liga,25,9,24,Universidad_de_Chile,Huachipato,2,1,"1,29","4,95","9,23"
Fotbal,1.chilská liga,25,9,24,Cobresal,Audax_Italiano,0,1,"2,10","3,29","3,28"
Fotbal,1.chilská liga,25,9,24,Unión_Espaňola,O'Higgins,0,1,"1,71","3,93","4,07"
Fotbal,1.chilská liga,26,9,24,Universidad_Católica,Copiapó,4,1,"1,74","3,68","4,22"
Fotbal,1.chilská liga,28,9,24,Everton,Cobreloa,2,0,"1,42","4,31","6,73"
Fotbal,1.chilská liga,29,9,24,Colo_Colo,Cobresal,2,0,"1,34","4,60","8,22"
Fotbal,1.chilská liga,29,9,24,Atletico_Nublense,Union_La_Calera,0,1,"1,65","3,68","4,85"
Fotbal,1.chilská liga,29,9,24,Copiapó,Palestino,2,1,"2,91","3,38","2,25"
Fotbal,1.chilská liga,29,9,24,Deportes_Iquique,Universidad_de_Chile,3,0,"3,38","3,66","1,94"
Fotbal,1.chilská liga,30,9,24,Universidad_Católica,Unión_Espaňola,0,2,"2,19","3,37","3,01"
Fotbal,1.chilská liga,30,9,24,Huachipato,Coquimbo_Unido,3,2,"2,76","2,78","2,76"
Fotbal,1.chilská liga,1,10,24,Audax_Italiano,O'Higgins,2,0,"2,36","2,96","3,08"
Fotbal,1.chilská liga,4,10,24,Colo_Colo,Universidad_Católica,1,0,"1,54","3,58","6,38"
Fotbal,1.chilská liga,6,10,24,Atletico_Nublense,Deportes_Iquique,2,0,"1,95","3,56","3,42"
Fotbal,1.chilská liga,6,10,24,Universidad_de_Chile,Union_La_Calera,1,0,"1,39","4,34","7,57"
Fotbal,1.chilská liga,6,10,24,Palestino,Coquimbo_Unido,2,0,"2,15","3,00","3,47"
Fotbal,1.chilská liga,6,10,24,O'Higgins,Universidad_Católica,0,2,"2,76","2,94","2,63"
Fotbal,1.chilská liga,6,10,24,Cobreloa,Copiapó,,,"2,20","3,32","3,03"
Fotbal,1.chilská liga,6,10,24,Cobresal,Everton,,,"2,59","3,42","2,46"
Fotbal,1.chilská liga,6,10,24,Unión_Espaňola,Huachipato,3,1,"1,67","3,83","4,48"
Fotbal,1.chilská liga,7,10,24,Colo_Colo,Audax_Italiano,2,1,"1,37","4,26","8,38"
Fotbal,1.chilská liga,5,10,24,Cobresal,Everton,2,1,"2,31","3,45","2,76"
Fotbal,1.chilská liga,8,10,24,Cobreloa,Copiapó,4,1,"2,07","3,50","3,15"
Fotbal,1.chilská liga,13,10,24,Everton,Union_La_Calera,0,1,"1,63","3,56","5,22"
Fotbal,1.chilská liga,13,10,24,Huachipato,Colo_Colo,1,2,"5,16","3,62","1,62"
Fotbal,1.chilská liga,17,10,24,Union_La_Calera,Colo_Colo,0,1,"5,19","3,32","1,69"
Fotbal,1.chilská liga,19,10,24,O'Higgins,Atletico_Nublense,1,3,"2,80","3,13","2,45"
Fotbal,1.chilská liga,19,10,24,Universidad_Católica,Universidad_de_Chile,1,2,"3,60","3,14","2,04"
Fotbal,1.chilská liga,20,10,24,Palestino,Colo_Colo,2,3,"4,04","3,14","1,93"
Fotbal,1.chilská liga,20,10,24,Copiapó,Everton,3,5,"3,46","3,68","1,91"
Fotbal,1.chilská liga,20,10,24,Coquimbo_Unido,Cobresal,2,0,"1,68","3,59","4,73"
Fotbal,1.chilská liga,20,10,24,Deportes_Iquique,Cobreloa,4,1,"1,41","4,48","6,53"
Fotbal,1.chilská liga,20,10,24,Audax_Italiano,Huachipato,0,2,"2,05","3,20","3,49"
Fotbal,1.chilská liga,2,11,24,Audax_Italiano,Copiapó,4,1,"1,60","3,88","4,90"
Fotbal,1.chilská liga,2,11,24,Cobreloa,Universidad_Católica,2,2,"2,59","3,14","2,62"
Fotbal,1.chilská liga,2,11,24,Cobresal,O'Higgins,3,1,"1,83","3,44","4,02"
Fotbal,1.chilská liga,2,11,24,Coquimbo_Unido,Union_La_Calera,0,0,"1,62","3,43","5,65"
Fotbal,1.chilská liga,2,11,24,Everton,Huachipato,1,0,"1,59","3,95","4,89"
Fotbal,1.chilská liga,2,11,24,Unión_Espaňola,Palestino,2,3,"2,00","3,58","3,27"
Fotbal,1.chilská liga,3,11,24,Colo_Colo,Deportes_Iquique,3,0,"1,54","4,04","5,30"
Fotbal,1.chilská liga,3,11,24,Atletico_Nublense,Universidad_de_Chile,1,4,"3,35","3,44","2,02"
Fotbal,1.chilská liga,9,11,24,Deportes_Iquique,Unión_Espaňola,2,0,"1,85","3,95","3,44"
Fotbal,1.chilská liga,9,11,24,Universidad_Católica,Coquimbo_Unido,1,2,"1,96","3,27","3,74"
Fotbal,1.chilská liga,10,11,24,Huachipato,Atletico_Nublense,1,0,"1,90","3,63","3,54"
Fotbal,1.chilská liga,10,11,24,O'Higgins,Cobreloa,0,3,"1,77","3,61","4,12"
Fotbal,1.chilská liga,10,11,24,Palestino,Audax_Italiano,2,0,"1,56","3,71","5,69"
Fotbal,1.chilská liga,10,11,24,Union_La_Calera,Cobresal,3,0,"2,01","3,43","3,36"
Fotbal,1.chilská liga,10,11,24,Copiapó,Colo_Colo,1,1,"10,60","5,83","1,22"
Fotbal,1.chilská liga,10,11,24,Universidad_de_Chile,Everton,1,1,"1,47","4,15","6,08"
Fotbal,1.chilská liga,15,2,25,Deportes_Iquique,Coquimbo_Unido,0,3,"2,23","3,11","3,15"
Fotbal,1.chilská liga,15,2,25,O'Higgins,Huachipato,0,0,"2,25","3,17","3,08"
Fotbal,1.chilská liga,15,2,25,Palestino,Cobresal,2,1,"1,58","3,85","5,15"
Fotbal,1.chilská liga,16,2,25,Universidad_de_Chile,Atletico_Nublense,5,0,"1,48","4,07","6,01"
Fotbal,1.chilská liga,16,2,25,La_Serena,Colo_Colo,1,3,"4,13","3,20","1,89"
Fotbal,1.chilská liga,17,2,25,Deportes_Limache,Everton,1,1,"3,31","3,36","2,06"
Fotbal,1.chilská liga,17,2,25,Universidad_Católica,Audax_Italiano,3,1,"2,24","3,12","3,15"
Fotbal,1.chilská liga,18,2,25,Union_La_Calera,Unión_Espaňola,4,0,"2,48","3,18","2,72"
Fotbal,1.chilská liga,21,2,25,Audax_Italiano,Deportes_Iquique,4,2,"1,79","3,57","4,07"
Fotbal,1.chilská liga,21,2,25,Unión_Espaňola,Palestino,0,3,"2,45","3,34","2,65"
Fotbal,1.chilská liga,22,2,25,Coquimbo_Unido,Universidad_Católica,1,0,"2,17","3,10","3,31"
Fotbal,1.chilská liga,23,2,25,Atletico_Nublense,Deportes_Limache,1,1,"2,04","3,29","3,43"
Fotbal,1.chilská liga,23,2,25,Huachipato,Everton,4,0,"2,68","3,12","2,55"
Fotbal,1.chilská liga,23,2,25,Cobresal,La_Serena,3,1,"1,86","3,52","3,80"
Fotbal,1.chilská liga,24,2,25,Universidad_de_Chile,Union_La_Calera,1,0,"1,33","4,63","8,65"
Fotbal,1.chilská liga,25,2,25,Colo_Colo,O'Higgins,0,1,"1,47","4,05","6,29"
Fotbal,1.chilská liga,1,3,25,Deportes_Limache,Coquimbo_Unido,1,2,"3,09","3,11","2,27"
Fotbal,1.chilská liga,1,3,25,La_Serena,Unión_Espaňola,1,0,"2,61","3,19","2,58"
Fotbal,1.chilská liga,1,3,25,Palestino,Audax_Italiano,0,2,"2,16","3,21","3,20"
Fotbal,1.chilská liga,1,3,25,Universidad_Católica,Deportes_Iquique,1,0,"1,95","3,55","3,45"
Fotbal,1.chilská liga,2,3,25,Everton,Atletico_Nublense,1,2,"2,09","3,21","3,36"
Fotbal,1.chilská liga,2,3,25,Huachipato,Colo_Colo,2,1,"4,58","3,33","1,76"
Fotbal,1.chilská liga,2,3,25,Cobresal,Universidad_de_Chile,2,1,"4,25","3,79","1,71"
Fotbal,1.chilská liga,2,3,25,Union_La_Calera,O'Higgins,,,"2,09","3,01","3,65"
Fotbal,1.chilská liga,3,3,25,Union_La_Calera,O'Higgins,2,2,"2,78","2,94","2,60"
Fotbal,1.chilská liga,8,3,25,Union_La_Calera,Huachipato,1,0,"2,13","3,08","3,44"
Fotbal,1.chilská liga,8,3,25,Atletico_Nublense,Universidad_Católica,1,1,"2,51","3,13","2,73"
Fotbal,1.chilská liga,9,3,25,Audax_Italiano,Deportes_Limache,3,1,"1,67","3,57","4,84"
Fotbal,1.chilská liga,9,3,25,Deportes_Iquique,Palestino,1,3,"2,44","3,41","2,62"
Fotbal,1.chilská liga,9,3,25,Coquimbo_Unido,Cobresal,1,1,"1,60","3,69","5,23"
Fotbal,1.chilská liga,9,3,25,O'Higgins,La_Serena,1,1,"1,76","3,41","4,47"
Fotbal,1.chilská liga,10,3,25,Colo_Colo,Everton,2,0,"1,40","4,25","7,42"
Fotbal,1.chilská liga,10,3,25,Unión_Espaňola,Universidad_de_Chile,,,"3,73","3,70","1,83"
Fotbal,1.chilská liga,14,3,25,Audax_Italiano,Universidad_de_Chile,1,1,"3,49","3,37","1,99"
Fotbal,1.chilská liga,15,3,25,Deportes_Limache,Huachipato,2,3,"2,44","3,10","2,83"
Fotbal,1.chilská liga,16,3,25,Everton,Coquimbo_Unido,0,0,"2,69","2,93","2,70"
Fotbal,1.chilská liga,16,3,25,La_Serena,Union_La_Calera,1,0,"2,63","2,78","2,90"
Fotbal,1.chilská liga,16,3,25,Cobresal,O'Higgins,0,0,"2,16","3,37","3,08"
Fotbal,1.chilská liga,16,3,25,Palestino,Atletico_Nublense,2,0,"1,84","3,47","3,96"
Fotbal,1.chilská liga,17,3,25,Deportes_Iquique,Unión_Espaňola,0,4,"1,95","3,64","3,36"
Fotbal,1.chilská liga,30,3,25,Huachipato,La_Serena,3,1,"1,95","3,16","3,91"
Fotbal,1.chilská liga,30,3,25,Colo_Colo,Palestino,,,"1,60","3,60","5,47"
Fotbal,1.chilská liga,30,3,25,Coquimbo_Unido,Audax_Italiano,2,1,"2,09","3,05","3,56"
Fotbal,1.chilská liga,30,3,25,Everton,Universidad_de_Chile,,,"3,78","3,52","1,87"
Fotbal,1.chilská liga,30,3,25,Atletico_Nublense,Deportes_Iquique,,,"2,19","3,45","2,96"
Fotbal,1.chilská liga,30,3,25,Unión_Espaňola,Universidad_Católica,,,"2,50","3,31","2,62"
Fotbal,1.chilská liga,31,3,25,Union_La_Calera,Cobresal,2,1,"1,69","3,48","4,81"
Fotbal,1.chilská liga,27,3,25,Colo_Colo,Palestino,1,1,"1,64","3,67","4,95"
Fotbal,1.chilská liga,28,3,25,Everton,Universidad_de_Chile,2,0,"4,27","3,62","1,74"
Fotbal,1.chilská liga,28,3,25,Unión_Espaňola,Universidad_Católica,1,2,"2,98","3,35","2,22"
Fotbal,1.chilská liga,29,3,25,Atletico_Nublense,Deportes_Iquique,1,1,"1,97","3,40","3,54"
Fotbal,1.chilská liga,29,3,25,O'Higgins,Deportes_Limache,3,1,"1,82","3,41","4,15"
