Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.ekvádorská liga,2,9,24,Emelec_Guayaquil,Orense,2,1,"2,51","2,71","2,94"
Fotbal,1.ekvádorská liga,3,9,24,Cumbaya,Imbabura_SC,1,2,"3,01","2,76","2,42"
Fotbal,1.ekvádorská liga,14,9,24,Orense,Universidad_Catolica_Quito,2,2,"2,87","2,95","2,37"
Fotbal,1.ekvádorská liga,14,9,24,Delfin_Manta,Deportivo_Cuenca,0,0,"2,08","3,00","3,35"
Fotbal,1.ekvádorská liga,14,9,24,Imbabura_SC,LDU_de_Quito,4,0,"4,92","3,80","1,54"
Fotbal,1.ekvádorská liga,15,9,24,Independiente_José_Terán,Emelec_Guayaquil,2,1,"1,27","4,69","9,71"
Fotbal,1.ekvádorská liga,15,9,24,El_Nacional_Quito,Cumbaya,2,1,"1,53","3,53","5,45"
Fotbal,1.ekvádorská liga,15,9,24,Aucas,Mushuc_Runa,1,2,"1,98","3,17","3,40"
Fotbal,1.ekvádorská liga,16,9,24,Barcelona,Macará,2,1,"1,39","4,03","6,83"
Fotbal,1.ekvádorská liga,17,9,24,Técnico_Universitario,Libertad,3,0,"1,49","3,64","5,69"
Fotbal,1.ekvádorská liga,21,9,24,Libertad,Independiente_José_Terán,1,1,"7,08","4,35","1,34"
Fotbal,1.ekvádorská liga,21,9,24,Cumbaya,Aucas,0,3,"4,38","3,28","1,72"
Fotbal,1.ekvádorská liga,21,9,24,LDU_de_Quito,El_Nacional_Quito,1,1,"1,45","3,91","5,79"
Fotbal,1.ekvádorská liga,22,9,24,Deportivo_Cuenca,Barcelona,1,0,"2,72","2,97","2,49"
Fotbal,1.ekvádorská liga,22,9,24,Macará,Imbabura_SC,2,0,"1,96","3,17","3,49"
Fotbal,1.ekvádorská liga,22,9,24,Mushuc_Runa,Orense,3,0,"1,86","3,09","3,97"
Fotbal,1.ekvádorská liga,23,9,24,Emelec_Guayaquil,Técnico_Universitario,3,1,"1,89","2,85","4,29"
Fotbal,1.ekvádorská liga,24,9,24,Universidad_Catolica_Quito,Delfin_Manta,2,1,"1,29","4,68","8,33"
Fotbal,1.ekvádorská liga,28,9,24,Orense,Macará,1,0,"1,73","3,11","4,57"
Fotbal,1.ekvádorská liga,28,9,24,Imbabura_SC,El_Nacional_Quito,1,0,"2,40","3,02","2,78"
Fotbal,1.ekvádorská liga,28,9,24,Independiente_José_Terán,Universidad_Catolica_Quito,5,2,"1,82","3,25","3,88"
Fotbal,1.ekvádorská liga,28,9,24,Cumbaya,Emelec_Guayaquil,1,0,"4,72","3,16","1,70"
Fotbal,1.ekvádorská liga,29,9,24,Aucas,Deportivo_Cuenca,1,4,"1,72","3,27","4,37"
Fotbal,1.ekvádorská liga,29,9,24,Delfin_Manta,LDU_de_Quito,3,2,"3,49","3,02","2,02"
Fotbal,1.ekvádorská liga,30,9,24,Barcelona,Libertad,0,0,"1,30","4,52","8,21"
Fotbal,1.ekvádorská liga,30,9,24,Técnico_Universitario,Mushuc_Runa,2,2,"2,01","3,04","3,50"
