Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.estonská liga,13,9,24,Tammeka_Tartu,Kalev_Tallin,4,1,"2,11","3,46","2,88"
Fotbal,1.estonská liga,14,9,24,Kuressaare_FC,Flora_Tallin,3,4,"5,81","4,22","1,41"
Fotbal,1.estonská liga,14,9,24,Levadia_Tallin,Narva_Trans,0,0,"1,23","5,34","9,43"
Fotbal,1.estonská liga,15,9,24,Flora_Paide,Nomme_United,,,"1,22","5,45","10,10"
Fotbal,1.estonská liga,15,9,24,Vaprus_Pärnu,Kalju_Nomme_JK,0,4,"4,54","3,69","1,60"
Fotbal,1.estonská liga,14,9,24,Flora_Paide,Nomme_United,7,2,"1,16","6,77","12,90"
Fotbal,1.estonská liga,17,9,24,Narva_Trans,Flora_Tallin,1,1,"3,77","3,66","1,74"
Fotbal,1.estonská liga,17,9,24,Kuressaare_FC,Levadia_Tallin,0,1,"12,30","7,25","1,15"
Fotbal,1.estonská liga,17,9,24,Kalev_Tallin,Flora_Paide,3,2,"7,64","5,33","1,26"
Fotbal,1.estonská liga,18,9,24,Kalju_Nomme_JK,Nomme_United,3,0,"1,20","5,81","10,50"
Fotbal,1.estonská liga,18,9,24,Vaprus_Pärnu,Tammeka_Tartu,2,2,"3,19","3,23","2,05"
Fotbal,1.estonská liga,21,9,24,Flora_Paide,Kuressaare_FC,4,3,"1,21","5,86","9,28"
Fotbal,1.estonská liga,21,9,24,Nomme_United,Narva_Trans,0,4,"3,93","3,70","1,70"
Fotbal,1.estonská liga,21,9,24,Flora_Tallin,Tammeka_Tartu,2,1,"1,40","4,33","5,78"
Fotbal,1.estonská liga,22,9,24,Kalju_Nomme_JK,Kalev_Tallin,3,1,"1,29","5,02","7,08"
Fotbal,1.estonská liga,22,9,24,Levadia_Tallin,Vaprus_Pärnu,3,1,"1,11","7,89","16,70"
Fotbal,1.estonská liga,25,9,24,Flora_Paide,Narva_Trans,2,3,"1,41","4,47","5,45"
Fotbal,1.estonská liga,25,9,24,Kalju_Nomme_JK,Flora_Tallin,3,0,"1,66","3,70","4,20"
Fotbal,1.estonská liga,27,9,24,Levadia_Tallin,Kalev_Tallin,4,0,"1,13","7,55","14,40"
Fotbal,1.estonská liga,28,9,24,Kuressaare_FC,Nomme_United,4,1,"1,73","3,90","3,60"
Fotbal,1.estonská liga,29,9,24,Flora_Tallin,Vaprus_Pärnu,3,0,"1,33","4,56","6,93"
Fotbal,1.estonská liga,29,9,24,Narva_Trans,Flora_Paide,0,3,"3,85","3,90","1,68"
Fotbal,1.estonská liga,29,9,24,Tammeka_Tartu,Kalju_Nomme_JK,2,3,"3,88","3,74","1,70"
Fotbal,1.estonská liga,5,10,24,Nomme_United,Flora_Tallin,0,4,"10,90","6,31","1,19"
Fotbal,1.estonská liga,5,10,24,Narva_Trans,Levadia_Tallin,0,2,"6,82","4,60","1,33"
Fotbal,1.estonská liga,5,10,24,Kalev_Tallin,Tammeka_Tartu,1,2,"2,97","3,53","2,04"
Fotbal,1.estonská liga,6,10,24,Flora_Paide,Kalju_Nomme_JK,1,1,"2,05","3,56","2,93"
Fotbal,1.estonská liga,6,10,24,Vaprus_Pärnu,Kuressaare_FC,3,1,"2,06","3,41","3,02"
Fotbal,1.estonská liga,19,10,24,Kuressaare_FC,Kalev_Tallin,2,1,"2,31","3,55","2,55"
Fotbal,1.estonská liga,19,10,24,Nomme_United,Vaprus_Pärnu,0,2,"4,49","3,80","1,59"
Fotbal,1.estonská liga,19,10,24,Tammeka_Tartu,Levadia_Tallin,0,3,"7,28","4,69","1,31"
Fotbal,1.estonská liga,20,10,24,Kalju_Nomme_JK,Narva_Trans,2,2,"1,48","4,18","4,94"
Fotbal,1.estonská liga,20,10,24,Flora_Paide,Flora_Tallin,2,1,"1,99","3,46","3,13"
Fotbal,1.estonská liga,22,10,24,Levadia_Tallin,Nomme_United,1,1,"1,18","6,46","11,30"
Fotbal,1.estonská liga,22,10,24,Tammeka_Tartu,Kuressaare_FC,2,1,"1,59","3,89","4,41"
Fotbal,1.estonská liga,23,10,24,Kalev_Tallin,Narva_Trans,0,1,"2,79","3,50","2,16"
Fotbal,1.estonská liga,23,10,24,Vaprus_Pärnu,Flora_Paide,0,1,"6,28","4,62","1,35"
Fotbal,1.estonská liga,23,10,24,Flora_Tallin,Kalju_Nomme_JK,3,2,"2,15","3,40","2,85"
Fotbal,1.estonská liga,26,10,24,Flora_Tallin,Kuressaare_FC,3,0,"1,23","5,58","8,90"
Fotbal,1.estonská liga,26,10,24,Narva_Trans,Vaprus_Pärnu,,,"2,29","3,37","2,67"
Fotbal,1.estonská liga,26,10,24,Kalev_Tallin,Nomme_United,1,0,"1,48","4,13","4,99"
Fotbal,1.estonská liga,27,10,24,Flora_Paide,Tammeka_Tartu,,,"1,41","4,36","5,60"
Fotbal,1.estonská liga,27,10,24,Kalju_Nomme_JK,Levadia_Tallin,0,4,"3,16","3,39","2,00"
Fotbal,1.estonská liga,26,10,24,Flora_Paide,Tammeka_Tartu,2,0,"1,39","4,40","5,81"
Fotbal,1.estonská liga,27,10,24,Narva_Trans,Vaprus_Pärnu,1,1,"2,22","3,25","2,86"
Fotbal,1.estonská liga,2,11,24,Kuressaare_FC,Kalju_Nomme_JK,1,2,"5,27","4,51","1,42"
Fotbal,1.estonská liga,3,11,24,Tammeka_Tartu,Narva_Trans,3,3,"2,41","3,33","2,55"
Fotbal,1.estonská liga,3,11,24,Nomme_United,Flora_Paide,0,4,"15,00","7,66","1,12"
Fotbal,1.estonská liga,3,11,24,Levadia_Tallin,Flora_Tallin,4,2,"2,38","3,23","2,64"
Fotbal,1.estonská liga,3,11,24,Vaprus_Pärnu,Kalev_Tallin,2,0,"2,37","3,24","2,66"
Fotbal,1.estonská liga,9,11,24,Flora_Tallin,Kalev_Tallin,5,1,"1,20","6,01","10,30"
Fotbal,1.estonská liga,9,11,24,Kalju_Nomme_JK,Vaprus_Pärnu,2,1,"1,20","5,94","9,99"
Fotbal,1.estonská liga,9,11,24,Narva_Trans,Kuressaare_FC,0,2,"2,03","3,61","2,94"
Fotbal,1.estonská liga,9,11,24,Nomme_United,Tammeka_Tartu,1,2,"4,17","3,97","1,61"
Fotbal,1.estonská liga,9,11,24,Flora_Paide,Levadia_Tallin,3,0,"2,21","3,30","2,83"
Fotbal,1.estonská liga,28,2,25,Levadia_Tallin,Harju_Jalgpallikool,5,0,"1,13","7,56","13,80"
Fotbal,1.estonská liga,1,3,25,Vaprus_Pärnu,Kalju_Nomme_JK,0,3,"5,33","4,29","1,44"
Fotbal,1.estonská liga,1,3,25,Flora_Tallin,Narva_Trans,2,2,"1,48","4,12","5,03"
Fotbal,1.estonská liga,2,3,25,Kuressaare_FC,Flora_Paide,1,2,"8,46","5,53","1,24"
Fotbal,1.estonská liga,2,3,25,Kalev_Tallin,Tammeka_Tartu,1,2,"4,69","4,21","1,51"
Fotbal,1.estonská liga,8,3,25,Flora_Tallin,Vaprus_Pärnu,0,1,"1,24","5,25","9,59"
Fotbal,1.estonská liga,8,3,25,Narva_Trans,Kuressaare_FC,0,2,"1,39","4,34","5,96"
Fotbal,1.estonská liga,8,3,25,Tammeka_Tartu,Levadia_Tallin,2,3,"7,57","4,65","1,31"
Fotbal,1.estonská liga,9,3,25,Harju_Jalgpallikool,Kalev_Tallin,2,0,"1,96","3,63","3,07"
Fotbal,1.estonská liga,9,3,25,Flora_Paide,Kalju_Nomme_JK,4,0,"2,00","3,44","3,11"
Fotbal,1.estonská liga,15,3,25,Vaprus_Pärnu,Levadia_Tallin,1,2,"14,30","6,98","1,14"
Fotbal,1.estonská liga,15,3,25,Narva_Trans,Flora_Paide,1,0,"4,06","3,70","1,68"
Fotbal,1.estonská liga,15,3,25,Kalev_Tallin,Flora_Tallin,0,4,"8,02","5,13","1,27"
Fotbal,1.estonská liga,16,3,25,Kuressaare_FC,Harju_Jalgpallikool,1,2,"2,64","3,33","2,33"
Fotbal,1.estonská liga,16,3,25,Kalju_Nomme_JK,Tammeka_Tartu,2,2,"1,62","3,73","4,37"
Fotbal,1.estonská liga,29,3,25,Tammeka_Tartu,Vaprus_Pärnu,0,5,"1,55","3,76","4,81"
Fotbal,1.estonská liga,29,3,25,Harju_Jalgpallikool,Narva_Trans,0,3,"2,80","3,48","2,15"
Fotbal,1.estonská liga,29,3,25,Flora_Tallin,Kuressaare_FC,5,0,"1,23","5,36","9,38"
Fotbal,1.estonská liga,30,3,25,Flora_Paide,Kalev_Tallin,5,0,"1,12","7,77","15,00"
Fotbal,1.estonská liga,30,3,25,Levadia_Tallin,Kalju_Nomme_JK,2,1,"1,50","3,89","5,10"
Fotbal,1.estonská liga,5,4,25,Flora_Paide,Tammeka_Tartu,1,0,"1,26","5,17","8,17"
Fotbal,1.estonská liga,5,4,25,Kalju_Nomme_JK,Flora_Tallin,1,2,"2,52","3,48","2,36"
Fotbal,1.estonská liga,5,4,25,Narva_Trans,Levadia_Tallin,0,1,"5,32","4,10","1,46"
Fotbal,1.estonská liga,5,4,25,Vaprus_Pärnu,Harju_Jalgpallikool,1,1,"1,83","3,49","3,58"
Fotbal,1.estonská liga,5,4,25,Kalev_Tallin,Kuressaare_FC,4,1,"2,75","3,38","2,23"
Fotbal,1.estonská liga,8,4,25,Narva_Trans,Kalev_Tallin,,,"1,39","4,36","5,87"
Fotbal,1.estonská liga,8,4,25,Levadia_Tallin,Kuressaare_FC,,,"1,05","11,70","25,40"
Fotbal,1.estonská liga,8,4,25,Tammeka_Tartu,Flora_Tallin,,,"5,20","4,28","1,45"
Fotbal,1.estonská liga,9,4,25,Kalju_Nomme_JK,Harju_Jalgpallikool,,,"1,36","4,53","6,19"
Fotbal,1.estonská liga,9,4,25,Flora_Paide,Vaprus_Pärnu,,,"1,27","5,02","8,00"
