Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.faerskoostrovní liga,14,9,24,Skala_IF,Vestur_Sandavagur_07,4,1,"1,88","3,54","3,36"
Fotbal,1.faerskoostrovní liga,15,9,24,Streymur_Eidi_EB,Fuglafjordur_IF,2,1,"1,35","4,52","6,47"
Fotbal,1.faerskoostrovní liga,15,9,24,Thorshavn_B36,Runavik_NSI,2,2,"1,73","3,94","3,57"
Fotbal,1.faerskoostrovní liga,15,9,24,Klakksvik_KI,Thorshavn_HB,1,0,"1,49","3,94","5,15"
Fotbal,1.faerskoostrovní liga,15,9,24,Toftir_B_-_68,Vikingur_Gotu,1,2,"14,80","7,93","1,12"
Fotbal,1.faerskoostrovní liga,21,9,24,Toftir_B_-_68,Klakksvik_KI,0,2,"13,40","6,91","1,15"
Fotbal,1.faerskoostrovní liga,21,9,24,Vikingur_Gotu,Streymur_Eidi_EB,1,0,"1,09","8,80","17,50"
Fotbal,1.faerskoostrovní liga,21,9,24,Vestur_Sandavagur_07,Thorshavn_B36,0,3,"6,22","5,13","1,31"
Fotbal,1.faerskoostrovní liga,22,9,24,Runavik_NSI,Fuglafjordur_IF,3,0,"1,16","7,08","11,90"
Fotbal,1.faerskoostrovní liga,22,9,24,Thorshavn_HB,Skala_IF,3,0,"1,19","6,21","10,60"
Fotbal,1.faerskoostrovní liga,25,9,24,Vikingur_Gotu,Klakksvik_KI,1,2,"2,06","3,27","3,13"
Fotbal,1.faerskoostrovní liga,28,9,24,Fuglafjordur_IF,Toftir_B_-_68,1,3,"4,43","3,90","1,58"
Fotbal,1.faerskoostrovní liga,28,9,24,Streymur_Eidi_EB,Runavik_NSI,4,1,"3,69","3,74","1,74"
Fotbal,1.faerskoostrovní liga,28,9,24,Thorshavn_B36,Thorshavn_HB,2,2,"2,46","3,29","2,52"
Fotbal,1.faerskoostrovní liga,29,9,24,Vestur_Sandavagur_07,Klakksvik_KI,0,1,"13,40","7,39","1,14"
Fotbal,1.faerskoostrovní liga,30,9,24,Skala_IF,Vikingur_Gotu,0,3,"12,70","7,31","1,15"
Fotbal,1.faerskoostrovní liga,1,10,24,Fuglafjordur_IF,Toftir_B_-_68,1,3,"4,43","3,90","1,58"
Fotbal,1.faerskoostrovní liga,4,10,24,Vikingur_Gotu,Fuglafjordur_IF,5,0,"1,01","18,90","33,00"
Fotbal,1.faerskoostrovní liga,4,10,24,Toftir_B_-_68,Skala_IF,1,1,"2,03","3,33","3,13"
Fotbal,1.faerskoostrovní liga,4,10,24,Klakksvik_KI,Runavik_NSI,3,1,"1,23","5,62","8,89"
Fotbal,1.faerskoostrovní liga,5,10,24,Thorshavn_HB,Vestur_Sandavagur_07,1,0,"1,21","5,80","10,40"
Fotbal,1.faerskoostrovní liga,5,10,24,Streymur_Eidi_EB,Thorshavn_B36,1,0,"4,27","3,94","1,60"
Fotbal,1.faerskoostrovní liga,20,10,24,Vestur_Sandavagur_07,Fuglafjordur_IF,5,1,"1,37","4,62","5,74"
Fotbal,1.faerskoostrovní liga,20,10,24,Thorshavn_HB,Vikingur_Gotu,1,1,"3,36","3,68","1,84"
Fotbal,1.faerskoostrovní liga,20,10,24,Klakksvik_KI,Thorshavn_B36,2,2,"1,40","4,35","5,82"
Fotbal,1.faerskoostrovní liga,20,10,24,Skala_IF,Runavik_NSI,0,0,"3,38","4,02","1,76"
Fotbal,1.faerskoostrovní liga,20,10,24,Toftir_B_-_68,Streymur_Eidi_EB,1,4,"2,25","3,22","2,84"
Fotbal,1.faerskoostrovní liga,26,10,24,Thorshavn_B36,Skala_IF,3,0,"1,34","4,73","6,31"
Fotbal,1.faerskoostrovní liga,26,10,24,Streymur_Eidi_EB,Thorshavn_HB,1,4,"4,75","3,91","1,54"
Fotbal,1.faerskoostrovní liga,26,10,24,Fuglafjordur_IF,Klakksvik_KI,1,4,"33,00","17,70","1,02"
Fotbal,1.faerskoostrovní liga,26,10,24,Runavik_NSI,Toftir_B_-_68,1,4,"1,39","4,49","5,63"
