Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.finská liga,13,9,24,Inter_Turku_FC,Ekenas_IF,1,1,"1,23","6,41","10,50"
Fotbal,1.finská liga,14,9,24,HJK_Helsinki,SJK_Seinajoki,2,2,"1,77","4,17","3,85"
Fotbal,1.finská liga,14,9,24,Ilves_Tampere,Valkeakoski_Haka,3,2,"1,61","4,30","4,76"
Fotbal,1.finská liga,14,9,24,Oulu,Lahti_FC,3,0,"2,30","3,25","3,09"
Fotbal,1.finská liga,14,9,24,KuPS_Kuopio,Vaasa_VPS,3,1,"1,39","4,86","7,29"
Fotbal,1.finská liga,15,9,24,Gnistan_Helsinki,IFK_Mariehamn,2,1,"1,71","3,96","4,43"
Fotbal,1.finská liga,19,9,24,Lahti_FC,IFK_Mariehamn,2,1,"2,53","3,34","2,69"
Fotbal,1.finská liga,20,9,24,Valkeakoski_Haka,SJK_Seinajoki,0,3,"3,30","4,27","1,91"
Fotbal,1.finská liga,20,9,24,Vaasa_VPS,HJK_Helsinki,1,1,"4,12","3,96","1,76"
Fotbal,1.finská liga,22,9,24,Ekenas_IF,Gnistan_Helsinki,3,1,"4,93","4,46","1,57"
Fotbal,1.finská liga,24,9,24,Oulu,Inter_Turku_FC,1,0,"3,10","3,28","2,27"
Fotbal,1.finská liga,24,9,24,Ilves_Tampere,KuPS_Kuopio,1,0,"2,20","3,51","3,06"
Fotbal,1.finská liga,27,9,24,Gnistan_Helsinki,Oulu,1,0,"1,85","3,87","3,80"
Fotbal,1.finská liga,28,9,24,SJK_Seinajoki,Vaasa_VPS,1,4,"1,54","4,64","5,00"
Fotbal,1.finská liga,28,9,24,IFK_Mariehamn,Ekenas_IF,3,0,"1,65","4,01","4,77"
Fotbal,1.finská liga,28,9,24,HJK_Helsinki,Ilves_Tampere,0,1,"2,46","3,58","2,64"
Fotbal,1.finská liga,29,9,24,KuPS_Kuopio,Valkeakoski_Haka,2,0,"1,34","5,15","8,13"
Fotbal,1.finská liga,30,9,24,Inter_Turku_FC,Lahti_FC,3,1,"1,59","4,15","5,10"
Fotbal,1.finská liga,4,10,24,Vaasa_VPS,Ilves_Tampere,0,2,"3,83","3,98","1,82"
Fotbal,1.finská liga,5,10,24,Gnistan_Helsinki,Lahti_FC,2,2,"1,70","4,07","4,35"
Fotbal,1.finská liga,5,10,24,SJK_Seinajoki,KuPS_Kuopio,0,1,"2,69","3,72","2,36"
Fotbal,1.finská liga,5,10,24,Ekenas_IF,Oulu,1,1,"3,35","3,60","2,04"
Fotbal,1.finská liga,6,10,24,IFK_Mariehamn,Inter_Turku_FC,0,1,"2,60","3,48","2,54"
Fotbal,1.finská liga,6,10,24,HJK_Helsinki,Valkeakoski_Haka,0,1,"1,52","4,60","5,24"
Fotbal,1.finská liga,19,10,24,Oulu,IFK_Mariehamn,1,2,"3,02","3,53","2,21"
Fotbal,1.finská liga,19,10,24,Inter_Turku_FC,Gnistan_Helsinki,3,2,"2,03","3,83","3,22"
Fotbal,1.finská liga,19,10,24,Lahti_FC,Ekenas_IF,0,0,"1,40","4,94","6,75"
Fotbal,1.finská liga,19,10,24,Valkeakoski_Haka,Vaasa_VPS,2,3,"2,28","3,90","2,71"
Fotbal,1.finská liga,19,10,24,Ilves_Tampere,SJK_Seinajoki,4,0,"1,56","4,56","4,87"
Fotbal,1.finská liga,19,10,24,KuPS_Kuopio,HJK_Helsinki,1,0,"1,59","4,25","4,99"
Fotbal,1.finská liga,23,10,24,Valkeakoski_Haka,Inter_Turku_FC,2,1,"3,25","3,61","2,08"
Fotbal,1.finská liga,23,10,24,Vaasa_VPS,Gnistan_Helsinki,0,1,"2,00","3,58","3,50"
Fotbal,1.finská liga,26,10,24,Valkeakoski_Haka,Gnistan_Helsinki,4,3,"2,32","3,46","2,89"
Fotbal,1.finská liga,30,10,24,Valkeakoski_Haka,SJK_Seinajoki,1,2,"3,27","3,78","2,02"
Fotbal,1.finská liga,2,11,24,SJK_Seinajoki,Valkeakoski_Haka,2,2,"1,63","4,22","4,72"
Fotbal,1.finská liga,5,4,25,Ilves_Tampere,HJK_Helsinki,3,2,"2,48","3,26","2,80"
Fotbal,1.finská liga,5,4,25,Inter_Turku_FC,KuPS_Kuopio,1,1,"2,67","3,18","2,66"
Fotbal,1.finská liga,5,4,25,Kotka_TP,SJK_Seinajoki,0,1,"3,67","3,85","1,88"
Fotbal,1.finská liga,5,4,25,IFK_Mariehamn,Jaro_Jakobstad,0,2,"2,34","2,97","3,28"
Fotbal,1.finská liga,5,4,25,Vaasa_VPS,Oulu,4,3,"1,78","3,58","4,48"
Fotbal,1.finská liga,5,4,25,Valkeakoski_Haka,Gnistan_Helsinki,3,2,"3,05","3,38","2,26"
Fotbal,1.finská liga,11,4,25,Kotka_TP,Vaasa_VPS,,,"3,48","3,63","1,92"
Fotbal,1.finská liga,11,4,25,SJK_Seinajoki,HJK_Helsinki,,,"3,20","3,59","2,02"
Fotbal,1.finská liga,12,4,25,Ilves_Tampere,Jaro_Jakobstad,,,"1,23","5,59","10,40"
Fotbal,1.finská liga,12,4,25,Valkeakoski_Haka,IFK_Mariehamn,,,"1,70","3,62","4,57"
Fotbal,1.finská liga,12,4,25,Inter_Turku_FC,Gnistan_Helsinki,,,"1,74","3,67","4,23"
Fotbal,1.finská liga,12,4,25,KuPS_Kuopio,Oulu,,,"1,48","4,04","6,14"
