Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.gruzínská liga,14,9,24,Saburtalo_Tbilisi,Dynamo_Batumi,3,0,"2,29","3,20","2,79"
Fotbal,1.gruzínská liga,14,9,24,Telavi,Gagra_FC,0,1,"1,51","3,38","6,11"
Fotbal,1.gruzínská liga,14,9,24,Torpedo_Kutaisi,Kolkheti_1913_Poti,2,0,"1,56","3,65","4,93"
Fotbal,1.gruzínská liga,15,9,24,Samtredia_FC,Samgurali_Tskhaltubo,2,2,"4,59","3,53","1,63"
Fotbal,1.gruzínská liga,15,9,24,Dynamo_Tbilisi,Dila_Gori,1,1,"3,22","2,95","2,16"
Fotbal,1.gruzínská liga,18,9,24,Torpedo_Kutaisi,Saburtalo_Tbilisi,2,1,"2,53","3,15","2,53"
Fotbal,1.gruzínská liga,20,9,24,Dila_Gori,Samtredia_FC,3,2,"1,22","5,31","10,40"
Fotbal,1.gruzínská liga,22,9,24,Samgurali_Tskhaltubo,Telavi,2,2,"1,68","3,20","4,78"
Fotbal,1.gruzínská liga,22,9,24,Kolkheti_1913_Poti,Saburtalo_Tbilisi,2,6,"4,11","3,53","1,71"
Fotbal,1.gruzínská liga,22,9,24,Gagra_FC,Torpedo_Kutaisi,0,3,"4,79","3,29","1,65"
Fotbal,1.gruzínská liga,23,9,24,Dynamo_Batumi,Dynamo_Tbilisi,1,1,"2,20","2,95","3,16"
Fotbal,1.gruzínská liga,26,9,24,Samtredia_FC,Telavi,2,1,"3,38","2,92","2,11"
Fotbal,1.gruzínská liga,26,9,24,Saburtalo_Tbilisi,Gagra_FC,1,1,"1,34","4,46","6,92"
Fotbal,1.gruzínská liga,26,9,24,Torpedo_Kutaisi,Samgurali_Tskhaltubo,1,0,"1,74","3,66","3,76"
Fotbal,1.gruzínská liga,27,9,24,Dynamo_Tbilisi,Kolkheti_1913_Poti,3,2,"1,36","4,16","7,12"
Fotbal,1.gruzínská liga,27,9,24,Dila_Gori,Dynamo_Batumi,1,2,"1,70","3,12","4,76"
Fotbal,1.gruzínská liga,30,9,24,Samgurali_Tskhaltubo,Saburtalo_Tbilisi,3,4,"3,42","3,58","1,85"
Fotbal,1.gruzínská liga,30,9,24,Telavi,Torpedo_Kutaisi,1,2,"3,85","2,87","1,98"
Fotbal,1.gruzínská liga,1,10,24,Kolkheti_1913_Poti,Dila_Gori,2,2,"4,77","3,48","1,61"
Fotbal,1.gruzínská liga,1,10,24,Gagra_FC,Dynamo_Tbilisi,0,0,"3,84","3,09","1,89"
Fotbal,1.gruzínská liga,1,10,24,Dynamo_Batumi,Samtredia_FC,1,2,"1,41","4,08","6,19"
Fotbal,1.gruzínská liga,5,10,24,Samgurali_Tskhaltubo,Dynamo_Tbilisi,1,2,"2,69","3,10","2,43"
Fotbal,1.gruzínská liga,5,10,24,Telavi,Saburtalo_Tbilisi,1,2,"4,49","3,45","1,66"
Fotbal,1.gruzínská liga,5,10,24,Kolkheti_1913_Poti,Dynamo_Batumi,0,1,"2,99","3,13","2,19"
Fotbal,1.gruzínská liga,6,10,24,Samtredia_FC,Torpedo_Kutaisi,2,1,"3,94","3,63","1,71"
Fotbal,1.gruzínská liga,6,10,24,Gagra_FC,Dila_Gori,0,5,"5,67","3,85","1,46"
Fotbal,1.gruzínská liga,18,10,24,Dynamo_Batumi,Gagra_FC,3,2,"1,69","3,32","4,47"
Fotbal,1.gruzínská liga,19,10,24,Dynamo_Tbilisi,Telavi,5,1,"1,66","3,24","4,83"
Fotbal,1.gruzínská liga,19,10,24,Kolkheti_1913_Poti,Samtredia_FC,0,0,"1,83","3,47","3,59"
Fotbal,1.gruzínská liga,20,10,24,Saburtalo_Tbilisi,Torpedo_Kutaisi,3,0,"1,74","3,62","3,82"
Fotbal,1.gruzínská liga,20,10,24,Dila_Gori,Samgurali_Tskhaltubo,2,1,"1,48","3,96","5,31"
Fotbal,1.gruzínská liga,27,10,24,Samgurali_Tskhaltubo,Dynamo_Batumi,3,3,"2,55","3,02","2,61"
Fotbal,1.gruzínská liga,27,10,24,Samtredia_FC,Saburtalo_Tbilisi,0,1,"5,73","4,50","1,39"
Fotbal,1.gruzínská liga,27,10,24,Gagra_FC,Kolkheti_1913_Poti,3,1,"2,06","3,04","3,35"
Fotbal,1.gruzínská liga,28,10,24,Telavi,Dila_Gori,1,0,"5,00","3,39","1,60"
Fotbal,1.gruzínská liga,28,10,24,Torpedo_Kutaisi,Dynamo_Tbilisi,2,0,"2,21","3,14","2,95"
Fotbal,1.gruzínská liga,1,11,24,Kolkheti_1913_Poti,Samgurali_Tskhaltubo,1,1,"3,06","3,30","2,08"
Fotbal,1.gruzínská liga,1,11,24,Gagra_FC,Samtredia_FC,2,1,"2,07","3,12","3,23"
Fotbal,1.gruzínská liga,1,11,24,Dynamo_Tbilisi,Saburtalo_Tbilisi,0,2,"2,90","3,34","2,15"
Fotbal,1.gruzínská liga,2,11,24,Dila_Gori,Torpedo_Kutaisi,1,1,"1,93","3,19","3,56"
Fotbal,1.gruzínská liga,2,11,24,Dynamo_Batumi,Telavi,1,0,"1,81","3,15","4,10"
Fotbal,1.gruzínská liga,8,11,24,Saburtalo_Tbilisi,Dila_Gori,3,2,"1,83","3,37","3,70"
Fotbal,1.gruzínská liga,8,11,24,Torpedo_Kutaisi,Dynamo_Batumi,1,0,"1,69","3,43","4,32"
Fotbal,1.gruzínská liga,9,11,24,Samtredia_FC,Dynamo_Tbilisi,1,1,"3,89","3,48","1,76"
Fotbal,1.gruzínská liga,9,11,24,Telavi,Kolkheti_1913_Poti,3,0,"2,17","2,83","3,38"
Fotbal,1.gruzínská liga,10,11,24,Samgurali_Tskhaltubo,Gagra_FC,4,2,"1,61","3,64","4,56"
Fotbal,1.gruzínská liga,22,11,24,Gagra_FC,Telavi,2,0,"2,39","2,80","3,00"
Fotbal,1.gruzínská liga,23,11,24,Kolkheti_1913_Poti,Torpedo_Kutaisi,3,1,"4,46","3,57","1,64"
Fotbal,1.gruzínská liga,23,11,24,Samgurali_Tskhaltubo,Samtredia_FC,1,0,"1,49","4,04","5,09"
Fotbal,1.gruzínská liga,23,11,24,Dila_Gori,Dynamo_Tbilisi,1,0,"1,66","3,54","4,37"
Fotbal,1.gruzínská liga,23,11,24,Dynamo_Batumi,Saburtalo_Tbilisi,0,1,"4,33","3,82","1,61"
Fotbal,1.gruzínská liga,27,11,24,Dynamo_Tbilisi,Dynamo_Batumi,1,2,"1,86","3,24","3,75"
Fotbal,1.gruzínská liga,27,11,24,Samtredia_FC,Dila_Gori,0,1,"4,34","3,62","1,65"
Fotbal,1.gruzínská liga,27,11,24,Telavi,Samgurali_Tskhaltubo,0,0,"2,58","2,95","2,63"
Fotbal,1.gruzínská liga,27,11,24,Saburtalo_Tbilisi,Kolkheti_1913_Poti,1,1,"1,21","5,82","10,10"
Fotbal,1.gruzínská liga,27,11,24,Torpedo_Kutaisi,Gagra_FC,2,0,"1,44","4,00","5,68"
Fotbal,1.gruzínská liga,1,12,24,Kolkheti_1913_Poti,Dynamo_Tbilisi,3,0,"2,43","3,24","2,58"
Fotbal,1.gruzínská liga,1,12,24,Samgurali_Tskhaltubo,Torpedo_Kutaisi,2,1,"3,97","3,53","1,73"
Fotbal,1.gruzínská liga,1,12,24,Gagra_FC,Saburtalo_Tbilisi,1,2,"3,95","3,90","1,66"
Fotbal,1.gruzínská liga,2,12,24,Telavi,Samtredia_FC,5,2,"1,69","3,32","4,47"
Fotbal,1.gruzínská liga,8,12,24,Samtredia_FC,Dynamo_Batumi,0,1,"4,05","3,24","1,79"
Fotbal,1.gruzínská liga,8,12,24,Dila_Gori,Kolkheti_1913_Poti,1,2,"1,55","3,63","5,06"
Fotbal,1.gruzínská liga,8,12,24,Dynamo_Tbilisi,Gagra_FC,0,1,"2,11","3,05","3,22"
Fotbal,1.gruzínská liga,8,12,24,Torpedo_Kutaisi,Telavi,1,0,"1,33","4,31","7,59"
Fotbal,1.gruzínská liga,28,2,25,Iberia_Tbilisi,Telavi,2,0,"1,42","3,98","6,17"
Fotbal,1.gruzínská liga,1,3,25,Gagra_FC,Torpedo_Kutaisi,1,2,"3,69","3,15","1,90"
Fotbal,1.gruzínská liga,5,3,25,Telavi,Kolkheti_1913_Poti,1,0,"3,02","2,77","2,40"
Fotbal,1.gruzínská liga,5,3,25,Iberia_Tbilisi,Torpedo_Kutaisi,2,0,"2,25","3,03","2,98"
Fotbal,1.gruzínská liga,6,3,25,Gagra_FC,Dila_Gori,0,0,"3,97","3,14","1,84"
Fotbal,1.gruzínská liga,6,3,25,Dynamo_Tbilisi,Samgurali_Tskhaltubo,2,1,"2,44","2,68","3,08"
Fotbal,1.gruzínská liga,6,3,25,Gareji_Sagarejo,Dynamo_Batumi,0,0,"2,19","2,99","3,13"
Fotbal,1.gruzínská liga,9,3,25,Torpedo_Kutaisi,Telavi,1,2,"1,31","4,39","8,40"
Fotbal,1.gruzínská liga,10,3,25,Kolkheti_1913_Poti,Dynamo_Tbilisi,0,0,"2,63","2,77","2,75"
Fotbal,1.gruzínská liga,10,3,25,Dila_Gori,Iberia_Tbilisi,0,1,"2,60","2,59","2,96"
Fotbal,1.gruzínská liga,10,3,25,Dynamo_Batumi,Gagra_FC,2,1,"1,92","2,95","3,97"
Fotbal,1.gruzínská liga,11,3,25,Samgurali_Tskhaltubo,Gareji_Sagarejo,3,1,"1,75","3,33","4,13"
Fotbal,1.gruzínská liga,15,3,25,Iberia_Tbilisi,Dynamo_Batumi,1,1,"1,89","3,03","3,93"
Fotbal,1.gruzínská liga,15,3,25,Telavi,Dynamo_Tbilisi,1,1,"3,63","2,85","2,06"
Fotbal,1.gruzínská liga,15,3,25,Torpedo_Kutaisi,Dila_Gori,1,2,"1,93","2,91","4,00"
Fotbal,1.gruzínská liga,16,3,25,Kolkheti_1913_Poti,Gareji_Sagarejo,0,1,"1,91","3,32","3,48"
Fotbal,1.gruzínská liga,16,3,25,Gagra_FC,Samgurali_Tskhaltubo,0,2,"3,38","3,04","2,05"
Fotbal,1.gruzínská liga,28,3,25,Dynamo_Tbilisi,Gareji_Sagarejo,1,0,"1,61","3,45","4,81"
Fotbal,1.gruzínská liga,28,3,25,Kolkheti_1913_Poti,Gagra_FC,0,2,"2,15","2,85","3,39"
Fotbal,1.gruzínská liga,28,3,25,Samgurali_Tskhaltubo,Iberia_Tbilisi,0,0,"2,96","3,02","2,27"
Fotbal,1.gruzínská liga,28,3,25,Dila_Gori,Telavi,6,1,"1,43","3,69","6,70"
Fotbal,1.gruzínská liga,28,3,25,Dynamo_Batumi,Torpedo_Kutaisi,1,0,"3,41","3,03","2,04"
Fotbal,1.gruzínská liga,1,4,25,Dynamo_Batumi,Dynamo_Tbilisi,1,0,"2,61","2,75","2,80"
Fotbal,1.gruzínská liga,1,4,25,Samgurali_Tskhaltubo,Kolkheti_1913_Poti,0,1,"1,76","3,27","4,18"
Fotbal,1.gruzínská liga,1,4,25,Dila_Gori,Gareji_Sagarejo,2,1,"1,40","4,18","6,16"
Fotbal,1.gruzínská liga,5,4,25,Gagra_FC,Dynamo_Tbilisi,0,4,"3,12","2,78","2,33"
Fotbal,1.gruzínská liga,5,4,25,Dila_Gori,Dynamo_Batumi,1,1,"1,46","3,73","6,04"
Fotbal,1.gruzínská liga,5,4,25,Torpedo_Kutaisi,Samgurali_Tskhaltubo,1,1,"1,68","3,28","4,59"
Fotbal,1.gruzínská liga,5,4,25,Iberia_Tbilisi,Kolkheti_1913_Poti,4,0,"1,43","3,84","6,40"
Fotbal,1.gruzínská liga,6,4,25,Telavi,Gareji_Sagarejo,1,0,"2,31","2,99","2,93"
