Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.guatemalská liga,2,9,24,Comunicaciones,Huehueteco_Xinabajul,1,2,"1,42","3,78","6,85"
Fotbal,1.guatemalská liga,7,9,24,Marquense_CD,Cobán_Imperial_CSYD,0,1,"1,97","2,95","3,76"
Fotbal,1.guatemalská liga,8,9,24,Xelaju_MC,Huehueteco_Xinabajul,2,0,"1,67","3,02","5,29"
Fotbal,1.guatemalská liga,8,9,24,Malacateco_Deportivo,Guastatoya,0,0,"1,87","2,82","4,42"
Fotbal,1.guatemalská liga,8,9,24,Achuapa,Zacapa_Deportivo,2,2,"1,48","3,66","5,79"
Fotbal,1.guatemalská liga,11,9,24,Mixco,Xelaju_MC,1,0,"2,04","2,60","4,22"
Fotbal,1.guatemalská liga,12,9,24,Comunicaciones,Achuapa,1,0,"1,31","4,50","7,91"
Fotbal,1.guatemalská liga,15,9,24,Antigua_GFC,Malacateco_Deportivo,3,1,"1,46","3,79","5,89"
Fotbal,1.guatemalská liga,15,9,24,Zacapa_Deportivo,Marquense_CD,0,0,"1,66","3,36","4,64"
Fotbal,1.guatemalská liga,15,9,24,Guastatoya,Xelaju_MC,1,1,"1,92","2,66","4,56"
Fotbal,1.guatemalská liga,16,9,24,Huehueteco_Xinabajul,Mixco,3,3,"1,81","2,96","4,46"
Fotbal,1.guatemalská liga,18,9,24,Municipal,Antigua_GFC,2,1,"1,77","3,07","4,43"
Fotbal,1.guatemalská liga,18,9,24,Mixco,Comunicaciones,2,1,"2,52","2,61","3,05"
Fotbal,1.guatemalská liga,21,9,24,Malacateco_Deportivo,Cobán_Imperial_CSYD,1,0,"2,06","2,93","3,51"
Fotbal,1.guatemalská liga,21,9,24,Mixco,Guastatoya,1,1,"1,92","2,72","4,45"
Fotbal,1.guatemalská liga,22,9,24,Xelaju_MC,Antigua_GFC,4,1,"1,52","3,36","6,03"
Fotbal,1.guatemalská liga,22,9,24,Marquense_CD,Comunicaciones,2,1,"2,69","2,66","2,80"
Fotbal,1.guatemalská liga,22,9,24,Municipal,Zacapa_Deportivo,5,0,"1,30","4,37","8,72"
Fotbal,1.guatemalská liga,22,9,24,Achuapa,Huehueteco_Xinabajul,,,"1,82","3,14","4,09"
Fotbal,1.guatemalská liga,23,9,24,Achuapa,Huehueteco_Xinabajul,1,1,"1,64","3,46","4,56"
Fotbal,1.guatemalská liga,28,9,24,Cobán_Imperial_CSYD,Xelaju_MC,0,0,"2,03","2,75","3,91"
Fotbal,1.guatemalská liga,29,9,24,Zacapa_Deportivo,Malacateco_Deportivo,0,1,"1,95","2,91","3,93"
Fotbal,1.guatemalská liga,29,9,24,Guastatoya,Achuapa,1,1,"1,62","3,20","5,26"
Fotbal,1.guatemalská liga,30,9,24,Huehueteco_Xinabajul,Marquense_CD,3,0,"1,67","3,29","4,68"
Fotbal,1.guatemalská liga,30,9,24,Comunicaciones,Municipal,1,2,"2,50","2,64","3,04"
Fotbal,1.guatemalská liga,3,10,24,Municipal,Huehueteco_Xinabajul,4,3,"1,29","4,52","8,55"
Fotbal,1.guatemalská liga,6,10,24,Xelaju_MC,Zacapa_Deportivo,4,0,"1,29","4,33","9,63"
Fotbal,1.guatemalská liga,6,10,24,Marquense_CD,Guastatoya,1,1,"2,09","2,77","3,70"
Fotbal,1.guatemalská liga,12,10,24,Cobán_Imperial_CSYD,Achuapa,3,1,"1,55","3,41","5,49"
Fotbal,1.guatemalská liga,13,10,24,Antigua_GFC,Marquense_CD,4,2,"1,29","4,64","8,21"
Fotbal,1.guatemalská liga,14,10,24,Huehueteco_Xinabajul,Malacateco_Deportivo,3,1,"1,63","3,40","4,75"
Fotbal,1.guatemalská liga,14,10,24,Comunicaciones,Xelaju_MC,0,4,"1,71","2,97","5,03"
