Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.honduraská liga,2,9,24,Motagua_CD,Marathón_San_Pedro_Sula,0,1,"1,79","3,43","3,82"
Fotbal,1.honduraská liga,2,9,24,Real_Espana,Olimpia_Tegucigalpa_CD,2,0,"3,65","2,98","1,99"
Fotbal,1.honduraská liga,14,9,24,Olimpia_Tegucigalpa_CD,UPNFM,3,1,"1,22","5,42","10,50"
Fotbal,1.honduraská liga,14,9,24,Marathón_San_Pedro_Sula,Real_Sociedad,1,1,"1,62","3,44","4,74"
Fotbal,1.honduraská liga,15,9,24,Deportivo_Genesis,Motagua_CD,0,3,"3,45","3,13","1,99"
Fotbal,1.honduraská liga,15,9,24,Juticalpa,Real_Espana,0,1,"3,11","2,91","2,25"
Fotbal,1.honduraská liga,15,9,24,Victoria_Ceiba,Olancho,3,2,"2,75","2,78","2,62"
Fotbal,1.honduraská liga,18,9,24,Real_Sociedad,UPNFM,0,0,"1,89","3,13","3,78"
Fotbal,1.honduraská liga,19,9,24,Motagua_CD,Juticalpa,3,0,"1,26","4,85","9,64"
Fotbal,1.honduraská liga,19,9,24,Deportivo_Genesis,Marathón_San_Pedro_Sula,1,2,"2,76","2,78","2,62"
Fotbal,1.honduraská liga,20,9,24,Olancho,Olimpia_Tegucigalpa_CD,1,2,"3,65","2,80","2,08"
Fotbal,1.honduraská liga,20,9,24,Real_Espana,Victoria_Ceiba,1,1,"1,51","3,52","5,82"
Fotbal,1.honduraská liga,22,9,24,Juticalpa,Deportivo_Genesis,0,0,"2,43","2,81","2,94"
Fotbal,1.honduraská liga,22,9,24,Victoria_Ceiba,Motagua_CD,1,3,"3,51","3,17","1,95"
Fotbal,1.honduraská liga,23,9,24,UPNFM,Real_Espana,1,0,"2,94","2,75","2,48"
Fotbal,1.honduraská liga,23,9,24,Marathón_San_Pedro_Sula,Olancho,2,0,"1,95","2,95","3,81"
Fotbal,1.honduraská liga,24,9,24,Olimpia_Tegucigalpa_CD,Real_Sociedad,5,0,"1,44","3,95","5,85"
Fotbal,1.honduraská liga,29,9,24,UPNFM,Motagua_CD,0,2,"3,47","3,02","2,03"
Fotbal,1.honduraská liga,29,9,24,Real_Espana,Real_Sociedad,3,2,"1,54","3,42","5,58"
Fotbal,1.honduraská liga,29,9,24,Victoria_Ceiba,Marathón_San_Pedro_Sula,3,0,"2,66","3,05","2,48"
Fotbal,1.honduraská liga,30,9,24,Olimpia_Tegucigalpa_CD,Deportivo_Genesis,4,0,"1,18","5,98","13,60"
Fotbal,1.honduraská liga,30,9,24,Juticalpa,Olancho,0,1,"3,36","2,70","2,26"
Fotbal,1.honduraská liga,5,10,24,Deportivo_Genesis,Victoria_Ceiba,2,1,"2,36","2,89","2,95"
Fotbal,1.honduraská liga,5,10,24,Marathón_San_Pedro_Sula,Olimpia_Tegucigalpa_CD,,,"2,87","2,82","2,48"
Fotbal,1.honduraská liga,6,10,24,Olancho,UPNFM,4,0,"1,66","3,25","4,81"
Fotbal,1.honduraská liga,6,10,24,Real_Sociedad,Juticalpa,1,1,"1,81","3,10","4,23"
Fotbal,1.honduraská liga,7,10,24,Motagua_CD,Real_Espana,0,4,"1,60","3,55","4,73"
Fotbal,1.honduraská liga,7,10,24,Marathón_San_Pedro_Sula,Olimpia_Tegucigalpa_CD,0,0,"2,95","3,03","2,27"
Fotbal,1.honduraská liga,20,10,24,Olimpia_Tegucigalpa_CD,Victoria_Ceiba,4,3,"1,30","4,59","8,20"
Fotbal,1.honduraská liga,20,10,24,Real_Sociedad,Motagua_CD,1,4,"4,01","3,47","1,74"
Fotbal,1.honduraská liga,20,10,24,Juticalpa,Marathón_San_Pedro_Sula,1,1,"3,49","3,09","1,99"
Fotbal,1.honduraská liga,21,10,24,UPNFM,Deportivo_Genesis,1,4,"2,02","3,06","3,44"
Fotbal,1.honduraská liga,21,10,24,Real_Espana,Olancho,1,1,"1,92","2,85","4,17"
Fotbal,1.honduraská liga,26,10,24,Marathón_San_Pedro_Sula,UPNFM,1,2,"1,31","4,53","7,95"
