Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.indonéská liga,11,9,24,Bali_United_Pusam,Arema_Malang_ISL,0,0,"1,78","3,63","4,06"
Fotbal,1.indonéská liga,11,9,24,Dewa_United_FC,Semarang_PSIS,2,1,"2,07","3,39","3,25"
Fotbal,1.indonéská liga,11,9,24,Makassar_PSM,Persib_Maung_Bandung,0,0,"2,05","3,53","3,17"
Fotbal,1.indonéská liga,12,9,24,Sleman_PSS,Pusamania_Borneo,1,1,"4,22","3,24","1,86"
Fotbal,1.indonéská liga,12,9,24,PSBS_Biak_Numfor,Persija_Jakarta_ISL,3,1,"3,83","3,50","1,86"
Fotbal,1.indonéská liga,13,9,24,Malut_United,Semen_Padang,2,1,"2,05","2,79","4,23"
Fotbal,1.indonéská liga,13,9,24,Persis_Solo,Madura_United,4,0,"1,73","3,39","4,70"
Fotbal,1.indonéská liga,14,9,24,Barito_Putra,Persik_Kediri,2,2,"2,68","3,38","2,41"
Fotbal,1.indonéská liga,14,9,24,Persita_Tangerang,Persebaya_Surabaya,0,1,"2,95","3,05","2,39"
Fotbal,1.indonéská liga,15,9,24,Makassar_PSM,Arema_Malang_ISL,0,1,"2,22","3,17","3,11"
Fotbal,1.indonéská liga,15,9,24,Persib_Maung_Bandung,Semarang_PSIS,2,1,"1,48","3,98","6,34"
Fotbal,1.indonéská liga,16,9,24,Bali_United_Pusam,Sleman_PSS,0,0,"1,49","4,05","5,99"
Fotbal,1.indonéská liga,16,9,24,Persija_Jakarta_ISL,Dewa_United_FC,0,0,"1,88","3,66","3,57"
Fotbal,1.indonéská liga,17,9,24,PSBS_Biak_Numfor,Madura_United,2,1,"1,91","3,35","3,79"
Fotbal,1.indonéská liga,17,9,24,Pusamania_Borneo,Malut_United,1,0,"1,48","3,92","6,52"
Fotbal,1.indonéská liga,18,9,24,Persik_Kediri,Persita_Tangerang,1,0,"1,91","3,08","4,27"
Fotbal,1.indonéská liga,18,9,24,Semen_Padang,Barito_Putra,1,2,"2,32","3,12","3,00"
Fotbal,1.indonéská liga,18,9,24,Persebaya_Surabaya,Persis_Solo,2,1,"2,07","3,07","3,61"
Fotbal,1.indonéská liga,20,9,24,Sleman_PSS,Arema_Malang_ISL,3,1,"3,56","3,11","2,07"
Fotbal,1.indonéská liga,20,9,24,Makassar_PSM,Semarang_PSIS,0,0,"1,64","3,57","5,12"
Fotbal,1.indonéská liga,21,9,24,Dewa_United_FC,Madura_United,3,3,"1,63","3,74","4,86"
Fotbal,1.indonéská liga,21,9,24,Malut_United,Bali_United_Pusam,1,4,"2,52","3,00","2,83"
