Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.irská liga,5,9,24,Dundalk_FC,St._Patrick's_Athletic,1,2,"3,77","3,25","1,95"
Fotbal,1.irská liga,6,9,24,Bohemians_Dublin,Shelbourne_United,1,1,"2,47","2,90","2,99"
Fotbal,1.irská liga,13,9,24,Waterford,Dundalk_FC,2,1,"1,92","3,38","3,72"
Fotbal,1.irská liga,13,9,24,Shamrock_Rovers,Sligo_Rovers,4,0,"1,27","5,30","9,18"
Fotbal,1.irská liga,16,9,24,Galway_United,Shamrock_Rovers,1,2,"2,99","2,94","2,44"
Fotbal,1.irská liga,20,9,24,Bohemians_Dublin,Drogheda_United,0,1,"1,82","3,56","3,93"
Fotbal,1.irská liga,20,9,24,Derry_City,Shamrock_Rovers,1,1,"2,23","3,10","3,17"
Fotbal,1.irská liga,20,9,24,Galway_United,Shelbourne_United,1,0,"2,13","2,91","3,67"
Fotbal,1.irská liga,20,9,24,St._Patrick's_Athletic,Waterford,3,0,"1,56","3,95","5,23"
Fotbal,1.irská liga,21,9,24,Sligo_Rovers,Dundalk_FC,2,1,"2,04","3,40","3,32"
Fotbal,1.irská liga,23,9,24,Shamrock_Rovers,Bohemians_Dublin,1,0,"1,47","4,19","6,09"
Fotbal,1.irská liga,23,9,24,Drogheda_United,Galway_United,0,0,"2,96","3,23","2,28"
Fotbal,1.irská liga,27,9,24,Drogheda_United,Derry_City,2,1,"3,72","3,28","1,96"
Fotbal,1.irská liga,27,9,24,Dundalk_FC,Bohemians_Dublin,0,2,"3,07","3,30","2,19"
Fotbal,1.irská liga,27,9,24,Shelbourne_United,Sligo_Rovers,0,0,"1,69","3,50","4,80"
Fotbal,1.irská liga,27,9,24,Waterford,Galway_United,1,2,"3,39","3,05","2,16"
Fotbal,1.irská liga,27,9,24,Shamrock_Rovers,St._Patrick's_Athletic,0,3,"1,62","3,76","4,95"
Fotbal,1.irská liga,30,9,24,Shelbourne_United,St._Patrick's_Athletic,2,3,"2,95","2,95","2,45"
Fotbal,1.irská liga,4,10,24,Galway_United,Dundalk_FC,1,1,"1,32","4,65","8,88"
Fotbal,1.irská liga,6,10,24,Shamrock_Rovers,Shelbourne_United,2,0,"1,49","3,92","6,35"
Fotbal,1.irská liga,4,10,24,Waterford,Drogheda_United,,,"2,34","3,22","2,88"
Fotbal,1.irská liga,11,10,24,Derry_City,Bohemians_Dublin,1,1,"1,61","3,69","5,13"
Fotbal,1.irská liga,4,10,24,Bohemians_Dublin,St._Patrick's_Athletic,,,"2,68","3,22","2,50"
Fotbal,1.irská liga,14,10,24,Derry_City,Sligo_Rovers,1,1,"1,33","4,80","8,03"
Fotbal,1.irská liga,11,10,24,Waterford,Drogheda_United,0,0,"2,49","3,28","2,64"
Fotbal,1.irská liga,14,10,24,Bohemians_Dublin,St._Patrick's_Athletic,1,3,"2,75","3,31","2,39"
Fotbal,1.irská liga,18,10,24,Drogheda_United,Shamrock_Rovers,0,1,"4,45","3,70","1,70"
Fotbal,1.irská liga,18,10,24,Dundalk_FC,Derry_City,0,2,"4,80","3,76","1,64"
Fotbal,1.irská liga,18,10,24,Shelbourne_United,Waterford,3,1,"1,65","3,55","5,03"
Fotbal,1.irská liga,18,10,24,St._Patrick's_Athletic,Galway_United,2,1,"1,97","3,28","3,66"
Fotbal,1.irská liga,19,10,24,Sligo_Rovers,Bohemians_Dublin,0,2,"2,75","3,22","2,44"
Fotbal,1.irská liga,25,10,24,Galway_United,Sligo_Rovers,2,2,"1,51","3,89","5,93"
Fotbal,1.irská liga,25,10,24,Shelbourne_United,Drogheda_United,2,1,"1,45","3,99","6,96"
Fotbal,1.irská liga,25,10,24,St._Patrick's_Athletic,Derry_City,1,0,"2,32","3,13","2,98"
Fotbal,1.irská liga,25,10,24,Waterford,Bohemians_Dublin,1,1,"2,68","3,21","2,50"
Fotbal,1.irská liga,27,10,24,Dundalk_FC,Shamrock_Rovers,0,1,"10,50","5,63","1,23"
Fotbal,1.irská liga,1,11,24,Bohemians_Dublin,Galway_United,1,1,"2,33","3,10","3,00"
Fotbal,1.irská liga,1,11,24,Derry_City,Shelbourne_United,0,1,"2,16","3,05","3,40"
Fotbal,1.irská liga,1,11,24,Drogheda_United,Dundalk_FC,0,0,"1,85","3,55","3,79"
Fotbal,1.irská liga,1,11,24,Shamrock_Rovers,Waterford,2,1,"1,16","6,56","13,80"
Fotbal,1.irská liga,1,11,24,Sligo_Rovers,St._Patrick's_Athletic,0,2,"4,83","4,12","1,57"
Fotbal,1.irská liga,14,2,25,Cork_City,Galway_United,2,2,"3,77","3,01","2,05"
Fotbal,1.irská liga,14,2,25,Shelbourne_United,Derry_City,3,1,"2,94","2,71","2,66"
Fotbal,1.irská liga,14,2,25,St._Patrick's_Athletic,Drogheda_United,0,0,"1,47","4,04","6,37"
Fotbal,1.irská liga,15,2,25,Sligo_Rovers,Waterford,2,3,"2,47","3,08","2,81"
Fotbal,1.irská liga,16,2,25,Bohemians_Dublin,Shamrock_Rovers,1,0,"3,13","3,14","2,23"
Fotbal,1.irská liga,21,2,25,Derry_City,Bohemians_Dublin,1,0,"1,94","3,18","3,92"
Fotbal,1.irská liga,21,2,25,Drogheda_United,Sligo_Rovers,3,0,"2,29","3,01","3,16"
Fotbal,1.irská liga,21,2,25,Galway_United,St._Patrick's_Athletic,2,1,"2,66","2,94","2,72"
Fotbal,1.irská liga,21,2,25,Waterford,Shelbourne_United,0,1,"3,79","3,00","2,05"
Fotbal,1.irská liga,23,2,25,Shamrock_Rovers,Cork_City,,,"1,55","3,83","5,61"
Fotbal,1.irská liga,28,2,25,Cork_City,Bohemians_Dublin,2,1,"2,85","3,15","2,40"
Fotbal,1.irská liga,28,2,25,Derry_City,Waterford,1,2,"1,45","3,96","6,93"
Fotbal,1.irská liga,28,2,25,Drogheda_United,Galway_United,1,1,"3,47","2,89","2,21"
Fotbal,1.irská liga,28,2,25,Shelbourne_United,Shamrock_Rovers,1,1,"2,85","2,74","2,71"
Fotbal,1.irská liga,28,2,25,St._Patrick's_Athletic,Sligo_Rovers,4,3,"1,39","4,45","7,19"
Fotbal,1.irská liga,3,3,25,Bohemians_Dublin,Drogheda_United,0,1,"1,74","3,28","4,86"
Fotbal,1.irská liga,3,3,25,Galway_United,Shelbourne_United,1,1,"2,28","2,79","3,46"
Fotbal,1.irská liga,3,3,25,Sligo_Rovers,Shamrock_Rovers,2,1,"4,31","3,65","1,73"
Fotbal,1.irská liga,3,3,25,St._Patrick's_Athletic,Derry_City,2,0,"2,18","3,16","3,22"
Fotbal,1.irská liga,3,3,25,Waterford,Cork_City,2,1,"2,20","3,12","3,22"
Fotbal,1.irská liga,7,3,25,Cork_City,Sligo_Rovers,1,1,"2,39","3,30","2,75"
Fotbal,1.irská liga,7,3,25,Derry_City,Galway_United,1,1,"1,87","3,12","4,35"
Fotbal,1.irská liga,7,3,25,Shelbourne_United,Drogheda_United,0,1,"1,72","3,29","5,00"
Fotbal,1.irská liga,7,3,25,Waterford,Bohemians_Dublin,0,3,"3,14","3,12","2,24"
Fotbal,1.irská liga,7,3,25,Shamrock_Rovers,St._Patrick's_Athletic,1,0,"2,29","3,05","3,11"
Fotbal,1.irská liga,14,3,25,Drogheda_United,Shamrock_Rovers,1,2,"4,23","3,18","1,88"
Fotbal,1.irská liga,14,3,25,Galway_United,Waterford,1,0,"1,89","3,16","4,19"
Fotbal,1.irská liga,14,3,25,Shelbourne_United,Cork_City,1,1,"1,60","3,50","5,64"
Fotbal,1.irská liga,14,3,25,St._Patrick's_Athletic,Bohemians_Dublin,3,0,"1,72","3,45","4,67"
Fotbal,1.irská liga,15,3,25,Sligo_Rovers,Derry_City,0,1,"4,21","3,37","1,82"
Fotbal,1.irská liga,28,3,25,Bohemians_Dublin,Galway_United,0,2,"2,19","2,98","3,41"
Fotbal,1.irská liga,28,3,25,Cork_City,Drogheda_United,1,1,"2,64","2,98","2,71"
Fotbal,1.irská liga,28,3,25,Waterford,St._Patrick's_Athletic,1,2,"4,40","3,52","1,75"
Fotbal,1.irská liga,28,3,25,Shamrock_Rovers,Derry_City,0,0,"2,08","2,88","3,91"
Fotbal,1.irská liga,29,3,25,Sligo_Rovers,Shelbourne_United,,,"3,55","3,08","2,09"
Fotbal,1.irská liga,28,3,25,Sligo_Rovers,Shelbourne_United,1,2,"3,61","3,04","2,08"
Fotbal,1.irská liga,4,4,25,Bohemians_Dublin,Sligo_Rovers,4,2,"1,42","4,28","6,95"
Fotbal,1.irská liga,4,4,25,Derry_City,Cork_City,2,1,"1,44","4,07","6,97"
Fotbal,1.irská liga,4,4,25,Drogheda_United,Waterford,2,0,"1,99","3,12","3,82"
Fotbal,1.irská liga,4,4,25,Galway_United,Shamrock_Rovers,0,1,"3,26","2,86","2,33"
Fotbal,1.irská liga,4,4,25,St._Patrick's_Athletic,Shelbourne_United,0,0,"1,75","3,27","4,78"
Fotbal,1.irská liga,11,4,25,Cork_City,St._Patrick's_Athletic,,,"4,95","3,92","1,59"
Fotbal,1.irská liga,11,4,25,Derry_City,Drogheda_United,,,"1,62","3,50","5,43"
Fotbal,1.irská liga,11,4,25,Shelbourne_United,Bohemians_Dublin,,,"2,20","3,16","3,17"
Fotbal,1.irská liga,11,4,25,Shamrock_Rovers,Waterford,,,"1,44","3,99","7,11"
Fotbal,1.irská liga,12,4,25,Sligo_Rovers,Galway_United,,,"3,25","3,33","2,10"
