Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.islandská liga,13,9,24,Reykjavík_KR,Vikingur_Reykjavik,0,3,"3,65","4,16","1,76"
Fotbal,1.islandská liga,15,9,24,Akranes_IA,Akureyri_KA,1,0,"2,45","3,78","2,43"
Fotbal,1.islandská liga,15,9,24,Fram_Reykjaík,Hafnarfjordur_FH,3,3,"3,02","3,67","2,08"
Fotbal,1.islandská liga,15,9,24,Stjarnan_Gardabae,Vestri,1,0,"1,46","4,57","5,51"
Fotbal,1.islandská liga,15,9,24,Breidablik,HK_Kopavogur,5,3,"1,16","7,10","12,10"
Fotbal,1.islandská liga,16,9,24,Fylkir,Vikingur_Reykjavik,0,6,"6,72","5,09","1,35"
Fotbal,1.islandská liga,16,9,24,Valur_Reykjavík,Reykjavík_KR,4,1,"1,61","4,57","4,11"
Fotbal,1.islandská liga,22,9,24,Reykjavík_KR,Vestri,2,2,"1,67","4,09","4,18"
Fotbal,1.islandská liga,22,9,24,Fram_Reykjaík,Fylkir,2,0,"1,67","4,03","4,22"
Fotbal,1.islandská liga,23,9,24,Breidablik,Akranes_IA,2,0,"1,38","4,91","6,27"
Fotbal,1.islandská liga,23,9,24,Valur_Reykjavík,Stjarnan_Gardabae,2,2,"1,51","4,60","4,83"
Fotbal,1.islandská liga,25,9,24,Akureyri_KA,HK_Kopavogur,3,3,"1,37","4,94","6,44"
Fotbal,1.islandská liga,25,9,24,Vikingur_Reykjavik,Hafnarfjordur_FH,3,0,"1,39","4,62","6,71"
Fotbal,1.islandská liga,29,9,24,Hafnarfjordur_FH,Breidablik,0,1,"3,01","3,94","2,01"
Fotbal,1.islandská liga,29,9,24,Reykjavík_KR,Fram_Reykjaík,7,1,"1,85","4,01","3,41"
Fotbal,1.islandská liga,29,9,24,Vestri,HK_Kopavogur,2,1,"1,91","3,75","3,40"
Fotbal,1.islandská liga,29,9,24,Fylkir,Akureyri_KA,1,3,"2,88","3,80","2,11"
Fotbal,1.islandská liga,29,9,24,Valur_Reykjavík,Vikingur_Reykjavik,2,3,"3,21","4,00","1,91"
Fotbal,1.islandská liga,30,9,24,Stjarnan_Gardabae,Akranes_IA,3,0,"1,63","4,27","4,23"
Fotbal,1.islandská liga,5,10,24,Fram_Reykjaík,Vestri,2,4,"2,02","3,62","3,18"
Fotbal,1.islandská liga,6,10,24,Akranes_IA,Hafnarfjordur_FH,4,1,"2,50","3,56","2,47"
Fotbal,1.islandská liga,6,10,24,Akureyri_KA,Reykjavík_KR,0,4,"2,25","3,92","2,59"
Fotbal,1.islandská liga,6,10,24,HK_Kopavogur,Fylkir,2,2,"2,23","3,85","2,67"
Fotbal,1.islandská liga,6,10,24,Vikingur_Reykjavik,Stjarnan_Gardabae,2,2,"1,37","4,87","6,71"
Fotbal,1.islandská liga,6,10,24,Breidablik,Valur_Reykjavík,2,2,"1,58","4,43","4,41"
Fotbal,1.islandská liga,19,10,24,Akranes_IA,Vikingur_Reykjavik,3,4,"5,80","4,71","1,42"
Fotbal,1.islandská liga,19,10,24,Hafnarfjordur_FH,Valur_Reykjavík,1,1,"2,99","4,10","1,98"
Fotbal,1.islandská liga,19,10,24,Akureyri_KA,Vestri,2,1,"1,76","4,04","3,74"
Fotbal,1.islandská liga,19,10,24,Breidablik,Stjarnan_Gardabae,2,1,"1,48","4,56","5,27"
Fotbal,1.islandská liga,20,10,24,HK_Kopavogur,Fram_Reykjaík,2,1,"2,08","3,96","2,86"
Fotbal,1.islandská liga,20,10,24,Fylkir,Reykjavík_KR,0,1,"4,07","4,57","1,61"
Fotbal,1.islandská liga,26,10,24,Fram_Reykjaík,Akureyri_KA,1,4,"2,59","3,83","2,29"
Fotbal,1.islandská liga,26,10,24,Vestri,Fylkir,1,3,"1,22","5,90","9,91"
Fotbal,1.islandská liga,26,10,24,Stjarnan_Gardabae,Hafnarfjordur_FH,3,2,"1,61","4,17","4,46"
Fotbal,1.islandská liga,26,10,24,Valur_Reykjavík,Akranes_IA,6,1,"1,42","4,84","5,58"
Fotbal,1.islandská liga,27,10,24,Vikingur_Reykjavik,Breidablik,0,3,"1,97","3,88","3,15"
Fotbal,1.islandská liga,26,10,24,Reykjavík_KR,HK_Kopavogur,7,0,"1,91","4,16","3,14"
Fotbal,1.islandská liga,5,4,25,Breidablik,Afturelding,2,0,"1,22","5,97","10,10"
Fotbal,1.islandská liga,6,4,25,Valur_Reykjavík,Vestri,1,1,"1,30","5,30","7,75"
Fotbal,1.islandská liga,6,4,25,Akureyri_KA,Reykjavík_KR,2,2,"2,61","4,02","2,21"
Fotbal,1.islandská liga,6,4,25,Fram_Reykjaík,Akranes_IA,0,1,"2,35","3,63","2,61"
Fotbal,1.islandská liga,7,4,25,Vikingur_Reykjavik,Vestmannaeyar_IBV,2,0,"1,18","6,70","11,50"
Fotbal,1.islandská liga,7,4,25,Stjarnan_Gardabae,Hafnarfjordur_FH,2,1,"2,04","3,87","2,99"
