Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.italská liga,14,9,24,Como,Bologna,2,2,"3,08","3,04","2,68"
Fotbal,1.italská liga,14,9,24,Empoli_AC,Juventus,0,0,"6,37","3,83","1,63"
Fotbal,1.italská liga,14,9,24,Milan_AC,Venezia_AC,4,0,"1,26","6,37","11,80"
Fotbal,1.italská liga,15,9,24,Genoa_FC,Roma_AS,1,1,"3,57","3,29","2,25"
Fotbal,1.italská liga,15,9,24,Atalanta_Bergamo,Fiorentina,3,2,"1,85","3,64","4,66"
Fotbal,1.italská liga,15,9,24,Torino_AC,Lecce,0,0,"1,94","3,37","4,62"
Fotbal,1.italská liga,15,9,24,Cagliari,Napoli,0,4,"4,87","3,81","1,78"
Fotbal,1.italská liga,15,9,24,Monza,Inter_Milan,1,1,"9,13","5,10","1,37"
Fotbal,1.italská liga,16,9,24,Parma,Udinese,2,3,"2,24","3,45","3,43"
Fotbal,1.italská liga,16,9,24,Lazio_Roma,Hellas_Verona,2,1,"1,57","4,15","6,40"
Fotbal,1.italská liga,20,9,24,Cagliari,Empoli_AC,0,2,"2,14","3,33","3,82"
Fotbal,1.italská liga,20,9,24,Hellas_Verona,Torino_AC,2,3,"2,91","2,96","2,91"
Fotbal,1.italská liga,21,9,24,Venezia_AC,Genoa_FC,2,0,"2,97","3,15","2,69"
Fotbal,1.italská liga,15,9,24,Milan_AC,Venezia_AC,4,0,"1,26","6,37","11,80"
Fotbal,1.italská liga,15,9,24,Como,Bologna,2,2,"3,08","3,04","2,68"
Fotbal,1.italská liga,15,9,24,Empoli_AC,Juventus,0,0,"6,37","3,83","1,63"
Fotbal,1.italská liga,21,9,24,Juventus,Napoli,0,0,"2,51","3,16","3,20"
Fotbal,1.italská liga,21,9,24,Lecce,Parma,2,2,"2,12","3,51","3,67"
Fotbal,1.italská liga,22,9,24,Fiorentina,Lazio_Roma,2,1,"2,41","3,31","3,22"
Fotbal,1.italská liga,22,9,24,Monza,Bologna,1,2,"3,30","2,93","2,61"
Fotbal,1.italská liga,22,9,24,Venezia_AC,Genoa_FC,2,0,"2,97","3,15","2,69"
Fotbal,1.italská liga,22,9,24,Roma_AS,Udinese,3,0,"1,70","4,05","5,11"
Fotbal,1.italská liga,22,9,24,Inter_Milan,Milan_AC,1,2,"1,69","4,00","5,27"
Fotbal,1.italská liga,23,9,24,Atalanta_Bergamo,Como,,,"1,51","4,58","6,63"
Fotbal,1.italská liga,27,9,24,Milan_AC,Lecce,3,0,"1,29","6,08","10,70"
