Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.izraelská liga,14,9,24,Hapoel_Haifa,Hapoel_Jerusalem,4,0,"2,39","2,92","3,08"
Fotbal,1.izraelská liga,14,9,24,Bnei_Sakhnin,Ashdod_SC,2,2,"2,09","3,24","3,34"
Fotbal,1.izraelská liga,14,9,24,Maccabi_Bnei_Raina,Maccabi_Haifa,2,2,"5,34","4,19","1,52"
Fotbal,1.izraelská liga,14,9,24,Maccabi_Tel_Aviv,Hapoel_Beer_Sheva,1,0,"1,34","4,61","8,12"
Fotbal,1.izraelská liga,15,9,24,Beitar_Jerusalem,Maccabi_Netanya,2,0,"1,79","3,74","3,88"
Fotbal,1.izraelská liga,16,9,24,Hapoel_Hadera,Maccabi_Petah-Tikva,0,1,"2,61","3,01","2,71"
Fotbal,1.izraelská liga,14,9,24,Ironi_Kiriat_Shmona,Ironi_Tiberias,2,0,"2,72","3,00","2,60"
Fotbal,1.izraelská liga,18,9,24,Maccabi_Tel_Aviv,Hapoel_Jerusalem,2,1,"1,25","5,19","10,20"
Fotbal,1.izraelská liga,21,9,24,Hapoel_Jerusalem,Maccabi_Bnei_Raina,0,1,"2,42","2,82","3,14"
Fotbal,1.izraelská liga,21,9,24,Ironi_Tiberias,Bnei_Sakhnin,1,0,"2,74","3,02","2,58"
Fotbal,1.izraelská liga,21,9,24,Maccabi_Petah-Tikva,Hapoel_Haifa,0,0,"3,17","3,33","2,13"
Fotbal,1.izraelská liga,21,9,24,Maccabi_Netanya,Ironi_Kiriat_Shmona,2,0,"2,17","3,41","3,01"
Fotbal,1.izraelská liga,21,9,24,Hapoel_Beer_Sheva,Hapoel_Hadera,2,1,"1,42","4,15","7,29"
Fotbal,1.izraelská liga,22,9,24,Ashdod_SC,Maccabi_Tel_Aviv,0,2,"8,04","4,60","1,35"
Fotbal,1.izraelská liga,23,9,24,Maccabi_Haifa,Beitar_Jerusalem,,,"1,60","3,94","4,86"
Fotbal,1.izraelská liga,28,9,24,Ironi_Kiriat_Shmona,Maccabi_Haifa,0,4,"6,86","4,59","1,39"
Fotbal,1.izraelská liga,28,9,24,Hapoel_Jerusalem,Maccabi_Petah-Tikva,4,1,"2,11","3,05","3,53"
Fotbal,1.izraelská liga,28,9,24,Maccabi_Bnei_Raina,Beitar_Jerusalem,0,2,"3,37","3,37","2,03"
Fotbal,1.izraelská liga,29,9,24,Hapoel_Beer_Sheva,Hapoel_Haifa,3,0,"1,84","3,38","4,08"
Fotbal,1.izraelská liga,29,9,24,Maccabi_Tel_Aviv,Ironi_Tiberias,1,1,"1,23","5,37","11,10"
Fotbal,1.izraelská liga,30,9,24,Hapoel_Hadera,Ashdod_SC,0,3,"2,62","2,90","2,80"
Fotbal,1.izraelská liga,30,9,24,Bnei_Sakhnin,Maccabi_Netanya,1,0,"2,95","3,40","2,21"
Fotbal,1.izraelská liga,5,10,24,Ashdod_SC,Hapoel_Haifa,0,1,"2,76","3,02","2,56"
Fotbal,1.izraelská liga,5,10,24,Maccabi_Haifa,Bnei_Sakhnin,3,0,"1,24","5,52","9,79"
Fotbal,1.izraelská liga,5,10,24,Maccabi_Petah-Tikva,Maccabi_Bnei_Raina,2,1,"2,81","2,86","2,65"
Fotbal,1.izraelská liga,5,10,24,Beitar_Jerusalem,Ironi_Kiriat_Shmona,1,1,"1,55","4,00","5,22"
Fotbal,1.izraelská liga,5,10,24,Ironi_Tiberias,Hapoel_Hadera,1,1,"2,02","3,09","3,75"
Fotbal,1.izraelská liga,6,10,24,Hapoel_Beer_Sheva,Hapoel_Jerusalem,3,1,"1,62","3,56","5,36"
Fotbal,1.izraelská liga,6,10,24,Maccabi_Netanya,Maccabi_Tel_Aviv,1,2,"5,38","4,31","1,50"
Fotbal,1.izraelská liga,19,10,24,Maccabi_Bnei_Raina,Ironi_Kiriat_Shmona,1,0,"2,04","3,20","3,54"
Fotbal,1.izraelská liga,19,10,24,Bnei_Sakhnin,Beitar_Jerusalem,,,"3,65","3,37","1,94"
Fotbal,1.izraelská liga,19,10,24,Hapoel_Haifa,Ironi_Tiberias,1,0,"2,04","3,23","3,51"
Fotbal,1.izraelská liga,19,10,24,Maccabi_Tel_Aviv,Maccabi_Haifa,2,0,"2,54","3,33","2,56"
Fotbal,1.izraelská liga,20,10,24,Hapoel_Jerusalem,Ashdod_SC,1,0,"2,21","3,06","3,26"
Fotbal,1.izraelská liga,20,10,24,Maccabi_Petah-Tikva,Hapoel_Beer_Sheva,2,5,"4,75","3,66","1,66"
Fotbal,1.izraelská liga,21,10,24,Hapoel_Hadera,Maccabi_Netanya,2,2,"3,88","3,66","1,81"
Fotbal,1.izraelská liga,22,10,24,Beitar_Jerusalem,Maccabi_Haifa,3,2,"3,96","3,83","1,75"
Fotbal,1.izraelská liga,26,10,24,Ironi_Kiriat_Shmona,Bnei_Sakhnin,2,1,"2,63","3,06","2,65"
Fotbal,1.izraelská liga,26,10,24,Ironi_Tiberias,Hapoel_Jerusalem,0,2,"2,81","2,96","2,56"
Fotbal,1.izraelská liga,26,10,24,Ashdod_SC,Maccabi_Petah-Tikva,0,0,"2,80","2,95","2,58"
Fotbal,1.izraelská liga,26,10,24,Hapoel_Beer_Sheva,Maccabi_Bnei_Raina,1,1,"1,53","3,81","5,83"
Fotbal,1.izraelská liga,28,10,24,Beitar_Jerusalem,Maccabi_Tel_Aviv,3,1,"3,94","3,65","1,80"
Fotbal,1.izraelská liga,28,10,24,Maccabi_Netanya,Hapoel_Haifa,0,3,"2,17","3,29","3,11"
Fotbal,1.izraelská liga,28,10,24,Maccabi_Haifa,Hapoel_Hadera,4,2,"1,16","6,72","13,60"
Fotbal,1.izraelská liga,2,11,24,Hapoel_Jerusalem,Maccabi_Netanya,2,3,"2,75","3,14","2,48"
Fotbal,1.izraelská liga,2,11,24,Maccabi_Tel_Aviv,Ironi_Kiriat_Shmona,0,1,"1,23","5,50","10,70"
