Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.jihoafrická liga,14,9,24,Royal_AM,Cape_Town_City_FC,1,1,"4,15","2,94","1,99"
Fotbal,1.jihoafrická liga,14,9,24,Marumo_Gallants,Kaizer_Chiefs,1,2,"3,80","2,85","2,12"
Fotbal,1.jihoafrická liga,14,9,24,Polokwane_City,AmaZulu_Durban,2,1,"2,78","2,55","2,99"
Fotbal,1.jihoafrická liga,15,9,24,Richards_Bay,TS_Galaxy,1,0,"2,95","2,78","2,59"
Fotbal,1.jihoafrická liga,17,9,24,Mamelodi_Sundowns_FC,SuperSport_United,2,0,"1,41","3,95","8,19"
Fotbal,1.jihoafrická liga,18,9,24,Orlando_Pirates,Chippa_United,2,1,"1,33","4,55","8,93"
Fotbal,1.jihoafrická liga,18,9,24,Sekhukhune_United,Magesi,1,0,"1,62","3,17","6,47"
Fotbal,1.jihoafrická liga,18,9,24,Stellenbosch_FC,Golden_Arrows_Durban,0,2,"1,54","3,61","6,19"
Fotbal,1.jihoafrická liga,21,9,24,Golden_Arrows_Durban,Marumo_Gallants,2,0,"1,99","2,91","4,20"
Fotbal,1.jihoafrická liga,21,9,24,Magesi,Polokwane_City,0,2,"2,94","2,64","2,73"
Fotbal,1.jihoafrická liga,21,9,24,SuperSport_United,Royal_AM,0,0,"1,58","3,57","5,71"
Fotbal,1.jihoafrická liga,21,9,24,Chippa_United,Richards_Bay,1,0,"2,86","2,57","2,89"
Fotbal,1.jihoafrická liga,24,9,24,Orlando_Pirates,Polokwane_City,3,0,"1,60","3,38","6,12"
Fotbal,1.jihoafrická liga,24,9,24,Mamelodi_Sundowns_FC,Marumo_Gallants,4,1,"1,21","5,26","14,50"
Fotbal,1.jihoafrická liga,24,9,24,Royal_AM,Richards_Bay,0,0,"3,03","2,66","2,63"
Fotbal,1.jihoafrická liga,25,9,24,AmaZulu_Durban,Kaizer_Chiefs,1,3,"3,29","2,61","2,51"
Fotbal,1.jihoafrická liga,25,9,24,Golden_Arrows_Durban,Magesi,,,"1,92","2,97","4,44"
Fotbal,1.jihoafrická liga,25,9,24,Sekhukhune_United,Chippa_United,1,1,"1,85","2,85","5,18"
Fotbal,1.jihoafrická liga,25,9,24,Stellenbosch_FC,Cape_Town_City_FC,3,0,"2,24","2,77","3,61"
Fotbal,1.jihoafrická liga,25,9,24,SuperSport_United,TS_Galaxy,1,0,"2,13","2,78","3,89"
Fotbal,1.jihoafrická liga,26,9,24,Golden_Arrows_Durban,Magesi,0,1,"1,94","2,94","4,37"
Fotbal,1.jihoafrická liga,28,9,24,Kaizer_Chiefs,Mamelodi_Sundowns_FC,1,2,"5,07","3,19","1,74"
Fotbal,1.jihoafrická liga,28,9,24,Sekhukhune_United,Golden_Arrows_Durban,2,0,"1,77","3,07","5,15"
Fotbal,1.jihoafrická liga,28,9,24,Magesi,Royal_AM,0,0,"3,19","2,63","2,55"
Fotbal,1.jihoafrická liga,28,9,24,Cape_Town_City_FC,SuperSport_United,1,0,"2,33","2,77","3,38"
Fotbal,1.jihoafrická liga,28,9,24,Marumo_Gallants,AmaZulu_Durban,1,0,"2,84","2,77","2,70"
Fotbal,1.jihoafrická liga,29,9,24,Richards_Bay,Orlando_Pirates,0,1,"5,56","3,26","1,67"
Fotbal,1.jihoafrická liga,29,9,24,Chippa_United,TS_Galaxy,2,1,"3,02","2,68","2,62"
Fotbal,1.jihoafrická liga,29,9,24,Polokwane_City,Stellenbosch_FC,1,1,"3,16","3,00","2,29"
Fotbal,1.jihoafrická liga,22,10,24,Orlando_Pirates,SuperSport_United,2,0,"1,62","3,28","6,16"
Fotbal,1.jihoafrická liga,23,10,24,Stellenbosch_FC,Chippa_United,2,0,"1,81","3,07","4,86"
