Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.jordánská liga,19,9,24,Al-Ahli,Shabab_Al-Ordun,3,2,"2,19","2,88","3,25"
Fotbal,1.jordánská liga,19,9,24,Aqaba,Al_Salt,2,0,"4,04","3,14","1,83"
Fotbal,1.jordánská liga,20,9,24,Al-Ramtha,Al_Sareeh,2,1,"1,66","3,38","4,58"
Fotbal,1.jordánská liga,20,9,24,Al-Jazeera,Moghayer_Al_Sarhan,3,3,"1,88","3,13","3,84"
Fotbal,1.jordánská liga,21,9,24,Al-Wihdat,Al-Faisaly,1,1,"3,08","2,93","2,25"
Fotbal,1.jordánská liga,23,9,24,Al-Hussein,Maan,1,0,"1,25","4,80","10,70"
Fotbal,1.jordánská liga,26,9,24,Moghayer_Al_Sarhan,Al-Ramtha,0,4,"5,34","3,79","1,50"
Fotbal,1.jordánská liga,26,9,24,Al-Wihdat,Al-Ahli,2,1,"1,34","4,28","7,42"
Fotbal,1.jordánská liga,27,9,24,Shabab_Al-Ordun,Al_Sareeh,2,1,"2,21","3,05","3,04"
Fotbal,1.jordánská liga,27,9,24,Al-Faisaly,Aqaba,3,1,"1,16","6,52","13,00"
Fotbal,1.jordánská liga,28,9,24,Al_Salt,Al-Hussein,0,2,"6,11","4,03","1,42"
Fotbal,1.jordánská liga,28,9,24,Maan,Al-Jazeera,0,0,"3,63","3,20","1,90"
Fotbal,1.jordánská liga,17,10,24,Al_Sareeh,Moghayer_Al_Sarhan,0,0,"1,54","3,82","4,81"
Fotbal,1.jordánská liga,17,10,24,Aqaba,Al-Ahli,1,3,"3,39","2,88","2,13"
Fotbal,1.jordánská liga,17,10,24,Shabab_Al-Ordun,Al-Wihdat,0,2,"5,71","3,98","1,45"
Fotbal,1.jordánská liga,18,10,24,Al-Ramtha,Maan,1,0,"1,39","3,95","7,01"
Fotbal,1.jordánská liga,19,10,24,Al-Jazeera,Al_Salt,2,0,"2,18","2,85","3,30"
Fotbal,1.jordánská liga,19,10,24,Al-Hussein,Al-Faisaly,1,0,"2,67","2,81","2,68"
Fotbal,1.jordánská liga,25,10,24,Moghayer_Al_Sarhan,Shabab_Al-Ordun,0,2,"3,21","3,17","2,07"
Fotbal,1.jordánská liga,25,10,24,Al-Faisaly,Al-Jazeera,2,2,"1,34","4,54","6,65"
Fotbal,1.jordánská liga,26,10,24,Al_Salt,Al-Ramtha,3,2,"4,33","3,41","1,69"
Fotbal,1.jordánská liga,26,10,24,Maan,Al_Sareeh,3,2,"3,36","3,06","2,05"
Fotbal,1.jordánská liga,27,10,24,Al-Ahli,Al-Hussein,0,2,"6,71","4,06","1,39"
Fotbal,1.jordánská liga,27,10,24,Al-Wihdat,Aqaba,3,2,"1,20","5,53","12,00"
Fotbal,1.jordánská liga,31,10,24,Maan,Moghayer_Al_Sarhan,1,3,"2,30","3,10","2,84"
Fotbal,1.jordánská liga,1,11,24,Al-Hussein,Al-Wihdat,3,1,"1,87","2,94","4,21"
Fotbal,1.jordánská liga,1,11,24,Aqaba,Shabab_Al-Ordun,1,1,"4,03","3,40","1,75"
Fotbal,1.jordánská liga,2,11,24,Al-Jazeera,Al-Ahli,2,1,"1,99","3,09","3,48"
