Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.katarská liga,13,9,24,Al-Gharrafa,Shamal,1,1,"1,56","4,29","4,73"
Fotbal,1.katarská liga,13,9,24,Al-Sadd,Umm-Salal,1,3,"1,23","5,79","9,94"
Fotbal,1.katarská liga,13,9,24,Al-Rayyan,Al-Shahaniya,4,2,"1,31","5,00","8,32"
Fotbal,1.katarská liga,14,9,24,Al-Arabi_Doha,Khor,1,1,"1,70","3,82","4,27"
Fotbal,1.katarská liga,14,9,24,Qatar_SC,Al_Ahli,0,1,"2,83","3,65","2,19"
Fotbal,1.katarská liga,14,9,24,Al-Wakra,Al_Duhail,0,2,"3,29","3,87","1,92"
Fotbal,1.katarská liga,21,9,24,Al_Duhail,Al-Sadd,5,1,"2,45","3,90","2,38"
Fotbal,1.katarská liga,21,9,24,Khor,Shamal,1,2,"3,06","3,57","2,09"
Fotbal,1.katarská liga,21,9,24,Umm-Salal,Al-Shahaniya,4,2,"1,84","3,59","3,80"
Fotbal,1.katarská liga,22,9,24,Al-Rayyan,Al-Wakra,0,2,"1,87","3,89","3,43"
Fotbal,1.katarská liga,22,9,24,Al_Ahli,Al-Arabi_Doha,3,3,"3,43","3,79","1,89"
Fotbal,1.katarská liga,22,9,24,Qatar_SC,Al-Gharrafa,1,3,"4,40","4,23","1,61"
Fotbal,1.katarská liga,26,9,24,Al-Arabi_Doha,Al-Rayyan,2,1,"3,35","3,95","1,88"
Fotbal,1.katarská liga,26,9,24,Al-Sadd,Al-Gharrafa,4,2,"1,57","4,56","4,39"
Fotbal,1.katarská liga,26,9,24,Al-Wakra,Khor,3,1,"1,38","4,62","7,06"
Fotbal,1.katarská liga,27,9,24,Shamal,Al_Ahli,2,4,"2,88","3,38","2,26"
Fotbal,1.katarská liga,27,9,24,Umm-Salal,Qatar_SC,2,2,"2,22","3,51","2,87"
Fotbal,1.katarská liga,27,9,24,Al-Shahaniya,Al_Duhail,2,1,"14,00","8,01","1,13"
Fotbal,1.katarská liga,18,10,24,Khor,Al-Rayyan,1,2,"6,72","4,87","1,36"
Fotbal,1.katarská liga,18,10,24,Al-Gharrafa,Umm-Salal,3,1,"1,80","3,96","3,64"
Fotbal,1.katarská liga,18,10,24,Al-Sadd,Al-Shahaniya,4,2,"1,18","6,65","11,40"
Fotbal,1.katarská liga,19,10,24,Shamal,Al-Arabi_Doha,5,2,"3,50","3,70","1,89"
Fotbal,1.katarská liga,19,10,24,Al_Ahli,Al_Duhail,0,1,"5,46","4,67","1,45"
Fotbal,1.katarská liga,19,10,24,Qatar_SC,Al-Wakra,2,1,"4,02","3,91","1,72"
Fotbal,1.katarská liga,26,10,24,Al-Shahaniya,Shamal,2,0,"3,17","3,48","2,07"
Fotbal,1.katarská liga,26,10,24,Umm-Salal,Khor,0,0,"1,93","3,55","3,52"
Fotbal,1.katarská liga,26,10,24,Al-Rayyan,Al_Ahli,2,2,"1,73","3,93","3,97"
Fotbal,1.katarská liga,27,10,24,Al-Wakra,Al-Sadd,0,3,"2,61","3,66","2,33"
Fotbal,1.katarská liga,27,10,24,Al-Arabi_Doha,Qatar_SC,4,1,"1,78","4,05","3,61"
Fotbal,1.katarská liga,27,10,24,Al_Duhail,Al-Gharrafa,1,1,"1,43","4,70","5,69"
Fotbal,1.katarská liga,31,10,24,Al-Gharrafa,Al-Arabi_Doha,3,1,"1,92","3,85","3,29"
Fotbal,1.katarská liga,31,10,24,Khor,Qatar_SC,1,2,"2,66","3,37","2,43"
Fotbal,1.katarská liga,31,10,24,Al-Sadd,Al-Rayyan,2,1,"2,22","4,01","2,60"
Fotbal,1.katarská liga,1,11,24,Shamal,Al_Duhail,2,6,"5,89","4,69","1,42"
Fotbal,1.katarská liga,1,11,24,Al_Ahli,Al-Shahaniya,2,1,"2,02","3,51","3,27"
Fotbal,1.katarská liga,1,11,24,Al-Wakra,Umm-Salal,3,0,"1,87","3,71","3,56"
Fotbal,1.katarská liga,22,11,24,Khor,Al-Sadd,2,5,"7,05","5,12","1,33"
Fotbal,1.katarská liga,22,11,24,Al-Rayyan,Shamal,1,2,"1,63","4,11","4,39"
Fotbal,1.katarská liga,22,11,24,Al-Gharrafa,Al-Wakra,3,1,"2,29","3,67","2,67"
Fotbal,1.katarská liga,23,11,24,Al-Arabi_Doha,Al_Duhail,0,5,"5,70","4,82","1,42"
Fotbal,1.katarská liga,23,11,24,Qatar_SC,Al-Shahaniya,1,3,"2,57","3,57","2,40"
Fotbal,1.katarská liga,23,11,24,Umm-Salal,Al_Ahli,0,3,"3,34","3,61","1,97"
Fotbal,1.katarská liga,7,12,24,Al_Ahli,Al-Sadd,2,2,"4,49","4,54","1,56"
Fotbal,1.katarská liga,7,12,24,Al_Duhail,Khor,1,2,"1,12","7,97","15,40"
Fotbal,1.katarská liga,7,12,24,Qatar_SC,Al-Rayyan,1,2,"4,42","4,22","1,61"
Fotbal,1.katarská liga,8,12,24,Al-Shahaniya,Al-Gharrafa,2,4,"3,89","4,10","1,71"
Fotbal,1.katarská liga,8,12,24,Al-Wakra,Shamal,0,3,"1,85","3,81","3,55"
Fotbal,1.katarská liga,8,12,24,Al-Arabi_Doha,Umm-Salal,0,3,"2,50","3,54","2,49"
Fotbal,1.katarská liga,10,1,25,Umm-Salal,Al-Rayyan,2,6,"3,35","3,68","1,94"
Fotbal,1.katarská liga,10,1,25,Al-Arabi_Doha,Al-Shahaniya,3,1,"2,04","3,68","3,10"
Fotbal,1.katarská liga,11,1,25,Al-Gharrafa,Khor,3,1,"1,40","4,63","6,40"
Fotbal,1.katarská liga,11,1,25,Al_Ahli,Al-Wakra,6,3,"2,61","3,52","2,40"
Fotbal,1.katarská liga,12,1,25,Al_Duhail,Qatar_SC,4,1,"1,24","5,75","9,51"
Fotbal,1.katarská liga,12,1,25,Al-Sadd,Shamal,1,0,"1,42","4,79","5,74"
Fotbal,1.katarská liga,22,1,25,Al-Shahaniya,Khor,2,1,"2,06","3,59","3,10"
Fotbal,1.katarská liga,22,1,25,Al-Gharrafa,Al_Ahli,2,0,"1,80","3,97","3,61"
Fotbal,1.katarská liga,23,1,25,Al-Sadd,Qatar_SC,0,1,"1,28","5,49","8,08"
Fotbal,1.katarská liga,23,1,25,Al-Rayyan,Al_Duhail,0,0,"3,32","3,97","1,89"
Fotbal,1.katarská liga,24,1,25,Shamal,Umm-Salal,4,0,"1,67","3,98","4,26"
Fotbal,1.katarská liga,24,1,25,Al-Wakra,Al-Arabi_Doha,4,3,"2,39","3,65","2,55"
Fotbal,1.katarská liga,29,1,25,Al-Rayyan,Al-Gharrafa,2,2,"2,26","3,95","2,57"
Fotbal,1.katarská liga,29,1,25,Khor,Al_Ahli,0,1,"5,95","4,30","1,46"
Fotbal,1.katarská liga,30,1,25,Qatar_SC,Shamal,2,1,"3,32","3,82","1,92"
Fotbal,1.katarská liga,30,1,25,Al-Arabi_Doha,Al-Sadd,1,3,"5,39","4,89","1,43"
Fotbal,1.katarská liga,31,1,25,Umm-Salal,Al_Duhail,1,2,"7,18","5,23","1,32"
Fotbal,1.katarská liga,31,1,25,Al-Wakra,Al-Shahaniya,0,1,"1,92","3,69","3,41"
Fotbal,1.katarská liga,7,2,25,Al_Ahli,Qatar_SC,0,3,"1,83","3,80","3,65"
Fotbal,1.katarská liga,7,2,25,Al_Duhail,Al-Wakra,2,0,"1,44","4,58","5,78"
Fotbal,1.katarská liga,7,2,25,Umm-Salal,Al-Sadd,0,1,"8,54","5,88","1,25"
Fotbal,1.katarská liga,8,2,25,Shamal,Al-Gharrafa,1,2,"2,80","3,96","2,11"
Fotbal,1.katarská liga,8,2,25,Khor,Al-Arabi_Doha,3,4,"3,58","3,79","1,85"
Fotbal,1.katarská liga,8,2,25,Al-Shahaniya,Al-Rayyan,2,1,"4,69","4,34","1,56"
Fotbal,1.katarská liga,22,2,25,Al-Gharrafa,Qatar_SC,4,2,"1,53","4,32","5,05"
Fotbal,1.katarská liga,22,2,25,Shamal,Khor,2,0,"1,81","3,89","3,63"
Fotbal,1.katarská liga,22,2,25,Al-Sadd,Al_Duhail,2,0,"2,48","3,84","2,38"
Fotbal,1.katarská liga,23,2,25,Al-Arabi_Doha,Al_Ahli,4,2,"2,24","3,75","2,69"
Fotbal,1.katarská liga,23,2,25,Al-Shahaniya,Umm-Salal,3,2,"2,19","3,62","2,84"
Fotbal,1.katarská liga,23,2,25,Al-Wakra,Al-Rayyan,0,4,"3,25","3,80","1,95"
Fotbal,1.katarská liga,27,2,25,Al-Gharrafa,Al-Sadd,0,4,"2,67","3,78","2,25"
Fotbal,1.katarská liga,27,2,25,Khor,Al-Wakra,1,3,"3,34","3,43","2,02"
Fotbal,1.katarská liga,27,2,25,Al-Rayyan,Al-Arabi_Doha,2,1,"1,89","3,95","3,32"
Fotbal,1.katarská liga,28,2,25,Al_Ahli,Shamal,1,1,"2,32","3,49","2,73"
Fotbal,1.katarská liga,28,2,25,Al_Duhail,Al-Shahaniya,2,1,"1,25","5,57","9,20"
Fotbal,1.katarská liga,28,2,25,Qatar_SC,Umm-Salal,2,2,"2,45","3,43","2,60"
Fotbal,1.katarská liga,7,3,25,Al-Rayyan,Khor,5,1,"1,38","4,50","7,21"
Fotbal,1.katarská liga,7,3,25,Al-Shahaniya,Al-Sadd,0,5,"7,70","5,29","1,30"
Fotbal,1.katarská liga,7,3,25,Umm-Salal,Al-Gharrafa,0,1,"5,05","4,52","1,50"
Fotbal,1.katarská liga,8,3,25,Al-Arabi_Doha,Shamal,1,0,"2,33","3,82","2,54"
Fotbal,1.katarská liga,8,3,25,Al_Duhail,Al_Ahli,4,2,"1,44","4,54","5,84"
Fotbal,1.katarská liga,8,3,25,Al-Wakra,Qatar_SC,1,1,"1,63","4,02","4,49"
Fotbal,1.katarská liga,28,3,25,Khor,Umm-Salal,3,0,"2,59","3,57","2,39"
Fotbal,1.katarská liga,28,3,25,Shamal,Al-Shahaniya,3,0,"1,71","3,86","4,17"
Fotbal,1.katarská liga,29,3,25,Al_Ahli,Al-Rayyan,1,0,"5,07","4,47","1,50"
Fotbal,1.katarská liga,29,3,25,Al-Gharrafa,Al_Duhail,0,2,"3,76","4,04","1,75"
Fotbal,1.katarská liga,29,3,25,Al-Sadd,Al-Wakra,3,0,"1,31","5,12","7,74"
Fotbal,1.katarská liga,29,3,25,Qatar_SC,Al-Arabi_Doha,0,0,"2,84","3,90","2,10"
Fotbal,1.katarská liga,4,4,25,Al-Shahaniya,Al_Ahli,2,3,"3,74","3,86","1,79"
Fotbal,1.katarská liga,4,4,25,Umm-Salal,Al-Wakra,0,1,"3,37","3,90","1,89"
Fotbal,1.katarská liga,4,4,25,Al-Arabi_Doha,Al-Gharrafa,1,3,"5,54","4,67","1,44"
