Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.kazachstánská liga,14,9,24,Zhenys,Kaisar_Kzyl-Orda,1,0,"2,17","2,83","3,36"
Fotbal,1.kazachstánská liga,14,9,24,Turan_Turkistan,Šachťor_Karaganda,,,"2,24","2,85","3,20"
Fotbal,1.kazachstánská liga,14,9,24,Astana_FC,Kyzyl-Zhar,2,1,"1,30","4,38","8,77"
Fotbal,1.kazachstánská liga,15,9,24,Yelimay_Semey,Tobol_Kostanay,2,1,"1,83","3,15","4,01"
Fotbal,1.kazachstánská liga,15,9,24,Aktobe_FC,Žetisu_Taldy-Kurgan,3,0,"1,44","3,98","5,80"
Fotbal,1.kazachstánská liga,15,9,24,Ordabasy_Shymkent,Atyrau,1,0,"1,68","3,22","4,72"
Fotbal,1.kazachstánská liga,18,9,24,Kaisar_Kzyl-Orda,Astana_FC,0,1,"4,86","3,66","1,57"
Fotbal,1.kazachstánská liga,21,9,24,Atyrau,Zhenys,2,1,"1,80","3,06","4,29"
Fotbal,1.kazachstánská liga,21,9,24,Turan_Turkistan,Kyzyl-Zhar,,,"3,03","2,77","2,40"
Fotbal,1.kazachstánská liga,21,9,24,Kairat_Almaty,Kaisar_Kzyl-Orda,1,0,"1,44","3,86","6,09"
Fotbal,1.kazachstánská liga,22,9,24,Šachťor_Karaganda,Yelimay_Semey,1,2,"5,24","3,69","1,52"
Fotbal,1.kazachstánská liga,22,9,24,Ordabasy_Shymkent,Astana_FC,2,4,"2,89","2,82","2,46"
Fotbal,1.kazachstánská liga,22,9,24,Tobol_Kostanay,Aktobe_FC,3,0,"2,12","2,94","3,32"
Fotbal,1.kazachstánská liga,28,9,24,Tobol_Kostanay,Šachťor_Karaganda,1,0,"1,27","4,86","8,49"
Fotbal,1.kazachstánská liga,29,9,24,Zhenys,Astana_FC,1,1,"5,12","3,74","1,53"
Fotbal,1.kazachstánská liga,3,10,24,Kyzyl-Zhar,Ordabasy_Shymkent,0,1,"3,55","2,84","2,09"
Fotbal,1.kazachstánská liga,3,10,24,Žetisu_Taldy-Kurgan,Yelimay_Semey,2,0,"5,28","3,45","1,56"
Fotbal,1.kazachstánská liga,4,10,24,Aktobe_FC,Kairat_Almaty,2,1,"2,16","2,95","3,24"
Fotbal,1.kazachstánská liga,4,10,24,Zhenys,Tobol_Kostanay,2,1,"4,19","3,28","1,76"
Fotbal,1.kazachstánská liga,5,10,24,Atyrau,Turan_Turkistan,,,"1,49","3,51","6,08"
Fotbal,1.kazachstánská liga,16,10,24,Astana_FC,Šachťor_Karaganda,3,0,"1,15","6,80","14,10"
Fotbal,1.kazachstánská liga,19,10,24,Zhenys,Žetisu_Taldy-Kurgan,1,0,"2,07","2,83","3,63"
Fotbal,1.kazachstánská liga,19,10,24,Kairat_Almaty,Turan_Turkistan,,,"1,22","5,27","11,60"
Fotbal,1.kazachstánská liga,19,10,24,Tobol_Kostanay,Ordabasy_Shymkent,1,0,"2,14","2,99","3,22"
Fotbal,1.kazachstánská liga,20,10,24,Kyzyl-Zhar,Atyrau,3,2,"2,50","2,57","3,12"
Fotbal,1.kazachstánská liga,20,10,24,Yelimay_Semey,Astana_FC,0,3,"2,92","3,00","2,31"
Fotbal,1.kazachstánská liga,20,10,24,Kaisar_Kzyl-Orda,Šachťor_Karaganda,5,1,"1,58","3,45","5,11"
Fotbal,1.kazachstánská liga,26,10,24,Atyrau,Yelimay_Semey,1,0,"2,63","2,70","2,82"
Fotbal,1.kazachstánská liga,26,10,24,Ordabasy_Shymkent,Zhenys,1,2,"1,33","4,35","7,57"
Fotbal,1.kazachstánská liga,26,10,24,Turan_Turkistan,Kaisar_Kzyl-Orda,,,"2,86","2,93","2,40"
Fotbal,1.kazachstánská liga,26,10,24,Žetisu_Taldy-Kurgan,Kairat_Almaty,1,2,"6,43","3,98","1,41"
Fotbal,1.kazachstánská liga,27,10,24,Šachťor_Karaganda,Kyzyl-Zhar,1,1,"4,16","3,16","1,80"
Fotbal,1.kazachstánská liga,27,10,24,Astana_FC,Aktobe_FC,2,0,"1,50","3,63","5,61"
Fotbal,1.kazachstánská liga,30,10,24,Astana_FC,Atyrau,3,2,"1,32","4,19","8,92"
Fotbal,1.kazachstánská liga,2,11,24,Kyzyl-Zhar,Kaisar_Kzyl-Orda,6,2,"1,65","3,23","4,95"
Fotbal,1.kazachstánská liga,2,11,24,Kairat_Almaty,Ordabasy_Shymkent,2,1,"1,76","3,22","4,28"
Fotbal,1.kazachstánská liga,2,11,24,Turan_Turkistan,Zhenys,,,"2,58","3,09","2,53"
Fotbal,1.kazachstánská liga,3,11,24,Šachťor_Karaganda,Aktobe_FC,1,3,"6,51","4,53","1,35"
Fotbal,1.kazachstánská liga,3,11,24,Žetisu_Taldy-Kurgan,Atyrau,0,2,"2,76","2,65","2,75"
Fotbal,1.kazachstánská liga,3,11,24,Tobol_Kostanay,Astana_FC,1,0,"3,58","2,97","2,02"
Fotbal,1.kazachstánská liga,9,11,24,Aktobe_FC,Turan_Turkistan,,,"1,24","5,28","9,22"
Fotbal,1.kazachstánská liga,10,11,24,Atyrau,Kairat_Almaty,0,1,"3,73","3,32","1,84"
Fotbal,1.kazachstánská liga,10,11,24,Astana_FC,Žetisu_Taldy-Kurgan,5,0,"1,16","6,08","15,30"
Fotbal,1.kazachstánská liga,10,11,24,Kaisar_Kzyl-Orda,Tobol_Kostanay,2,0,"4,57","3,46","1,64"
Fotbal,1.kazachstánská liga,10,11,24,Ordabasy_Shymkent,Yelimay_Semey,2,1,"1,74","3,38","4,12"
Fotbal,1.kazachstánská liga,10,11,24,Zhenys,Kyzyl-Zhar,0,1,"2,43","3,00","2,76"
Fotbal,1.kazachstánská liga,1,3,25,Atyrau,Yelimay_Semey,2,1,"2,89","2,74","2,53"
Fotbal,1.kazachstánská liga,1,3,25,Ordabasy_Shymkent,Aktobe_FC,0,0,"2,51","2,78","2,87"
Fotbal,1.kazachstánská liga,1,3,25,Tobol_Kostanay,Ulytau_Zhezkazgan,2,0,"1,44","3,73","6,32"
Fotbal,1.kazachstánská liga,2,3,25,Kaisar_Kzyl-Orda,Zhenys,0,0,"2,76","2,67","2,73"
Fotbal,1.kazachstánská liga,2,3,25,Turan_Turkistan,Oqjetpes_Kokshetau,2,0,"1,99","3,23","3,31"
