Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.kolumbijská liga,2,9,24,Millonarios,Patriotas_Tunja,3,0,"1,66","3,16","4,94"
Fotbal,1.kolumbijská liga,2,9,24,Atlético_Junior,Independiente_Santa_Fe,1,1,"1,87","2,83","4,42"
Fotbal,1.kolumbijská liga,3,9,24,Deportive_Cali,Deportivo_Pasto,0,2,"2,23","2,62","3,57"
Fotbal,1.kolumbijská liga,4,9,24,Deportes_Pereira,Once_Caldas,0,1,"2,27","2,64","3,45"
Fotbal,1.kolumbijská liga,7,9,24,Patriotas_Tunja,Envigado_FC,2,0,"1,74","3,06","4,63"
Fotbal,1.kolumbijská liga,7,9,24,América_de_Cali,Jaguares_de_Cordoba,1,0,"1,37","4,04","7,27"
Fotbal,1.kolumbijská liga,8,9,24,Deportes_Tolima,Deportive_Cali,1,1,"1,48","3,60","5,98"
Fotbal,1.kolumbijská liga,8,9,24,Once_Caldas,Millonarios,1,1,"2,45","2,61","3,15"
Fotbal,1.kolumbijská liga,9,9,24,Alianza_Petrolera,Fortaleza_FC,1,1,"1,94","2,86","4,06"
Fotbal,1.kolumbijská liga,9,9,24,Deportivo_Pasto,Independiente_Medellín,1,0,"2,39","2,57","3,30"
Fotbal,1.kolumbijská liga,12,9,24,América_de_Cali,Deportes_Tolima,1,0,"2,08","2,88","3,53"
Fotbal,1.kolumbijská liga,13,9,24,Deportes_Pereira,Alianza_Petrolera,1,0,"1,80","2,94","4,52"
Fotbal,1.kolumbijská liga,16,9,24,La_Equidad,Millonarios,1,3,"3,70","2,73","2,11"
Fotbal,1.kolumbijská liga,13,9,24,Patriotas_Tunja,Atlético_Bucaramanga,1,2,"2,29","2,50","3,62"
Fotbal,1.kolumbijská liga,14,9,24,Jaguares_de_Cordoba,Envigado_FC,2,1,"1,90","2,92","4,09"
Fotbal,1.kolumbijská liga,14,9,24,Once_Caldas,Deportive_Cali,4,1,"1,82","2,92","4,48"
Fotbal,1.kolumbijská liga,15,9,24,Deportes_Tolima,Boyacá_Chicó_FC,2,1,"1,39","3,86","7,19"
Fotbal,1.kolumbijská liga,15,9,24,Aguilas_Doradas,Independiente_Medellín,1,1,"1,81","2,89","4,58"
