Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.kuvajtská liga,13,9,24,Khitan,Al-Yarmouk,1,1,"3,21","3,17","2,06"
Fotbal,1.kuvajtská liga,14,9,24,Al-Nasr,Al-Kuwait_SC,1,5,"9,62","6,03","1,21"
Fotbal,1.kuvajtská liga,14,9,24,Al-Tadamon,Kazma,2,1,"3,64","3,49","1,81"
Fotbal,1.kuvajtská liga,15,9,24,Fehayheel,Al-Arabi,0,3,"4,46","3,95","1,57"
Fotbal,1.kuvajtská liga,15,9,24,Al-Qadissiyah,Salmiya,0,1,"1,66","3,63","4,26"
Fotbal,1.kuvajtská liga,20,9,24,Al-Tadamon,Al-Nasr,1,0,"1,74","3,71","3,73"
Fotbal,1.kuvajtská liga,21,9,24,Salmiya,Fehayheel,2,2,"1,98","3,44","3,15"
Fotbal,1.kuvajtská liga,21,9,24,Kazma,Al-Qadissiyah,0,0,"3,05","2,94","2,26"
Fotbal,1.kuvajtská liga,22,9,24,Al-Arabi,Khitan,2,1,"1,14","7,13","15,00"
Fotbal,1.kuvajtská liga,22,9,24,Al-Yarmouk,Al-Kuwait_SC,1,3,"11,30","6,95","1,17"
Fotbal,1.kuvajtská liga,27,9,24,Al-Kuwait_SC,Al-Arabi,2,0,"1,77","3,29","4,07"
Fotbal,1.kuvajtská liga,28,9,24,Al-Qadissiyah,Al-Tadamon,3,1,"1,54","3,73","4,99"
Fotbal,1.kuvajtská liga,28,9,24,Fehayheel,Kazma,4,0,"2,75","3,43","2,21"
Fotbal,1.kuvajtská liga,29,9,24,Al-Nasr,Al-Yarmouk,2,2,"2,31","3,51","2,56"
Fotbal,1.kuvajtská liga,29,9,24,Khitan,Salmiya,1,1,"3,31","3,48","1,91"
Fotbal,1.kuvajtská liga,18,10,24,Al-Tadamon,Fehayheel,2,2,"2,85","3,60","2,08"
Fotbal,1.kuvajtská liga,19,10,24,Al-Qadissiyah,Al-Nasr,2,1,"1,38","4,32","6,21"
Fotbal,1.kuvajtská liga,19,10,24,Salmiya,Al-Kuwait_SC,3,4,"6,88","4,94","1,30"
Fotbal,1.kuvajtská liga,20,10,24,Al-Arabi,Al-Yarmouk,2,0,"1,22","5,53","9,83"
Fotbal,1.kuvajtská liga,20,10,24,Kazma,Khitan,2,0,"1,48","3,97","5,29"
Fotbal,1.kuvajtská liga,27,10,24,Salmiya,Al-Yarmouk,2,1,"1,62","3,88","4,23"
Fotbal,1.kuvajtská liga,27,10,24,Fehayheel,Al-Qadissiyah,1,2,"3,37","3,28","1,95"
Fotbal,1.kuvajtská liga,28,10,24,Khitan,Al-Tadamon,1,4,"3,46","3,45","1,87"
Fotbal,1.kuvajtská liga,28,10,24,Al-Kuwait_SC,Kazma,1,0,"1,23","5,35","9,45"
Fotbal,1.kuvajtská liga,1,11,24,Al-Qadissiyah,Khitan,2,0,"1,30","4,65","7,88"
Fotbal,1.kuvajtská liga,2,11,24,Al-Tadamon,Al-Kuwait_SC,0,3,"7,41","5,29","1,27"
Fotbal,1.kuvajtská liga,2,11,24,Al-Yarmouk,Kazma,0,2,"3,88","3,77","1,69"
Fotbal,1.kuvajtská liga,3,11,24,Fehayheel,Al-Nasr,3,1,"1,71","3,83","3,74"
Fotbal,1.kuvajtská liga,6,11,24,Salmiya,Al-Arabi,1,3,"3,76","3,62","1,75"
Fotbal,1.kuvajtská liga,6,1,25,Al-Nasr,Al-Arabi,0,3,"3,91","3,77","1,69"
Fotbal,1.kuvajtská liga,8,1,25,Fehayheel,Khitan,1,0,"1,71","3,61","3,98"
Fotbal,1.kuvajtská liga,9,1,25,Al-Tadamon,Al-Yarmouk,3,2,"1,98","3,45","3,16"
Fotbal,1.kuvajtská liga,9,1,25,Al-Qadissiyah,Al-Kuwait_SC,2,1,"4,61","3,41","1,65"
Fotbal,1.kuvajtská liga,10,1,25,Al-Nasr,Salmiya,1,2,"3,52","3,66","1,80"
Fotbal,1.kuvajtská liga,10,1,25,Kazma,Al-Arabi,0,3,"3,22","3,04","2,12"
