Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.kyperská liga,14,9,24,Ethnikos_Achnas,Salamina_NEA,2,3,"2,28","3,44","2,82"
Fotbal,1.kyperská liga,14,9,24,Karmiotissa,Apoel_Nikósia,0,3,"5,62","4,19","1,49"
Fotbal,1.kyperská liga,14,9,24,Paphos_AEP,Anorthosis_Famagusta,3,1,"1,41","4,38","6,87"
Fotbal,1.kyperská liga,15,9,24,Omonia_29is_Maiou,EN_of_Paralimni,0,1,"2,47","3,08","2,81"
Fotbal,1.kyperská liga,15,9,24,Appolon_Limassol,Limassol_AEL,,,"1,76","3,48","4,36"
Fotbal,1.kyperská liga,15,9,24,Omonia_Aradippu,Aris_Limassol,0,3,"11,50","5,44","1,23"
Fotbal,1.kyperská liga,16,9,24,Omonia_Nikósia,Larnaca_AEK,1,0,"2,21","3,14","3,17"
Fotbal,1.kyperská liga,18,9,24,Paphos_AEP,Salamina_NEA,4,0,"1,23","5,62","10,30"
Fotbal,1.kyperská liga,18,9,24,EN_of_Paralimni,Apoel_Nikósia,0,4,"8,42","4,84","1,31"
Fotbal,1.kyperská liga,20,9,24,Karmiotissa,Omonia_29is_Maiou,1,1,"2,00","3,31","3,52"
Fotbal,1.kyperská liga,21,9,24,Anorthosis_Famagusta,Omonia_Nikósia,1,0,"4,67","3,67","1,67"
Fotbal,1.kyperská liga,21,9,24,Aris_Limassol,Appolon_Limassol,0,0,"1,98","3,34","3,56"
Fotbal,1.kyperská liga,22,9,24,Larnaca_AEK,Ethnikos_Achnas,2,2,"1,33","4,75","8,17"
Fotbal,1.kyperská liga,22,9,24,Limassol_AEL,Paphos_AEP,1,3,"5,13","3,84","1,59"
Fotbal,1.kyperská liga,22,9,24,Apoel_Nikósia,Salamina_NEA,3,1,"1,27","5,15","9,65"
Fotbal,1.kyperská liga,23,9,24,EN_of_Paralimni,Omonia_Aradippu,0,2,"2,33","2,97","3,12"
Fotbal,1.kyperská liga,27,9,24,Salamina_NEA,Larnaca_AEK,1,3,"5,28","3,98","1,55"
Fotbal,1.kyperská liga,27,9,24,Omonia_Nikósia,Limassol_AEL,3,1,"1,38","4,53","7,07"
Fotbal,1.kyperská liga,28,9,24,Ethnikos_Achnas,Anorthosis_Famagusta,2,2,"2,95","3,41","2,21"
Fotbal,1.kyperská liga,28,9,24,Omonia_Aradippu,Karmiotissa,1,1,"2,79","3,49","2,27"
Fotbal,1.kyperská liga,29,9,24,Appolon_Limassol,EN_of_Paralimni,3,1,"1,23","5,04","13,80"
Fotbal,1.kyperská liga,29,9,24,Omonia_29is_Maiou,Apoel_Nikósia,0,0,"9,78","4,98","1,27"
Fotbal,1.kyperská liga,29,9,24,Paphos_AEP,Aris_Limassol,1,1,"2,08","3,32","3,28"
Fotbal,1.kyperská liga,4,10,24,Karmiotissa,Appolon_Limassol,2,0,"4,81","3,83","1,62"
Fotbal,1.kyperská liga,5,10,24,Omonia_29is_Maiou,Omonia_Aradippu,1,2,"2,20","2,92","3,47"
Fotbal,1.kyperská liga,5,10,24,Limassol_AEL,Ethnikos_Achnas,5,2,"2,11","3,64","2,97"
Fotbal,1.kyperská liga,5,10,24,Anorthosis_Famagusta,Salamina_NEA,3,1,"1,94","3,36","3,70"
Fotbal,1.kyperská liga,6,10,24,Aris_Limassol,Omonia_Nikósia,2,0,"2,12","3,26","3,24"
Fotbal,1.kyperská liga,6,10,24,EN_of_Paralimni,Paphos_AEP,1,2,"9,10","5,10","1,28"
Fotbal,1.kyperská liga,6,10,24,Apoel_Nikósia,Larnaca_AEK,0,1,"2,26","3,08","3,14"
Fotbal,1.kyperská liga,19,10,24,Omonia_Nikósia,EN_of_Paralimni,0,1,"1,09","9,14","21,40"
Fotbal,1.kyperská liga,19,10,24,Omonia_Aradippu,Apoel_Nikósia,0,5,"8,85","5,05","1,29"
Fotbal,1.kyperská liga,19,10,24,Paphos_AEP,Karmiotissa,4,0,"1,26","5,17","10,10"
Fotbal,1.kyperská liga,20,10,24,Ethnikos_Achnas,Aris_Limassol,1,2,"6,17","4,58","1,42"
Fotbal,1.kyperská liga,20,10,24,Larnaca_AEK,Anorthosis_Famagusta,1,0,"1,60","3,70","5,24"
Fotbal,1.kyperská liga,20,10,24,Appolon_Limassol,Omonia_29is_Maiou,2,0,"1,38","4,37","7,76"
Fotbal,1.kyperská liga,21,10,24,Salamina_NEA,Limassol_AEL,0,2,"2,49","3,45","2,55"
Fotbal,1.kyperská liga,26,10,24,EN_of_Paralimni,Ethnikos_Achnas,1,1,"3,23","3,47","2,05"
Fotbal,1.kyperská liga,26,10,24,Aris_Limassol,Salamina_NEA,2,1,"1,26","5,18","10,00"
Fotbal,1.kyperská liga,27,10,24,Omonia_Aradippu,Appolon_Limassol,0,1,"6,08","4,02","1,49"
Fotbal,1.kyperská liga,27,10,24,Limassol_AEL,Larnaca_AEK,1,1,"5,09","3,98","1,57"
Fotbal,1.kyperská liga,28,10,24,Karmiotissa,Omonia_Nikósia,2,6,"5,99","4,41","1,45"
Fotbal,1.kyperská liga,28,10,24,Omonia_29is_Maiou,Paphos_AEP,1,2,"10,40","5,46","1,24"
Fotbal,1.kyperská liga,28,10,24,Apoel_Nikósia,Anorthosis_Famagusta,2,0,"1,41","4,22","7,23"
Fotbal,1.kyperská liga,1,11,24,Salamina_NEA,EN_of_Paralimni,1,0,"1,82","3,36","4,21"
Fotbal,1.kyperská liga,2,11,24,Appolon_Limassol,Apoel_Nikósia,0,0,"3,22","2,98","2,27"
Fotbal,1.kyperská liga,2,11,24,Omonia_Nikósia,Omonia_29is_Maiou,1,1,"1,17","6,20","13,70"
Fotbal,1.kyperská liga,2,11,24,Paphos_AEP,Omonia_Aradippu,,,"1,12","7,56","17,40"
Fotbal,1.kyperská liga,3,11,24,Ethnikos_Achnas,Karmiotissa,3,2,"2,07","3,70","3,01"
Fotbal,1.kyperská liga,3,11,24,Larnaca_AEK,Aris_Limassol,2,0,"2,38","3,00","3,02"
Fotbal,1.kyperská liga,4,11,24,Anorthosis_Famagusta,Limassol_AEL,1,0,"2,21","3,16","3,16"
Fotbal,1.kyperská liga,8,11,24,Omonia_29is_Maiou,Ethnikos_Achnas,1,2,"2,99","3,41","2,18"
Fotbal,1.kyperská liga,9,11,24,EN_of_Paralimni,Larnaca_AEK,0,0,"9,60","4,99","1,28"
Fotbal,1.kyperská liga,9,11,24,Karmiotissa,Salamina_NEA,2,2,"2,39","3,40","2,69"
Fotbal,1.kyperská liga,9,11,24,Aris_Limassol,Anorthosis_Famagusta,3,0,"1,47","4,01","6,50"
Fotbal,1.kyperská liga,10,11,24,Omonia_Aradippu,Omonia_Nikósia,3,5,"7,75","4,62","1,35"
Fotbal,1.kyperská liga,10,11,24,Apoel_Nikósia,Limassol_AEL,4,0,"1,24","5,23","10,90"
Fotbal,1.kyperská liga,10,11,24,Appolon_Limassol,Paphos_AEP,0,1,"3,50","3,16","2,07"
Fotbal,1.kyperská liga,23,11,24,Paphos_AEP,Apoel_Nikósia,2,1,"2,21","2,93","3,42"
Fotbal,1.kyperská liga,23,11,24,Salamina_NEA,Omonia_29is_Maiou,0,1,"1,99","3,23","3,66"
Fotbal,1.kyperská liga,23,11,24,Omonia_Nikósia,Appolon_Limassol,3,1,"2,01","3,17","3,66"
Fotbal,1.kyperská liga,24,11,24,Ethnikos_Achnas,Omonia_Aradippu,0,0,"1,67","3,90","4,39"
Fotbal,1.kyperská liga,24,11,24,Anorthosis_Famagusta,EN_of_Paralimni,3,2,"1,53","3,66","6,26"
Fotbal,1.kyperská liga,24,11,24,Limassol_AEL,Aris_Limassol,0,3,"6,58","4,72","1,38"
Fotbal,1.kyperská liga,25,11,24,Larnaca_AEK,Karmiotissa,2,0,"1,21","5,81","11,60"
Fotbal,1.kyperská liga,30,11,24,EN_of_Paralimni,Limassol_AEL,0,0,"3,15","3,31","2,14"
Fotbal,1.kyperská liga,30,11,24,Karmiotissa,Anorthosis_Famagusta,1,1,"3,10","3,24","2,20"
Fotbal,1.kyperská liga,30,11,24,Appolon_Limassol,Ethnikos_Achnas,2,2,"1,45","4,28","6,14"
Fotbal,1.kyperská liga,1,12,24,Omonia_Aradippu,Salamina_NEA,1,0,"2,43","3,41","2,63"
Fotbal,1.kyperská liga,1,12,24,Omonia_29is_Maiou,Larnaca_AEK,1,5,"9,74","4,75","1,29"
Fotbal,1.kyperská liga,2,12,24,Apoel_Nikósia,Aris_Limassol,1,2,"2,68","2,90","2,73"
Fotbal,1.kyperská liga,2,12,24,Paphos_AEP,Omonia_Nikósia,0,1,"1,66","3,76","4,58"
Fotbal,1.kyperská liga,6,12,24,Aris_Limassol,EN_of_Paralimni,2,1,"1,12","7,39","17,00"
Fotbal,1.kyperská liga,6,12,24,Larnaca_AEK,Omonia_Aradippu,1,0,"1,14","6,82","15,80"
Fotbal,1.kyperská liga,7,12,24,Omonia_Nikósia,Apoel_Nikósia,2,2,"2,73","3,02","2,58"
Fotbal,1.kyperská liga,7,12,24,Anorthosis_Famagusta,Omonia_29is_Maiou,2,0,"1,48","3,87","6,56"
Fotbal,1.kyperská liga,8,12,24,Ethnikos_Achnas,Paphos_AEP,0,2,"9,67","5,75","1,23"
Fotbal,1.kyperská liga,8,12,24,Limassol_AEL,Karmiotissa,4,0,"1,96","3,64","3,32"
Fotbal,1.kyperská liga,8,12,24,Salamina_NEA,Appolon_Limassol,1,0,"4,73","3,55","1,69"
Fotbal,1.kyperská liga,13,12,24,Aris_Limassol,Karmiotissa,1,1,"1,13","7,39","14,90"
Fotbal,1.kyperská liga,14,12,24,Limassol_AEL,Omonia_29is_Maiou,1,1,"1,72","3,59","4,46"
Fotbal,1.kyperská liga,14,12,24,Anorthosis_Famagusta,Omonia_Aradippu,3,0,"1,48","3,99","6,22"
Fotbal,1.kyperská liga,15,12,24,Larnaca_AEK,Appolon_Limassol,4,0,"1,57","3,65","5,76"
Fotbal,1.kyperská liga,15,12,24,Apoel_Nikósia,EN_of_Paralimni,2,0,"1,16","6,25","14,60"
Fotbal,1.kyperská liga,15,12,24,Ethnikos_Achnas,Omonia_Nikósia,1,0,"5,20","4,39","1,50"
Fotbal,1.kyperská liga,16,12,24,Salamina_NEA,Paphos_AEP,0,2,"8,92","5,12","1,28"
Fotbal,1.kyperská liga,21,12,24,Omonia_29is_Maiou,Aris_Limassol,0,3,"11,20","5,79","1,21"
Fotbal,1.kyperská liga,21,12,24,Karmiotissa,EN_of_Paralimni,2,0,"1,94","3,33","3,72"
Fotbal,1.kyperská liga,21,12,24,Appolon_Limassol,Anorthosis_Famagusta,2,0,"1,88","3,17","4,22"
Fotbal,1.kyperská liga,22,12,24,Omonia_Aradippu,Limassol_AEL,2,2,"3,15","3,29","2,15"
Fotbal,1.kyperská liga,22,12,24,Paphos_AEP,Larnaca_AEK,0,1,"2,05","3,00","3,80"
Fotbal,1.kyperská liga,22,12,24,Omonia_Nikósia,Salamina_NEA,3,0,"1,25","5,49","9,74"
Fotbal,1.kyperská liga,23,12,24,Ethnikos_Achnas,Apoel_Nikósia,2,2,"4,30","3,78","1,71"
Fotbal,1.kyperská liga,2,1,25,Limassol_AEL,Appolon_Limassol,0,1,"3,37","3,06","2,16"
Fotbal,1.kyperská liga,2,1,25,Anorthosis_Famagusta,Paphos_AEP,0,2,"5,33","3,77","1,58"
Fotbal,1.kyperská liga,3,1,25,EN_of_Paralimni,Omonia_29is_Maiou,2,1,"2,95","2,80","2,58"
Fotbal,1.kyperská liga,3,1,25,Aris_Limassol,Omonia_Aradippu,2,0,"1,10","8,76","17,80"
Fotbal,1.kyperská liga,3,1,25,Larnaca_AEK,Omonia_Nikósia,0,3,"1,95","3,18","3,86"
Fotbal,1.kyperská liga,4,1,25,Apoel_Nikósia,Karmiotissa,3,0,"1,21","5,76","11,40"
Fotbal,1.kyperská liga,4,1,25,Salamina_NEA,Ethnikos_Achnas,0,3,"2,56","3,35","2,53"
Fotbal,1.kyperská liga,6,1,25,Paphos_AEP,Limassol_AEL,4,0,"1,20","5,73","12,70"
Fotbal,1.kyperská liga,7,1,25,Omonia_Aradippu,EN_of_Paralimni,2,0,"2,58","3,02","2,73"
Fotbal,1.kyperská liga,7,1,25,Appolon_Limassol,Aris_Limassol,1,1,"4,46","3,57","1,72"
Fotbal,1.kyperská liga,7,1,25,Omonia_Nikósia,Anorthosis_Famagusta,0,2,"1,36","4,50","8,09"
Fotbal,1.kyperská liga,8,1,25,Omonia_29is_Maiou,Karmiotissa,1,2,"2,63","3,19","2,56"
Fotbal,1.kyperská liga,8,1,25,Ethnikos_Achnas,Larnaca_AEK,2,2,"7,61","4,84","1,34"
Fotbal,1.kyperská liga,8,1,25,Salamina_NEA,Apoel_Nikósia,1,1,"8,03","4,78","1,33"
Fotbal,1.kyperská liga,11,1,25,EN_of_Paralimni,Appolon_Limassol,0,1,"5,94","3,51","1,58"
Fotbal,1.kyperská liga,11,1,25,Aris_Limassol,Paphos_AEP,1,0,"2,67","2,96","2,69"
Fotbal,1.kyperská liga,12,1,25,Larnaca_AEK,Salamina_NEA,2,0,"1,18","6,26","13,10"
Fotbal,1.kyperská liga,12,1,25,Apoel_Nikósia,Omonia_29is_Maiou,4,0,"1,16","6,36","14,10"
Fotbal,1.kyperská liga,12,1,25,Limassol_AEL,Omonia_Nikósia,0,4,"5,04","3,79","1,60"
Fotbal,1.kyperská liga,13,1,25,Karmiotissa,Omonia_Aradippu,3,1,"1,92","3,22","3,95"
