Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.lucemburská liga,14,9,24,Hostert_US,Jeunesse_Esch,0,0,"2,68","3,61","2,19"
Fotbal,1.lucemburská liga,15,9,24,Swift_Hesperange,Victoria_Rosport,5,0,"1,32","4,76","6,74"
Fotbal,1.lucemburská liga,15,9,24,Pétange_CS,Differdange_FC_03,0,1,"4,52","3,73","1,60"
Fotbal,1.lucemburská liga,15,9,24,Fola_Esch_CS,Strassen_UNA,0,1,"5,51","4,09","1,45"
Fotbal,1.lucemburská liga,15,9,24,Dudelange_F91,Racing_Club_Lucemburk,2,4,"1,70","3,82","3,78"
Fotbal,1.lucemburská liga,15,9,24,Hostert_US,Jeunesse_Esch,0,0,"2,68","3,61","2,19"
Fotbal,1.lucemburská liga,15,9,24,Mondercange_FC,Bettembourg,0,2,"3,51","3,06","1,99"
Fotbal,1.lucemburská liga,15,9,24,Mondorf_US,Wiltz_71_FC,3,2,"1,73","3,81","3,67"
Fotbal,1.lucemburská liga,15,9,24,Progres_Niedercom,Rodange_91_FC,5,1,"1,14","7,27","14,20"
Fotbal,1.lucemburská liga,21,9,24,Rodange_91_FC,Pétange_CS,0,0,"5,08","4,32","1,45"
Fotbal,1.lucemburská liga,21,9,24,Fola_Esch_CS,Hostert_US,0,4,"2,86","3,47","2,12"
Fotbal,1.lucemburská liga,21,9,24,Strassen_UNA,Dudelange_F91,0,1,"2,65","3,29","2,34"
Fotbal,1.lucemburská liga,21,9,24,Racing_Club_Lucemburk,Mondorf_US,3,0,"2,12","3,44","2,88"
Fotbal,1.lucemburská liga,21,9,24,Wiltz_71_FC,Progres_Niedercom,1,2,"5,04","3,51","1,57"
Fotbal,1.lucemburská liga,22,9,24,Differdange_FC_03,Swift_Hesperange,0,0,"2,03","3,40","3,09"
Fotbal,1.lucemburská liga,22,9,24,Victoria_Rosport,Mondercange_FC,2,0,"1,61","3,79","4,40"
Fotbal,1.lucemburská liga,22,9,24,Bettembourg,Jeunesse_Esch,1,2,"2,91","3,57","2,06"
Fotbal,1.lucemburská liga,25,9,24,Dudelange_F91,Fola_Esch_CS,6,1,"1,15","7,13","13,30"
Fotbal,1.lucemburská liga,25,9,24,Swift_Hesperange,Rodange_91_FC,4,0,"1,05","12,30","23,60"
Fotbal,1.lucemburská liga,25,9,24,Bettembourg,Hostert_US,2,4,"2,60","3,76","2,18"
Fotbal,1.lucemburská liga,25,9,24,Jeunesse_Esch,Victoria_Rosport,1,1,"2,11","3,33","2,98"
Fotbal,1.lucemburská liga,25,9,24,Mondercange_FC,Differdange_FC_03,1,2,"12,30","6,18","1,18"
Fotbal,1.lucemburská liga,25,9,24,Mondorf_US,Strassen_UNA,1,1,"3,00","3,25","2,13"
Fotbal,1.lucemburská liga,25,9,24,Progres_Niedercom,Racing_Club_Lucemburk,,,"1,69","3,54","4,19"
Fotbal,1.lucemburská liga,25,9,24,Pétange_CS,Wiltz_71_FC,1,0,"1,51","3,92","4,98"
Fotbal,1.lucemburská liga,29,9,24,Dudelange_F91,Hostert_US,3,0,"1,24","5,70","8,27"
Fotbal,1.lucemburská liga,29,9,24,Rodange_91_FC,Mondercange_FC,3,2,"2,62","3,42","2,30"
Fotbal,1.lucemburská liga,29,9,24,Fola_Esch_CS,Mondorf_US,0,4,"5,29","4,26","1,44"
Fotbal,1.lucemburská liga,29,9,24,Strassen_UNA,Progres_Niedercom,1,1,"3,27","3,09","2,07"
Fotbal,1.lucemburská liga,29,9,24,Victoria_Rosport,Bettembourg,1,1,"1,54","4,03","4,63"
Fotbal,1.lucemburská liga,29,9,24,Wiltz_71_FC,Swift_Hesperange,0,0,"10,90","6,52","1,18"
Fotbal,1.lucemburská liga,29,9,24,Differdange_FC_03,Jeunesse_Esch,1,0,"1,32","4,52","7,29"
Fotbal,1.lucemburská liga,29,9,24,Racing_Club_Lucemburk,Pétange_CS,2,1,"1,82","3,41","3,68"
Fotbal,1.lucemburská liga,19,10,24,Swift_Hesperange,Racing_Club_Lucemburk,1,0,"1,56","3,89","4,61"
Fotbal,1.lucemburská liga,20,10,24,Bettembourg,Differdange_FC_03,0,3,"10,20","6,25","1,19"
Fotbal,1.lucemburská liga,20,10,24,Hostert_US,Victoria_Rosport,1,4,"2,59","3,44","2,31"
Fotbal,1.lucemburská liga,20,10,24,Jeunesse_Esch,Rodange_91_FC,3,2,"1,32","4,72","6,72"
Fotbal,1.lucemburská liga,20,10,24,Mondercange_FC,Wiltz_71_FC,0,3,"3,03","3,35","2,07"
Fotbal,1.lucemburská liga,20,10,24,Mondorf_US,Dudelange_F91,2,2,"3,78","3,96","1,68"
Fotbal,1.lucemburská liga,20,10,24,Progres_Niedercom,Fola_Esch_CS,5,2,"1,12","7,80","15,40"
Fotbal,1.lucemburská liga,20,10,24,Pétange_CS,Strassen_UNA,0,1,"2,55","3,04","2,60"
Fotbal,1.lucemburská liga,26,10,24,Strassen_UNA,Swift_Hesperange,0,2,"3,80","3,48","1,78"
Fotbal,1.lucemburská liga,27,10,24,Differdange_FC_03,Victoria_Rosport,3,0,"1,29","4,70","8,01"
Fotbal,1.lucemburská liga,27,10,24,Dudelange_F91,Progres_Niedercom,1,0,"2,66","3,29","2,34"
Fotbal,1.lucemburská liga,27,10,24,Rodange_91_FC,Bettembourg,1,2,"2,75","3,66","2,12"
Fotbal,1.lucemburská liga,27,10,24,Fola_Esch_CS,Pétange_CS,0,0,"5,60","4,34","1,41"
Fotbal,1.lucemburská liga,27,10,24,Mondorf_US,Hostert_US,3,1,"1,52","4,25","4,53"
Fotbal,1.lucemburská liga,27,10,24,Racing_Club_Lucemburk,Mondercange_FC,5,2,"1,31","4,70","7,16"
Fotbal,1.lucemburská liga,27,10,24,Wiltz_71_FC,Jeunesse_Esch,2,3,"2,51","3,31","2,46"
Fotbal,1.lucemburská liga,2,11,24,Pétange_CS,Dudelange_F91,2,2,"3,23","3,27","2,01"
Fotbal,1.lucemburská liga,3,11,24,Bettembourg,Wiltz_71_FC,0,1,"3,25","3,66","1,88"
Fotbal,1.lucemburská liga,3,11,24,Hostert_US,Differdange_FC_03,1,3,"8,58","5,40","1,24"
Fotbal,1.lucemburská liga,3,11,24,Mondercange_FC,Strassen_UNA,1,1,"5,12","4,30","1,45"
Fotbal,1.lucemburská liga,3,11,24,Progres_Niedercom,Mondorf_US,1,1,"1,51","3,99","4,89"
Fotbal,1.lucemburská liga,3,11,24,Swift_Hesperange,Fola_Esch_CS,2,0,"1,05","11,40","24,80"
Fotbal,1.lucemburská liga,3,11,24,Victoria_Rosport,Rodange_91_FC,1,0,"1,38","4,51","5,88"
Fotbal,1.lucemburská liga,3,11,24,Jeunesse_Esch,Racing_Club_Lucemburk,2,1,"3,14","3,48","1,97"
Fotbal,1.lucemburská liga,23,11,24,Dudelange_F91,Swift_Hesperange,4,3,"2,69","3,37","2,28"
Fotbal,1.lucemburská liga,23,11,24,Racing_Club_Lucemburk,Bettembourg,1,0,"1,22","5,52","9,86"
Fotbal,1.lucemburská liga,24,11,24,Rodange_91_FC,Differdange_FC_03,1,5,"15,70","8,13","1,11"
Fotbal,1.lucemburská liga,24,11,24,Fola_Esch_CS,Mondercange_FC,1,0,"2,27","3,22","2,80"
Fotbal,1.lucemburská liga,24,11,24,Progres_Niedercom,Hostert_US,3,2,"1,21","5,84","9,64"
Fotbal,1.lucemburská liga,24,11,24,Strassen_UNA,Jeunesse_Esch,5,0,"1,80","3,37","3,83"
