Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.malajská liga,12,9,24,Darul_Takzim,Pulau_Pinang,5,0,"1,03","16,00","33,00"
Fotbal,1.malajská liga,13,9,24,Selangor,Kuching_FA,4,0,"1,23","5,44","9,13"
Fotbal,1.malajská liga,14,9,24,Negeri_Sembilan,Perak,0,1,"3,13","3,59","1,95"
Fotbal,1.malajská liga,14,9,24,Kuala_Lumpur,Kedah,5,0,"1,24","5,17","9,27"
Fotbal,1.malajská liga,15,9,24,Sabah,Terengganu,1,1,"2,16","3,35","2,88"
Fotbal,1.malajská liga,15,9,24,Pahang,Perbandaran_Selayang_PDRM,5,1,"1,71","3,54","4,10"
Fotbal,1.malajská liga,20,9,24,Kedah,Pahang,2,2,"2,25","3,39","2,71"
Fotbal,1.malajská liga,21,9,24,Perbandaran_Selayang_PDRM,Sabah,1,0,"2,88","3,15","2,25"
Fotbal,1.malajská liga,21,9,24,Perak,Kuala_Lumpur,1,0,"2,39","3,29","2,60"
Fotbal,1.malajská liga,22,9,24,Pulau_Pinang,Negeri_Sembilan,2,2,"1,46","4,11","5,29"
Fotbal,1.malajská liga,22,9,24,Kelantan_United,Darul_Takzim,1,6,"33,00","19,20","1,01"
Fotbal,1.malajská liga,27,9,24,Darul_Takzim,Kuching_FA,2,1,"1,02","18,30","33,00"
Fotbal,1.malajská liga,27,9,24,Negeri_Sembilan,Kelantan_United,2,3,"1,72","3,59","3,96"
Fotbal,1.malajská liga,28,9,24,Terengganu,Selangor,0,1,"3,05","3,37","2,06"
Fotbal,1.malajská liga,28,9,24,Pahang,Perak,0,3,"1,83","3,42","3,64"
Fotbal,1.malajská liga,29,9,24,Kuala_Lumpur,Pulau_Pinang,4,2,"1,50","3,94","5,11"
Fotbal,1.malajská liga,4,10,24,Terengganu,Perbandaran_Selayang_PDRM,1,1,"1,58","3,77","4,58"
Fotbal,1.malajská liga,18,10,24,Kelantan_United,Kuala_Lumpur,1,3,"5,16","4,21","1,46"
Fotbal,1.malajská liga,19,10,24,Perak,Sabah,2,4,"2,71","3,43","2,24"
Fotbal,1.malajská liga,19,10,24,Perbandaran_Selayang_PDRM,Selangor,1,1,"5,65","4,11","1,44"
Fotbal,1.malajská liga,19,10,24,Kedah,Terengganu,1,0,"3,07","3,29","2,07"
Fotbal,1.malajská liga,20,10,24,Kuching_FA,Negeri_Sembilan,1,1,"1,38","4,35","6,19"
Fotbal,1.malajská liga,20,10,24,Pulau_Pinang,Pahang,0,1,"2,47","3,22","2,55"
Fotbal,1.malajská liga,25,10,24,Pulau_Pinang,Sabah,0,4,"2,84","3,42","2,15"
Fotbal,1.malajská liga,25,10,24,Kedah,Perbandaran_Selayang_PDRM,1,1,"1,71","3,58","4,04"
Fotbal,1.malajská liga,25,10,24,Kelantan_United,Pahang,1,1,"4,86","3,98","1,52"
Fotbal,1.malajská liga,26,10,24,Perak,Terengganu,2,2,"3,60","3,49","1,82"
Fotbal,1.malajská liga,26,10,24,Kuching_FA,Kuala_Lumpur,3,1,"3,09","3,28","2,07"
Fotbal,1.malajská liga,27,10,24,Selangor,Darul_Takzim,0,3,"4,97","3,96","1,51"
Fotbal,1.malajská liga,29,10,24,Sabah,Kedah,5,2,"1,45","4,06","5,55"
Fotbal,1.malajská liga,1,11,24,Negeri_Sembilan,Darul_Takzim,0,4,"33,00","18,30","1,02"
Fotbal,1.malajská liga,1,11,24,Terengganu,Pulau_Pinang,1,0,"1,29","4,76","7,69"
Fotbal,1.malajská liga,2,11,24,Pahang,Kuching_FA,,,"1,86","3,38","3,57"
Fotbal,1.malajská liga,2,11,24,Perbandaran_Selayang_PDRM,Perak,1,1,"2,77","2,94","2,47"
Fotbal,1.malajská liga,2,11,24,Kedah,Selangor,0,1,"3,81","3,67","1,73"
Fotbal,1.malajská liga,3,11,24,Sabah,Kelantan_United,4,1,"1,17","6,59","11,80"
Fotbal,1.malajská liga,4,12,24,Perak,Kedah,1,1,"1,65","3,67","4,26"
Fotbal,1.malajská liga,4,12,24,Kelantan_United,Terengganu,1,2,"7,30","4,96","1,29"
Fotbal,1.malajská liga,4,12,24,Kuching_FA,Sabah,1,2,"2,99","3,57","2,02"
Fotbal,1.malajská liga,4,12,24,Pulau_Pinang,Perbandaran_Selayang_PDRM,2,0,"2,09","3,27","3,05"
Fotbal,1.malajská liga,8,12,24,Darul_Takzim,Kuala_Lumpur,3,0,"1,03","14,20","33,00"
Fotbal,1.malajská liga,9,12,24,Negeri_Sembilan,Selangor,0,4,"12,90","6,72","1,16"
Fotbal,1.malajská liga,17,12,24,Kuala_Lumpur,Negeri_Sembilan,2,1,"1,28","4,99","7,85"
Fotbal,1.malajská liga,17,12,24,Perak,Selangor,1,2,"6,05","4,62","1,36"
Fotbal,1.malajská liga,17,12,24,Pahang,Darul_Takzim,1,3,"26,60","13,00","1,04"
Fotbal,1.malajská liga,18,12,24,Perbandaran_Selayang_PDRM,Kelantan_United,5,0,"1,45","3,97","5,69"
Fotbal,1.malajská liga,18,12,24,Kedah,Pulau_Pinang,1,0,"1,68","3,49","4,33"
Fotbal,1.malajská liga,10,1,25,Kelantan_United,Kedah,0,1,"3,77","3,78","1,72"
Fotbal,1.malajská liga,10,1,25,Negeri_Sembilan,Pahang,2,1,"3,96","3,72","1,69"
Fotbal,1.malajská liga,11,1,25,Perbandaran_Selayang_PDRM,Kuching_FA,0,2,"2,63","2,93","2,61"
Fotbal,1.malajská liga,11,1,25,Darul_Takzim,Sabah,4,0,"1,05","11,90","24,80"
Fotbal,1.malajská liga,12,1,25,Selangor,Kuala_Lumpur,1,0,"1,33","4,42","7,32"
Fotbal,1.malajská liga,12,1,25,Pulau_Pinang,Perak,3,3,"1,71","3,39","4,29"
Fotbal,1.malajská liga,24,1,25,Kuching_FA,Kedah,0,0,"1,36","4,23","7,04"
Fotbal,1.malajská liga,25,1,25,Negeri_Sembilan,Sabah,1,2,"5,01","4,25","1,47"
Fotbal,1.malajská liga,25,1,25,Pulau_Pinang,Selangor,1,1,"5,14","3,93","1,49"
Fotbal,1.malajská liga,25,1,25,Terengganu,Darul_Takzim,0,1,"16,10","8,22","1,11"
Fotbal,1.malajská liga,26,1,25,Pahang,Kuala_Lumpur,1,1,"2,26","3,20","2,83"
Fotbal,1.malajská liga,26,1,25,Perak,Kelantan_United,7,0,"1,13","7,22","15,20"
Fotbal,1.malajská liga,5,2,25,Darul_Takzim,Perbandaran_Selayang_PDRM,4,0,"1,02","17,00","33,00"
Fotbal,1.malajská liga,7,2,25,Kuching_FA,Perak,1,1,"1,93","3,40","3,32"
Fotbal,1.malajská liga,7,2,25,Kelantan_United,Pulau_Pinang,1,6,"17,00","9,02","1,09"
Fotbal,1.malajská liga,8,2,25,Selangor,Pahang,2,0,"1,31","4,60","7,67"
Fotbal,1.malajská liga,9,2,25,Negeri_Sembilan,Terengganu,0,2,"6,06","4,39","1,38"
Fotbal,1.malajská liga,14,2,25,Terengganu,Kuala_Lumpur,1,2,"1,67","3,63","4,18"
Fotbal,1.malajská liga,16,2,25,Sabah,Pahang,2,2,"1,60","3,79","4,47"
Fotbal,1.malajská liga,16,2,25,Pulau_Pinang,Kuching_FA,1,1,"2,44","3,09","2,68"
