Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.marocká liga,14,9,24,Fes_MAS,Union_Touarga_Rabat,1,2,"2,50","2,64","3,04"
Fotbal,1.marocká liga,14,9,24,Wydad_Casablanca,Tetouan_MAT,1,0,"1,19","5,33","14,40"
Fotbal,1.marocká liga,15,9,24,Jeunesse_Soualem,Agadir_HUSA,0,1,"2,25","2,81","3,23"
Fotbal,1.marocká liga,15,9,24,Renaissance_Zemamra,El_Jadida_DHJ,1,2,"2,16","2,75","3,53"
Fotbal,1.marocká liga,15,9,24,Rabat_FUS,Chabab_Mohammédia,4,0,"1,24","4,91","11,50"
Fotbal,1.marocká liga,20,9,24,Union_Touarga_Rabat,Wydad_Casablanca,1,1,"5,73","3,23","1,57"
Fotbal,1.marocká liga,20,9,24,Tetouan_MAT,Fes_MAS,1,1,"2,20","2,64","3,58"
Fotbal,1.marocká liga,21,9,24,Agadir_HUSA,Renaissance_Zemamra,0,1,"2,46","2,66","3,06"
Fotbal,1.marocká liga,22,9,24,Meknes_CODM,Jeunesse_Soualem,0,2,"2,34","2,70","3,22"
Fotbal,1.marocká liga,22,9,24,Chabab_Mohammédia,Olympique_de_Safi,1,2,"6,84","3,37","1,48"
Fotbal,1.marocká liga,25,9,24,Olympique_de_Safi,Berkane_RSB,0,2,"4,11","2,64","2,04"
Fotbal,1.marocká liga,25,9,24,Ittihad_Ryadi_Tanger,Raja_Casablanca,3,1,"6,81","3,91","1,40"
Fotbal,1.marocká liga,25,9,24,Rabat_FAR,Meknes_CODM,4,0,"1,20","5,42","13,20"
Fotbal,1.marocká liga,27,9,24,Fes_MAS,Agadir_HUSA,1,0,"1,86","2,89","4,33"
Fotbal,1.marocká liga,28,9,24,Renaissance_Zemamra,Chabab_Mohammédia,3,0,"1,44","3,54","7,24"
Fotbal,1.marocká liga,28,9,24,Wydad_Casablanca,El_Jadida_DHJ,4,1,"1,37","3,93","7,58"
Fotbal,1.marocká liga,28,9,24,Jeunesse_Soualem,Union_Touarga_Rabat,0,0,"2,79","2,67","2,69"
Fotbal,1.marocká liga,29,9,24,Tetouan_MAT,Meknes_CODM,1,1,"1,81","2,89","4,61"
Fotbal,1.marocká liga,29,9,24,Rabat_FUS,Ittihad_Ryadi_Tanger,0,0,"1,72","3,07","4,76"
Fotbal,1.marocká liga,29,9,24,Rabat_FAR,Berkane_RSB,1,1,"1,96","2,89","3,91"
Fotbal,1.marocká liga,29,9,24,Olympique_de_Safi,Raja_Casablanca,2,3,"4,49","2,94","1,81"
Fotbal,1.marocká liga,2,10,24,El_Jadida_DHJ,Rabat_FAR,1,0,"5,42","3,70","1,51"
Fotbal,1.marocká liga,2,10,24,Raja_Casablanca,Rabat_FUS,1,0,"1,79","2,92","4,64"
Fotbal,1.marocká liga,2,10,24,Berkane_RSB,Ittihad_Ryadi_Tanger,0,0,"1,36","4,02","7,53"
Fotbal,1.marocká liga,4,10,24,Union_Touarga_Rabat,Tetouan_MAT,1,0,"1,87","2,84","4,40"
Fotbal,1.marocká liga,4,10,24,Chabab_Mohammédia,Jeunesse_Soualem,0,0,"6,88","3,54","1,45"
Fotbal,1.marocká liga,5,10,24,Meknes_CODM,Fes_MAS,2,0,"3,12","2,66","2,43"
Fotbal,1.marocká liga,5,10,24,Agadir_HUSA,Wydad_Casablanca,1,1,"5,85","3,28","1,55"
Fotbal,1.marocká liga,6,10,24,El_Jadida_DHJ,Olympique_de_Safi,1,2,"2,83","2,53","2,80"
Fotbal,1.marocká liga,6,10,24,Ittihad_Ryadi_Tanger,Rabat_FAR,1,1,"4,64","3,11","1,72"
Fotbal,1.marocká liga,6,10,24,Raja_Casablanca,Renaissance_Zemamra,2,0,"1,31","4,30","8,80"
Fotbal,1.marocká liga,6,10,24,Berkane_RSB,Rabat_FUS,0,1,"1,92","2,79","4,31"
Fotbal,1.marocká liga,18,10,24,Renaissance_Zemamra,Berkane_RSB,1,3,"5,08","3,26","1,62"
Fotbal,1.marocká liga,18,10,24,Jeunesse_Soualem,Raja_Casablanca,2,1,"6,06","3,73","1,46"
Fotbal,1.marocká liga,18,10,24,Rabat_FAR,Rabat_FUS,1,0,"1,74","3,12","4,53"
Fotbal,1.marocká liga,19,10,24,Fes_MAS,El_Jadida_DHJ,1,0,"2,12","2,66","3,78"
Fotbal,1.marocká liga,19,10,24,Union_Touarga_Rabat,Meknes_CODM,0,0,"1,78","3,02","4,48"
Fotbal,1.marocká liga,19,10,24,Tetouan_MAT,Agadir_HUSA,0,2,"2,21","2,65","3,55"
Fotbal,1.marocká liga,19,10,24,Wydad_Casablanca,Chabab_Mohammédia,3,2,"1,11","7,53","19,40"
Fotbal,1.marocká liga,20,10,24,Olympique_de_Safi,Ittihad_Ryadi_Tanger,2,3,"1,94","2,77","4,23"
Fotbal,1.marocká liga,22,10,24,Chabab_Mohammédia,Fes_MAS,0,1,"5,48","3,24","1,59"
Fotbal,1.marocká liga,22,10,24,Agadir_HUSA,Union_Touarga_Rabat,2,1,"2,89","2,61","2,65"
Fotbal,1.marocká liga,22,10,24,El_Jadida_DHJ,Tetouan_MAT,1,0,"1,83","2,84","4,61"
Fotbal,1.marocká liga,22,10,24,Raja_Casablanca,Rabat_FAR,0,0,"2,42","2,70","3,07"
Fotbal,1.marocká liga,23,10,24,Rabat_FUS,Olympique_de_Safi,3,0,"1,90","2,81","4,34"
Fotbal,1.marocká liga,23,10,24,Meknes_CODM,Wydad_Casablanca,2,0,"5,57","3,30","1,57"
Fotbal,1.marocká liga,23,10,24,Berkane_RSB,Jeunesse_Soualem,1,0,"1,37","3,82","8,08"
Fotbal,1.marocká liga,23,10,24,Ittihad_Ryadi_Tanger,Renaissance_Zemamra,0,1,"1,78","3,01","4,52"
Fotbal,1.marocká liga,25,10,24,Fes_MAS,Raja_Casablanca,0,0,"4,64","3,00","1,76"
Fotbal,1.marocká liga,25,10,24,Tetouan_MAT,Chabab_Mohammédia,3,0,"1,57","3,20","5,78"
Fotbal,1.marocká liga,26,10,24,Union_Touarga_Rabat,El_Jadida_DHJ,2,2,"2,29","2,70","3,31"
Fotbal,1.marocká liga,26,10,24,Rabat_FAR,Olympique_de_Safi,1,1,"1,43","3,80","6,43"
Fotbal,1.marocká liga,26,10,24,Agadir_HUSA,Meknes_CODM,3,0,"2,21","2,65","3,55"
Fotbal,1.marocká liga,26,10,24,Jeunesse_Soualem,Ittihad_Ryadi_Tanger,,,"2,65","2,65","2,85"
Fotbal,1.marocká liga,26,10,24,Wydad_Casablanca,Berkane_RSB,0,1,"2,44","2,62","3,15"
Fotbal,1.marocká liga,27,10,24,Renaissance_Zemamra,Rabat_FUS,3,1,"3,91","2,65","2,09"
Fotbal,1.marocká liga,27,10,24,Jeunesse_Soualem,Ittihad_Ryadi_Tanger,2,1,"2,65","2,65","2,85"
Fotbal,1.marocká liga,1,11,24,Olympique_de_Safi,Jeunesse_Soualem,1,0,"2,02","2,79","3,85"
Fotbal,1.marocká liga,2,11,24,Berkane_RSB,Tetouan_MAT,2,1,"1,30","4,17","9,92"
Fotbal,1.marocká liga,2,11,24,Raja_Casablanca,Meknes_CODM,0,0,"1,30","4,34","9,34"
Fotbal,1.marocká liga,2,11,24,Chabab_Mohammédia,Union_Touarga_Rabat,0,3,"6,61","3,70","1,44"
Fotbal,1.marocká liga,2,11,24,El_Jadida_DHJ,Agadir_HUSA,2,0,"2,06","2,73","3,84"
Fotbal,1.marocká liga,3,11,24,Rabat_FAR,Renaissance_Zemamra,1,0,"1,34","4,20","7,87"
