Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.maďarská liga,20,9,24,Budapešť_MTK,Ferencváros_Budapešť,1,3,"5,76","4,20","1,48"
Fotbal,1.maďarská liga,21,9,24,Zalaegerszeg,Kecskeméti,2,1,"2,13","3,24","3,24"
Fotbal,1.maďarská liga,21,9,24,Ujpest_Budapešť,Diosgyor_VTK,0,0,"1,78","3,60","4,08"
Fotbal,1.maďarská liga,21,9,24,Nyíregyháza,Debrecen,3,2,"2,86","3,39","2,27"
Fotbal,1.maďarská liga,22,9,24,Puskas_FC,Fehervar,3,0,"1,58","3,86","5,16"
Fotbal,1.maďarská liga,22,9,24,Raba_Eto_Gyor,Paks_SE,2,1,"2,43","3,50","2,58"
Fotbal,1.maďarská liga,27,9,24,Ujpest_Budapešť,Raba_Eto_Gyor,0,0,"1,84","3,50","3,90"
Fotbal,1.maďarská liga,28,9,24,Diosgyor_VTK,Zalaegerszeg,2,1,"2,20","3,36","3,00"
Fotbal,1.maďarská liga,28,9,24,Kecskeméti,Nyíregyháza,0,2,"2,30","3,25","2,92"
Fotbal,1.maďarská liga,28,9,24,Debrecen,Budapešť_MTK,2,3,"1,93","3,62","3,46"
Fotbal,1.maďarská liga,29,9,24,Fehervar,Paks_SE,1,2,"2,63","3,22","2,54"
Fotbal,1.maďarská liga,29,9,24,Ferencváros_Budapešť,Puskas_FC,3,0,"1,57","3,84","5,26"
Fotbal,1.maďarská liga,4,10,24,Puskas_FC,Debrecen,1,0,"1,58","3,94","5,01"
Fotbal,1.maďarská liga,5,10,24,Raba_Eto_Gyor,Fehervar,3,1,"2,02","3,52","3,26"
Fotbal,1.maďarská liga,5,10,24,Budapešť_MTK,Kecskeméti,3,1,"1,82","3,55","3,93"
Fotbal,1.maďarská liga,5,10,24,Nyíregyháza,Diosgyor_VTK,0,2,"2,10","3,35","3,22"
Fotbal,1.maďarská liga,6,10,24,Zalaegerszeg,Ujpest_Budapešť,0,2,"2,71","3,33","2,40"
Fotbal,1.maďarská liga,6,10,24,Paks_SE,Ferencváros_Budapešť,3,1,"3,94","3,63","1,80"
