Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.mexická liga,2,9,24,U.N.A.M.,Tigres,1,3,"2,09","3,40","3,39"
Fotbal,1.mexická liga,2,9,24,Santos_Laguna,Necaxa,3,2,"2,99","3,63","2,20"
Fotbal,1.mexická liga,14,9,24,Puebla,G.B._Querétaro,2,1,"1,98","3,37","3,78"
Fotbal,1.mexická liga,14,9,24,Atlas,Pachuca,2,0,"2,58","3,02","2,86"
Fotbal,1.mexická liga,14,9,24,Juarez_FC,Mazatlan,1,0,"2,63","3,26","2,63"
Fotbal,1.mexická liga,14,9,24,Tigres,Real_San_Luis,1,0,"1,42","4,79","6,51"
Fotbal,1.mexická liga,14,9,24,Necaxa,U.N.A.M.,2,0,"3,22","3,27","2,22"
Fotbal,1.mexická liga,15,9,24,Toluca,Tijuana_Xoloitzcuintles,4,0,"1,37","5,23","6,83"
Fotbal,1.mexická liga,15,9,24,America,Guadalajara,1,0,"2,00","3,29","3,83"
Fotbal,1.mexická liga,15,9,24,Leon,Cruz_Azul,1,2,"3,98","3,63","1,86"
Fotbal,1.mexická liga,15,9,24,Santos_Laguna,Monterey,0,2,"5,93","4,49","1,49"
Fotbal,1.mexická liga,18,9,24,Real_San_Luis,Cruz_Azul,3,1,"4,47","4,01","1,70"
Fotbal,1.mexická liga,18,9,24,Pachuca,Toluca,2,2,"2,62","3,54","2,50"
Fotbal,1.mexická liga,18,9,24,America,Atlas,3,0,"1,56","3,89","5,91"
Fotbal,1.mexická liga,18,9,24,G.B._Querétaro,Tigres,1,0,"5,36","4,16","1,57"
Fotbal,1.mexická liga,18,9,24,U.N.A.M.,Puebla,1,0,"1,52","4,22","5,91"
Fotbal,1.mexická liga,19,9,24,Guadalajara,Leon,2,0,"1,66","3,90","4,85"
Fotbal,1.mexická liga,19,9,24,Mazatlan,Necaxa,0,0,"2,01","3,50","3,53"
Fotbal,1.mexická liga,19,9,24,Monterey,Juarez_FC,3,2,"1,40","4,84","6,85"
Fotbal,1.mexická liga,21,9,24,Atlas,G.B._Querétaro,0,1,"1,63","3,68","5,49"
Fotbal,1.mexická liga,21,9,24,Puebla,Pachuca,2,3,"4,31","3,90","1,74"
Fotbal,1.mexická liga,22,9,24,Leon,Real_San_Luis,1,0,"2,41","3,76","2,61"
Fotbal,1.mexická liga,22,9,24,Monterey,Mazatlan,0,0,"1,66","3,85","4,89"
Fotbal,1.mexická liga,22,9,24,Necaxa,America,1,1,"3,64","3,55","1,97"
Fotbal,1.mexická liga,22,9,24,Cruz_Azul,Guadalajara,1,0,"1,78","3,65","4,39"
Fotbal,1.mexická liga,23,9,24,U.N.A.M.,Tijuana_Xoloitzcuintles,1,0,"1,51","4,42","5,64"
Fotbal,1.mexická liga,23,9,24,Santos_Laguna,Toluca,2,0,"5,21","4,62","1,52"
Fotbal,1.mexická liga,23,9,24,Juarez_FC,Tigres,0,1,"3,73","3,77","1,89"
Fotbal,1.mexická liga,28,9,24,Puebla,Juarez_FC,2,3,"2,16","3,52","3,14"
Fotbal,1.mexická liga,28,9,24,G.B._Querétaro,Necaxa,0,0,"3,00","3,34","2,31"
Fotbal,1.mexická liga,28,9,24,Tigres,Leon,2,2,"1,38","4,92","7,30"
Fotbal,1.mexická liga,28,9,24,Tijuana_Xoloitzcuintles,Mazatlan,1,0,"2,55","3,36","2,65"
Fotbal,1.mexická liga,29,9,24,Toluca,Atlas,4,1,"1,56","4,20","5,34"
Fotbal,1.mexická liga,29,9,24,Pachuca,Cruz_Azul,2,4,"3,12","3,37","2,22"
Fotbal,1.mexická liga,29,9,24,Guadalajara,Monterey,1,1,"2,15","3,22","3,42"
Fotbal,1.mexická liga,29,9,24,Real_San_Luis,Santos_Laguna,3,1,"1,49","4,50","5,83"
Fotbal,1.mexická liga,30,9,24,America,U.N.A.M.,0,1,"2,08","3,30","3,53"
Fotbal,1.mexická liga,5,10,24,Mazatlan,G.B._Querétaro,2,2,"1,49","4,31","6,11"
Fotbal,1.mexická liga,5,10,24,Tijuana_Xoloitzcuintles,Pachuca,2,1,"2,42","3,53","2,71"
Fotbal,1.mexická liga,6,10,24,Real_San_Luis,Monterey,1,0,"2,83","3,51","2,34"
Fotbal,1.mexická liga,6,10,24,Tigres,Puebla,1,0,"1,30","5,48","8,60"
Fotbal,1.mexická liga,6,10,24,Cruz_Azul,Necaxa,3,0,"1,41","4,75","6,82"
Fotbal,1.mexická liga,6,10,24,Toluca,U.N.A.M.,1,1,"2,08","3,61","3,26"
Fotbal,1.mexická liga,6,10,24,Guadalajara,Atlas,2,3,"1,79","3,30","4,87"
Fotbal,1.mexická liga,6,10,24,Leon,America,1,1,"3,77","3,63","1,91"
Fotbal,1.mexická liga,7,10,24,Santos_Laguna,Juarez_FC,0,2,"3,37","3,69","2,01"
Fotbal,1.mexická liga,19,10,24,Atlas,Mazatlan,0,0,"2,06","3,11","3,87"
Fotbal,1.mexická liga,19,10,24,G.B._Querétaro,Toluca,0,1,"4,34","4,05","1,71"
Fotbal,1.mexická liga,19,10,24,Necaxa,Tijuana_Xoloitzcuintles,1,2,"1,67","4,05","4,56"
Fotbal,1.mexická liga,19,10,24,Puebla,Cruz_Azul,1,2,"5,35","4,32","1,55"
Fotbal,1.mexická liga,20,10,24,Pachuca,Guadalajara,0,2,"2,58","3,19","2,74"
Fotbal,1.mexická liga,20,10,24,Juarez_FC,Leon,2,3,"2,40","3,45","2,78"
Fotbal,1.mexická liga,20,10,24,America,Santos_Laguna,3,0,"1,23","6,14","10,90"
Fotbal,1.mexická liga,20,10,24,Monterey,Tigres,4,2,"2,75","3,13","2,60"
Fotbal,1.mexická liga,20,10,24,U.N.A.M.,Real_San_Luis,3,0,"1,66","3,88","4,88"
Fotbal,1.mexická liga,23,10,24,Santos_Laguna,Pachuca,1,1,"3,91","3,68","1,86"
Fotbal,1.mexická liga,23,10,24,Guadalajara,Necaxa,3,2,"1,75","3,62","4,61"
Fotbal,1.mexická liga,23,10,24,Mazatlan,Tigres,2,0,"3,24","3,38","2,16"
Fotbal,1.mexická liga,23,10,24,Toluca,Puebla,5,0,"1,34","5,22","7,94"
Fotbal,1.mexická liga,24,10,24,Cruz_Azul,Juarez_FC,4,0,"1,26","5,90","9,79"
Fotbal,1.mexická liga,24,10,24,Monterey,U.N.A.M.,0,0,"2,03","3,23","3,80"
Fotbal,1.mexická liga,24,10,24,Leon,Atlas,0,0,"2,41","3,05","3,06"
Fotbal,1.mexická liga,24,10,24,Tijuana_Xoloitzcuintles,America,2,2,"3,08","3,67","2,14"
Fotbal,1.mexická liga,26,10,24,Santos_Laguna,Mazatlan,0,0,"3,35","3,66","2,03"
Fotbal,1.mexická liga,26,10,24,Puebla,Guadalajara,1,0,"3,61","3,54","1,98"
Fotbal,1.mexická liga,27,10,24,Leon,G.B._Querétaro,4,0,"1,84","3,73","3,95"
Fotbal,1.mexická liga,27,10,24,U.N.A.M.,Cruz_Azul,0,2,"2,98","3,08","2,45"
Fotbal,1.mexická liga,27,10,24,Tigres,Pachuca,2,1,"1,63","4,02","4,95"
Fotbal,1.mexická liga,27,10,24,Atlas,Tijuana_Xoloitzcuintles,0,0,"1,84","3,57","4,14"
Fotbal,1.mexická liga,28,10,24,Juarez_FC,Real_San_Luis,2,4,"2,44","3,54","2,68"
Fotbal,1.mexická liga,28,10,24,Necaxa,Toluca,1,3,"2,63","3,60","2,46"
Fotbal,1.mexická liga,28,10,24,America,Monterey,2,1,"1,99","3,41","3,72"
Fotbal,1.mexická liga,2,11,24,G.B._Querétaro,Juarez_FC,1,2,"2,30","3,22","3,10"
Fotbal,1.mexická liga,2,11,24,Mazatlan,America,0,5,"3,32","3,59","2,06"
Fotbal,1.mexická liga,2,11,24,Tijuana_Xoloitzcuintles,Tigres,0,3,"3,31","3,76","2,01"
Fotbal,1.mexická liga,3,11,24,Real_San_Luis,Puebla,2,0,"1,71","3,94","4,45"
Fotbal,1.mexická liga,3,11,24,Toluca,Leon,2,2,"1,49","4,62","5,61"
Fotbal,1.mexická liga,3,11,24,Guadalajara,U.N.A.M.,0,0,"2,19","3,22","3,34"
