Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.nigerijská liga,8,9,24,Kano_Pillars,Ikorodu_City,3,0,"1,68","3,17","4,82"
Fotbal,1.nigerijská liga,8,9,24,Kwara_United_FC,Niger_Tornadoes_FC,1,2,"1,60","3,21","5,39"
Fotbal,1.nigerijská liga,8,9,24,Nasarawa_United,Shooting_Stars,1,1,"1,66","3,02","5,34"
Fotbal,1.nigerijská liga,8,9,24,Bendel_Insurance,Rivers_United_FC,0,0,"1,65","2,97","5,66"
Fotbal,1.nigerijská liga,8,9,24,Abia_Warriors,Remo_Stars,0,2,"1,60","3,24","5,31"
Fotbal,1.nigerijská liga,8,9,24,Plateau_United,Katsina_United,1,0,"1,35","4,01","8,08"
Fotbal,1.nigerijská liga,8,9,24,Heartland_Owerri_FC,Enyimba_International_FC,1,3,"2,62","2,66","2,87"
Fotbal,1.nigerijská liga,9,9,24,Lobi_Stars_FC,Akwa_United,0,0,"1,53","3,31","6,02"
Fotbal,1.nigerijská liga,14,9,24,Rivers_United_FC,Heartland_Owerri_FC,3,1,"1,26","4,73","10,30"
Fotbal,1.nigerijská liga,14,9,24,Remo_Stars,Sunshine_Stars_FC,1,0,"1,53","3,19","6,61"
Fotbal,1.nigerijská liga,15,9,24,Akwa_United,Abia_Warriors,1,1,"1,36","3,79","8,62"
Fotbal,1.nigerijská liga,15,9,24,Bayelsa_United_FC,Kano_Pillars,1,1,"1,56","3,56","5,04"
Fotbal,1.nigerijská liga,15,9,24,Niger_Tornadoes_FC,Nasarawa_United,0,0,"1,53","3,26","6,23"
Fotbal,1.nigerijská liga,15,9,24,Shooting_Stars,Plateau_United,1,1,"1,50","3,35","6,52"
Fotbal,1.nigerijská liga,15,9,24,Katsina_United,Bendel_Insurance,2,1,"1,74","2,90","4,98"
Fotbal,1.nigerijská liga,21,9,24,Lobi_Stars_FC,Rivers_United_FC,0,1,"1,65","3,10","5,17"
Fotbal,1.nigerijská liga,21,9,24,Nasarawa_United,El_Kanemi_Warriors,3,4,"1,66","2,98","5,47"
Fotbal,1.nigerijská liga,22,9,24,Plateau_United,Niger_Tornadoes_FC,1,2,"1,48","3,50","6,31"
Fotbal,1.nigerijská liga,22,9,24,Heartland_Owerri_FC,Katsina_United,0,0,"1,83","2,86","4,57"
Fotbal,1.nigerijská liga,22,9,24,Sunshine_Stars_FC,Abia_Warriors,0,0,"1,48","3,39","6,87"
Fotbal,1.nigerijská liga,25,9,24,Enyimba_International_FC,Lobi_Stars_FC,2,1,"1,35","3,87","8,75"
Fotbal,1.nigerijská liga,25,9,24,Ikorodu_City,Enugu_Rangers_International,0,1,"2,47","2,53","3,22"
Fotbal,1.nigerijská liga,28,9,24,Ikorodu_City,Nasarawa_United,1,2,"1,57","3,07","6,44"
Fotbal,1.nigerijská liga,28,9,24,Akwa_United,Sunshine_Stars_FC,1,2,"1,46","3,44","7,09"
Fotbal,1.nigerijská liga,29,9,24,Niger_Tornadoes_FC,Bendel_Insurance,1,1,"1,53","3,12","6,94"
Fotbal,1.nigerijská liga,29,9,24,Rivers_United_FC,Enyimba_International_FC,2,0,"1,63","3,04","5,54"
Fotbal,1.nigerijská liga,29,9,24,Abia_Warriors,Kano_Pillars,2,0,"1,57","3,39","5,34"
Fotbal,1.nigerijská liga,29,9,24,Bayelsa_United_FC,Kwara_United_FC,1,1,"1,53","3,37","5,93"
Fotbal,1.nigerijská liga,29,9,24,Katsina_United,Lobi_Stars_FC,3,0,"1,79","2,82","4,90"
Fotbal,1.nigerijská liga,29,9,24,Remo_Stars,Enugu_Rangers_International,2,1,"1,72","2,84","5,38"
Fotbal,1.nigerijská liga,29,9,24,Shooting_Stars,Heartland_Owerri_FC,1,0,"1,39","3,88","7,36"
Fotbal,1.nigerijská liga,2,10,24,Bendel_Insurance,Shooting_Stars,1,0,"1,67","2,79","6,22"
Fotbal,1.nigerijská liga,2,10,24,Enyimba_International_FC,Akwa_United,1,0,"1,44","3,50","7,25"
Fotbal,1.nigerijská liga,3,10,24,Enugu_Rangers_International,Bayelsa_United_FC,1,0,"1,46","3,36","7,31"
Fotbal,1.nigerijská liga,5,10,24,Lobi_Stars_FC,Shooting_Stars,1,0,"1,70","3,12","4,75"
Fotbal,1.nigerijská liga,6,10,24,Nasarawa_United,Bayelsa_United_FC,0,0,"1,60","3,18","5,47"
Fotbal,1.nigerijská liga,6,10,24,Kwara_United_FC,Remo_Stars,1,0,"1,84","3,00","4,26"
Fotbal,1.nigerijská liga,6,10,24,Enugu_Rangers_International,Abia_Warriors,1,0,"1,33","4,01","8,80"
Fotbal,1.nigerijská liga,6,10,24,Heartland_Owerri_FC,Niger_Tornadoes_FC,2,0,"1,75","2,95","4,77"
Fotbal,1.nigerijská liga,6,10,24,Kano_Pillars,Sunshine_Stars_FC,2,0,"1,69","2,95","5,23"
Fotbal,1.nigerijská liga,6,10,24,Plateau_United,Ikorodu_City,1,0,"1,29","4,42","9,56"
Fotbal,1.nigerijská liga,6,10,24,Rivers_United_FC,Akwa_United,2,1,"1,45","3,65","6,44"
Fotbal,1.nigerijská liga,7,10,24,Enyimba_International_FC,Katsina_United,3,0,"1,33","4,04","8,72"
Fotbal,1.nigerijská liga,12,10,24,Ikorodu_City,Bendel_Insurance,3,0,"1,68","2,87","5,65"
Fotbal,1.nigerijská liga,12,10,24,Sunshine_Stars_FC,Enugu_Rangers_International,1,0,"1,96","2,55","4,68"
Fotbal,1.nigerijská liga,13,10,24,Bayelsa_United_FC,Plateau_United,1,0,"1,69","3,06","5,01"
Fotbal,1.nigerijská liga,13,10,24,Akwa_United,Kano_Pillars,2,0,"1,46","3,53","6,62"
Fotbal,1.nigerijská liga,13,10,24,Katsina_United,Rivers_United_FC,0,0,"1,86","2,83","4,49"
Fotbal,1.nigerijská liga,13,10,24,Niger_Tornadoes_FC,Lobi_Stars_FC,1,1,"1,45","3,50","7,04"
