Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.nizozemská liga,14,9,24,Twente_Enschede,Zwolle_FC,1,1,"1,28","5,88","10,30"
Fotbal,1.nizozemská liga,14,9,24,Eindhoven_PSV,NEC_Nijmegen,2,0,"1,16","8,26","15,40"
Fotbal,1.nizozemská liga,14,9,24,Groningen,Feyenoord,2,2,"4,70","3,94","1,74"
Fotbal,1.nizozemská liga,14,9,24,Breda_NAC,Sittard_Fortuna,1,0,"3,04","3,37","2,38"
Fotbal,1.nizozemská liga,14,9,24,Alkmaar_AZ,Heerenveen,9,1,"1,38","5,08","7,99"
Fotbal,1.nizozemská liga,15,9,24,Sparta_Rotterdam,Deventer,1,2,"2,06","3,48","3,70"
Fotbal,1.nizozemská liga,15,9,24,Tilburg_Willem,Waalwijk_RKC,3,0,"1,88","3,72","4,14"
Fotbal,1.nizozemská liga,15,9,24,Heracles,Almere_City_FC,0,0,"2,30","3,43","3,13"
Fotbal,1.nizozemská liga,17,9,24,Twente_Enschede,Heerenveen,2,0,"1,30","5,91","9,32"
Fotbal,1.nizozemská liga,18,9,24,Ajax_Amsterdam,Sittard_Fortuna,5,0,"1,30","5,34","10,70"
Fotbal,1.nizozemská liga,20,9,24,Zwolle_FC,Alkmaar_AZ,1,2,"6,76","4,91","1,44"
Fotbal,1.nizozemská liga,21,9,24,Utrecht,Tilburg_Willem,3,2,"1,64","4,00","5,39"
Fotbal,1.nizozemská liga,21,9,24,Waalwijk_RKC,Sparta_Rotterdam,1,2,"4,07","4,04","1,82"
Fotbal,1.nizozemská liga,21,9,24,Deventer,Ajax_Amsterdam,1,1,"4,26","4,10","1,77"
Fotbal,1.nizozemská liga,21,9,24,NEC_Nijmegen,Heracles,1,2,"1,65","4,13","5,09"
Fotbal,1.nizozemská liga,22,9,24,Heerenveen,Groningen,2,1,"2,34","3,65","2,91"
Fotbal,1.nizozemská liga,22,9,24,Almere_City_FC,Twente_Enschede,0,5,"5,91","4,56","1,52"
Fotbal,1.nizozemská liga,22,9,24,Feyenoord,Breda_NAC,2,0,"1,12","9,91","22,80"
Fotbal,1.nizozemská liga,22,9,24,Sittard_Fortuna,Eindhoven_PSV,1,3,"14,50","7,60","1,18"
Fotbal,1.nizozemská liga,27,9,24,Heracles,Heerenveen,2,1,"2,84","3,71","2,37"
Fotbal,1.nizozemská liga,28,9,24,NEC_Nijmegen,Feyenoord,1,1,"5,27","4,26","1,61"
Fotbal,1.nizozemská liga,28,9,24,Sparta_Rotterdam,Sittard_Fortuna,1,1,"1,64","3,95","5,45"
Fotbal,1.nizozemská liga,28,9,24,Tilburg_Willem,Eindhoven_PSV,0,2,"9,88","5,92","1,28"
Fotbal,1.nizozemská liga,29,9,24,Zwolle_FC,Almere_City_FC,1,0,"1,96","3,75","3,76"
Fotbal,1.nizozemská liga,29,9,24,Twente_Enschede,Breda_NAC,1,0,"1,25","6,14","11,90"
Fotbal,1.nizozemská liga,29,9,24,Groningen,Deventer,0,1,"2,71","3,40","2,61"
Fotbal,1.nizozemská liga,29,9,24,Waalwijk_RKC,Ajax_Amsterdam,0,2,"7,35","5,44","1,37"
Fotbal,1.nizozemská liga,29,9,24,Alkmaar_AZ,Utrecht,1,2,"1,60","4,22","5,51"
Fotbal,1.nizozemská liga,4,10,24,Breda_NAC,NEC_Nijmegen,,,"2,90","3,38","2,25"
Fotbal,1.nizozemská liga,4,10,24,Almere_City_FC,Tilburg_Willem,0,1,"2,51","3,08","3,11"
Fotbal,1.nizozemská liga,5,10,24,Heerenveen,Zwolle_FC,,,"1,68","3,94","4,26"
