Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.norská liga W,7,9,24,Lillestrom_SK,Roa_IL_Oslo,1,0,"2,13","2,92","3,34"
Fotbal,1.norská liga W,8,9,24,Arna_Bjornar_Bergen,Kolbotn_IL,1,2,"2,50","3,37","2,43"
Fotbal,1.norská liga W,8,9,24,Sandviken_Bergen_IL,Asane,1,0,"1,07","10,40","21,70"
Fotbal,1.norská liga W,8,9,24,Lyn,Stabaek,0,1,"2,50","2,93","2,74"
Fotbal,1.norská liga W,11,9,24,Roa_IL_Oslo,Valerenga,0,2,"11,50","5,78","1,20"
Fotbal,1.norská liga W,12,9,24,Rosenborg_Trondheim,Arna_Bjornar_Bergen,3,0,"1,08","9,58","18,80"
Fotbal,1.norská liga W,14,9,24,Asane,Lyn,1,0,"2,75","2,86","2,56"
Fotbal,1.norská liga W,14,9,24,Kolbotn_IL,Sandviken_Bergen_IL,0,5,"14,80","7,68","1,12"
Fotbal,1.norská liga W,14,9,24,Stabaek,Lillestrom_SK,1,3,"2,18","3,01","3,13"
Fotbal,1.norská liga W,21,9,24,Arna_Bjornar_Bergen,Asane,1,1,"3,14","3,01","2,17"
Fotbal,1.norská liga W,21,9,24,Kolbotn_IL,Rosenborg_Trondheim,2,1,"8,08","4,53","1,30"
Fotbal,1.norská liga W,21,9,24,Lyn,Lillestrom_SK,2,5,"2,79","2,97","2,43"
Fotbal,1.norská liga W,21,9,24,Sandviken_Bergen_IL,Roa_IL_Oslo,4,0,"1,09","8,77","19,40"
Fotbal,1.norská liga W,4,10,24,Asane,Valerenga,1,3,"13,60","6,83","1,15"
Fotbal,1.norská liga W,5,10,24,Lillestrom_SK,Sandviken_Bergen_IL,0,2,"7,58","4,76","1,30"
Fotbal,1.norská liga W,5,10,24,Roa_IL_Oslo,Kolbotn_IL,0,2,"1,65","3,40","4,64"
Fotbal,1.norská liga W,5,10,24,Stabaek,Arna_Bjornar_Bergen,0,0,"1,34","4,52","6,60"
Fotbal,1.norská liga W,5,10,24,Rosenborg_Trondheim,Lyn,0,2,"1,27","4,80","8,65"
Fotbal,1.norská liga W,12,10,24,Rosenborg_Trondheim,Lillestrom_SK,1,2,"1,48","3,89","5,35"
Fotbal,1.norská liga W,12,10,24,Arna_Bjornar_Bergen,Roa_IL_Oslo,0,0,"3,35","3,00","2,08"
Fotbal,1.norská liga W,12,10,24,Sandviken_Bergen_IL,Stabaek,3,0,"1,14","7,09","14,50"
Fotbal,1.norská liga W,12,10,24,Kolbotn_IL,Asane,0,2,"2,51","2,92","2,75"
Fotbal,1.norská liga W,12,10,24,Valerenga,Lyn,3,0,"1,11","8,15","15,90"
