Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.novozélandská liga,28,9,24,Wellington_Phoenix_II,Eastern_Suburbs,0,2,"4,14","4,56","1,60"
Fotbal,1.novozélandská liga,28,9,24,Coastal_Spirit,Wellington_Olympic,0,0,"7,03","5,57","1,31"
Fotbal,1.novozélandská liga,29,9,24,Western_Suburbs,Cashmere_Technical,0,4,"4,28","4,62","1,58"
Fotbal,1.novozélandská liga,29,9,24,Auckland_City,Birkenhead_United,3,1,"1,57","4,46","4,49"
Fotbal,1.novozélandská liga,29,9,24,Napier_City_Rovers,Western_Springs,4,0,"1,92","4,15","3,11"
Fotbal,1.novozélandská liga,5,10,24,Birkenhead_United,Western_Suburbs,3,3,"1,82","4,24","3,35"
Fotbal,1.novozélandská liga,5,10,24,Western_Springs,Coastal_Spirit,6,2,"2,06","4,08","2,83"
Fotbal,1.novozélandská liga,5,10,24,Wellington_Olympic,Auckland_City,0,1,"2,31","3,87","2,54"
Fotbal,1.novozélandská liga,6,10,24,Eastern_Suburbs,Napier_City_Rovers,2,2,"2,74","3,94","2,15"
Fotbal,1.novozélandská liga,6,10,24,Cashmere_Technical,Wellington_Phoenix_II,0,4,"1,21","6,64","9,00"
Fotbal,1.novozélandská liga,12,10,24,Wellington_Olympic,Eastern_Suburbs,4,1,"1,78","4,04","3,63"
Fotbal,1.novozélandská liga,12,10,24,Western_Springs,Birkenhead_United,1,3,"2,28","4,15","2,48"
Fotbal,1.novozélandská liga,13,10,24,Coastal_Spirit,Western_Suburbs,5,0,"2,01","4,15","2,91"
Fotbal,1.novozélandská liga,13,10,24,Auckland_City,Cashmere_Technical,1,1,"1,70","4,20","3,89"
Fotbal,1.novozélandská liga,13,10,24,Napier_City_Rovers,Wellington_Phoenix_II,1,1,"1,20","6,65","9,86"
Fotbal,1.novozélandská liga,19,10,24,Wellington_Phoenix_II,Coastal_Spirit,0,3,"4,44","4,70","1,54"
Fotbal,1.novozélandská liga,19,10,24,Cashmere_Technical,Wellington_Olympic,2,2,"3,58","4,20","1,77"
Fotbal,1.novozélandská liga,19,10,24,Birkenhead_United,Napier_City_Rovers,4,2,"2,26","4,10","2,52"
Fotbal,1.novozélandská liga,20,10,24,Western_Suburbs,Auckland_City,1,2,"7,64","5,42","1,30"
Fotbal,1.novozélandská liga,20,10,24,Eastern_Suburbs,Western_Springs,0,1,"1,75","4,03","3,77"
Fotbal,1.novozélandská liga,26,10,24,Western_Springs,Wellington_Olympic,2,3,"3,51","4,34","1,76"
Fotbal,1.novozélandská liga,27,10,24,Cashmere_Technical,Coastal_Spirit,3,3,"2,32","3,85","2,55"
Fotbal,1.novozélandská liga,27,10,24,Eastern_Suburbs,Auckland_City,0,3,"3,77","3,88","1,78"
Fotbal,1.novozélandská liga,27,10,24,Western_Suburbs,Napier_City_Rovers,2,4,"2,82","3,92","2,11"
Fotbal,1.novozélandská liga,27,10,24,Birkenhead_United,Wellington_Phoenix_II,4,2,"1,34","5,21","6,73"
Fotbal,1.novozélandská liga,2,11,24,Napier_City_Rovers,Cashmere_Technical,2,1,"2,31","4,13","2,44"
Fotbal,1.novozélandská liga,2,11,24,Wellington_Olympic,Birkenhead_United,1,2,"1,62","4,57","4,05"
Fotbal,1.novozélandská liga,2,11,24,Coastal_Spirit,Eastern_Suburbs,2,1,"1,96","3,96","3,12"
Fotbal,1.novozélandská liga,3,11,24,Auckland_City,Western_Springs,1,2,"1,45","4,58","5,57"
Fotbal,1.novozélandská liga,3,11,24,Wellington_Phoenix_II,Western_Suburbs,2,0,"2,88","4,28","1,99"
Fotbal,1.novozélandská liga,8,11,24,Wellington_Olympic,Western_Suburbs,4,1,"1,20","6,50","10,00"
Fotbal,1.novozélandská liga,9,11,24,Western_Springs,Cashmere_Technical,4,3,"1,97","4,26","2,93"
Fotbal,1.novozélandská liga,10,11,24,Coastal_Spirit,Napier_City_Rovers,1,3,"2,21","4,12","2,58"
Fotbal,1.novozélandská liga,10,11,24,Auckland_City,Wellington_Phoenix_II,3,4,"1,11","8,54","15,60"
Fotbal,1.novozélandská liga,10,11,24,Eastern_Suburbs,Birkenhead_United,2,2,"3,83","4,16","1,72"
Fotbal,1.novozélandská liga,16,11,24,Cashmere_Technical,Eastern_Suburbs,1,0,"1,80","4,17","3,47"
Fotbal,1.novozélandská liga,17,11,24,Napier_City_Rovers,Auckland_City,0,1,"4,12","4,38","1,63"
Fotbal,1.novozélandská liga,17,11,24,Western_Suburbs,Western_Springs,0,4,"3,76","4,53","1,67"
Fotbal,1.novozélandská liga,17,11,24,Birkenhead_United,Coastal_Spirit,2,1,"1,67","4,46","3,84"
Fotbal,1.novozélandská liga,17,11,24,Wellington_Phoenix_II,Wellington_Olympic,3,1,"8,40","5,90","1,25"
Fotbal,1.novozélandská liga,23,11,24,Cashmere_Technical,Birkenhead_United,1,2,"3,24","4,48","1,81"
Fotbal,1.novozélandská liga,23,11,24,Wellington_Olympic,Napier_City_Rovers,2,3,"1,80","4,31","3,38"
Fotbal,1.novozélandská liga,23,11,24,Western_Springs,Wellington_Phoenix_II,5,0,"1,30","5,52","7,49"
Fotbal,1.novozélandská liga,24,11,24,Auckland_City,Coastal_Spirit,5,1,"1,26","5,54","8,86"
Fotbal,1.novozélandská liga,24,11,24,Eastern_Suburbs,Western_Suburbs,0,2,"1,44","4,73","5,48"
Fotbal,1.novozélandská liga,1,12,24,Birkenhead_United,Auckland_City,1,2,"2,79","3,90","2,13"
