Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.německá liga W,2,9,24,Wolfsburg_VfL,Werder_Bremen,3,3,"1,10","8,43","16,10"
Fotbal,1.německá liga W,13,9,24,Bayern_München,Leipzig_FFV,6,2,"1,05","12,20","25,30"
Fotbal,1.německá liga W,14,9,24,Jena_USV,Wolfsburg_VfL,0,1,"18,30","10,70","1,07"
Fotbal,1.německá liga W,14,9,24,Werder_Bremen,Potsdam_71_eV,2,0,"1,30","4,69","7,87"
Fotbal,1.německá liga W,15,9,24,Bayer_04_Leverkusen,Frankfurt_FFC,2,2,"4,05","3,48","1,73"
Fotbal,1.německá liga W,15,9,24,Köln_TuS,Essen-Schönebeck_SG,2,2,"2,58","3,29","2,40"
Fotbal,1.německá liga W,16,9,24,Hoffenheim_1899,Freiburg_SC,2,3,"1,37","4,58","5,84"
Fotbal,1.německá liga W,20,9,24,Leipzig_FFV,Werder_Bremen,2,0,"2,79","3,59","2,12"
Fotbal,1.německá liga W,21,9,24,Freiburg_SC,Jena_USV,1,1,"1,44","4,19","5,42"
Fotbal,1.německá liga W,21,9,24,Essen-Schönebeck_SG,Bayer_04_Leverkusen,0,2,"2,66","2,98","2,54"
Fotbal,1.německá liga W,22,9,24,Potsdam_71_eV,Frankfurt_FFC,0,6,"15,40","7,77","1,12"
Fotbal,1.německá liga W,22,9,24,Wolfsburg_VfL,Köln_TuS,5,1,"1,07","10,40","19,00"
Fotbal,1.německá liga W,23,9,24,Bayern_München,Hoffenheim_1899,5,1,"1,14","7,12","13,60"
Fotbal,1.německá liga W,27,9,24,Bayer_04_Leverkusen,Hoffenheim_1899,2,1,"2,42","3,36","2,52"
Fotbal,1.německá liga W,28,9,24,Köln_TuS,Freiburg_SC,0,2,"2,34","3,51","2,52"
Fotbal,1.německá liga W,28,9,24,Potsdam_71_eV,Leipzig_FFV,0,3,"4,65","3,74","1,58"
Fotbal,1.německá liga W,29,9,24,Werder_Bremen,Bayern_München,0,4,"16,30","8,56","1,10"
Fotbal,1.německá liga W,29,9,24,Frankfurt_FFC,Wolfsburg_VfL,3,0,"4,06","3,83","1,65"
Fotbal,1.německá liga W,30,9,24,Jena_USV,Essen-Schönebeck_SG,0,2,"4,62","3,66","1,60"
Fotbal,1.německá liga W,4,10,24,Wolfsburg_VfL,Leipzig_FFV,5,0,"1,10","8,78","15,40"
Fotbal,1.německá liga W,5,10,24,Freiburg_SC,Potsdam_71_eV,3,0,"1,28","4,93","8,05"
Fotbal,1.německá liga W,5,10,24,Bayer_04_Leverkusen,Jena_USV,,,"1,16","6,59","13,40"
Fotbal,1.německá liga W,5,10,24,Bayern_München,Köln_TuS,1,0,"1,05","11,60","24,80"
