Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.panamská liga,3,9,24,Independiente_de_La_Chorrera,Sporting_San_Miguelito,0,0,"1,91","2,93","4,05"
Fotbal,1.panamská liga,7,9,24,San_Francisco_de_La_Chorrera,Sporting_San_Miguelito,0,1,"2,39","2,71","3,11"
Fotbal,1.panamská liga,8,9,24,Veraguas,Plaza_Amador,0,1,"3,91","3,54","1,74"
Fotbal,1.panamská liga,8,9,24,Árabe_Unido,UMECIT,1,0,"2,39","2,56","3,32"
Fotbal,1.panamská liga,8,9,24,Costa_del_Este,Herrera,2,2,"2,29","3,00","2,95"
Fotbal,1.panamská liga,9,9,24,Alianza_FC,Independiente_de_La_Chorrera,1,0,"2,86","2,71","2,59"
Fotbal,1.panamská liga,10,9,24,Tauro_FC,Union_Deportivo_Universitario,4,1,"1,90","2,99","3,95"
Fotbal,1.panamská liga,14,9,24,Herrera,Tauro_FC,0,1,"3,46","3,24","1,94"
Fotbal,1.panamská liga,15,9,24,Union_Deportivo_Universitario,Árabe_Unido,0,0,"2,85","2,83","2,48"
Fotbal,1.panamská liga,15,9,24,Plaza_Amador,San_Francisco_de_La_Chorrera,1,0,"2,23","2,74","3,36"
Fotbal,1.panamská liga,15,9,24,UMECIT,Alianza_FC,3,1,"2,45","2,57","3,20"
Fotbal,1.panamská liga,16,9,24,Sporting_San_Miguelito,Veraguas,2,1,"1,56","3,44","5,33"
Fotbal,1.panamská liga,17,9,24,Costa_del_Este,Independiente_de_La_Chorrera,1,4,"3,69","2,93","2,00"
Fotbal,1.panamská liga,21,9,24,Alianza_FC,San_Francisco_de_La_Chorrera,3,1,"2,22","2,74","3,38"
Fotbal,1.panamská liga,21,9,24,UMECIT,Plaza_Amador,0,1,"2,98","2,57","2,61"
Fotbal,1.panamská liga,22,9,24,Union_Deportivo_Universitario,Sporting_San_Miguelito,0,2,"2,87","2,67","2,62"
Fotbal,1.panamská liga,22,9,24,Árabe_Unido,Herrera,2,1,"1,74","3,25","4,34"
Fotbal,1.panamská liga,23,9,24,Veraguas,Costa_del_Este,4,0,"2,32","3,08","2,84"
Fotbal,1.panamská liga,24,9,24,Independiente_de_La_Chorrera,Tauro_FC,2,0,"2,48","2,92","2,77"
Fotbal,1.panamská liga,28,9,24,San_Francisco_de_La_Chorrera,Costa_del_Este,1,1,"1,94","3,02","3,76"
Fotbal,1.panamská liga,29,9,24,Veraguas,Alianza_FC,0,2,"2,81","3,06","2,35"
Fotbal,1.panamská liga,29,9,24,Plaza_Amador,Union_Deportivo_Universitario,2,1,"1,62","3,36","4,88"
Fotbal,1.panamská liga,29,9,24,Tauro_FC,UMECIT,1,1,"1,72","3,08","4,76"
Fotbal,1.panamská liga,30,9,24,Sporting_San_Miguelito,Herrera,1,0,"1,60","3,35","5,15"
