Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.portugalská liga,13,9,24,Arouca,Sporting_Lisabon,0,3,"12,20","6,73","1,22"
Fotbal,1.portugalská liga,14,9,24,Casa_Pia,Moreirense,3,1,"3,03","2,90","2,70"
Fotbal,1.portugalská liga,14,9,24,AVS_Vila_das_Aves,Rio_Ave,1,0,"2,82","2,97","2,82"
Fotbal,1.portugalská liga,14,9,24,Benfica_Lisabon,Santa_Clara,4,1,"1,27","5,78","11,70"
Fotbal,1.portugalská liga,14,9,24,Famalicao,Gil_Vicente,1,1,"1,96","3,31","4,32"
Fotbal,1.portugalská liga,15,9,24,Porto_FC,Farense,2,1,"1,12","9,51","23,60"
Fotbal,1.portugalská liga,15,9,24,Estoril,Nacional,1,0,"2,61","3,04","3,00"
Fotbal,1.portugalská liga,15,9,24,Braga,Guimaraes,0,2,"2,05","3,44","3,79"
Fotbal,1.portugalská liga,16,9,24,Amadora,Boavista_Porto,2,2,"2,06","3,15","4,13"
Fotbal,1.portugalská liga,20,9,24,Nacional,Braga,0,3,"4,58","4,04","1,74"
Fotbal,1.portugalská liga,21,9,24,Rio_Ave,Estoril,2,2,"2,00","3,20","4,34"
Fotbal,1.portugalská liga,21,9,24,Santa_Clara,Amadora,1,0,"1,72","3,55","5,50"
Fotbal,1.portugalská liga,21,9,24,Guimaraes,Porto_FC,0,3,"4,18","3,35","1,98"
Fotbal,1.portugalská liga,21,9,24,Moreirense,Famalicao,0,0,"2,95","2,80","2,85"
Fotbal,1.portugalská liga,22,9,24,Gil_Vicente,Casa_Pia,1,1,"2,14","3,10","3,92"
Fotbal,1.portugalská liga,22,9,24,Farense,Arouca,0,1,"2,83","3,40","2,51"
Fotbal,1.portugalská liga,22,9,24,Sporting_Lisabon,AVS_Vila_das_Aves,3,0,"1,11","10,50","23,30"
Fotbal,1.portugalská liga,23,9,24,Boavista_Porto,Benfica_Lisabon,0,3,"14,40","7,47","1,19"
Fotbal,1.portugalská liga,28,9,24,Benfica_Lisabon,Gil_Vicente,5,1,"1,17","7,72","17,40"
Fotbal,1.portugalská liga,29,9,24,Famalicao,Nacional,0,0,"1,73","3,66","5,21"
Fotbal,1.portugalská liga,29,9,24,Casa_Pia,Guimaraes,,,"4,28","3,15","1,88"
Fotbal,1.portugalská liga,29,9,24,Estoril,Sporting_Lisabon,,,"12,70","7,46","1,18"
Fotbal,1.portugalská liga,29,9,24,Amadora,Moreirense,,,"2,87","2,92","2,65"
Fotbal,1.portugalská liga,29,9,24,Porto_FC,Arouca,4,0,"1,21","6,81","14,00"
Fotbal,1.portugalská liga,29,9,24,Braga,Rio_Ave,4,0,"1,57","4,17","5,97"
Fotbal,1.portugalská liga,29,9,24,Santa_Clara,Boavista_Porto,1,0,"1,52","4,05","7,16"
Fotbal,1.portugalská liga,30,9,24,AVS_Vila_das_Aves,Farense,0,0,"2,14","3,34","3,60"
Fotbal,1.portugalská liga,27,9,24,Estoril,Sporting_Lisabon,,,"17,20","8,44","1,15"
Fotbal,1.portugalská liga,28,9,24,Amadora,Moreirense,2,1,"3,28","2,99","2,46"
Fotbal,1.portugalská liga,28,9,24,Casa_Pia,Guimaraes,1,1,"4,34","3,17","2,01"
Fotbal,1.portugalská liga,28,9,24,Estoril,Sporting_Lisabon,0,3,"17,20","8,44","1,15"
Fotbal,1.portugalská liga,4,10,24,Rio_Ave,Famalicao,1,1,"3,04","2,81","2,77"
Fotbal,1.portugalská liga,5,10,24,Gil_Vicente,Amadora,3,0,"1,93","3,42","4,33"
Fotbal,1.portugalská liga,5,10,24,Moreirense,Santa_Clara,1,0,"2,77","2,68","3,20"
Fotbal,1.portugalská liga,5,10,24,Arouca,AVS_Vila_das_Aves,1,1,"2,21","3,11","3,68"
Fotbal,1.portugalská liga,5,10,24,Sporting_Lisabon,Casa_Pia,2,0,"1,12","9,44","23,30"
Fotbal,1.portugalská liga,6,10,24,Farense,Estoril,1,0,"2,13","3,23","3,77"
Fotbal,1.portugalská liga,6,10,24,Guimaraes,Boavista_Porto,2,2,"1,37","4,69","9,80"
Fotbal,1.portugalská liga,6,10,24,Nacional,Benfica_Lisabon,0,0,"11,10","6,28","1,25"
Fotbal,1.portugalská liga,6,10,24,Porto_FC,Braga,2,1,"1,43","4,89","7,04"
Fotbal,1.portugalská liga,25,10,24,Casa_Pia,Nacional,1,0,"2,21","3,23","3,54"
Fotbal,1.portugalská liga,25,10,24,Santa_Clara,Gil_Vicente,2,1,"2,11","2,93","4,39"
Fotbal,1.portugalská liga,26,10,24,Estoril,Arouca,4,1,"3,19","3,10","2,44"
Fotbal,1.portugalská liga,26,10,24,Boavista_Porto,Moreirense,0,2,"3,58","2,97","2,33"
Fotbal,1.portugalská liga,26,10,24,Famalicao,Sporting_Lisabon,0,3,"11,20","5,64","1,28"
Fotbal,1.portugalská liga,27,10,24,Braga,Farense,2,0,"1,30","5,45","10,20"
Fotbal,1.portugalská liga,27,10,24,Benfica_Lisabon,Rio_Ave,5,0,"1,12","9,40","22,40"
Fotbal,1.portugalská liga,27,10,24,Amadora,Guimaraes,2,2,"5,33","3,52","1,74"
Fotbal,1.portugalská liga,28,10,24,AVS_Vila_das_Aves,Porto_FC,0,5,"10,00","5,16","1,33"
Fotbal,1.portugalská liga,2,11,24,Rio_Ave,Casa_Pia,2,2,"2,50","3,09","3,10"
Fotbal,1.portugalská liga,2,11,24,Farense,Benfica_Lisabon,1,2,"22,70","9,70","1,12"
Fotbal,1.portugalská liga,2,11,24,Gil_Vicente,Boavista_Porto,1,2,"1,78","3,50","5,09"
Fotbal,1.portugalská liga,3,11,24,Arouca,Braga,1,2,"4,66","3,89","1,75"
Fotbal,1.portugalská liga,3,11,24,Sporting_Lisabon,Amadora,,,"1,07","13,20","34,00"
Fotbal,1.portugalská liga,3,11,24,Guimaraes,Moreirense,1,0,"1,82","3,33","5,17"
Fotbal,1.portugalská liga,3,11,24,AVS_Vila_das_Aves,Famalicao,2,3,"3,56","2,89","2,39"
Fotbal,1.portugalská liga,3,11,24,Porto_FC,Estoril,4,0,"1,13","8,97","21,90"
Fotbal,1.portugalská liga,4,11,24,Nacional,Santa_Clara,2,0,"2,93","2,99","2,70"
Fotbal,1.portugalská liga,1,11,24,Sporting_Lisabon,Amadora,5,1,"1,08","12,20","30,00"
Fotbal,1.portugalská liga,8,11,24,Moreirense,Gil_Vicente,3,2,"2,21","3,01","3,85"
Fotbal,1.portugalská liga,9,11,24,Casa_Pia,Farense,1,1,"2,00","3,22","4,30"
Fotbal,1.portugalská liga,9,11,24,Estoril,AVS_Vila_das_Aves,0,0,"2,17","3,25","3,62"
Fotbal,1.portugalská liga,9,11,24,Famalicao,Arouca,0,0,"2,32","3,14","3,38"
Fotbal,1.portugalská liga,9,11,24,Boavista_Porto,Rio_Ave,0,2,"2,96","3,15","2,56"
Fotbal,1.portugalská liga,10,11,24,Amadora,Nacional,2,0,"2,24","3,19","3,50"
Fotbal,1.portugalská liga,10,11,24,Santa_Clara,Guimaraes,1,0,"2,78","2,82","3,01"
Fotbal,1.portugalská liga,10,11,24,Braga,Sporting_Lisabon,2,4,"5,22","4,37","1,60"
Fotbal,1.portugalská liga,10,11,24,Benfica_Lisabon,Porto_FC,4,1,"1,92","3,63","4,08"
Fotbal,1.portugalská liga,29,11,24,Farense,Amadora,1,0,"2,35","3,03","3,45"
Fotbal,1.portugalská liga,30,11,24,Rio_Ave,Moreirense,3,2,"2,76","3,11","2,76"
Fotbal,1.portugalská liga,30,11,24,Nacional,Boavista_Porto,0,0,"2,00","3,34","4,10"
Fotbal,1.portugalská liga,30,11,24,Sporting_Lisabon,Santa_Clara,0,1,"1,23","6,40","13,00"
Fotbal,1.portugalská liga,1,12,24,Estoril,Famalicao,2,1,"3,40","2,99","2,40"
Fotbal,1.portugalská liga,1,12,24,Arouca,Benfica_Lisabon,0,2,"12,90","6,85","1,21"
