Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.severoirská liga,7,9,24,Carrick_Rangers,Portadown_FC,0,1,"1,80","3,41","4,23"
Fotbal,1.severoirská liga,7,9,24,Dungannon_Swifts,Glentoran_Belfast,1,0,"3,36","3,56","1,98"
Fotbal,1.severoirská liga,7,9,24,Glenavon_Lurgan,Loughgall,2,2,"2,04","3,52","3,22"
Fotbal,1.severoirská liga,7,9,24,Larne,Ballymena_United,0,1,"1,18","5,92","13,90"
Fotbal,1.severoirská liga,13,9,24,Portadown_FC,Dungannon_Swifts,2,1,"2,87","3,48","2,23"
Fotbal,1.severoirská liga,14,9,24,Ballymena_United,Glentoran_Belfast,1,0,"4,61","3,63","1,69"
Fotbal,1.severoirská liga,14,9,24,Coleraine_Belfast,Carrick_Rangers,3,1,"1,63","3,98","4,57"
Fotbal,1.severoirská liga,14,9,24,Crusaders_Belfast,Glenavon_Lurgan,0,1,"1,38","4,53","7,20"
Fotbal,1.severoirská liga,14,9,24,Linfield_Belfast,Larne,0,1,"1,82","3,37","4,21"
Fotbal,1.severoirská liga,14,9,24,Loughgall,Cliftonville,1,5,"4,23","3,98","1,68"
Fotbal,1.severoirská liga,17,9,24,Carrick_Rangers,Ballymena_United,1,4,"2,43","3,26","2,72"
Fotbal,1.severoirská liga,17,9,24,Cliftonville,Linfield_Belfast,0,0,"3,46","3,19","2,07"
Fotbal,1.severoirská liga,17,9,24,Dungannon_Swifts,Crusaders_Belfast,1,0,"3,04","3,29","2,21"
Fotbal,1.severoirská liga,17,9,24,Glenavon_Lurgan,Larne,0,0,"5,71","3,92","1,53"
Fotbal,1.severoirská liga,17,9,24,Glentoran_Belfast,Loughgall,2,0,"1,31","4,87","8,34"
Fotbal,1.severoirská liga,17,9,24,Portadown_FC,Coleraine_Belfast,2,2,"3,35","3,64","1,96"
Fotbal,1.severoirská liga,20,9,24,Larne,Glentoran_Belfast,2,0,"1,91","3,12","4,16"
Fotbal,1.severoirská liga,21,9,24,Crusaders_Belfast,Portadown_FC,0,3,"1,48","4,11","5,99"
Fotbal,1.severoirská liga,21,9,24,Ballymena_United,Cliftonville,3,2,"3,74","3,55","1,87"
Fotbal,1.severoirská liga,21,9,24,Coleraine_Belfast,Loughgall,2,0,"1,47","4,32","5,79"
