Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.slovenská liga W,7,9,24,Banská_Bystrica,Ružomberok,1,2,"8,69","5,80","1,23"
Fotbal,1.slovenská liga W,7,9,24,Trenčín,Žilina,0,4,"1,29","5,16","6,78"
Fotbal,1.slovenská liga W,14,9,24,Ružomberok,Trnava,1,0,"1,33","4,99","6,12"
Fotbal,1.slovenská liga W,14,9,24,Žilina,Prešov,0,4,"7,62","6,31","1,23"
Fotbal,1.slovenská liga W,21,9,24,Trnava,Komárno,1,1,"4,19","4,47","1,54"
Fotbal,1.slovenská liga W,21,9,24,Trenčín,Myjava,0,9,"29,10","16,70","1,03"
Fotbal,1.slovenská liga W,21,9,24,Prešov,Petržalka,2,0,"1,37","4,79","5,51"
Fotbal,1.slovenská liga W,21,9,24,Banská_Bystrica,Žilina,1,2,"1,82","4,24","3,07"
Fotbal,1.slovenská liga W,24,9,24,Petržalka,Myjava,0,5,"25,00","15,40","1,03"
Fotbal,1.slovenská liga W,28,9,24,Trnava,Žilina,1,0,"1,61","3,81","4,35"
Fotbal,1.slovenská liga W,28,9,24,Myjava,Ružomberok,5,0,"1,02","18,00","33,00"
Fotbal,1.slovenská liga W,28,9,24,Petržalka,Banská_Bystrica,2,0,"1,71","3,79","3,78"
Fotbal,1.slovenská liga W,2,10,24,Myjava,Slovan_Bratislava,4,2,"1,21","6,15","8,94"
Fotbal,1.slovenská liga W,5,10,24,Banská_Bystrica,Trenčín,4,0,"2,08","4,16","2,59"
Fotbal,1.slovenská liga W,5,10,24,Prešov,Myjava,0,5,"33,00","18,80","1,02"
Fotbal,1.slovenská liga W,5,10,24,Ružomberok,Komárno,1,1,"1,60","4,31","3,94"
Fotbal,1.slovenská liga W,5,10,24,Trnava,Petržalka,0,0,"1,80","3,62","3,53"
Fotbal,1.slovenská liga W,5,10,24,Slovan_Bratislava,Žilina,5,0,"1,00","22,00","33,00"
Fotbal,1.slovenská liga W,9,10,24,Petržalka,Trenčín,2,2,"1,25","5,59","7,53"
Fotbal,1.slovenská liga W,12,10,24,Slovan_Bratislava,Petržalka,8,1,"1,06","11,20","24,70"
Fotbal,1.slovenská liga W,12,10,24,Ružomberok,Žilina,2,1,"1,07","9,79","19,80"
Fotbal,1.slovenská liga W,12,10,24,Banská_Bystrica,Prešov,0,5,"7,80","5,23","1,26"
Fotbal,1.slovenská liga W,12,10,24,Trnava,Trenčín,3,2,"1,29","5,13","6,87"
Fotbal,1.slovenská liga W,12,10,24,Myjava,Komárno,3,0,"1,01","18,30","33,00"
Fotbal,1.slovenská liga W,19,10,24,Prešov,Trnava,3,2,"1,39","4,48","5,79"
Fotbal,1.slovenská liga W,19,10,24,Trenčín,Slovan_Bratislava,0,8,"19,70","12,40","1,05"
Fotbal,1.slovenská liga W,19,10,24,Žilina,Komárno,1,4,"4,95","4,55","1,44"
Fotbal,1.slovenská liga W,19,10,24,Banská_Bystrica,Myjava,1,7,"32,00","18,10","1,02"
Fotbal,1.slovenská liga W,19,10,24,Petržalka,Ružomberok,2,1,"4,81","3,83","1,54"
Fotbal,1.slovenská liga W,31,10,24,Slovan_Bratislava,Prešov,1,3,"1,12","8,44","13,10"
