Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.thajská liga,12,9,24,Port_FC,Buriram_United_FC,0,0,"3,03","3,69","1,96"
Fotbal,1.thajská liga,14,9,24,Nakhon_Pathom,Chiangrai_United,,,"2,11","3,24","3,04"
Fotbal,1.thajská liga,15,9,24,Muang_Thong_United,Sukhothai,4,2,"1,33","4,65","6,69"
Fotbal,1.thajská liga,15,9,24,Prachuap,Khon_Kaen_United,1,0,"1,43","4,19","5,59"
Fotbal,1.thajská liga,14,9,24,Nakhon_Ratchasima,Bangkok_United,1,1,"5,58","4,30","1,42"
Fotbal,1.thajská liga,14,9,24,Pathum_United_BG,Nong_Bua_Pitchaya,1,1,"1,33","4,66","6,71"
Fotbal,1.thajská liga,15,9,24,Uthai_Thani,Rayong_PTT,3,1,"1,74","3,49","3,97"
Fotbal,1.thajská liga,15,9,24,Lamphun_Warrior,Ratchaburi,1,0,"2,23","3,15","2,91"
Fotbal,1.thajská liga,20,9,24,Khon_Kaen_United,Nakhon_Pathom,0,0,"2,20","3,26","2,88"
Fotbal,1.thajská liga,21,9,24,Nong_Bua_Pitchaya,Uthai_Thani,3,2,"2,38","3,35","2,57"
Fotbal,1.thajská liga,21,9,24,Ratchaburi,Nakhon_Ratchasima,4,0,"1,38","4,13","6,65"
Fotbal,1.thajská liga,21,9,24,Sukhothai,Lamphun_Warrior,4,0,"2,88","3,31","2,17"
Fotbal,1.thajská liga,22,9,24,Rayong_PTT,Bangkok_United,0,3,"5,98","4,07","1,42"
Fotbal,1.thajská liga,22,9,24,Port_FC,Pathum_United_BG,1,2,"1,94","3,63","3,12"
Fotbal,1.thajská liga,22,9,24,Buriram_United_FC,Prachuap,6,0,"1,28","4,90","7,81"
Fotbal,1.thajská liga,26,9,24,Nakhon_Pathom,Sukhothai,,,"2,09","3,39","2,97"
Fotbal,1.thajská liga,27,9,24,Muang_Thong_United,Khon_Kaen_United,0,0,"1,21","5,75","9,70"
Fotbal,1.thajská liga,27,9,24,Bangkok_United,Ratchaburi,0,0,"1,66","3,70","4,16"
Fotbal,1.thajská liga,28,9,24,Nakhon_Ratchasima,Nong_Bua_Pitchaya,2,1,"2,29","3,26","2,75"
Fotbal,1.thajská liga,28,9,24,Prachuap,Port_FC,0,0,"3,10","3,48","1,99"
Fotbal,1.thajská liga,29,9,24,Lamphun_Warrior,Rayong_PTT,4,1,"1,57","3,71","4,75"
Fotbal,1.thajská liga,28,9,24,Nakhon_Pathom,Sukhothai,0,1,"2,09","3,41","2,95"
Fotbal,1.thajská liga,29,9,24,Uthai_Thani,Chiangrai_United,3,0,"1,68","3,55","4,24"
Fotbal,1.thajská liga,4,10,24,Chiangrai_United,Lamphun_Warrior,2,0,"3,46","2,77","2,17"
