Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.tuniská liga,14,9,24,Gafsa_EGS,Esperance_Zarzis,1,3,"2,53","2,53","3,14"
Fotbal,1.tuniská liga,15,9,24,Tataouine,Bizertin_CA,2,0,"3,20","2,56","2,46"
Fotbal,1.tuniská liga,22,9,24,Club_Africain,Jeunesse_Sportive_Omrane,2,0,"1,43","3,56","7,20"
Fotbal,1.tuniská liga,25,9,24,Sfaxien_Club_Sportif,Ben_Guerdane,1,0,"2,04","2,75","3,88"
Fotbal,1.tuniská liga,25,9,24,Slimane,Espérance,1,2,"8,43","4,25","1,32"
Fotbal,1.tuniská liga,26,9,24,Stade_Tunis,Métlaoui,1,0,"1,50","3,28","6,85"
Fotbal,1.tuniská liga,26,9,24,Monastir_US,Etoile_de_Sahel,1,0,"1,88","2,74","4,59"
Fotbal,1.tuniská liga,28,9,24,Bizertin_CA,Slimane,0,0,"1,75","2,88","4,99"
Fotbal,1.tuniská liga,28,9,24,Gafsa_EGS,Club_Africain,0,3,"5,28","2,97","1,68"
Fotbal,1.tuniská liga,28,9,24,Jeunesse_Sportive_Omrane,Sfaxien_Club_Sportif,,,"4,14","2,94","1,88"
Fotbal,1.tuniská liga,29,9,24,Ben_Guerdane,Olympique_Béja,0,1,"2,12","2,47","4,22"
Fotbal,1.tuniská liga,29,9,24,Etoile_de_Sahel,Tataouine,2,0,"1,28","4,52","9,40"
Fotbal,1.tuniská liga,29,9,24,Gabes_AS,Monastir_US,0,0,"3,41","2,70","2,24"
Fotbal,1.tuniská liga,29,9,24,Esperance_Zarzis,Métlaoui,1,0,"1,70","2,98","5,08"
Fotbal,1.tuniská liga,29,9,24,Jeunesse_Sportive_Omrane,Sfaxien_Club_Sportif,1,0,"3,58","2,55","2,28"
Fotbal,1.tuniská liga,29,9,24,Espérance,Stade_Tunis,2,2,"1,31","4,10","9,78"
Fotbal,1.tuniská liga,3,10,24,Slimane,Etoile_de_Sahel,0,0,"4,78","2,66","1,88"
Fotbal,1.tuniská liga,3,10,24,Sfaxien_Club_Sportif,Gafsa_EGS,2,0,"1,33","3,97","9,46"
Fotbal,1.tuniská liga,3,10,24,Métlaoui,Espérance,1,1,"10,50","4,43","1,28"
Fotbal,1.tuniská liga,3,10,24,Monastir_US,Ben_Guerdane,2,1,"1,53","3,24","6,31"
Fotbal,1.tuniská liga,3,10,24,Stade_Tunis,Bizertin_CA,1,0,"1,71","3,00","4,97"
Fotbal,1.tuniská liga,3,10,24,Tataouine,Gabes_AS,1,2,"2,33","2,62","3,35"
Fotbal,1.tuniská liga,3,10,24,Club_Africain,Esperance_Zarzis,1,0,"1,39","3,53","8,77"
Fotbal,1.tuniská liga,19,10,24,Bizertin_CA,Métlaoui,1,1,"1,76","2,81","5,16"
Fotbal,1.tuniská liga,19,10,24,Jeunesse_Sportive_Omrane,Monastir_US,1,2,"3,45","2,57","2,31"
Fotbal,1.tuniská liga,19,10,24,Club_Africain,Sfaxien_Club_Sportif,0,0,"1,84","2,61","5,16"
Fotbal,1.tuniská liga,20,10,24,Ben_Guerdane,Tataouine,2,0,"1,45","3,69","6,38"
Fotbal,1.tuniská liga,20,10,24,Etoile_de_Sahel,Stade_Tunis,0,1,"1,99","2,41","4,96"
Fotbal,1.tuniská liga,20,10,24,Gafsa_EGS,Olympique_Béja,0,2,"3,09","2,42","2,68"
Fotbal,1.tuniská liga,26,10,24,Métlaoui,Etoile_de_Sahel,0,0,"3,41","2,48","2,42"
Fotbal,1.tuniská liga,26,10,24,Olympique_Béja,Club_Africain,1,1,"3,49","2,41","2,44"
Fotbal,1.tuniská liga,26,10,24,Tataouine,Jeunesse_Sportive_Omrane,2,4,"3,04","2,64","2,50"
Fotbal,1.tuniská liga,26,10,24,Espérance,Bizertin_CA,0,0,"1,21","5,13","12,80"
Fotbal,1.tuniská liga,27,10,24,Sfaxien_Club_Sportif,Esperance_Zarzis,1,1,"1,39","3,50","9,20"
Fotbal,1.tuniská liga,27,10,24,Monastir_US,Gafsa_EGS,2,0,"1,22","5,06","13,00"
Fotbal,1.tuniská liga,27,10,24,Slimane,Ben_Guerdane,0,0,"2,48","2,49","3,28"
Fotbal,1.tuniská liga,27,10,24,Stade_Tunis,Gabes_AS,2,1,"1,49","3,41","6,40"
Fotbal,1.tuniská liga,2,11,24,Jeunesse_Sportive_Omrane,Slimane,0,0,"1,49","3,47","6,17"
Fotbal,1.tuniská liga,2,11,24,Ben_Guerdane,Stade_Tunis,0,0,"2,64","2,88","2,64"
Fotbal,1.tuniská liga,2,11,24,Gabes_AS,Métlaoui,1,0,"2,07","2,73","3,80"
Fotbal,1.tuniská liga,2,11,24,Club_Africain,Monastir_US,0,0,"2,07","2,47","4,40"
Fotbal,1.tuniská liga,3,11,24,Sfaxien_Club_Sportif,Olympique_Béja,0,0,"1,87","2,58","5,11"
Fotbal,1.tuniská liga,3,11,24,Etoile_de_Sahel,Espérance,0,2,"5,17","2,79","1,76"
Fotbal,1.tuniská liga,3,11,24,Gafsa_EGS,Tataouine,2,0,"1,73","3,02","4,74"
