Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.turecká liga,14,9,24,Samsunspor,Kombassan_Konyaspor,0,1,"1,81","3,25","4,46"
Fotbal,1.turecká liga,14,9,24,Sivasspor,Gaziantepspor_BB,3,2,"2,05","3,20","3,49"
Fotbal,1.turecká liga,14,9,24,Bodrumspor,Istanbul_Büyüksehir,0,1,"2,84","2,90","2,59"
Fotbal,1.turecká liga,14,9,24,Galatasaray,Caykur_Rizespor,5,0,"1,30","5,12","8,08"
Fotbal,1.turecká liga,15,9,24,Kasimpasa_SK_Istanbul,Fenerbahce,0,2,"5,63","4,47","1,46"
Fotbal,1.turecká liga,15,9,24,Kayserispor_II,Eyüp_SK_Istanbul,2,2,"2,48","3,22","2,69"
Fotbal,1.turecká liga,15,9,24,Alanyaspor_K,Hatayspor_Antakya,0,0,"1,74","3,38","4,67"
Fotbal,1.turecká liga,15,9,24,Trabzonspor,Besiktas,1,1,"2,73","3,26","2,43"
Fotbal,1.turecká liga,16,9,24,Antalyaspor,Demirspor,2,1,"1,79","3,71","3,90"
Fotbal,1.turecká liga,15,9,24,Samsunspor,Kombassan_Konyaspor,0,1,"1,81","3,25","4,46"
Fotbal,1.turecká liga,15,9,24,Bodrumspor,Istanbul_Büyüksehir,0,1,"2,84","2,90","2,59"
Fotbal,1.turecká liga,15,9,24,Galatasaray,Caykur_Rizespor,5,0,"1,30","5,12","8,08"
Fotbal,1.turecká liga,15,9,24,Sivasspor,Gaziantepspor_BB,3,2,"2,05","3,20","3,49"
Fotbal,1.turecká liga,17,9,24,Galatasaray,Gaziantepspor_BB,3,1,"1,19","6,17","11,40"
Fotbal,1.turecká liga,18,9,24,Samsunspor,Istanbul_Büyüksehir,2,0,"2,12","2,93","3,68"
Fotbal,1.turecká liga,19,9,24,Trabzonspor,Kayserispor_II,2,2,"1,55","3,98","5,32"
Fotbal,1.turecká liga,20,9,24,Hatayspor_Antakya,Bodrumspor,0,1,"2,23","2,83","3,53"
Fotbal,1.turecká liga,21,9,24,Kombassan_Konyaspor,Sivasspor,0,0,"1,86","3,21","4,26"
Fotbal,1.turecká liga,21,9,24,Fenerbahce,Galatasaray,1,3,"2,19","3,45","2,96"
Fotbal,1.turecká liga,22,9,24,Kasimpasa_SK_Istanbul,Antalyaspor,0,0,"1,80","3,75","3,79"
Fotbal,1.turecká liga,22,9,24,Caykur_Rizespor,Samsunspor,0,1,"2,68","3,04","2,62"
Fotbal,1.turecká liga,22,9,24,Demirspor,Alanyaspor_K,0,2,"2,98","3,52","2,15"
Fotbal,1.turecká liga,22,9,24,Besiktas,Eyüp_SK_Istanbul,2,1,"1,38","4,66","6,81"
Fotbal,1.turecká liga,23,9,24,Gaziantepspor_BB,Trabzonspor,0,0,"2,94","3,36","2,24"
Fotbal,1.turecká liga,23,9,24,Göztepe,Kayserispor_II,3,0,"1,77","3,55","4,18"
Fotbal,1.turecká liga,28,9,24,Samsunspor,Göztepe,4,3,"1,97","3,08","3,95"
Fotbal,1.turecká liga,28,9,24,Alanyaspor_K,Caykur_Rizespor,1,0,"2,12","3,19","3,33"
Fotbal,1.turecká liga,28,9,24,Galatasaray,Kasimpasa_SK_Istanbul,3,3,"1,27","5,56","8,29"
Fotbal,1.turecká liga,29,9,24,Trabzonspor,Kombassan_Konyaspor,3,2,"1,81","3,32","4,35"
Fotbal,1.turecká liga,29,9,24,Antalyaspor,Fenerbahce,0,2,"6,47","4,42","1,42"
Fotbal,1.turecká liga,29,9,24,Bodrumspor,Demirspor,3,1,"1,77","3,53","4,25"
Fotbal,1.turecká liga,29,9,24,Eyüp_SK_Istanbul,Gaziantepspor_BB,3,2,"1,68","3,63","4,67"
Fotbal,1.turecká liga,29,9,24,Sivasspor,Istanbul_Büyüksehir,,,"2,76","3,09","2,51"
Fotbal,1.turecká liga,30,9,24,Kayserispor_II,Besiktas,0,3,"4,45","4,15","1,62"
Fotbal,1.turecká liga,27,9,24,Sivasspor,Istanbul_Büyüksehir,1,2,"2,82","3,01","2,52"
Fotbal,1.turecká liga,4,10,24,Caykur_Rizespor,Antalyaspor,2,1,"1,84","3,53","3,88"
Fotbal,1.turecká liga,5,10,24,Göztepe,Sivasspor,3,2,"1,67","3,53","4,93"
Fotbal,1.turecká liga,5,10,24,Istanbul_Büyüksehir,Kayserispor_II,1,1,"1,69","3,75","4,44"
Fotbal,1.turecká liga,5,10,24,Hatayspor_Antakya,Trabzonspor,1,1,"3,09","3,15","2,25"
Fotbal,1.turecká liga,6,10,24,Kombassan_Konyaspor,Eyüp_SK_Istanbul,2,1,"2,38","3,07","2,95"
Fotbal,1.turecká liga,6,10,24,Demirspor,Samsunspor,1,3,"4,55","3,87","1,65"
Fotbal,1.turecká liga,6,10,24,Galatasaray,Alanyaspor_K,1,0,"1,27","5,41","8,77"
Fotbal,1.turecká liga,6,10,24,Gaziantepspor_BB,Besiktas,1,1,"4,02","3,68","1,77"
Fotbal,1.turecká liga,6,10,24,Kasimpasa_SK_Istanbul,Bodrumspor,,,"2,03","3,25","3,50"
Fotbal,1.turecká liga,5,10,24,Kasimpasa_SK_Istanbul,Bodrumspor,0,0,"1,79","3,38","4,37"
Fotbal,1.turecká liga,19,10,24,Kayserispor_II,Gaziantepspor_BB,2,2,"2,26","3,35","2,91"
Fotbal,1.turecká liga,19,10,24,Trabzonspor,Istanbul_Büyüksehir,1,0,"2,04","3,35","3,36"
Fotbal,1.turecká liga,19,10,24,Antalyaspor,Galatasaray,0,3,"5,59","4,40","1,47"
Fotbal,1.turecká liga,20,10,24,Besiktas,Kombassan_Konyaspor,2,0,"1,44","4,16","6,69"
Fotbal,1.turecká liga,19,10,24,Eyüp_SK_Istanbul,Göztepe,1,0,"2,00","3,31","3,52"
Fotbal,1.turecká liga,20,10,24,Sivasspor,Hatayspor_Antakya,3,2,"2,20","3,11","3,22"
Fotbal,1.turecká liga,20,10,24,Alanyaspor_K,Kasimpasa_SK_Istanbul,1,2,"2,50","3,12","2,74"
Fotbal,1.turecká liga,20,10,24,Samsunspor,Fenerbahce,2,2,"3,90","3,34","1,89"
Fotbal,1.turecká liga,21,10,24,Bodrumspor,Caykur_Rizespor,0,1,"2,38","2,96","3,06"
Fotbal,1.turecká liga,25,10,24,Demirspor,Sivasspor,2,4,"2,58","3,35","2,51"
Fotbal,1.turecká liga,26,10,24,Hatayspor_Antakya,Kayserispor_II,0,1,"2,08","3,34","3,27"
Fotbal,1.turecká liga,26,10,24,Kasimpasa_SK_Istanbul,Samsunspor,1,4,"2,03","3,27","3,46"
Fotbal,1.turecká liga,26,10,24,Göztepe,Trabzonspor,2,1,"2,41","3,32","2,71"
Fotbal,1.turecká liga,27,10,24,Gaziantepspor_BB,Kombassan_Konyaspor,3,1,"2,61","2,88","2,83"
Fotbal,1.turecká liga,27,10,24,Alanyaspor_K,Antalyaspor,1,2,"1,99","3,23","3,65"
Fotbal,1.turecká liga,27,10,24,Fenerbahce,Bodrumspor,2,0,"1,24","5,21","11,30"
Fotbal,1.turecká liga,27,10,24,Galatasaray,Besiktas,,,"1,76","3,89","3,88"
Fotbal,1.turecká liga,28,10,24,Istanbul_Büyüksehir,Eyüp_SK_Istanbul,1,1,"2,11","3,40","3,35"
Fotbal,1.turecká liga,28,10,24,Galatasaray,Besiktas,2,1,"1,74","4,31","4,24"
Fotbal,1.turecká liga,1,11,24,Gaziantepspor_BB,Göztepe,2,1,"2,34","3,27","2,84"
Fotbal,1.turecká liga,2,11,24,Sivasspor,Caykur_Rizespor,2,1,"2,61","3,12","2,62"
Fotbal,1.turecká liga,2,11,24,Kayserispor_II,Demirspor,0,0,"1,46","4,35","5,94"
Fotbal,1.turecká liga,2,11,24,Besiktas,Kasimpasa_SK_Istanbul,1,3,"1,53","4,26","5,13"
Fotbal,1.turecká liga,3,11,24,Kombassan_Konyaspor,Istanbul_Büyüksehir,3,2,"2,52","2,86","2,94"
Fotbal,1.turecká liga,3,11,24,Eyüp_SK_Istanbul,Hatayspor_Antakya,2,0,"1,64","3,70","4,84"
Fotbal,1.turecká liga,3,11,24,Trabzonspor,Fenerbahce,2,3,"3,84","3,61","1,83"
Fotbal,1.turecká liga,3,11,24,Bodrumspor,Alanyaspor_K,0,0,"2,41","2,87","3,11"
Fotbal,1.turecká liga,3,11,24,Samsunspor,Antalyaspor,,,"1,78","3,46","4,27"
Fotbal,1.turecká liga,4,11,24,Samsunspor,Antalyaspor,2,0,"1,56","3,74","5,65"
Fotbal,1.turecká liga,8,11,24,Kasimpasa_SK_Istanbul,Kayserispor_II,1,2,"1,79","3,58","4,09"
Fotbal,1.turecká liga,9,11,24,Antalyaspor,Bodrumspor,3,2,"2,36","2,88","3,18"
Fotbal,1.turecká liga,9,11,24,Hatayspor_Antakya,Gaziantepspor_BB,3,1,"2,25","3,22","3,03"
Fotbal,1.turecká liga,9,11,24,Demirspor,Eyüp_SK_Istanbul,0,1,"3,51","3,37","1,98"
Fotbal,1.turecká liga,9,11,24,Caykur_Rizespor,Trabzonspor,3,1,"2,40","3,33","2,72"
Fotbal,1.turecká liga,10,11,24,Göztepe,Kombassan_Konyaspor,2,0,"1,93","3,27","3,85"
Fotbal,1.turecká liga,10,11,24,Galatasaray,Samsunspor,3,2,"1,35","4,85","7,27"
Fotbal,1.turecká liga,10,11,24,Istanbul_Büyüksehir,Besiktas,0,0,"3,24","3,31","2,10"
Fotbal,1.turecká liga,10,11,24,Fenerbahce,Sivasspor,4,0,"1,15","7,04","14,10"
Fotbal,1.turecká liga,23,11,24,Gaziantepspor_BB,Istanbul_Büyüksehir,3,0,"2,43","3,20","2,77"
Fotbal,1.turecká liga,23,11,24,Kayserispor_II,Fenerbahce,2,6,"5,93","4,43","1,45"
Fotbal,1.turecká liga,24,11,24,Besiktas,Göztepe,2,4,"1,62","3,72","4,99"
Fotbal,1.turecká liga,24,11,24,Bodrumspor,Galatasaray,,,"7,42","4,69","1,36"
Fotbal,1.turecká liga,24,11,24,Eyüp_SK_Istanbul,Caykur_Rizespor,,,"2,01","3,37","3,43"
Fotbal,1.turecká liga,24,11,24,Kombassan_Konyaspor,Hatayspor_Antakya,1,1,"1,84","3,28","4,23"
Fotbal,1.turecká liga,24,11,24,Samsunspor,Alanyaspor_K,1,1,"1,88","3,27","4,06"
Fotbal,1.turecká liga,24,11,24,Sivasspor,Kasimpasa_SK_Istanbul,0,0,"2,94","3,19","2,32"
Fotbal,1.turecká liga,25,11,24,Trabzonspor,Demirspor,5,0,"1,48","4,30","5,63"
Fotbal,1.turecká liga,23,11,24,Eyüp_SK_Istanbul,Caykur_Rizespor,1,2,"2,24","3,22","3,05"
Fotbal,1.turecká liga,23,11,24,Bodrumspor,Galatasaray,0,1,"7,34","4,82","1,35"
Fotbal,1.turecká liga,29,11,24,Antalyaspor,Sivasspor,2,1,"2,02","3,35","3,42"
Fotbal,1.turecká liga,30,11,24,Samsunspor,Bodrumspor,4,0,"1,55","3,75","5,67"
Fotbal,1.turecká liga,30,11,24,Demirspor,Kombassan_Konyaspor,0,1,"3,36","3,29","2,07"
Fotbal,1.turecká liga,30,11,24,Alanyaspor_K,Trabzonspor,2,1,"2,15","3,36","3,10"
Fotbal,1.turecká liga,30,11,24,Istanbul_Büyüksehir,Göztepe,4,1,"2,24","3,06","3,20"
Fotbal,1.turecká liga,1,12,24,Caykur_Rizespor,Kayserispor_II,3,0,"1,68","3,70","4,53"
Fotbal,1.turecká liga,1,12,24,Galatasaray,Eyüp_SK_Istanbul,2,2,"1,17","6,83","12,20"
Fotbal,1.turecká liga,2,12,24,Fenerbahce,Gaziantepspor_BB,3,1,"1,14","7,46","14,00"
Fotbal,1.turecká liga,2,12,24,Hatayspor_Antakya,Besiktas,1,1,"3,22","3,64","2,00"
Fotbal,1.turecká liga,6,12,24,Trabzonspor,Kasimpasa_SK_Istanbul,2,2,"1,84","3,65","3,75"
Fotbal,1.turecká liga,7,12,24,Kombassan_Konyaspor,Antalyaspor,1,1,"1,96","3,22","3,79"
Fotbal,1.turecká liga,7,12,24,Göztepe,Demirspor,3,1,"1,23","5,64","10,50"
Fotbal,1.turecká liga,7,12,24,Besiktas,Fenerbahce,1,0,"3,50","3,77","1,87"
Fotbal,1.turecká liga,8,12,24,Eyüp_SK_Istanbul,Samsunspor,3,0,"2,64","3,22","2,53"
Fotbal,1.turecká liga,8,12,24,Kayserispor_II,Alanyaspor_K,2,0,"2,43","3,29","2,71"
Fotbal,1.turecká liga,8,12,24,Sivasspor,Galatasaray,2,3,"8,94","5,82","1,24"
Fotbal,1.turecká liga,8,12,24,Istanbul_Büyüksehir,Hatayspor_Antakya,3,0,"1,65","3,56","5,03"
Fotbal,1.turecká liga,9,12,24,Gaziantepspor_BB,Caykur_Rizespor,1,0,"2,87","3,29","2,31"
Fotbal,1.turecká liga,13,12,24,Bodrumspor,Sivasspor,2,0,"2,23","3,12","3,15"
Fotbal,1.turecká liga,13,12,24,Kasimpasa_SK_Istanbul,Eyüp_SK_Istanbul,2,0,"2,41","3,36","2,69"
Fotbal,1.turecká liga,14,12,24,Caykur_Rizespor,Kombassan_Konyaspor,1,1,"1,92","3,25","3,93"
Fotbal,1.turecká liga,14,12,24,Alanyaspor_K,Gaziantepspor_BB,3,0,"1,66","3,86","4,49"
Fotbal,1.turecká liga,15,12,24,Hatayspor_Antakya,Göztepe,1,1,"2,90","3,16","2,36"
Fotbal,1.turecká liga,15,12,24,Antalyaspor,Kayserispor_II,2,0,"2,02","3,35","3,41"
Fotbal,1.turecká liga,15,12,24,Fenerbahce,Istanbul_Büyüksehir,3,1,"1,44","4,30","6,24"
Fotbal,1.turecká liga,16,12,24,Demirspor,Besiktas,2,1,"5,33","4,48","1,48"
Fotbal,1.turecká liga,16,12,24,Galatasaray,Trabzonspor,4,3,"1,35","5,04","6,69"
Fotbal,1.turecká liga,20,12,24,Eyüp_SK_Istanbul,Fenerbahce,1,1,"5,18","4,22","1,53"
Fotbal,1.turecká liga,21,12,24,Sivasspor,Samsunspor,0,0,"3,22","3,30","2,12"
Fotbal,1.turecká liga,21,12,24,Besiktas,Alanyaspor_K,1,1,"1,71","3,70","4,39"
Fotbal,1.turecká liga,22,12,24,Gaziantepspor_BB,Antalyaspor,2,0,"1,94","3,46","3,57"
Fotbal,1.turecká liga,22,12,24,Göztepe,Caykur_Rizespor,3,0,"2,18","3,12","3,25"
Fotbal,1.turecká liga,22,12,24,Kayserispor_II,Galatasaray,1,5,"7,13","5,23","1,32"
Fotbal,1.turecká liga,22,12,24,Trabzonspor,Bodrumspor,1,0,"1,69","3,64","4,57"
