Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.uzbecká liga,13,9,24,Qizilqum_Zarafshon,Sogdiyona_Jizzax,1,1,"3,15","2,88","2,25"
Fotbal,1.uzbecká liga,13,9,24,Pakhtakor,Neftchi_Fargona,0,0,"1,75","3,07","4,55"
Fotbal,1.uzbecká liga,14,9,24,Dinamo_Samarkand,Quruvchi_Bunyodkor,2,3,"1,73","3,36","4,23"
Fotbal,1.uzbecká liga,14,9,24,Navbahor_Namangan,Nasaf_Qarshi,0,1,"2,86","2,54","2,75"
Fotbal,1.uzbecká liga,15,9,24,Andijon_FK,Lokomotiv_Tashkent,1,2,"2,04","3,00","3,45"
Fotbal,1.uzbecká liga,16,9,24,Olympic_Tashkent,Metallurg_Bekobod,1,1,"2,42","2,75","3,01"
Fotbal,1.uzbecká liga,16,9,24,Olmaliq_FK,Surkhon_Termez,1,0,"1,63","3,48","4,60"
Fotbal,1.uzbecká liga,19,9,24,Neftchi_Fargona,Qizilqum_Zarafshon,2,2,"1,76","2,92","4,77"
Fotbal,1.uzbecká liga,20,9,24,Lokomotiv_Tashkent,Navbahor_Namangan,0,1,"2,76","2,95","2,47"
Fotbal,1.uzbecká liga,20,9,24,Sogdiyona_Jizzax,Andijon_FK,1,1,"1,89","3,16","3,74"
Fotbal,1.uzbecká liga,21,9,24,Metallurg_Bekobod,Pakhtakor,3,2,"3,87","3,01","1,92"
Fotbal,1.uzbecká liga,21,9,24,Olympic_Tashkent,Dinamo_Samarkand,0,3,"2,46","2,74","2,98"
Fotbal,1.uzbecká liga,23,9,24,Nasaf_Qarshi,Olmaliq_FK,2,0,"1,75","3,10","4,53"
Fotbal,1.uzbecká liga,25,9,24,Pakhtakor,Olympic_Tashkent,6,0,"1,42","3,91","6,28"
Fotbal,1.uzbecká liga,25,9,24,Andijon_FK,Neftchi_Fargona,0,0,"2,88","2,51","2,76"
Fotbal,1.uzbecká liga,26,9,24,Navbahor_Namangan,Sogdiyona_Jizzax,0,3,"1,67","3,27","4,68"
Fotbal,1.uzbecká liga,26,9,24,Dinamo_Samarkand,Surkhon_Termez,3,0,"1,88","3,21","3,71"
Fotbal,1.uzbecká liga,27,9,24,Qizilqum_Zarafshon,Metallurg_Bekobod,1,0,"2,36","2,69","3,19"
Fotbal,1.uzbecká liga,27,9,24,Olmaliq_FK,Lokomotiv_Tashkent,1,0,"1,86","3,23","3,73"
Fotbal,1.uzbecká liga,28,9,24,Quruvchi_Bunyodkor,Nasaf_Qarshi,2,2,"5,04","3,36","1,60"
Fotbal,1.uzbecká liga,6,10,24,Pakhtakor,Dinamo_Samarkand,4,2,"1,54","3,78","4,86"
Fotbal,1.uzbecká liga,18,10,24,Nasaf_Qarshi,Surkhon_Termez,1,1,"1,21","5,14","13,80"
Fotbal,1.uzbecká liga,19,10,24,Lokomotiv_Tashkent,Quruvchi_Bunyodkor,2,3,"1,86","3,13","3,89"
Fotbal,1.uzbecká liga,19,10,24,Metallurg_Bekobod,Andijon_FK,0,0,"2,58","2,66","2,92"
Fotbal,1.uzbecká liga,20,10,24,Neftchi_Fargona,Navbahor_Namangan,2,2,"2,84","2,50","2,81"
Fotbal,1.uzbecká liga,20,10,24,Olympic_Tashkent,Qizilqum_Zarafshon,1,0,"3,61","2,83","2,08"
Fotbal,1.uzbecká liga,21,10,24,Sogdiyona_Jizzax,Olmaliq_FK,1,1,"2,27","3,11","2,88"
Fotbal,1.uzbecká liga,25,10,24,Surkhon_Termez,Lokomotiv_Tashkent,2,1,"2,84","2,90","2,44"
Fotbal,1.uzbecká liga,25,10,24,Navbahor_Namangan,Metallurg_Bekobod,1,0,"1,67","3,16","4,86"
Fotbal,1.uzbecká liga,26,10,24,Qizilqum_Zarafshon,Pakhtakor,2,0,"4,03","3,13","1,83"
Fotbal,1.uzbecká liga,26,10,24,Andijon_FK,Olympic_Tashkent,1,0,"1,47","3,59","6,25"
Fotbal,1.uzbecká liga,27,10,24,Quruvchi_Bunyodkor,Sogdiyona_Jizzax,1,1,"3,06","3,08","2,18"
Fotbal,1.uzbecká liga,28,10,24,Olmaliq_FK,Neftchi_Fargona,1,2,"2,13","2,83","3,45"
Fotbal,1.uzbecká liga,28,10,24,Dinamo_Samarkand,Nasaf_Qarshi,1,2,"4,81","3,37","1,63"
Fotbal,1.uzbecká liga,31,10,24,Pakhtakor,Andijon_FK,3,1,"1,61","3,34","4,99"
Fotbal,1.uzbecká liga,1,11,24,Lokomotiv_Tashkent,Nasaf_Qarshi,0,1,"3,91","3,04","1,89"
Fotbal,1.uzbecká liga,1,11,24,Sogdiyona_Jizzax,Surkhon_Termez,2,4,"1,64","3,34","4,78"
Fotbal,1.uzbecká liga,2,11,24,Olympic_Tashkent,Navbahor_Namangan,1,2,"4,74","3,25","1,67"
Fotbal,1.uzbecká liga,2,11,24,Qizilqum_Zarafshon,Dinamo_Samarkand,1,2,"2,49","2,87","2,81"
Fotbal,1.uzbecká liga,3,11,24,Neftchi_Fargona,Quruvchi_Bunyodkor,2,1,"1,86","3,00","4,16"
Fotbal,1.uzbecká liga,3,11,24,Metallurg_Bekobod,Olmaliq_FK,1,1,"3,35","2,91","2,13"
Fotbal,1.uzbecká liga,7,11,24,Dinamo_Samarkand,Lokomotiv_Tashkent,1,2,"1,90","3,20","3,66"
Fotbal,1.uzbecká liga,8,11,24,Quruvchi_Bunyodkor,Metallurg_Bekobod,1,1,"2,19","2,95","3,16"
Fotbal,1.uzbecká liga,10,11,24,Andijon_FK,Qizilqum_Zarafshon,0,0,"1,88","3,03","4,00"
Fotbal,1.uzbecká liga,21,11,24,Pakhtakor,Olmaliq_FK,0,2,"1,77","3,47","3,83"
Fotbal,1.uzbecká liga,22,11,24,Neftchi_Fargona,Nasaf_Qarshi,2,0,"3,33","2,67","2,30"
Fotbal,1.uzbecká liga,22,11,24,Qizilqum_Zarafshon,Navbahor_Namangan,1,5,"3,69","2,80","2,07"
Fotbal,1.uzbecká liga,23,11,24,Olympic_Tashkent,Quruvchi_Bunyodkor,0,1,"2,83","3,02","2,36"
Fotbal,1.uzbecká liga,23,11,24,Andijon_FK,Dinamo_Samarkand,3,0,"1,98","2,99","3,66"
Fotbal,1.uzbecká liga,24,11,24,Metallurg_Bekobod,Surkhon_Termez,1,0,"2,52","2,74","2,90"
Fotbal,1.uzbecká liga,30,11,24,Surkhon_Termez,Olympic_Tashkent,3,0,"2,30","2,82","3,12"
Fotbal,1.uzbecká liga,30,11,24,Nasaf_Qarshi,Metallurg_Bekobod,1,2,"1,67","3,13","4,94"
Fotbal,1.uzbecká liga,30,11,24,Navbahor_Namangan,Andijon_FK,3,3,"1,68","3,37","4,48"
Fotbal,1.uzbecká liga,30,11,24,Quruvchi_Bunyodkor,Pakhtakor,2,0,"2,80","3,14","2,31"
Fotbal,1.uzbecká liga,30,11,24,Lokomotiv_Tashkent,Neftchi_Fargona,2,3,"3,44","2,95","2,07"
Fotbal,1.uzbecká liga,30,11,24,Dinamo_Samarkand,Sogdiyona_Jizzax,1,0,"4,68","3,74","1,57"
Fotbal,1.uzbecká liga,30,11,24,Olmaliq_FK,Qizilqum_Zarafshon,1,0,"1,68","3,37","4,45"
Fotbal,1.uzbecká liga,7,3,25,Olmaliq_FK,Buxoro_FK,2,1,"1,56","3,42","5,40"
Fotbal,1.uzbecká liga,8,3,25,Qizilqum_Zarafshon,Surkhon_Termez,2,0,"2,43","2,75","3,02"
Fotbal,1.uzbecká liga,8,3,25,Kokand-1912,Andijon_FK,1,1,"2,64","2,84","2,67"
Fotbal,1.uzbecká liga,8,3,25,Quruvchi_Bunyodkor,Neftchi_Fargona,2,2,"3,23","2,82","2,25"
Fotbal,1.uzbecká liga,9,3,25,Xorazm_Urganch,Shortan_Guzor,2,0,"2,66","2,50","3,01"
Fotbal,1.uzbecká liga,9,3,25,Navbahor_Namangan,Dinamo_Samarkand,0,0,"1,42","3,85","6,47"
Fotbal,1.uzbecká liga,9,3,25,Nasaf_Qarshi,Sogdiyona_Jizzax,1,0,"1,63","3,17","5,21"
Fotbal,1.uzbecká liga,14,3,25,Buxoro_FK,Qizilqum_Zarafshon,2,0,"3,32","2,80","2,21"
Fotbal,1.uzbecká liga,14,3,25,Neftchi_Fargona,Kokand-1912,0,0,"1,61","3,21","5,33"
Fotbal,1.uzbecká liga,15,3,25,Shortan_Guzor,Quruvchi_Bunyodkor,0,2,"4,01","3,05","1,87"
Fotbal,1.uzbecká liga,15,3,25,Andijon_FK,Nasaf_Qarshi,1,1,"3,14","2,67","2,41"
Fotbal,1.uzbecká liga,15,3,25,Dinamo_Samarkand,Mashal_Muborak,1,0,"1,56","3,48","5,26"
Fotbal,1.uzbecká liga,16,3,25,Surkhon_Termez,Xorazm_Urganch,0,2,"1,93","2,91","4,00"
Fotbal,1.uzbecká liga,16,3,25,Sogdiyona_Jizzax,Navbahor_Namangan,2,3,"2,16","2,80","3,43"
Fotbal,1.uzbecká liga,16,3,25,Olmaliq_FK,Pakhtakor,2,0,"3,45","3,05","2,02"
Fotbal,1.uzbecká liga,27,3,25,Xorazm_Urganch,Buxoro_FK,1,4,"2,76","2,55","2,85"
Fotbal,1.uzbecká liga,27,3,25,Kokand-1912,Shortan_Guzor,0,0,"1,76","2,90","4,89"
Fotbal,1.uzbecká liga,28,3,25,Qizilqum_Zarafshon,Olmaliq_FK,1,3,"3,42","2,87","2,12"
Fotbal,1.uzbecká liga,28,3,25,Navbahor_Namangan,Andijon_FK,2,2,"1,91","2,94","4,05"
Fotbal,1.uzbecká liga,28,3,25,Quruvchi_Bunyodkor,Surkhon_Termez,3,1,"1,70","3,26","4,50"
Fotbal,1.uzbecká liga,29,3,25,Nasaf_Qarshi,Neftchi_Fargona,0,0,"2,03","2,82","3,77"
Fotbal,1.uzbecká liga,29,3,25,Mashal_Muborak,Sogdiyona_Jizzax,1,0,"3,23","2,83","2,23"
Fotbal,1.uzbecká liga,29,3,25,Pakhtakor,Dinamo_Samarkand,0,1,"1,40","3,89","6,78"
Fotbal,1.uzbecká liga,2,4,25,Pakhtakor,Mashal_Muborak,5,0,"1,34","4,11","8,09"
Fotbal,1.uzbecká liga,4,4,25,Surkhon_Termez,Kokand-1912,3,1,"2,08","2,74","3,76"
Fotbal,1.uzbecká liga,4,4,25,Buxoro_FK,Quruvchi_Bunyodkor,0,2,"2,90","2,91","2,39"
Fotbal,1.uzbecká liga,5,4,25,Neftchi_Fargona,Navbahor_Namangan,3,2,"2,13","2,86","3,41"
Fotbal,1.uzbecká liga,6,4,25,Andijon_FK,Mashal_Muborak,1,0,"1,53","3,50","5,54"
Fotbal,1.uzbecká liga,6,4,25,Sogdiyona_Jizzax,Pakhtakor,2,0,"3,21","3,02","2,13"
Fotbal,1.uzbecká liga,6,4,25,Olmaliq_FK,Dinamo_Samarkand,0,0,"1,94","3,13","3,58"
