Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.venezuelská liga,2,9,24,Estudiantes_FC,Metropolitanos_FC,4,0,"2,07","3,05","3,30"
Fotbal,1.venezuelská liga,3,9,24,Deportivo_La_Guaira,UCV_FC,2,0,"2,28","2,67","3,38"
Fotbal,1.venezuelská liga,3,9,24,Deportivo_Táchira,Angostura_FC,2,0,"1,59","3,35","5,18"
Fotbal,1.venezuelská liga,4,9,24,Zamora_FC,Carabobo_FC,2,0,"2,77","2,72","2,66"
Fotbal,1.venezuelská liga,4,9,24,Rayo_Zuliano,Monagas_SC,1,2,"2,52","3,11","2,57"
Fotbal,1.venezuelská liga,4,9,24,Caracas_FC,Academia_Puerto_Cabello,0,0,"2,24","2,73","3,36"
Fotbal,1.venezuelská liga,5,9,24,Portuguesa_FC,Inter_de_Barinas,2,1,"2,01","3,19","3,31"
Fotbal,1.venezuelská liga,13,9,24,Metropolitanos_FC,Portuguesa_FC,2,1,"1,87","3,12","3,87"
Fotbal,1.venezuelská liga,14,9,24,Academia_Puerto_Cabello,Zamora_FC,1,0,"1,57","3,40","5,34"
Fotbal,1.venezuelská liga,14,9,24,Inter_de_Barinas,Rayo_Zuliano,0,1,"3,18","3,06","2,12"
Fotbal,1.venezuelská liga,14,9,24,UCV_FC,Estudiantes_FC,3,1,"2,03","3,05","3,42"
Fotbal,1.venezuelská liga,15,9,24,Angostura_FC,Caracas_FC,0,0,"3,14","3,18","2,09"
Fotbal,1.venezuelská liga,15,9,24,Monagas_SC,Deportivo_Táchira,0,0,"2,68","2,66","2,81"
Fotbal,1.venezuelská liga,16,9,24,Carabobo_FC,Deportivo_La_Guaira,3,1,"2,44","2,72","3,03"
Fotbal,1.venezuelská liga,20,9,24,Caracas_FC,Monagas_SC,1,2,"2,49","2,99","2,70"
Fotbal,1.venezuelská liga,21,9,24,Academia_Puerto_Cabello,Angostura_FC,1,1,"1,46","3,70","6,17"
Fotbal,1.venezuelská liga,21,9,24,Rayo_Zuliano,Metropolitanos_FC,2,2,"2,66","2,82","2,67"
Fotbal,1.venezuelská liga,21,9,24,Deportivo_Táchira,Inter_de_Barinas,4,1,"1,26","4,67","10,60"
Fotbal,1.venezuelská liga,22,9,24,Portuguesa_FC,UCV_FC,1,1,"3,38","2,86","2,15"
Fotbal,1.venezuelská liga,22,9,24,Estudiantes_FC,Carabobo_FC,0,0,"2,21","2,95","3,14"
Fotbal,1.venezuelská liga,23,9,24,Zamora_FC,Deportivo_La_Guaira,0,0,"2,81","2,77","2,57"
Fotbal,1.venezuelská liga,27,9,24,UCV_FC,Rayo_Zuliano,1,0,"1,56","3,56","5,06"
Fotbal,1.venezuelská liga,27,9,24,Monagas_SC,Academia_Puerto_Cabello,2,1,"2,09","2,91","3,44"
Fotbal,1.venezuelská liga,28,9,24,Deportivo_La_Guaira,Estudiantes_FC,1,1,"1,89","3,24","3,62"
Fotbal,1.venezuelská liga,28,9,24,Angostura_FC,Zamora_FC,1,2,"2,52","2,82","2,82"
Fotbal,1.venezuelská liga,29,9,24,Inter_de_Barinas,Caracas_FC,1,2,"4,13","3,30","1,76"
Fotbal,1.venezuelská liga,29,9,24,Carabobo_FC,Portuguesa_FC,1,0,"1,93","2,97","3,89"
Fotbal,1.venezuelská liga,30,9,24,Metropolitanos_FC,Deportivo_Táchira,1,1,"3,22","2,73","2,32"
Fotbal,1.venezuelská liga,4,10,24,Angostura_FC,Monagas_SC,0,2,"3,23","3,14","2,06"
