Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.waleská liga,3,9,24,The_New_Saints_FC,Aberystwyth_Town,2,0,"1,00","24,30","36,00"
Fotbal,1.waleská liga,7,9,24,Haverfordwest_C.,The_New_Saints_FC,0,1,"11,10","5,52","1,22"
Fotbal,1.waleská liga,7,9,24,Newtown_AFC,Briton_Ferry,1,0,"1,17","6,56","12,30"
Fotbal,1.waleská liga,7,9,24,Bala_Town,Cardiff_MU,0,1,"2,25","2,98","3,27"
Fotbal,1.waleská liga,7,9,24,Connah's_Quay,Barry_Town,1,2,"1,59","3,92","4,99"
Fotbal,1.waleská liga,7,9,24,Penybont,Caernarfon_Town,2,0,"1,44","4,45","6,03"
Fotbal,1.waleská liga,7,9,24,Aberystwyth_Town,Flint_Town_United,0,2,"2,86","3,46","2,24"
Fotbal,1.waleská liga,13,9,24,Bala_Town,Aberystwyth_Town,3,0,"1,29","4,62","10,60"
Fotbal,1.waleská liga,13,9,24,Newtown_AFC,Cardiff_MU,2,1,"2,91","3,24","2,31"
Fotbal,1.waleská liga,14,9,24,Caernarfon_Town,Briton_Ferry,3,2,"1,20","6,18","10,50"
Fotbal,1.waleská liga,14,9,24,Flint_Town_United,Haverfordwest_C.,1,0,"4,26","3,55","1,76"
Fotbal,1.waleská liga,14,9,24,The_New_Saints_FC,Barry_Town,4,0,"1,06","11,90","24,20"
Fotbal,1.waleská liga,15,9,24,Connah's_Quay,Penybont,0,1,"2,65","3,12","2,59"
Fotbal,1.waleská liga,20,9,24,Bala_Town,Newtown_AFC,2,2,"1,86","3,15","4,37"
Fotbal,1.waleská liga,20,9,24,Penybont,The_New_Saints_FC,2,1,"7,73","4,57","1,36"
Fotbal,1.waleská liga,20,9,24,Aberystwyth_Town,Haverfordwest_C.,0,3,"8,20","4,39","1,36"
Fotbal,1.waleská liga,21,9,24,Barry_Town,Caernarfon_Town,1,1,"1,91","3,75","3,40"
Fotbal,1.waleská liga,21,9,24,Briton_Ferry,Flint_Town_United,1,1,"4,58","4,30","1,58"
Fotbal,1.waleská liga,21,9,24,Cardiff_MU,Connah's_Quay,2,1,"2,72","3,24","2,45"
Fotbal,1.waleská liga,24,9,24,Connah's_Quay,Newtown_AFC,1,1,"1,97","3,53","3,40"
Fotbal,1.waleská liga,24,9,24,Haverfordwest_C.,Barry_Town,1,1,"1,88","3,27","4,04"
Fotbal,1.waleská liga,24,9,24,Penybont,Briton_Ferry,0,1,"1,06","11,50","26,40"
Fotbal,1.waleská liga,24,9,24,The_New_Saints_FC,Bala_Town,2,3,"1,12","7,53","17,20"
Fotbal,1.waleská liga,24,9,24,Aberystwyth_Town,Cardiff_MU,1,2,"7,12","4,26","1,41"
Fotbal,1.waleská liga,25,9,24,Flint_Town_United,Caernarfon_Town,1,2,"2,68","3,66","2,29"
Fotbal,1.waleská liga,27,9,24,Barry_Town,Aberystwyth_Town,1,0,"1,31","4,81","8,87"
Fotbal,1.waleská liga,27,9,24,Haverfordwest_C.,Cardiff_MU,1,0,"2,12","3,00","3,57"
Fotbal,1.waleská liga,27,9,24,Newtown_AFC,The_New_Saints_FC,1,6,"11,50","6,17","1,19"
Fotbal,1.waleská liga,28,9,24,Briton_Ferry,Bala_Town,2,2,"6,18","4,21","1,46"
Fotbal,1.waleská liga,28,9,24,Flint_Town_United,Penybont,0,1,"5,49","3,98","1,53"
Fotbal,1.waleská liga,28,9,24,Caernarfon_Town,Connah's_Quay,3,1,"2,55","3,75","2,36"
Fotbal,1.waleská liga,4,10,24,Bala_Town,Haverfordwest_C.,0,2,"2,99","2,68","2,64"
Fotbal,1.waleská liga,4,10,24,Connah's_Quay,Aberystwyth_Town,3,0,"1,26","5,46","9,28"
Fotbal,1.waleská liga,4,10,24,Newtown_AFC,Flint_Town_United,2,4,"2,00","3,51","3,32"
Fotbal,1.waleská liga,4,10,24,Penybont,Barry_Town,4,1,"1,50","3,98","6,02"
Fotbal,1.waleská liga,5,10,24,Cardiff_MU,Caernarfon_Town,1,2,"2,16","3,55","2,94"
Fotbal,1.waleská liga,6,10,24,Briton_Ferry,The_New_Saints_FC,0,0,"27,70","13,90","1,04"
Fotbal,1.waleská liga,9,10,24,The_New_Saints_FC,Caernarfon_Town,1,2,"1,13","7,80","14,60"
Fotbal,1.waleská liga,12,10,24,Aberystwyth_Town,Penybont,0,3,"11,80","5,69","1,21"
Fotbal,1.waleská liga,12,10,24,Barry_Town,Briton_Ferry,3,1,"1,44","4,42","6,10"
Fotbal,1.waleská liga,12,10,24,Caernarfon_Town,Newtown_AFC,1,2,"1,76","3,83","3,93"
Fotbal,1.waleská liga,12,10,24,Flint_Town_United,Bala_Town,2,2,"3,42","3,37","2,02"
Fotbal,1.waleská liga,12,10,24,Haverfordwest_C.,Connah's_Quay,0,0,"1,79","3,38","4,33"
Fotbal,1.waleská liga,12,10,24,The_New_Saints_FC,Cardiff_MU,3,0,"1,12","7,76","15,80"
Fotbal,1.waleská liga,15,10,24,Bala_Town,Connah's_Quay,0,0,"2,73","2,88","2,69"
Fotbal,1.waleská liga,15,10,24,Briton_Ferry,Haverfordwest_C.,1,2,"8,48","4,62","1,33"
Fotbal,1.waleská liga,15,10,24,Caernarfon_Town,Aberystwyth_Town,1,4,"1,22","5,81","10,40"
