Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.česká liga,14,9,24,Mladá_Boleslav,Liberec,,,"2,20","3,70","3,13"
Fotbal,1.česká liga,14,9,24,Plzeň_Viktoria,Teplice,,,"1,29","5,75","10,10"
Fotbal,1.česká liga,14,9,24,Pardubice_FK,Olomouc,,,"3,15","3,48","2,27"
Fotbal,1.česká liga,14,9,24,Ostrava_Baník,Slavia_Praha,,,"4,70","4,20","1,69"
Fotbal,1.česká liga,14,9,24,Sparta_Praha,Karviná_FC,,,"1,16","8,07","17,00"
Fotbal,1.česká liga,15,9,24,Dukla_Praha_FK,Slovácko_1._FC,,,"3,24","3,29","2,31"
Fotbal,1.česká liga,15,9,24,Jablonec,České_Budějovice,,,"1,40","4,95","7,74"
Fotbal,1.česká liga,15,9,24,Bohemians_1905,Hradec_Králové,,,"2,04","3,40","3,86"
Fotbal,1.česká liga,17,9,24,Plzeň_Viktoria,Olomouc,2,1,"1,37","5,20","8,12"
Fotbal,1.česká liga,17,9,24,Mladá_Boleslav,Slavia_Praha,0,2,"7,22","4,98","1,41"
Fotbal,1.česká liga,21,9,24,Hradec_Králové,Slovácko_1._FC,3,0,"2,32","3,02","3,53"
Fotbal,1.česká liga,21,9,24,Karviná_FC,Jablonec,1,0,"2,47","3,42","2,86"
Fotbal,1.česká liga,21,9,24,Teplice,Ostrava_Baník,2,3,"3,73","3,74","1,97"
Fotbal,1.česká liga,21,9,24,Slavia_Praha,Plzeň_Viktoria,3,0,"1,51","4,47","6,87"
Fotbal,1.česká liga,22,9,24,Mladá_Boleslav,Pardubice_FK,2,2,"1,46","4,68","6,91"
Fotbal,1.česká liga,22,9,24,České_Budějovice,Sparta_Praha,0,2,"15,60","8,23","1,16"
Fotbal,1.česká liga,22,9,24,Olomouc,Dukla_Praha_FK,2,1,"1,49","4,48","6,71"
Fotbal,1.česká liga,22,9,24,Liberec,Bohemians_1905,2,2,"1,80","3,94","4,28"
Fotbal,1.česká liga,27,9,24,Sparta_Praha,Olomouc,2,3,"1,19","7,43","14,60"
Fotbal,1.česká liga,28,9,24,Dukla_Praha_FK,Liberec,1,4,"3,68","3,68","2,00"
Fotbal,1.česká liga,28,9,24,Pardubice_FK,Teplice,0,1,"2,71","3,23","2,72"
Fotbal,1.česká liga,28,9,24,Slovácko_1._FC,Karviná_FC,2,1,"1,84","3,53","4,65"
Fotbal,1.česká liga,28,9,24,Jablonec,Hradec_Králové,2,0,"2,23","3,14","3,59"
Fotbal,1.česká liga,29,9,24,Ostrava_Baník,České_Budějovice,2,1,"1,21","7,13","13,00"
Fotbal,1.česká liga,29,9,24,Plzeň_Viktoria,Mladá_Boleslav,1,1,"1,48","4,79","6,28"
Fotbal,1.česká liga,29,9,24,Bohemians_1905,Slavia_Praha,0,4,"10,60","5,79","1,28"
Fotbal,1.česká liga,5,10,24,Karviná_FC,Hradec_Králové,0,0,"2,32","3,17","3,34"
Fotbal,1.česká liga,5,10,24,České_Budějovice,Slovácko_1._FC,0,2,"3,34","3,34","2,24"
Fotbal,1.česká liga,5,10,24,Teplice,Dukla_Praha_FK,1,1,"1,77","3,77","4,74"
Fotbal,1.česká liga,5,10,24,Liberec,Jablonec,0,5,"2,12","3,56","3,43"
Fotbal,1.česká liga,6,10,24,Plzeň_Viktoria,Pardubice_FK,2,0,"1,19","7,04","14,90"
Fotbal,1.česká liga,6,10,24,Mladá_Boleslav,Ostrava_Baník,0,0,"2,89","3,80","2,29"
Fotbal,1.česká liga,6,10,24,Olomouc,Bohemians_1905,1,3,"1,80","3,86","4,38"
Fotbal,1.česká liga,6,10,24,Slavia_Praha,Sparta_Praha,2,1,"1,81","3,65","4,63"
Fotbal,1.česká liga,19,10,24,Hradec_Králové,Olomouc,1,1,"2,28","3,26","3,32"
