Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.švédská liga W,2,9,24,Djurgardens_DFF,Hammarby_IF_DFF,0,2,"9,51","5,68","1,22"
Fotbal,1.švédská liga W,2,9,24,Vaxjo_DFF,Vittsjö_GIK,0,0,"2,39","2,94","2,86"
Fotbal,1.švédská liga W,6,9,24,Rosengard_FC,Brommapojkarna_IF,3,0,"1,01","18,60","33,00"
Fotbal,1.švédská liga W,7,9,24,Häcken,AIK_Solna,4,0,"1,10","8,61","17,10"
Fotbal,1.švédská liga W,7,9,24,Norrköping_DFK_IFK,Vaxjo_DFF,1,0,"1,64","3,37","4,72"
Fotbal,1.švédská liga W,8,9,24,Vittsjö_GIK,Djurgardens_DFF,0,0,"2,37","2,86","2,98"
Fotbal,1.švédská liga W,8,9,24,Hammarby_IF_DFF,Kristianstads_DFF,1,2,"1,27","4,80","8,98"
Fotbal,1.švédská liga W,8,9,24,Pitea_IF,Trelleborg,3,1,"1,06","10,80","22,90"
Fotbal,1.švédská liga W,13,9,24,Brommapojkarna_IF,Hammarby_IF_DFF,0,5,"12,80","7,05","1,15"
Fotbal,1.švédská liga W,14,9,24,Kristianstads_DFF,AIK_Solna,4,1,"1,24","5,38","9,01"
Fotbal,1.švédská liga W,14,9,24,KIF_Orebro,Rosengard_FC,0,4,"25,30","12,50","1,05"
Fotbal,1.švédská liga W,14,9,24,Norrköping_DFK_IFK,Häcken,0,1,"6,14","4,25","1,39"
Fotbal,1.švédská liga W,14,9,24,Vaxjo_DFF,Pitea_IF,1,0,"2,82","2,81","2,53"
Fotbal,1.švédská liga W,15,9,24,Trelleborg,Vittsjö_GIK,1,4,"7,34","4,88","1,30"
Fotbal,1.švédská liga W,17,9,24,Djurgardens_DFF,Linkopings_FC,5,2,"2,20","3,50","2,72"
Fotbal,1.švédská liga W,19,9,24,Rosengard_FC,Vaxjo_DFF,4,0,"1,03","16,50","33,00"
Fotbal,1.švédská liga W,21,9,24,Vittsjö_GIK,Kristianstads_DFF,0,1,"4,56","3,37","1,67"
Fotbal,1.švédská liga W,22,9,24,Pitea_IF,KIF_Orebro,0,1,"1,43","3,80","6,48"
Fotbal,1.švédská liga W,22,9,24,AIK_Solna,Brommapojkarna_IF,2,2,"2,30","3,32","2,69"
Fotbal,1.švédská liga W,22,9,24,Linkopings_FC,Trelleborg,4,0,"1,07","9,79","21,60"
Fotbal,1.švédská liga W,23,9,24,Djurgardens_DFF,Norrköping_DFK_IFK,2,2,"2,16","3,09","3,08"
Fotbal,1.švédská liga W,28,9,24,Kristianstads_DFF,Brommapojkarna_IF,2,0,"1,21","5,51","10,50"
Fotbal,1.švédská liga W,28,9,24,AIK_Solna,Linkopings_FC,1,0,"2,61","3,59","2,24"
Fotbal,1.švédská liga W,28,9,24,Norrköping_DFK_IFK,Vittsjö_GIK,1,1,"1,90","3,02","3,92"
Fotbal,1.švédská liga W,30,9,24,Häcken,Vaxjo_DFF,4,0,"1,10","8,32","18,30"
Fotbal,1.švédská liga W,30,9,24,Hammarby_IF_DFF,KIF_Orebro,2,0,"1,06","10,90","27,30"
Fotbal,1.švédská liga W,30,9,24,Pitea_IF,Rosengard_FC,0,1,"15,20","7,64","1,12"
Fotbal,1.švédská liga W,4,10,24,Rosengard_FC,Kristianstads_DFF,2,1,"1,19","6,17","11,30"
