Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,1.švýcarská liga,18,9,24,Lausanne,Lugano_AC,1,2,"2,24","3,59","2,93"
Fotbal,1.švýcarská liga,21,9,24,Grasshoppers_Curych,Servette_FC,2,2,"3,05","3,41","2,24"
Fotbal,1.švýcarská liga,21,9,24,St._Gallen,Luzern,2,3,"1,84","4,03","3,67"
Fotbal,1.švýcarská liga,21,9,24,Basel_FC,Curych_FC,0,2,"2,11","3,50","3,26"
Fotbal,1.švýcarská liga,22,9,24,Lausanne,Yverdon,3,1,"1,51","4,45","5,64"
Fotbal,1.švýcarská liga,22,9,24,Sion_FC,Lugano_AC,0,0,"2,60","3,35","2,62"
Fotbal,1.švýcarská liga,22,9,24,Winterthur,Young_Boys_Bern,1,4,"4,74","4,19","1,63"
Fotbal,1.švýcarská liga,24,9,24,St._Gallen,Curych_FC,4,1,"2,28","3,61","2,85"
Fotbal,1.švýcarská liga,28,9,24,Servette_FC,Lausanne,1,0,"1,85","3,87","3,79"
Fotbal,1.švýcarská liga,28,9,24,Yverdon,St._Gallen,1,0,"4,30","4,21","1,69"
Fotbal,1.švýcarská liga,28,9,24,Young_Boys_Bern,Grasshoppers_Curych,0,1,"1,60","4,25","4,88"
Fotbal,1.švýcarská liga,29,9,24,Curych_FC,Sion_FC,1,0,"2,12","3,18","3,56"
Fotbal,1.švýcarská liga,29,9,24,Lugano_AC,Winterthur,2,1,"1,38","4,87","7,39"
Fotbal,1.švýcarská liga,29,9,24,Luzern,Basel_FC,1,0,"2,48","3,51","2,65"
Fotbal,1.švýcarská liga,5,10,24,Luzern,Lausanne,2,2,"1,92","3,84","3,55"
Fotbal,1.švýcarská liga,5,10,24,Sion_FC,Yverdon,1,1,"1,47","4,36","6,37"
Fotbal,1.švýcarská liga,5,10,24,Winterthur,Grasshoppers_Curych,1,0,"3,12","3,50","2,18"
Fotbal,1.švýcarská liga,6,10,24,Curych_FC,Lugano_AC,1,1,"2,34","3,34","2,95"
Fotbal,1.švýcarská liga,6,10,24,Basel_FC,Young_Boys_Bern,1,0,"2,30","3,59","2,83"
Fotbal,1.švýcarská liga,6,10,24,St._Gallen,Servette_FC,1,1,"2,60","3,83","2,39"
