Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.belgická liga,13,9,24,Club_Brugge_II,RFC_Seraing,1,1,"1,70","3,65","4,00"
Fotbal,2.belgická liga,14,9,24,Francs_Borains,Lommel,1,3,"3,24","3,29","2,00"
Fotbal,2.belgická liga,14,9,24,RFC_de_Liege,Anderlecht_II,3,3,"1,70","3,59","4,07"
Fotbal,2.belgická liga,15,9,24,Waasland,Genk_II,3,2,"1,93","3,54","3,21"
Fotbal,2.belgická liga,13,9,24,Lokeren-Temse,Patro_Eisden,2,2,"3,10","3,16","2,12"
Fotbal,2.belgická liga,14,9,24,RWDM,Lierse_Kempenzonen,3,0,"1,49","3,98","5,10"
Fotbal,2.belgická liga,15,9,24,Eupen,Waregem,1,3,"2,35","3,23","2,68"
Fotbal,2.belgická liga,15,9,24,Deinze,RAAL_La_Louviere,1,2,"1,82","3,46","3,64"
Fotbal,2.belgická liga,20,9,24,Lommel,Anderlecht_II,2,1,"1,63","3,79","4,28"
Fotbal,2.belgická liga,20,9,24,Waasland,RFC_Seraing,0,0,"1,44","4,16","5,44"
Fotbal,2.belgická liga,21,9,24,Lierse_Kempenzonen,Eupen,3,0,"3,72","3,70","1,74"
Fotbal,2.belgická liga,21,9,24,Genk_II,RWDM,0,3,"2,80","3,48","2,15"
Fotbal,2.belgická liga,21,9,24,Patro_Eisden,Francs_Borains,4,1,"1,74","3,39","4,13"
Fotbal,2.belgická liga,22,9,24,Waregem,RFC_de_Liege,3,1,"1,64","3,82","4,14"
Fotbal,2.belgická liga,22,9,24,Deinze,Club_Brugge_II,2,0,"1,51","4,02","4,91"
Fotbal,2.belgická liga,22,9,24,RAAL_La_Louviere,Lokeren-Temse,2,0,"1,70","3,52","4,13"
Fotbal,2.belgická liga,27,9,24,Eupen,Genk_II,3,1,"1,78","3,70","3,57"
Fotbal,2.belgická liga,27,9,24,Francs_Borains,RWDM,1,2,"4,72","3,86","1,55"
Fotbal,2.belgická liga,28,9,24,Club_Brugge_II,Waasland,2,0,"2,79","3,52","2,15"
Fotbal,2.belgická liga,28,9,24,Lommel,Lierse_Kempenzonen,1,1,"1,60","3,78","4,45"
Fotbal,2.belgická liga,28,9,24,RAAL_La_Louviere,Patro_Eisden,,,"2,18","3,16","2,99"
Fotbal,2.belgická liga,28,9,24,Lokeren-Temse,Deinze,0,0,"4,26","3,67","1,65"
Fotbal,2.belgická liga,29,9,24,RFC_Seraing,RFC_de_Liege,0,3,"2,96","3,42","2,08"
Fotbal,2.belgická liga,29,9,24,Anderlecht_II,Waregem,2,3,"4,51","3,99","1,56"
Fotbal,2.belgická liga,29,9,24,RAAL_La_Louviere,Patro_Eisden,0,2,"2,23","3,04","3,01"
Fotbal,2.belgická liga,4,10,24,Patro_Eisden,Deinze,3,1,"1,95","3,34","3,32"
Fotbal,2.belgická liga,4,10,24,RFC_de_Liege,Lommel,1,1,"3,01","3,36","2,08"
Fotbal,2.belgická liga,5,10,24,Waasland,Lokeren-Temse,0,1,"1,77","3,51","3,78"
Fotbal,2.belgická liga,5,10,24,RFC_Seraing,Eupen,1,2,"4,26","3,60","1,67"
Fotbal,2.belgická liga,5,10,24,RWDM,RAAL_La_Louviere,1,1,"1,64","3,63","4,37"
Fotbal,2.belgická liga,6,10,24,Genk_II,Anderlecht_II,1,0,"1,96","3,66","3,04"
Fotbal,2.belgická liga,6,10,24,Waregem,Club_Brugge_II,2,1,"1,50","4,13","4,87"
Fotbal,2.belgická liga,6,10,24,Lierse_Kempenzonen,Francs_Borains,4,0,"2,09","3,34","3,00"
Fotbal,2.belgická liga,18,10,24,Francs_Borains,RFC_de_Liege,1,2,"2,38","3,30","2,60"
Fotbal,2.belgická liga,18,10,24,RAAL_La_Louviere,Waasland,2,0,"1,95","3,33","3,33"
Fotbal,2.belgická liga,19,10,24,Club_Brugge_II,Lierse_Kempenzonen,3,1,"2,59","3,26","2,41"
Fotbal,2.belgická liga,19,10,24,Deinze,Genk_II,1,0,"1,68","3,66","4,12"
Fotbal,2.belgická liga,19,10,24,Lommel,Eupen,1,1,"2,01","3,32","3,19"
Fotbal,2.belgická liga,20,10,24,Anderlecht_II,RWDM,2,1,"5,35","4,21","1,44"
Fotbal,2.belgická liga,20,10,24,Patro_Eisden,Waregem,0,1,"2,40","3,32","2,56"
Fotbal,2.belgická liga,20,10,24,Lokeren-Temse,RFC_Seraing,0,1,"1,84","3,27","3,78"
Fotbal,2.belgická liga,25,10,24,Genk_II,Lommel,0,4,"3,58","3,47","1,83"
Fotbal,2.belgická liga,25,10,24,RFC_Seraing,Patro_Eisden,0,0,"5,10","3,84","1,51"
Fotbal,2.belgická liga,26,10,24,RWDM,Deinze,3,2,"1,98","3,44","3,16"
Fotbal,2.belgická liga,26,10,24,Waasland,Anderlecht_II,1,1,"1,64","3,71","4,27"
Fotbal,2.belgická liga,26,10,24,Waregem,Francs_Borains,2,2,"1,38","4,45","5,93"
Fotbal,2.belgická liga,27,10,24,Lierse_Kempenzonen,RAAL_La_Louviere,1,2,"2,93","3,25","2,17"
Fotbal,2.belgická liga,27,10,24,RFC_de_Liege,Club_Brugge_II,1,1,"2,03","3,35","3,11"
Fotbal,2.belgická liga,27,10,24,Eupen,Lokeren-Temse,0,1,"1,72","3,33","4,30"
Fotbal,2.belgická liga,1,11,24,RWDM,Waregem,2,1,"1,98","3,46","3,14"
Fotbal,2.belgická liga,2,11,24,Club_Brugge_II,Lommel,,,"3,72","3,71","1,74"
Fotbal,2.belgická liga,2,11,24,Anderlecht_II,Eupen,2,2,"2,68","3,40","2,27"
Fotbal,2.belgická liga,2,11,24,RAAL_La_Louviere,RFC_de_Liege,3,1,"1,65","3,64","4,32"
Fotbal,2.belgická liga,2,11,24,Lokeren-Temse,Genk_II,,,"2,42","3,24","2,59"
Fotbal,2.belgická liga,3,11,24,Francs_Borains,RFC_Seraing,0,1,"1,94","3,26","3,44"
Fotbal,2.belgická liga,3,11,24,Patro_Eisden,Lierse_Kempenzonen,3,3,"1,42","4,10","5,97"
Fotbal,2.belgická liga,3,11,24,Deinze,Waasland,3,1,"1,75","3,49","3,92"
Fotbal,2.belgická liga,1,11,24,Club_Brugge_II,Lommel,1,3,"3,72","3,71","1,74"
Fotbal,2.belgická liga,3,11,24,Lokeren-Temse,Genk_II,4,0,"2,09","3,22","3,10"
Fotbal,2.belgická liga,8,11,24,Lierse_Kempenzonen,Lokeren-Temse,2,2,"2,59","2,88","2,68"
Fotbal,2.belgická liga,8,11,24,RFC_de_Liege,RWDM,2,1,"4,06","3,76","1,67"
Fotbal,2.belgická liga,9,11,24,Genk_II,Club_Brugge_II,1,2,"2,29","3,43","2,63"
Fotbal,2.belgická liga,9,11,24,Lommel,Deinze,1,1,"2,35","3,20","2,71"
Fotbal,2.belgická liga,9,11,24,Waasland,Francs_Borains,4,0,"1,71","3,58","4,01"
Fotbal,2.belgická liga,10,11,24,Waregem,RAAL_La_Louviere,,,"1,94","3,52","3,19"
Fotbal,2.belgická liga,10,11,24,RFC_Seraing,Anderlecht_II,2,2,"2,78","3,31","2,24"
Fotbal,2.belgická liga,10,11,24,Eupen,Patro_Eisden,0,4,"2,63","3,08","2,49"
Fotbal,2.belgická liga,22,11,24,Club_Brugge_II,Eupen,0,4,"2,55","3,37","2,38"
Fotbal,2.belgická liga,22,11,24,Lierse_Kempenzonen,Genk_II,2,2,"1,78","3,66","3,61"
Fotbal,2.belgická liga,23,11,24,Deinze,Francs_Borains,0,3,"14,70","8,40","1,11"
Fotbal,2.belgická liga,23,11,24,Patro_Eisden,RFC_de_Liege,,,"1,48","3,92","5,27"
