Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.brazilská liga,3,9,24,Sport_Recife,Ituano,3,2,"1,44","4,03","7,00"
Fotbal,2.brazilská liga,3,9,24,Operário_Ferroviário,Brusque,0,0,"1,74","3,00","5,63"
Fotbal,2.brazilská liga,4,9,24,Mirassol,América_Mineiro,1,0,"2,15","2,95","3,54"
Fotbal,2.brazilská liga,4,9,24,Guarani_de_Campinas,Coritiba,2,1,"2,63","2,55","3,18"
Fotbal,2.brazilská liga,5,9,24,Vila_Nova,CRB_Maceio,1,0,"1,91","2,92","4,58"
Fotbal,2.brazilská liga,6,9,24,Paysandu_SC,Amazonas,0,1,"2,08","2,85","3,96"
Fotbal,2.brazilská liga,7,9,24,Brusque,Santos,0,1,"5,34","3,23","1,70"
Fotbal,2.brazilská liga,7,9,24,Ituano,Mirassol,3,2,"3,16","2,82","2,41"
Fotbal,2.brazilská liga,8,9,24,Avai_Florianopolis,Sport_Recife,0,2,"2,31","2,71","3,52"
Fotbal,2.brazilská liga,8,9,24,Ceará,Operário_Ferroviário,2,1,"1,53","3,43","7,03"
Fotbal,2.brazilská liga,8,9,24,América_Mineiro,Guarani_de_Campinas,3,0,"1,85","2,96","4,88"
Fotbal,2.brazilská liga,8,9,24,Coritiba,Novorizontino,2,2,"2,07","2,69","4,36"
Fotbal,2.brazilská liga,10,9,24,Botafogo_Sao_Paulo,Goiás,1,0,"2,63","2,56","3,17"
Fotbal,2.brazilská liga,10,9,24,Ponte_Preta,Chapecoense_AF,0,2,"1,99","2,95","4,11"
Fotbal,2.brazilská liga,12,9,24,CRB_Maceio,Sport_Recife,1,1,"3,11","2,62","2,61"
Fotbal,2.brazilská liga,14,9,24,Novorizontino,Botafogo_Sao_Paulo,2,0,"1,78","2,99","5,24"
Fotbal,2.brazilská liga,14,9,24,Goiás,Avai_Florianopolis,2,1,"2,05","2,78","4,23"
Fotbal,2.brazilská liga,14,9,24,Ponte_Preta,Ituano,1,4,"2,15","2,94","3,56"
Fotbal,2.brazilská liga,14,9,24,Brusque,Vila_Nova,3,1,"3,37","2,72","2,37"
Fotbal,2.brazilská liga,14,9,24,Mirassol,Amazonas,0,0,"1,71","3,15","5,45"
Fotbal,2.brazilská liga,14,9,24,Paysandu_SC,Guarani_de_Campinas,2,1,"1,99","2,89","4,24"
Fotbal,2.brazilská liga,15,9,24,Operário_Ferroviário,Coritiba,2,1,"2,82","2,57","2,92"
Fotbal,2.brazilská liga,15,9,24,Santos,América_Mineiro,2,1,"1,65","3,34","5,49"
Fotbal,2.brazilská liga,15,9,24,Chapecoense_AF,Ceará,2,1,"3,37","2,70","2,39"
Fotbal,2.brazilská liga,14,9,24,Sport_Recife,CRB_Maceio,,,"1,70","3,23","5,34"
Fotbal,2.brazilská liga,15,9,24,Sport_Recife,CRB_Maceio,2,0,"1,53","3,59","6,54"
Fotbal,2.brazilská liga,18,9,24,Avai_Florianopolis,Ituano,2,0,"1,74","3,13","5,24"
Fotbal,2.brazilská liga,18,9,24,Guarani_de_Campinas,Mirassol,1,0,"2,36","2,62","3,57"
Fotbal,2.brazilská liga,18,9,24,Novorizontino,Brusque,1,0,"1,55","3,40","6,92"
Fotbal,2.brazilská liga,19,9,24,Sport_Recife,Goiás,1,1,"1,66","3,23","5,70"
Fotbal,2.brazilská liga,19,9,24,Vila_Nova,Chapecoense_AF,3,2,"1,58","3,50","6,04"
Fotbal,2.brazilská liga,19,9,24,Amazonas,Operário_Ferroviário,2,1,"1,97","2,74","4,70"
Fotbal,2.brazilská liga,19,9,24,América_Mineiro,Paysandu_SC,2,0,"1,71","3,30","5,01"
Fotbal,2.brazilská liga,19,9,24,Coritiba,Ceará,3,1,"2,14","3,06","3,44"
Fotbal,2.brazilská liga,20,9,24,CRB_Maceio,Ponte_Preta,0,1,"1,76","3,08","5,15"
Fotbal,2.brazilská liga,20,9,24,Botafogo_Sao_Paulo,Santos,0,1,"4,36","3,08","1,89"
Fotbal,2.brazilská liga,21,9,24,Botafogo_Sao_Paulo,CRB_Maceio,,,"2,17","2,72","3,89"
Fotbal,2.brazilská liga,21,9,24,Goiás,Mirassol,0,1,"2,07","2,83","4,03"
Fotbal,2.brazilská liga,21,9,24,Ponte_Preta,América_Mineiro,,,"3,06","2,88","2,43"
