Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.dánská liga,2,9,24,Hobro,B_93,0,1,"1,67","3,84","3,92"
Fotbal,2.dánská liga,13,9,24,Roskilde_FC_1906,Hvidovre_Kobenhavn,2,0,"3,93","3,68","1,70"
Fotbal,2.dánská liga,14,9,24,Vendsyssel,Hillerod,0,3,"2,84","3,51","2,12"
Fotbal,2.dánská liga,14,9,24,Horsens,Odense,2,2,"3,71","3,63","1,76"
Fotbal,2.dánská liga,14,9,24,Kolding_IF,Koge_HB,1,1,"1,14","7,34","14,20"
Fotbal,2.dánská liga,15,9,24,Esbjerg_FB,B_93,4,3,"1,58","3,99","4,33"
Fotbal,2.dánská liga,16,9,24,Fredericia,Hobro,1,1,"2,30","3,58","2,53"
Fotbal,2.dánská liga,20,9,24,Hobro,Kolding_IF,1,0,"2,83","3,17","2,28"
Fotbal,2.dánská liga,20,9,24,Koge_HB,Vendsyssel,0,2,"3,63","3,99","1,71"
Fotbal,2.dánská liga,21,9,24,B_93,Horsens,1,0,"4,51","3,93","1,57"
Fotbal,2.dánská liga,22,9,24,Hvidovre_Kobenhavn,Esbjerg_FB,3,2,"2,04","3,54","2,96"
Fotbal,2.dánská liga,22,9,24,Odense,Roskilde_FC_1906,3,2,"1,22","5,58","9,99"
Fotbal,2.dánská liga,23,9,24,Hillerod,Fredericia,0,3,"1,60","4,00","4,23"
Fotbal,2.dánská liga,27,9,24,Kolding_IF,Odense,1,2,"4,13","3,41","1,73"
Fotbal,2.dánská liga,28,9,24,Vendsyssel,Hvidovre_Kobenhavn,0,1,"3,51","3,61","1,81"
Fotbal,2.dánská liga,28,9,24,Fredericia,B_93,3,0,"1,66","3,98","3,84"
Fotbal,2.dánská liga,28,9,24,Horsens,Hobro,2,0,"1,67","3,69","4,11"
Fotbal,2.dánská liga,29,9,24,Esbjerg_FB,Hillerod,1,1,"2,43","3,46","2,45"
Fotbal,2.dánská liga,29,9,24,Roskilde_FC_1906,Koge_HB,0,2,"1,45","4,28","5,14"
Fotbal,2.dánská liga,4,10,24,Hobro,Roskilde_FC_1906,4,1,"1,67","3,73","4,08"
Fotbal,2.dánská liga,4,10,24,B_93,Esbjerg_FB,0,4,"3,67","4,00","1,69"
Fotbal,2.dánská liga,4,10,24,Hillerod,Vendsyssel,2,2,"1,53","4,02","4,70"
Fotbal,2.dánská liga,4,10,24,Odense,Koge_HB,0,3,"1,11","8,18","15,30"
Fotbal,2.dánská liga,5,10,24,Fredericia,Horsens,1,2,"3,77","4,08","1,66"
Fotbal,2.dánská liga,7,10,24,Hvidovre_Kobenhavn,Kolding_IF,0,0,"2,33","2,90","2,98"
Fotbal,2.dánská liga,18,10,24,Roskilde_FC_1906,Odense,1,5,"7,50","4,77","1,30"
Fotbal,2.dánská liga,18,10,24,Koge_HB,Hobro,4,1,"4,03","3,91","1,65"
Fotbal,2.dánská liga,18,10,24,Kolding_IF,Hillerod,3,1,"1,81","3,08","4,25"
Fotbal,2.dánská liga,18,10,24,Vendsyssel,B_93,1,2,"1,58","3,96","4,38"
Fotbal,2.dánská liga,19,10,24,Esbjerg_FB,Fredericia,0,3,"2,00","3,79","2,89"
Fotbal,2.dánská liga,20,10,24,Horsens,Hvidovre_Kobenhavn,2,1,"1,72","3,61","3,94"
Fotbal,2.dánská liga,25,10,24,B_93,Roskilde_FC_1906,0,1,"2,68","3,44","2,25"
Fotbal,2.dánská liga,25,10,24,Hillerod,Horsens,2,0,"3,82","3,69","1,72"
Fotbal,2.dánská liga,25,10,24,Koge_HB,Kolding_IF,0,1,"5,68","4,26","1,42"
Fotbal,2.dánská liga,26,10,24,Hvidovre_Kobenhavn,Vendsyssel,3,1,"1,65","3,78","4,11"
Fotbal,2.dánská liga,26,10,24,Odense,Esbjerg_FB,2,1,"1,41","4,34","5,56"
Fotbal,2.dánská liga,27,10,24,Hobro,Fredericia,1,4,"2,12","3,58","2,79"
Fotbal,2.dánská liga,1,11,24,Hillerod,Hvidovre_Kobenhavn,1,0,"2,61","3,03","2,54"
Fotbal,2.dánská liga,1,11,24,Horsens,B_93,3,0,"1,27","5,18","7,47"
Fotbal,2.dánská liga,2,11,24,Roskilde_FC_1906,Kolding_IF,0,1,"5,15","3,58","1,55"
Fotbal,2.dánská liga,2,11,24,Vendsyssel,Koge_HB,1,1,"1,60","3,71","4,51"
Fotbal,2.dánská liga,3,11,24,Esbjerg_FB,Hobro,3,2,"2,21","3,55","2,68"
Fotbal,2.dánská liga,3,11,24,Fredericia,Odense,1,4,"4,45","3,96","1,57"
Fotbal,2.dánská liga,8,11,24,B_93,Fredericia,0,5,"3,85","3,97","1,67"
Fotbal,2.dánská liga,8,11,24,Kolding_IF,Vendsyssel,0,0,"1,47","3,74","5,85"
Fotbal,2.dánská liga,9,11,24,Odense,Horsens,3,2,"1,94","3,42","3,27"
Fotbal,2.dánská liga,10,11,24,Koge_HB,Hvidovre_Kobenhavn,1,0,"4,69","4,03","1,53"
Fotbal,2.dánská liga,10,11,24,Esbjerg_FB,Roskilde_FC_1906,2,0,"1,63","3,87","4,15"
Fotbal,2.dánská liga,11,11,24,Hobro,Hillerod,2,2,"2,38","3,30","2,61"
Fotbal,2.dánská liga,22,11,24,B_93,Hobro,1,2,"3,99","3,88","1,66"
Fotbal,2.dánská liga,22,11,24,Hvidovre_Kobenhavn,Roskilde_FC_1906,2,0,"1,63","3,54","4,52"
Fotbal,2.dánská liga,24,11,24,Fredericia,Kolding_IF,1,0,"3,04","3,08","2,19"
Fotbal,2.dánská liga,24,11,24,Horsens,Koge_HB,0,0,"1,23","5,40","9,14"
Fotbal,2.dánská liga,24,11,24,Hillerod,Esbjerg_FB,1,2,"1,90","3,53","3,31"
Fotbal,2.dánská liga,25,11,24,Vendsyssel,Odense,1,1,"5,20","4,06","1,47"
Fotbal,2.dánská liga,29,11,24,Hvidovre_Kobenhavn,Hobro,1,0,"2,16","3,18","3,00"
Fotbal,2.dánská liga,29,11,24,Kolding_IF,Horsens,1,2,"2,76","2,87","2,53"
Fotbal,2.dánská liga,30,11,24,Roskilde_FC_1906,Fredericia,0,2,"3,36","3,66","1,84"
Fotbal,2.dánská liga,1,12,24,Vendsyssel,Esbjerg_FB,2,0,"2,30","3,35","2,68"
Fotbal,2.dánská liga,1,12,24,Odense,B_93,3,3,"1,15","6,89","13,50"
Fotbal,2.dánská liga,2,12,24,Koge_HB,Hillerod,1,5,"4,29","3,45","1,69"
Fotbal,2.dánská liga,21,2,25,Hobro,Vendsyssel,1,0,"2,08","3,15","3,18"
