Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.francouzská liga,13,9,24,Bastia,Troyes,0,0,"1,82","3,34","4,64"
Fotbal,2.francouzská liga,14,9,24,Annecy,Amiens,,,"2,15","3,14","3,52"
Fotbal,2.francouzská liga,14,9,24,Clermont,Dunkerque,,,"1,83","3,45","4,39"
Fotbal,2.francouzská liga,14,9,24,Laval,Ajaccio,,,"2,42","2,69","3,51"
Fotbal,2.francouzská liga,14,9,24,Lorient,Red_Stars,,,"1,51","4,12","6,14"
Fotbal,2.francouzská liga,14,9,24,Paris_FC,Metz,1,2,"2,27","3,11","3,28"
Fotbal,2.francouzská liga,14,9,24,Pau,Martigues,,,"2,01","3,25","3,83"
Fotbal,2.francouzská liga,14,9,24,Rodez,Guingamp,,,"2,91","3,06","2,52"
Fotbal,2.francouzská liga,16,9,24,Grenoble,Caen,3,1,"2,95","3,15","2,43"
Fotbal,2.francouzská liga,13,9,24,Annecy,Amiens,3,0,"2,35","2,95","3,30"
Fotbal,2.francouzská liga,13,9,24,Clermont,Dunkerque,0,1,"1,86","3,38","4,33"
Fotbal,2.francouzská liga,13,9,24,Laval,Ajaccio,1,1,"2,47","2,68","3,42"
Fotbal,2.francouzská liga,13,9,24,Lorient,Red_Stars,2,1,"1,65","4,00","4,82"
Fotbal,2.francouzská liga,13,9,24,Pau,Martigues,3,0,"2,22","3,19","3,29"
Fotbal,2.francouzská liga,13,9,24,Rodez,Guingamp,1,2,"3,48","3,17","2,15"
Fotbal,2.francouzská liga,20,9,24,Amiens,Clermont,1,0,"2,57","2,84","3,05"
Fotbal,2.francouzská liga,20,9,24,Caen,Ajaccio,1,0,"2,10","3,03","3,83"
Fotbal,2.francouzská liga,20,9,24,Bastia,Paris_FC,2,1,"3,05","2,94","2,49"
Fotbal,2.francouzská liga,20,9,24,Troyes,Rodez,0,3,"2,52","3,26","2,76"
Fotbal,2.francouzská liga,20,9,24,Dunkerque,Pau,3,2,"2,86","3,10","2,54"
Fotbal,2.francouzská liga,20,9,24,Guingamp,Annecy,2,2,"1,80","3,54","4,44"
Fotbal,2.francouzská liga,20,9,24,Martigues,Grenoble,0,4,"3,49","2,82","2,33"
Fotbal,2.francouzská liga,20,9,24,Red_Stars,Laval,0,3,"2,54","3,01","2,92"
Fotbal,2.francouzská liga,21,9,24,Metz,Lorient,1,1,"2,58","3,16","2,76"
Fotbal,2.francouzská liga,24,9,24,Ajaccio,Grenoble,2,0,"2,81","2,70","2,92"
Fotbal,2.francouzská liga,24,9,24,Annecy,Troyes,1,0,"1,79","3,58","4,42"
Fotbal,2.francouzská liga,24,9,24,Clermont,Red_Stars,1,1,"1,95","3,41","3,88"
Fotbal,2.francouzská liga,24,9,24,Paris_FC,Guingamp,2,0,"2,28","3,07","3,29"
Fotbal,2.francouzská liga,24,9,24,Caen,Amiens,2,1,"2,00","3,26","3,85"
Fotbal,2.francouzská liga,24,9,24,Dunkerque,Bastia,2,1,"3,05","2,88","2,55"
Fotbal,2.francouzská liga,24,9,24,Metz,Martigues,6,0,"1,35","4,76","8,74"
Fotbal,2.francouzská liga,24,9,24,Pau,Lorient,1,0,"3,32","3,80","2,00"
Fotbal,2.francouzská liga,24,9,24,Rodez,Laval,1,3,"2,22","3,19","3,28"
Fotbal,2.francouzská liga,27,9,24,Amiens,Rodez,2,1,"2,31","3,16","3,14"
Fotbal,2.francouzská liga,27,9,24,Bastia,Annecy,2,2,"2,08","3,08","3,84"
Fotbal,2.francouzská liga,27,9,24,Grenoble,Clermont,3,0,"2,34","3,18","3,07"
Fotbal,2.francouzská liga,27,9,24,Laval,Pau,3,1,"2,45","3,01","3,05"
Fotbal,2.francouzská liga,27,9,24,Lorient,Ajaccio,3,0,"1,47","4,11","7,07"
Fotbal,2.francouzská liga,27,9,24,Martigues,Dunkerque,1,1,"3,29","2,98","2,33"
Fotbal,2.francouzská liga,28,9,24,Red_Stars,Paris_FC,1,3,"3,64","3,41","2,01"
Fotbal,2.francouzská liga,28,9,24,Troyes,Metz,2,1,"4,31","3,53","1,82"
Fotbal,2.francouzská liga,30,9,24,Guingamp,Caen,3,1,"2,26","3,18","3,22"
Fotbal,2.francouzská liga,4,10,24,Ajaccio,Martigues,,,"1,92","3,01","4,73"
Fotbal,2.francouzská liga,4,10,24,Annecy,Red_Stars,1,0,"2,17","3,32","3,26"
Fotbal,2.francouzská liga,4,10,24,Dunkerque,Troyes,2,1,"2,23","3,17","3,30"
Fotbal,2.francouzská liga,4,10,24,Paris_FC,Laval,1,0,"1,68","3,64","5,07"
Fotbal,2.francouzská liga,4,10,24,Pau,Bastia,,,"2,33","2,98","3,28"
Fotbal,2.francouzská liga,4,10,24,Rodez,Grenoble,2,1,"2,44","3,21","2,89"
Fotbal,2.francouzská liga,5,10,24,Caen,Lorient,1,2,"3,17","3,49","2,16"
Fotbal,2.francouzská liga,5,10,24,Clermont,Guingamp,4,1,"3,36","3,09","2,24"
Fotbal,2.francouzská liga,5,10,24,Metz,Amiens,3,2,"1,73","3,44","5,09"
Fotbal,2.francouzská liga,5,10,24,Ajaccio,Martigues,1,1,"1,86","3,04","4,98"
Fotbal,2.francouzská liga,19,10,24,Amiens,Ajaccio,3,1,"1,87","3,06","4,87"
Fotbal,2.francouzská liga,19,10,24,Bastia,Clermont,,,"2,15","2,97","3,53"
Fotbal,2.francouzská liga,19,10,24,Grenoble,Metz,,,"3,32","3,07","2,18"
Fotbal,2.francouzská liga,19,10,24,Guingamp,Pau,,,"1,79","3,52","4,13"
Fotbal,2.francouzská liga,19,10,24,Laval,Dunkerque,,,"2,12","3,04","3,51"
Fotbal,2.francouzská liga,19,10,24,Lorient,Annecy,4,2,"1,46","4,49","6,45"
Fotbal,2.francouzská liga,19,10,24,Martigues,Rodez,,,"3,69","3,33","1,95"
Fotbal,2.francouzská liga,19,10,24,Red_Stars,Caen,,,"2,83","3,15","2,42"
Fotbal,2.francouzská liga,18,10,24,Bastia,Clermont,0,0,"2,10","2,90","4,07"
Fotbal,2.francouzská liga,18,10,24,Grenoble,Metz,2,0,"3,83","3,25","2,01"
Fotbal,2.francouzská liga,18,10,24,Guingamp,Pau,0,1,"1,86","3,59","4,04"
Fotbal,2.francouzská liga,18,10,24,Laval,Dunkerque,3,2,"2,20","3,13","3,42"
Fotbal,2.francouzská liga,18,10,24,Martigues,Rodez,0,2,"4,72","3,69","1,72"
Fotbal,2.francouzská liga,18,10,24,Red_Stars,Caen,2,2,"2,44","3,28","2,83"
Fotbal,2.francouzská liga,21,10,24,Troyes,Paris_FC,0,3,"4,25","3,59","1,82"
Fotbal,2.francouzská liga,22,10,24,Pau,Bastia,1,1,"2,16","3,07","3,59"
Fotbal,2.francouzská liga,25,10,24,Annecy,Laval,2,0,"2,26","2,96","3,46"
Fotbal,2.francouzská liga,25,10,24,Clermont,Martigues,0,1,"1,74","3,53","4,82"
Fotbal,2.francouzská liga,25,10,24,Dunkerque,Red_Stars,2,0,"2,37","3,32","2,92"
Fotbal,2.francouzská liga,25,10,24,Metz,Guingamp,1,0,"1,92","3,33","4,11"
Fotbal,2.francouzská liga,25,10,24,Pau,Amiens,0,2,"2,50","3,17","2,84"
