Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.jihokorejská liga,14,9,24,Chungbuk_Cheongju,Seoul_E-Land_FC,1,2,"3,24","2,90","2,18"
Fotbal,2.jihokorejská liga,14,9,24,Chungnam_Asan,Ansan_Greeners,1,1,"1,59","3,49","4,89"
Fotbal,2.jihokorejská liga,14,9,24,Suwon_Bluewings,Cheonan_City,1,2,"1,51","3,92","4,96"
Fotbal,2.jihokorejská liga,15,9,24,Gyeongnam,Bucheon_FC,1,4,"2,49","3,10","2,61"
Fotbal,2.jihokorejská liga,15,9,24,Chunnam_Dragons,Busan_I'Park,1,2,"2,61","3,34","2,36"
Fotbal,2.jihokorejská liga,15,9,24,Gimpo_Citizen,Anyang,1,2,"3,30","2,95","2,13"
Fotbal,2.jihokorejská liga,21,9,24,Chungnam_Asan,Chunnam_Dragons,2,1,"2,17","3,25","2,93"
Fotbal,2.jihokorejská liga,21,9,24,Anyang,Ansan_Greeners,2,1,"1,45","3,89","5,82"
Fotbal,2.jihokorejská liga,21,9,24,Cheonan_City,Chungbuk_Cheongju,1,0,"2,82","2,93","2,43"
Fotbal,2.jihokorejská liga,22,9,24,Bucheon_FC,Gimpo_Citizen,2,0,"2,24","2,99","3,04"
Fotbal,2.jihokorejská liga,22,9,24,Seongnam_Ilhwa,Suwon_Bluewings,1,2,"3,50","3,47","1,85"
Fotbal,2.jihokorejská liga,22,9,24,Busan_I'Park,Gyeongnam,1,1,"1,79","3,46","3,79"
Fotbal,2.jihokorejská liga,24,9,24,Ansan_Greeners,Chungbuk_Cheongju,3,2,"3,37","2,63","2,31"
Fotbal,2.jihokorejská liga,24,9,24,Chungnam_Asan,Cheonan_City,2,0,"1,81","3,41","3,76"
Fotbal,2.jihokorejská liga,24,9,24,Seoul_E-Land_FC,Anyang,1,0,"2,18","3,04","3,10"
Fotbal,2.jihokorejská liga,25,9,24,Bucheon_FC,Seongnam_Ilhwa,3,0,"1,61","3,47","4,78"
Fotbal,2.jihokorejská liga,25,9,24,Gyeongnam,Gimpo_Citizen,1,1,"2,75","2,78","2,62"
Fotbal,2.jihokorejská liga,25,9,24,Suwon_Bluewings,Busan_I'Park,0,1,"2,13","3,19","3,05"
Fotbal,2.jihokorejská liga,28,9,24,Anyang,Chungnam_Asan,0,1,"2,28","2,96","3,00"
Fotbal,2.jihokorejská liga,28,9,24,Gyeongnam,Suwon_Bluewings,1,1,"3,34","3,25","1,98"
Fotbal,2.jihokorejská liga,29,9,24,Ansan_Greeners,Busan_I'Park,0,5,"4,43","3,49","1,66"
Fotbal,2.jihokorejská liga,29,9,24,Chungbuk_Cheongju,Seongnam_Ilhwa,1,1,"2,18","2,97","3,16"
Fotbal,2.jihokorejská liga,30,9,24,Chunnam_Dragons,Bucheon_FC,3,1,"2,64","3,22","2,39"
Fotbal,2.jihokorejská liga,30,9,24,Seoul_E-Land_FC,Gimpo_Citizen,0,2,"1,74","3,17","4,44"
Fotbal,2.jihokorejská liga,5,10,24,Cheonan_City,Gyeongnam,3,1,"2,61","3,37","2,34"
Fotbal,2.jihokorejská liga,5,10,24,Busan_I'Park,Seoul_E-Land_FC,0,0,"2,51","3,04","2,64"
Fotbal,2.jihokorejská liga,5,10,24,Gimpo_Citizen,Chungnam_Asan,3,0,"2,67","2,83","2,65"
Fotbal,2.jihokorejská liga,5,10,24,Bucheon_FC,Chungbuk_Cheongju,0,0,"1,86","3,07","4,00"
Fotbal,2.jihokorejská liga,5,10,24,Seongnam_Ilhwa,Chunnam_Dragons,0,1,"2,77","3,43","2,20"
Fotbal,2.jihokorejská liga,6,10,24,Suwon_Bluewings,Anyang,1,0,"1,97","3,15","3,47"
Fotbal,2.jihokorejská liga,19,10,24,Bucheon_FC,Suwon_Bluewings,1,1,"2,76","3,03","2,41"
Fotbal,2.jihokorejská liga,19,10,24,Chungbuk_Cheongju,Gimpo_Citizen,0,1,"2,93","2,62","2,60"
Fotbal,2.jihokorejská liga,19,10,24,Chunnam_Dragons,Ansan_Greeners,1,1,"1,56","3,80","4,67"
Fotbal,2.jihokorejská liga,20,10,24,Cheonan_City,Seoul_E-Land_FC,0,3,"4,16","3,55","1,69"
Fotbal,2.jihokorejská liga,20,10,24,Seongnam_Ilhwa,Chungnam_Asan,2,3,"3,48","3,27","1,92"
Fotbal,2.jihokorejská liga,20,10,24,Anyang,Busan_I'Park,4,1,"2,44","2,88","2,87"
Fotbal,2.jihokorejská liga,26,10,24,Chunnam_Dragons,Cheonan_City,0,2,"1,64","3,86","4,09"
Fotbal,2.jihokorejská liga,26,10,24,Ansan_Greeners,Bucheon_FC,1,0,"4,20","3,26","1,76"
Fotbal,2.jihokorejská liga,26,10,24,Chungbuk_Cheongju,Anyang,0,2,"3,69","2,98","1,97"
Fotbal,2.jihokorejská liga,27,10,24,Gimpo_Citizen,Suwon_Bluewings,0,0,"3,32","3,04","2,07"
Fotbal,2.jihokorejská liga,27,10,24,Seoul_E-Land_FC,Chungnam_Asan,1,2,"2,10","3,07","3,23"
Fotbal,2.jihokorejská liga,27,10,24,Gyeongnam,Seongnam_Ilhwa,5,1,"2,04","3,28","3,16"
Fotbal,2.jihokorejská liga,29,10,24,Anyang,Chunnam_Dragons,1,1,"1,77","3,57","3,72"
Fotbal,2.jihokorejská liga,29,10,24,Busan_I'Park,Chungbuk_Cheongju,0,1,"1,60","3,35","5,07"
Fotbal,2.jihokorejská liga,29,10,24,Cheonan_City,Bucheon_FC,1,1,"3,63","3,33","1,86"
Fotbal,2.jihokorejská liga,30,10,24,Ansan_Greeners,Gyeongnam,1,1,"3,13","3,19","2,09"
Fotbal,2.jihokorejská liga,30,10,24,Seoul_E-Land_FC,Seongnam_Ilhwa,1,0,"1,41","4,23","5,91"
Fotbal,2.jihokorejská liga,30,10,24,Suwon_Bluewings,Chungnam_Asan,2,1,"2,18","2,92","3,21"
Fotbal,2.jihokorejská liga,2,11,24,Bucheon_FC,Anyang,0,0,"2,43","2,99","2,78"
Fotbal,2.jihokorejská liga,2,11,24,Cheonan_City,Busan_I'Park,2,3,"4,59","3,91","1,56"
Fotbal,2.jihokorejská liga,3,11,24,Gyeongnam,Seoul_E-Land_FC,0,3,"3,60","3,47","1,83"
Fotbal,2.jihokorejská liga,3,11,24,Chunnam_Dragons,Chungbuk_Cheongju,3,0,"1,71","3,41","4,27"
Fotbal,2.jihokorejská liga,3,11,24,Seongnam_Ilhwa,Gimpo_Citizen,1,1,"4,16","3,33","1,75"
Fotbal,2.jihokorejská liga,3,11,24,Suwon_Bluewings,Ansan_Greeners,2,1,"1,31","4,50","7,86"
Fotbal,2.jihokorejská liga,9,11,24,Ansan_Greeners,Seongnam_Ilhwa,1,1,"2,29","3,11","2,85"
Fotbal,2.jihokorejská liga,9,11,24,Anyang,Gyeongnam,2,2,"1,60","3,65","4,63"
Fotbal,2.jihokorejská liga,9,11,24,Busan_I'Park,Bucheon_FC,3,1,"1,77","3,26","4,13"
Fotbal,2.jihokorejská liga,9,11,24,Chungbuk_Cheongju,Chungnam_Asan,1,4,"4,03","3,16","1,82"
Fotbal,2.jihokorejská liga,9,11,24,Gimpo_Citizen,Cheonan_City,1,0,"1,80","3,33","3,89"
Fotbal,2.jihokorejská liga,9,11,24,Seoul_E-Land_FC,Chunnam_Dragons,0,4,"1,75","3,53","3,86"
Fotbal,2.jihokorejská liga,22,2,25,Cheonan_City,Chunnam_Dragons,0,2,"3,30","3,44","1,93"
Fotbal,2.jihokorejská liga,22,2,25,Incheon_United_FC,Gyeongnam,2,0,"1,45","3,93","5,73"
Fotbal,2.jihokorejská liga,22,2,25,Ansan_Greeners,Suwon_Bluewings,0,1,"4,31","3,20","1,75"
Fotbal,2.jihokorejská liga,22,2,25,Busan_I'Park,Gimpo_Citizen,0,0,"2,21","2,87","3,22"
Fotbal,2.jihokorejská liga,23,2,25,Seongnam_Ilhwa,Hwaseong,2,0,"2,88","2,97","2,36"
Fotbal,2.jihokorejská liga,23,2,25,Bucheon_FC,Chungbuk_Cheongju,3,1,"1,95","2,99","3,78"
Fotbal,2.jihokorejská liga,23,2,25,Seoul_E-Land_FC,Chungnam_Asan,2,1,"2,21","3,08","3,00"
Fotbal,2.jihokorejská liga,1,3,25,Ansan_Greeners,Gimpo_Citizen,0,2,"3,55","2,94","2,04"
Fotbal,2.jihokorejská liga,1,3,25,Seoul_E-Land_FC,Chunnam_Dragons,1,1,"2,17","3,27","2,91"
Fotbal,2.jihokorejská liga,2,3,25,Busan_I'Park,Gyeongnam,0,1,"1,73","3,41","4,15"
Fotbal,2.jihokorejská liga,2,3,25,Cheonan_City,Bucheon_FC,1,2,"4,07","3,44","1,73"
Fotbal,2.jihokorejská liga,3,3,25,Seongnam_Ilhwa,Chungbuk_Cheongju,1,1,"2,52","2,73","2,91"
Fotbal,2.jihokorejská liga,1,3,25,Incheon_United_FC,Suwon_Bluewings,2,0,"2,38","2,92","2,89"
Fotbal,2.jihokorejská liga,2,3,25,Hwaseong,Chungnam_Asan,1,1,"2,91","3,18","2,22"
Fotbal,2.jihokorejská liga,8,3,25,Bucheon_FC,Busan_I'Park,0,2,"2,60","2,86","2,70"
Fotbal,2.jihokorejská liga,8,3,25,Hwaseong,Gyeongnam,1,1,"2,31","3,18","2,77"
Fotbal,2.jihokorejská liga,8,3,25,Ansan_Greeners,Chunnam_Dragons,0,1,"4,25","3,26","1,75"
Fotbal,2.jihokorejská liga,8,3,25,Gimpo_Citizen,Chungbuk_Cheongju,2,3,"1,95","2,86","3,99"
Fotbal,2.jihokorejská liga,9,3,25,Cheonan_City,Chungnam_Asan,1,0,"3,53","3,29","1,90"
Fotbal,2.jihokorejská liga,9,3,25,Seoul_E-Land_FC,Suwon_Bluewings,4,2,"2,82","3,05","2,36"
Fotbal,2.jihokorejská liga,9,3,25,Seongnam_Ilhwa,Incheon_United_FC,2,1,"4,42","3,39","1,68"
Fotbal,2.jihokorejská liga,15,3,25,Hwaseong,Chungbuk_Cheongju,2,1,"2,20","2,99","3,10"
Fotbal,2.jihokorejská liga,15,3,25,Incheon_United_FC,Seoul_E-Land_FC,1,0,"2,08","3,14","3,19"
Fotbal,2.jihokorejská liga,15,3,25,Gimpo_Citizen,Seongnam_Ilhwa,0,0,"1,91","2,99","3,92"
Fotbal,2.jihokorejská liga,15,3,25,Suwon_Bluewings,Chungnam_Asan,0,0,"1,79","3,27","3,99"
Fotbal,2.jihokorejská liga,16,3,25,Busan_I'Park,Cheonan_City,2,1,"1,62","3,43","4,74"
Fotbal,2.jihokorejská liga,16,3,25,Gyeongnam,Chunnam_Dragons,2,2,"3,31","3,14","2,03"
Fotbal,2.jihokorejská liga,16,3,25,Bucheon_FC,Ansan_Greeners,3,1,"1,61","3,36","4,98"
Fotbal,2.jihokorejská liga,29,3,25,Ansan_Greeners,Hwaseong,3,3,"3,02","3,01","2,24"
Fotbal,2.jihokorejská liga,29,3,25,Suwon_Bluewings,Chunnam_Dragons,2,1,"1,95","3,19","3,50"
Fotbal,2.jihokorejská liga,29,3,25,Gyeongnam,Chungbuk_Cheongju,3,0,"2,23","2,95","3,09"
Fotbal,2.jihokorejská liga,29,3,25,Incheon_United_FC,Busan_I'Park,1,1,"1,98","2,97","3,69"
Fotbal,2.jihokorejská liga,30,3,25,Cheonan_City,Gimpo_Citizen,0,2,"3,45","2,98","2,05"
Fotbal,2.jihokorejská liga,30,3,25,Seoul_E-Land_FC,Bucheon_FC,3,2,"2,35","3,00","2,86"
Fotbal,2.jihokorejská liga,30,3,25,Chungnam_Asan,Seongnam_Ilhwa,1,1,"1,97","3,04","3,60"
