Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.norská liga,2,9,24,Asane,Kongsvinger,2,1,"3,43","3,69","1,82"
Fotbal,2.norská liga,2,9,24,Levanger,Egersunds_IK,2,1,"2,18","3,65","2,67"
Fotbal,2.norská liga,2,9,24,Ranheim,Start_Kristiansand,2,3,"1,57","3,86","4,53"
Fotbal,2.norská liga,2,9,24,Raufoss,Sogndal,4,1,"2,66","3,19","2,39"
Fotbal,2.norská liga,15,9,24,Sogndal,Lyn_SFK,0,1,"2,47","3,39","2,45"
Fotbal,2.norská liga,16,9,24,Egersunds_IK,Ranheim,0,2,"2,14","3,56","2,78"
Fotbal,2.norská liga,16,9,24,Aalesund,Sandnes_Ulf,2,0,"1,34","4,65","6,54"
Fotbal,2.norská liga,16,9,24,Kongsvinger,Moss,0,0,"1,96","3,48","3,17"
Fotbal,2.norská liga,16,9,24,Mjondalen_IF,Bryne_IL,1,1,"3,43","3,50","1,87"
Fotbal,2.norská liga,16,9,24,Stabaek,Raufoss,1,2,"1,49","4,26","4,80"
Fotbal,2.norská liga,16,9,24,Start_Kristiansand,Levanger,1,1,"1,99","3,52","3,08"
Fotbal,2.norská liga,16,9,24,Valerengen,Asane,5,0,"1,16","6,80","12,10"
Fotbal,2.norská liga,21,9,24,Kongsvinger,Aalesund,1,5,"1,96","3,48","3,18"
Fotbal,2.norská liga,21,9,24,Asane,Mjondalen_IF,5,0,"2,18","3,43","2,79"
Fotbal,2.norská liga,21,9,24,Bryne_IL,Valerengen,1,1,"3,65","3,55","1,79"
Fotbal,2.norská liga,21,9,24,Levanger,Raufoss,0,1,"1,77","3,52","3,80"
Fotbal,2.norská liga,21,9,24,Ranheim,Moss,1,0,"2,44","3,27","2,54"
Fotbal,2.norská liga,21,9,24,Sandnes_Ulf,Sogndal,1,0,"3,21","3,57","1,92"
Fotbal,2.norská liga,21,9,24,Stabaek,Start_Kristiansand,2,3,"1,83","3,89","3,24"
Fotbal,2.norská liga,25,9,24,Egersunds_IK,Stabaek,2,1,"2,02","3,95","2,78"
Fotbal,2.norská liga,25,9,24,Levanger,Lyn_SFK,1,3,"2,81","3,49","2,15"
Fotbal,2.norská liga,25,9,24,Mjondalen_IF,Kongsvinger,1,2,"2,85","3,59","2,08"
Fotbal,2.norská liga,25,9,24,Moss,Sandnes_Ulf,6,1,"1,34","4,69","6,47"
Fotbal,2.norská liga,25,9,24,Raufoss,Ranheim,1,1,"2,60","3,17","2,46"
Fotbal,2.norská liga,25,9,24,Sogndal,Bryne_IL,2,3,"3,08","3,25","2,09"
Fotbal,2.norská liga,25,9,24,Start_Kristiansand,Asane,3,1,"1,90","3,46","3,36"
Fotbal,2.norská liga,24,9,24,Valerengen,Aalesund,4,1,"1,33","4,67","6,61"
Fotbal,2.norská liga,25,9,24,Valerengen,Aalesund,4,1,"1,33","4,67","6,61"
Fotbal,2.norská liga,28,9,24,Aalesund,Mjondalen_IF,0,1,"1,52","4,02","4,76"
Fotbal,2.norská liga,28,9,24,Asane,Egersunds_IK,1,2,"2,27","3,62","2,55"
Fotbal,2.norská liga,28,9,24,Bryne_IL,Moss,3,0,"1,92","3,14","3,63"
Fotbal,2.norská liga,28,9,24,Kongsvinger,Valerengen,2,2,"4,05","3,86","1,65"
Fotbal,2.norská liga,28,9,24,Ranheim,Levanger,1,1,"1,74","3,70","3,74"
Fotbal,2.norská liga,28,9,24,Sandnes_Ulf,Start_Kristiansand,0,4,"3,47","3,85","1,77"
Fotbal,2.norská liga,28,9,24,Stabaek,Sogndal,2,0,"1,73","3,80","3,70"
Fotbal,2.norská liga,29,9,24,Lyn_SFK,Raufoss,1,2,"1,48","4,01","5,15"
Fotbal,2.norská liga,2,10,24,Lyn_SFK,Egersunds_IK,2,1,"1,58","4,17","4,24"
Fotbal,2.norská liga,2,10,24,Levanger,Stabaek,1,2,"2,48","3,63","2,33"
Fotbal,2.norská liga,2,10,24,Raufoss,Sandnes_Ulf,1,1,"1,34","4,43","6,89"
Fotbal,2.norská liga,2,10,24,Valerengen,Mjondalen_IF,4,2,"1,26","5,26","7,89"
Fotbal,2.norská liga,5,10,24,Sogndal,Aalesund,0,1,"2,87","3,35","2,16"
Fotbal,2.norská liga,5,10,24,Start_Kristiansand,Bryne_IL,2,1,"2,73","3,36","2,25"
Fotbal,2.norská liga,6,10,24,Egersunds_IK,Kongsvinger,0,1,"2,33","3,47","2,55"
Fotbal,2.norská liga,6,10,24,Moss,Asane,1,1,"1,56","3,90","4,60"
Fotbal,2.norská liga,6,10,24,Ranheim,Lyn_SFK,1,1,"2,64","3,51","2,25"
Fotbal,2.norská liga,21,10,24,Aalesund,Start_Kristiansand,3,1,"1,61","3,75","4,41"
Fotbal,2.norská liga,21,10,24,Asane,Ranheim,1,2,"2,49","3,33","2,47"
Fotbal,2.norská liga,21,10,24,Bryne_IL,Raufoss,1,0,"1,47","3,87","5,49"
Fotbal,2.norská liga,21,10,24,Kongsvinger,Stabaek,1,3,"2,27","3,66","2,53"
Fotbal,2.norská liga,21,10,24,Mjondalen_IF,Sogndal,0,0,"2,08","3,23","3,12"
Fotbal,2.norská liga,21,10,24,Moss,Levanger,5,1,"1,63","3,70","4,37"
Fotbal,2.norská liga,21,10,24,Sandnes_Ulf,Lyn_SFK,0,1,"5,02","4,38","1,45"
Fotbal,2.norská liga,21,10,24,Valerengen,Egersunds_IK,4,0,"1,33","4,90","6,22"
Fotbal,2.norská liga,27,10,24,Egersunds_IK,Mjondalen_IF,,,"1,71","3,90","3,68"
Fotbal,2.norská liga,27,10,24,Levanger,Sandnes_Ulf,,,"1,39","4,46","5,80"
Fotbal,2.norská liga,27,10,24,Lyn_SFK,Bryne_IL,,,"2,18","3,47","2,77"
Fotbal,2.norská liga,27,10,24,Ranheim,Aalesund,,,"2,45","3,19","2,59"
Fotbal,2.norská liga,27,10,24,Raufoss,Kongsvinger,,,"2,72","3,25","2,32"
Fotbal,2.norská liga,27,10,24,Sogndal,Asane,,,"1,94","3,42","3,27"
Fotbal,2.norská liga,27,10,24,Stabaek,Valerengen,,,"2,74","3,79","2,09"
Fotbal,2.norská liga,27,10,24,Start_Kristiansand,Moss,,,"2,43","3,31","2,53"
Fotbal,2.norská liga,25,10,24,Stabaek,Valerengen,1,2,"2,61","3,73","2,19"
Fotbal,2.norská liga,26,10,24,Egersunds_IK,Mjondalen_IF,3,1,"1,84","3,72","3,34"
Fotbal,2.norská liga,26,10,24,Levanger,Sandnes_Ulf,4,0,"1,40","4,41","5,69"
Fotbal,2.norská liga,26,10,24,Lyn_SFK,Bryne_IL,1,0,"2,20","3,39","2,79"
Fotbal,2.norská liga,26,10,24,Ranheim,Aalesund,0,1,"2,48","3,27","2,51"
Fotbal,2.norská liga,26,10,24,Raufoss,Kongsvinger,1,1,"3,09","3,24","2,09"
Fotbal,2.norská liga,26,10,24,Sogndal,Asane,0,2,"2,26","3,17","2,84"
Fotbal,2.norská liga,26,10,24,Start_Kristiansand,Moss,1,1,"2,68","3,39","2,27"
Fotbal,2.norská liga,2,11,24,Aalesund,Levanger,4,3,"1,58","3,80","4,56"
Fotbal,2.norská liga,2,11,24,Asane,Lyn_SFK,3,2,"2,81","3,47","2,15"
Fotbal,2.norská liga,2,11,24,Bryne_IL,Egersunds_IK,2,1,"1,70","3,53","4,11"
Fotbal,2.norská liga,2,11,24,Kongsvinger,Sogndal,0,1,"1,59","3,71","4,62"
Fotbal,2.norská liga,2,11,24,Mjondalen_IF,Stabaek,3,0,"3,06","3,84","1,91"
Fotbal,2.norská liga,2,11,24,Moss,Raufoss,3,2,"1,58","3,64","4,75"
Fotbal,2.norská liga,2,11,24,Sandnes_Ulf,Ranheim,2,6,"4,13","3,80","1,65"
Fotbal,2.norská liga,2,11,24,Valerengen,Start_Kristiansand,1,1,"1,42","4,46","5,34"
Fotbal,2.norská liga,9,11,24,Egersunds_IK,Sandnes_Ulf,3,1,"1,21","6,04","8,97"
Fotbal,2.norská liga,9,11,24,Levanger,Asane,2,3,"1,53","3,94","4,81"
Fotbal,2.norská liga,9,11,24,Lyn_SFK,Moss,1,2,"1,64","3,78","4,22"
Fotbal,2.norská liga,9,11,24,Ranheim,Bryne_IL,1,4,"1,98","3,59","3,06"
Fotbal,2.norská liga,9,11,24,Raufoss,Mjondalen_IF,0,1,"2,41","3,33","2,55"
Fotbal,2.norská liga,9,11,24,Sogndal,Valerengen,0,3,"4,24","4,02","1,60"
Fotbal,2.norská liga,9,11,24,Stabaek,Aalesund,1,4,"1,72","3,92","3,63"
Fotbal,2.norská liga,9,11,24,Start_Kristiansand,Kongsvinger,1,4,"2,86","3,52","2,10"
Fotbal,2.norská liga,31,3,25,Aalesund,Lilleström,2,2,"2,61","3,24","2,41"
Fotbal,2.norská liga,31,3,25,Egersunds_IK,Mjondalen_IF,3,2,"1,58","3,88","4,50"
Fotbal,2.norská liga,31,3,25,Kongsvinger,Asane,1,1,"1,65","3,75","4,15"
Fotbal,2.norská liga,31,3,25,Odd_Grenland,Skeid,2,1,"1,54","3,76","4,91"
Fotbal,2.norská liga,31,3,25,Ranheim,Lyn_SFK,0,3,"2,30","3,31","2,70"
Fotbal,2.norská liga,31,3,25,Stabaek,Hödd,1,1,"1,66","3,79","4,08"
Fotbal,2.norská liga,31,3,25,Start_Kristiansand,Sogndal,2,1,"1,80","3,58","3,60"
Fotbal,2.norská liga,1,4,25,Raufoss,Moss,3,2,"2,90","3,13","2,25"
Fotbal,2.norská liga,5,4,25,Asane,Egersunds_IK,0,2,"2,12","3,60","2,79"
Fotbal,2.norská liga,5,4,25,Hödd,Kongsvinger,0,2,"3,02","3,31","2,09"
Fotbal,2.norská liga,5,4,25,Lilleström,Odd_Grenland,1,0,"1,61","3,76","4,41"
Fotbal,2.norská liga,5,4,25,Mjondalen_IF,Raufoss,1,1,"2,68","3,24","2,35"
Fotbal,2.norská liga,5,4,25,Moss,Ranheim,2,0,"1,91","3,47","3,31"
Fotbal,2.norská liga,5,4,25,Skeid,Start_Kristiansand,1,3,"2,40","3,02","2,79"
Fotbal,2.norská liga,5,4,25,Sogndal,Aalesund,3,4,"3,24","3,36","1,98"
Fotbal,2.norská liga,6,4,25,Lyn_SFK,Stabaek,0,1,"2,28","3,56","2,57"
