Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.německá liga,13,9,24,Karlsruher,Schalke_04,2,0,"2,03","3,98","3,33"
Fotbal,2.německá liga,13,9,24,Münster,Paderborn,3,3,"3,14","3,93","2,12"
Fotbal,2.německá liga,14,9,24,Darmstatd_98,Braunschweig,1,1,"1,98","3,76","3,67"
Fotbal,2.německá liga,14,9,24,Ulm,Nürnberg_FC,1,2,"2,21","3,42","3,33"
Fotbal,2.německá liga,14,9,24,Hannover_96,Kaiserslautern,3,1,"1,98","3,80","3,63"
Fotbal,2.německá liga,14,9,24,Köln,Magdeburg_FC,1,2,"1,43","5,17","6,56"
Fotbal,2.německá liga,15,9,24,Fürth,Elversberg_07,0,0,"1,94","4,12","3,53"
Fotbal,2.německá liga,15,9,24,Hamburg_SV,Regensburg_SG,5,0,"1,42","4,90","7,25"
Fotbal,2.německá liga,15,9,24,Hertha_Berlin,Düsseldorf,0,2,"2,42","3,81","2,71"
Fotbal,2.německá liga,20,9,24,Schalke_04,Darmstatd_98,3,5,"1,87","3,95","3,90"
Fotbal,2.německá liga,21,9,24,Braunschweig,Fürth,2,0,"2,15","3,80","3,15"
Fotbal,2.německá liga,21,9,24,Düsseldorf,Köln,2,2,"3,06","3,75","2,21"
Fotbal,2.německá liga,21,9,24,Nürnberg_FC,Hertha_Berlin,0,2,"3,07","3,91","2,16"
Fotbal,2.německá liga,21,9,24,Kaiserslautern,Hamburg_SV,2,2,"3,12","3,97","2,12"
Fotbal,2.německá liga,22,9,24,Elversberg_07,Ulm,1,3,"1,81","3,81","4,38"
Fotbal,2.německá liga,22,9,24,Magdeburg_FC,Karlsruher,2,2,"2,51","3,92","2,55"
Fotbal,2.německá liga,22,9,24,Paderborn,Hannover_96,,,"2,14","3,61","2,93"
Fotbal,2.německá liga,22,9,24,Regensburg_SG,Münster,0,3,"2,29","3,61","3,02"
Fotbal,2.německá liga,20,9,24,Paderborn,Hannover_96,2,1,"2,24","3,72","3,03"
Fotbal,2.německá liga,28,9,24,Darmstatd_98,Magdeburg_FC,1,2,"2,32","3,75","2,88"
Fotbal,2.německá liga,28,9,24,Regensburg_SG,Kaiserslautern,0,0,"3,26","3,82","2,10"
Fotbal,2.německá liga,28,9,24,Münster,Schalke_04,1,2,"2,51","3,78","2,62"
Fotbal,2.německá liga,29,9,24,Köln,Karlsruher,4,4,"1,48","4,98","5,90"
Fotbal,2.německá liga,29,9,24,Fürth,Düsseldorf,,,"2,91","3,73","2,21"
Fotbal,2.německá liga,29,9,24,Hamburg_SV,Paderborn,,,"1,77","4,17","3,88"
Fotbal,2.německá liga,29,9,24,Hannover_96,Nürnberg_FC,2,0,"1,46","4,82","6,60"
Fotbal,2.německá liga,29,9,24,Hertha_Berlin,Elversberg_07,1,4,"1,85","4,21","3,79"
Fotbal,2.německá liga,29,9,24,Ulm,Braunschweig,,,"2,44","3,33","2,80"
Fotbal,2.německá liga,27,9,24,Fürth,Düsseldorf,1,2,"2,83","3,50","2,46"
Fotbal,2.německá liga,27,9,24,Ulm,Braunschweig,3,1,"2,67","3,35","2,68"
Fotbal,2.německá liga,28,9,24,Hamburg_SV,Paderborn,2,2,"1,90","4,08","3,70"
Fotbal,2.německá liga,4,10,24,Karlsruher,Darmstatd_98,3,3,"1,74","4,15","4,43"
Fotbal,2.německá liga,4,10,24,Paderborn,Regensburg_SG,3,0,"1,37","5,37","7,63"
Fotbal,2.německá liga,6,10,24,Köln,Ulm,,,"1,26","5,89","9,52"
Fotbal,2.německá liga,6,10,24,Braunschweig,Hannover_96,2,0,"3,20","3,54","2,23"
Fotbal,2.německá liga,6,10,24,Düsseldorf,Hamburg_SV,0,3,"2,71","3,68","2,47"
Fotbal,2.německá liga,6,10,24,Elversberg_07,Kaiserslautern,,,"2,31","3,74","2,75"
Fotbal,2.německá liga,6,10,24,Magdeburg_FC,Fürth,2,2,"1,97","4,06","3,47"
Fotbal,2.německá liga,6,10,24,Nürnberg_FC,Münster,,,"2,50","3,58","2,59"
Fotbal,2.německá liga,6,10,24,Schalke_04,Hertha_Berlin,,,"2,30","3,82","2,72"
Fotbal,2.německá liga,5,10,24,Köln,Ulm,2,0,"1,30","5,88","9,39"
Fotbal,2.německá liga,5,10,24,Elversberg_07,Kaiserslautern,1,0,"2,18","3,94","3,00"
