Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.rakouská liga,13,9,24,Kapfenberger_SV,Austria_Lustenau,0,2,"3,05","3,28","2,09"
Fotbal,2.rakouská liga,13,9,24,Rapid_Wien_Amat.,Amstetten_SKU,,,"1,76","3,78","3,56"
Fotbal,2.rakouská liga,13,9,24,Ried_SV,Voitsberg_ASK,0,0,"1,20","5,85","10,50"
Fotbal,2.rakouská liga,13,9,24,Sankt_Poelten,Admira/Wacker_Mödling,,,"2,58","3,11","2,52"
Fotbal,2.rakouská liga,14,9,24,Floridsdorfer_AC,Liefering,,,"2,10","3,43","2,92"
Fotbal,2.rakouská liga,14,9,24,Bregenz,Lafnitz,4,1,"1,73","3,68","3,77"
Fotbal,2.rakouská liga,14,9,24,Sturm_Graz_(Am.),Stripfing,,,"2,67","3,52","2,23"
Fotbal,2.rakouská liga,15,9,24,Horn,Vienna,,,"3,46","3,39","1,89"
Fotbal,2.rakouská liga,17,9,24,Admira/Wacker_Mödling,Rapid_Wien_Amat.,3,1,"2,16","3,42","2,82"
Fotbal,2.rakouská liga,20,9,24,Stripfing,Bregenz,0,2,"2,18","3,45","2,77"
Fotbal,2.rakouská liga,20,9,24,Voitsberg_ASK,Sankt_Poelten,0,2,"3,14","3,48","1,98"
Fotbal,2.rakouská liga,20,9,24,Vienna,Rapid_Wien_Amat.,3,1,"2,06","3,59","2,89"
Fotbal,2.rakouská liga,20,9,24,Lafnitz,Kapfenberger_SV,1,2,"3,27","3,72","1,86"
Fotbal,2.rakouská liga,20,9,24,Admira/Wacker_Mödling,Floridsdorfer_AC,2,1,"2,16","3,00","3,19"
Fotbal,2.rakouská liga,21,9,24,Austria_Lustenau,Sturm_Graz_(Am.),0,0,"1,60","4,00","4,19"
Fotbal,2.rakouská liga,22,9,24,Amstetten_SKU,Ried_SV,2,3,"4,93","4,00","1,51"
Fotbal,2.rakouská liga,22,9,24,Liefering,Horn,0,1,"1,59","4,04","4,29"
Fotbal,2.rakouská liga,24,9,24,Sturm_Graz_(Am.),Stripfing,3,0,"2,01","3,67","2,94"
Fotbal,2.rakouská liga,27,9,24,Admira/Wacker_Mödling,Austria_Lustenau,0,0,"1,95","3,25","3,43"
Fotbal,2.rakouská liga,27,9,24,Horn,Amstetten_SKU,3,3,"2,92","3,54","2,06"
Fotbal,2.rakouská liga,27,9,24,Kapfenberger_SV,Liefering,0,2,"2,93","3,66","2,01"
Fotbal,2.rakouská liga,27,9,24,Bregenz,Vienna,3,2,"2,79","3,46","2,17"
Fotbal,2.rakouská liga,27,9,24,Ried_SV,Rapid_Wien_Amat.,2,3,"1,32","4,75","6,82"
Fotbal,2.rakouská liga,28,9,24,Sankt_Poelten,Stripfing,0,0,"1,68","3,65","4,12"
Fotbal,2.rakouská liga,28,9,24,Sturm_Graz_(Am.),Voitsberg_ASK,1,1,"2,05","3,74","2,82"
Fotbal,2.rakouská liga,29,9,24,Floridsdorfer_AC,Lafnitz,3,1,"1,51","3,97","4,95"
Fotbal,2.rakouská liga,1,10,24,Horn,Vienna,3,6,"2,88","3,44","2,12"
Fotbal,2.rakouská liga,1,10,24,Rapid_Wien_Amat.,Amstetten_SKU,1,0,"2,25","3,62","2,58"
Fotbal,2.rakouská liga,1,10,24,Sankt_Poelten,Admira/Wacker_Mödling,0,1,"2,50","2,81","2,85"
Fotbal,2.rakouská liga,4,10,24,Voitsberg_ASK,Lafnitz,2,1,"1,87","3,68","3,27"
Fotbal,2.rakouská liga,4,10,24,Vienna,Sturm_Graz_(Am.),2,4,"1,64","4,03","3,92"
Fotbal,2.rakouská liga,4,10,24,Stripfing,Admira/Wacker_Mödling,0,2,"4,89","3,93","1,52"
Fotbal,2.rakouská liga,4,10,24,Bregenz,Horn,3,1,"1,67","3,69","4,14"
Fotbal,2.rakouská liga,4,10,24,Amstetten_SKU,Kapfenberger_SV,3,0,"1,93","3,65","3,13"
Fotbal,2.rakouská liga,5,10,24,Rapid_Wien_Amat.,Floridsdorfer_AC,2,0,"2,52","3,27","2,47"
Fotbal,2.rakouská liga,6,10,24,Ried_SV,Sankt_Poelten,2,4,"1,59","3,62","4,71"
Fotbal,2.rakouská liga,6,10,24,Liefering,Austria_Lustenau,0,1,"2,19","3,49","2,74"
Fotbal,2.rakouská liga,18,10,24,Austria_Lustenau,Ried_SV,1,1,"3,50","3,36","1,89"
Fotbal,2.rakouská liga,18,10,24,Floridsdorfer_AC,Bregenz,1,1,"2,02","3,35","3,13"
Fotbal,2.rakouská liga,18,10,24,Horn,Sturm_Graz_(Am.),2,2,"3,14","3,75","1,90"
Fotbal,2.rakouská liga,18,10,24,Lafnitz,Vienna,0,1,"3,65","3,93","1,71"
Fotbal,2.rakouská liga,18,10,24,Sankt_Poelten,Liefering,0,0,"1,95","3,54","3,15"
Fotbal,2.rakouská liga,18,10,24,Stripfing,Voitsberg_ASK,1,2,"2,52","3,22","2,49"
Fotbal,2.rakouská liga,18,10,24,Kapfenberger_SV,Rapid_Wien_Amat.,2,1,"2,76","3,55","2,15"
Fotbal,2.rakouská liga,20,10,24,Admira/Wacker_Mödling,Amstetten_SKU,1,0,"1,74","3,56","3,86"
Fotbal,2.rakouská liga,25,10,24,Amstetten_SKU,Floridsdorfer_AC,2,1,"1,93","3,38","3,35"
Fotbal,2.rakouská liga,25,10,24,Vienna,Voitsberg_ASK,1,0,"2,00","3,44","3,12"
Fotbal,2.rakouská liga,25,10,24,Ried_SV,Kapfenberger_SV,3,0,"1,34","4,39","6,96"
Fotbal,2.rakouská liga,26,10,24,Liefering,Stripfing,2,1,"1,46","4,21","5,15"
Fotbal,2.rakouská liga,26,10,24,Rapid_Wien_Amat.,Lafnitz,2,3,"1,50","4,34","4,59"
Fotbal,2.rakouská liga,26,10,24,Sturm_Graz_(Am.),Admira/Wacker_Mödling,3,1,"3,58","3,69","1,78"
Fotbal,2.rakouská liga,26,10,24,Bregenz,Austria_Lustenau,1,1,"3,07","3,26","2,08"
Fotbal,2.rakouská liga,27,10,24,Horn,Sankt_Poelten,2,4,"4,08","3,79","1,66"
Fotbal,2.rakouská liga,29,10,24,Floridsdorfer_AC,Liefering,0,1,"2,76","3,17","2,33"
Fotbal,2.rakouská liga,1,11,24,Admira/Wacker_Mödling,Ried_SV,1,0,"2,52","2,89","2,75"
Fotbal,2.rakouská liga,2,11,24,Austria_Lustenau,Amstetten_SKU,0,1,"2,16","3,35","2,87"
Fotbal,2.rakouská liga,2,11,24,Voitsberg_ASK,Liefering,0,1,"2,91","3,50","2,08"
Fotbal,2.rakouská liga,2,11,24,Floridsdorfer_AC,Stripfing,0,0,"2,28","2,97","3,00"
Fotbal,2.rakouská liga,2,11,24,Lafnitz,Horn,5,1,"2,09","3,58","2,84"
Fotbal,2.rakouská liga,2,11,24,Rapid_Wien_Amat.,Bregenz,1,1,"2,28","3,65","2,53"
Fotbal,2.rakouská liga,2,11,24,Sankt_Poelten,Sturm_Graz_(Am.),,,"1,60","3,93","4,27"
Fotbal,2.rakouská liga,3,11,24,Kapfenberger_SV,Vienna,1,2,"2,70","3,36","2,28"
Fotbal,2.rakouská liga,1,11,24,Sankt_Poelten,Sturm_Graz_(Am.),0,2,"1,91","3,62","3,21"
Fotbal,2.rakouská liga,8,11,24,Amstetten_SKU,Lafnitz,5,0,"1,66","3,96","3,89"
Fotbal,2.rakouská liga,8,11,24,Horn,Floridsdorfer_AC,0,2,"3,11","3,09","2,15"
Fotbal,2.rakouská liga,8,11,24,Stripfing,Kapfenberger_SV,1,1,"2,72","3,04","2,45"
Fotbal,2.rakouská liga,8,11,24,Bregenz,Sankt_Poelten,0,4,"2,97","3,45","2,07"
Fotbal,2.rakouská liga,8,11,24,Vienna,Austria_Lustenau,3,0,"2,32","3,23","2,72"
Fotbal,2.rakouská liga,9,11,24,Sturm_Graz_(Am.),Ried_SV,0,3,"3,37","3,61","1,85"
Fotbal,2.rakouská liga,10,11,24,Voitsberg_ASK,Admira/Wacker_Mödling,1,2,"3,67","3,28","1,86"
Fotbal,2.rakouská liga,10,11,24,Liefering,Rapid_Wien_Amat.,1,1,"1,87","3,70","3,26"
Fotbal,2.rakouská liga,22,11,24,Amstetten_SKU,Vienna,1,3,"2,36","3,40","2,56"
Fotbal,2.rakouská liga,22,11,24,Floridsdorfer_AC,Voitsberg_ASK,0,4,"2,31","2,84","3,09"
Fotbal,2.rakouská liga,22,11,24,Lafnitz,Sturm_Graz_(Am.),0,4,"2,98","3,87","1,94"
Fotbal,2.rakouská liga,22,11,24,Rapid_Wien_Amat.,Sankt_Poelten,0,1,"2,94","3,45","2,08"
Fotbal,2.rakouská liga,22,11,24,Ried_SV,Bregenz,3,0,"1,33","4,60","6,97"
Fotbal,2.rakouská liga,23,11,24,Admira/Wacker_Mödling,Liefering,4,0,"2,15","3,12","3,07"
Fotbal,2.rakouská liga,23,11,24,Kapfenberger_SV,Horn,2,0,"1,71","3,40","4,24"
Fotbal,2.rakouská liga,24,11,24,Austria_Lustenau,Stripfing,,,"1,56","3,72","4,82"
Fotbal,2.rakouská liga,26,11,24,Austria_Lustenau,Stripfing,1,1,"1,80","3,18","4,12"
Fotbal,2.rakouská liga,29,11,24,Voitsberg_ASK,Austria_Lustenau,1,0,"2,24","3,03","3,00"
Fotbal,2.rakouská liga,29,11,24,Horn,Admira/Wacker_Mödling,0,0,"5,76","4,01","1,44"
Fotbal,2.rakouská liga,29,11,24,Sankt_Poelten,Lafnitz,3,0,"1,34","4,78","6,12"
Fotbal,2.rakouská liga,29,11,24,Stripfing,Rapid_Wien_Amat.,2,3,"2,99","3,46","2,05"
Fotbal,2.rakouská liga,29,11,24,Vienna,Ried_SV,0,1,"3,55","3,48","1,84"
Fotbal,2.rakouská liga,30,11,24,Liefering,Amstetten_SKU,1,3,"1,95","3,60","3,11"
Fotbal,2.rakouská liga,30,11,24,Sturm_Graz_(Am.),Floridsdorfer_AC,0,0,"1,89","3,38","3,45"
Fotbal,2.rakouská liga,1,12,24,Bregenz,Kapfenberger_SV,4,0,"2,22","3,36","2,78"
Fotbal,2.rakouská liga,7,12,24,Lafnitz,Austria_Lustenau,2,2,"2,68","3,38","2,28"
Fotbal,2.rakouská liga,7,12,24,Bregenz,Sturm_Graz_(Am.),3,2,"2,07","3,68","2,83"
Fotbal,2.rakouská liga,7,12,24,Amstetten_SKU,Voitsberg_ASK,,,"1,96","3,50","3,16"
Fotbal,2.rakouská liga,7,12,24,Vienna,Liefering,,,"2,50","3,42","2,40"
Fotbal,2.rakouská liga,7,12,24,Kapfenberger_SV,Admira/Wacker_Mödling,,,"4,40","3,49","1,67"
Fotbal,2.rakouská liga,7,12,24,Ried_SV,Stripfing,,,"1,25","5,09","9,03"
Fotbal,2.rakouská liga,7,12,24,Sankt_Poelten,Floridsdorfer_AC,,,"1,78","3,32","3,98"
Fotbal,2.rakouská liga,8,12,24,Rapid_Wien_Amat.,Horn,5,1,"1,45","4,26","5,18"
Fotbal,2.rakouská liga,6,12,24,Amstetten_SKU,Voitsberg_ASK,0,3,"2,54","3,06","2,59"
Fotbal,2.rakouská liga,6,12,24,Vienna,Liefering,3,1,"2,18","3,29","2,88"
Fotbal,2.rakouská liga,6,12,24,Ried_SV,Stripfing,2,1,"1,22","5,57","10,10"
Fotbal,2.rakouská liga,6,12,24,Sankt_Poelten,Floridsdorfer_AC,3,2,"1,74","3,20","4,38"
Fotbal,2.rakouská liga,6,12,24,Kapfenberger_SV,Admira/Wacker_Mödling,3,4,"3,58","3,01","1,99"
Fotbal,2.rakouská liga,21,2,25,Austria_Lustenau,Sankt_Poelten,0,1,"3,13","2,99","2,19"
Fotbal,2.rakouská liga,21,2,25,Floridsdorfer_AC,Kapfenberger_SV,1,1,"2,28","2,90","3,06"
