Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.rumunská liga,2,9,24,CSA_Steaua_Bucuresti,U_Craiova_1948,0,0,"2,99","3,15","2,18"
Fotbal,2.rumunská liga,3,9,24,Csikszereda,Metalul_Buzau,4,2,"1,39","4,17","6,47"
Fotbal,2.rumunská liga,3,9,24,Chindia_Targoviste,Afumati,0,1,"2,85","2,85","2,47"
Fotbal,2.rumunská liga,12,9,24,U_Craiova_1948,Unirea_Ungheni,2,0,"1,39","4,06","6,75"
Fotbal,2.rumunská liga,14,9,24,Afumati,Viitorul_Selimbar,1,0,"2,06","2,99","3,41"
Fotbal,2.rumunská liga,14,9,24,Muscelul_Campulung_Elite,Mioveni,1,0,"4,17","3,15","1,80"
Fotbal,2.rumunská liga,14,9,24,Ceahlaul_Piatra_Neamt,Metaloglobus_Bukurešt,0,1,"2,46","2,82","2,90"
Fotbal,2.rumunská liga,14,9,24,Dumbravita,Bihor_Oradea_FC,1,0,"2,15","2,83","3,41"
Fotbal,2.rumunská liga,14,9,24,Metalul_Buzau,Slatina_CSM,1,0,"3,36","2,92","2,12"
Fotbal,2.rumunská liga,14,9,24,CSA_Steaua_Bucuresti,Focsani,1,0,"1,36","4,09","7,36"
Fotbal,2.rumunská liga,14,9,24,Viitorul_Pandurii_Targu_Jiu,Corvinul_Hunedoara,1,3,"6,27","4,14","1,40"
Fotbal,2.rumunská liga,15,9,24,Voluntari_FC,Chindia_Targoviste,4,1,"1,53","3,37","5,95"
Fotbal,2.rumunská liga,16,9,24,Arges_Piesti,Concordia_Chiajna,3,2,"1,95","2,76","4,25"
Fotbal,2.rumunská liga,17,9,24,Rešita_CSM,Csikszereda,2,3,"2,42","2,94","2,83"
Fotbal,2.rumunská liga,18,9,24,Corvinul_Hunedoara,Viitorul_Selimbar,1,0,"1,54","3,44","5,53"
Fotbal,2.rumunská liga,19,9,24,Bihor_Oradea_FC,CSA_Steaua_Bucuresti,0,1,"4,17","3,11","1,81"
Fotbal,2.rumunská liga,20,9,24,Chindia_Targoviste,Ceahlaul_Piatra_Neamt,0,1,"2,64","2,67","2,84"
