Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.skotská liga,14,9,24,Airdrieonians,Falkirk_FC,0,2,"4,30","3,58","1,75"
Fotbal,2.skotská liga,14,9,24,Ayr._United,Partick_Thistle,1,1,"1,71","3,80","4,23"
Fotbal,2.skotská liga,14,9,24,Dunfermline,Raith_Rovers,,,"2,93","2,98","2,45"
Fotbal,2.skotská liga,14,9,24,Livingston,Hamilton,3,0,"1,82","3,41","4,14"
Fotbal,2.skotská liga,14,9,24,Queen's_Park_FC,Greenock_Morton,1,0,"2,08","3,14","3,49"
Fotbal,2.skotská liga,13,9,24,Dunfermline,Raith_Rovers,2,0,"2,82","2,91","2,59"
Fotbal,2.skotská liga,21,9,24,Greenock_Morton,Airdrieonians,2,0,"2,27","3,10","3,10"
Fotbal,2.skotská liga,21,9,24,Partick_Thistle,Dunfermline,1,0,"1,94","3,26","3,82"
Fotbal,2.skotská liga,21,9,24,Queen's_Park_FC,Ayr._United,1,1,"2,89","3,43","2,24"
Fotbal,2.skotská liga,21,9,24,Raith_Rovers,Hamilton,3,3,"2,03","3,11","3,67"
Fotbal,2.skotská liga,28,9,24,Ayr._United,Greenock_Morton,1,0,"1,65","3,71","4,79"
Fotbal,2.skotská liga,28,9,24,Dunfermline,Queen's_Park_FC,1,2,"2,63","3,16","2,58"
Fotbal,2.skotská liga,28,9,24,Hamilton,Partick_Thistle,1,0,"3,14","3,48","2,08"
Fotbal,2.skotská liga,28,9,24,Livingston,Airdrieonians,2,1,"1,41","4,30","6,91"
Fotbal,2.skotská liga,28,9,24,Raith_Rovers,Falkirk_FC,1,0,"4,01","3,51","1,82"
Fotbal,2.skotská liga,5,10,24,Airdrieonians,Dunfermline,1,1,"2,78","2,91","2,62"
Fotbal,2.skotská liga,5,10,24,Falkirk_FC,Ayr._United,2,0,"1,88","3,42","3,84"
Fotbal,2.skotská liga,5,10,24,Greenock_Morton,Raith_Rovers,2,0,"2,88","2,82","2,61"
Fotbal,2.skotská liga,5,10,24,Queen's_Park_FC,Hamilton,1,0,"1,88","3,55","3,71"
Fotbal,2.skotská liga,5,10,24,Partick_Thistle,Livingston,0,0,"2,71","2,98","2,64"
Fotbal,2.skotská liga,8,10,24,Falkirk_FC,Livingston,0,0,"1,64","3,57","5,08"
Fotbal,2.skotská liga,12,10,24,Partick_Thistle,Falkirk_FC,1,1,"2,81","3,17","2,42"
Fotbal,2.skotská liga,18,10,24,Hamilton,Falkirk_FC,1,3,"5,17","4,15","1,53"
Fotbal,2.skotská liga,19,10,24,Ayr._United,Livingston,1,2,"2,44","2,92","2,99"
Fotbal,2.skotská liga,19,10,24,Dunfermline,Greenock_Morton,0,0,"2,36","2,75","3,34"
Fotbal,2.skotská liga,19,10,24,Partick_Thistle,Airdrieonians,2,1,"1,64","3,73","4,77"
Fotbal,2.skotská liga,19,10,24,Raith_Rovers,Queen's_Park_FC,1,1,"2,18","3,17","3,20"
Fotbal,2.skotská liga,26,10,24,Airdrieonians,Ayr._United,0,1,"3,99","3,49","1,83"
Fotbal,2.skotská liga,26,10,24,Falkirk_FC,Dunfermline,2,1,"1,40","4,26","7,59"
Fotbal,2.skotská liga,26,10,24,Hamilton,Greenock_Morton,3,0,"2,41","3,07","2,90"
Fotbal,2.skotská liga,26,10,24,Livingston,Raith_Rovers,2,1,"1,87","3,10","4,43"
Fotbal,2.skotská liga,26,10,24,Queen's_Park_FC,Partick_Thistle,0,1,"2,93","3,15","2,34"
Fotbal,2.skotská liga,29,10,24,Dunfermline,Livingston,3,0,"3,04","2,81","2,50"
Fotbal,2.skotská liga,29,10,24,Greenock_Morton,Queen's_Park_FC,0,1,"2,85","3,17","2,39"
Fotbal,2.skotská liga,29,10,24,Raith_Rovers,Airdrieonians,1,0,"1,64","3,56","5,15"
Fotbal,2.skotská liga,1,11,24,Raith_Rovers,Ayr._United,2,0,"2,87","2,90","2,56"
Fotbal,2.skotská liga,2,11,24,Airdrieonians,Hamilton,0,4,"2,56","3,32","2,54"
Fotbal,2.skotská liga,2,11,24,Dunfermline,Partick_Thistle,0,1,"2,56","2,98","2,80"
Fotbal,2.skotská liga,2,11,24,Falkirk_FC,Greenock_Morton,6,0,"1,31","4,93","8,48"
Fotbal,2.skotská liga,2,11,24,Livingston,Queen's_Park_FC,1,1,"1,88","3,20","4,17"
Fotbal,2.skotská liga,8,11,24,Greenock_Morton,Ayr._United,1,1,"4,07","3,17","1,91"
Fotbal,2.skotská liga,9,11,24,Falkirk_FC,Airdrieonians,2,0,"1,18","6,19","12,60"
Fotbal,2.skotská liga,9,11,24,Hamilton,Livingston,1,3,"3,30","3,22","2,12"
Fotbal,2.skotská liga,9,11,24,Partick_Thistle,Raith_Rovers,1,1,"2,25","2,95","3,31"
