Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.uruguayská liga,7,9,24,Sud_América,Montevideo_City_Torque,1,1,"4,99","3,29","1,63"
Fotbal,2.uruguayská liga,8,9,24,La_Luz,Juventud,0,1,"3,00","2,72","2,46"
Fotbal,2.uruguayská liga,8,9,24,Colon_FC,Albion_Montevideo,3,0,"2,57","2,71","2,88"
Fotbal,2.uruguayská liga,8,9,24,Uruguay_Montevideo,Cerrito_CS,3,0,"1,70","3,10","4,82"
Fotbal,2.uruguayská liga,8,9,24,Atenas_Atlético,Tacuarembo,1,0,"2,92","2,59","2,64"
Fotbal,2.uruguayská liga,9,9,24,Cooper,Plaza_Colonia,0,2,"3,81","2,85","2,00"
Fotbal,2.uruguayská liga,10,9,24,Rentistas,Oriental_La_Paz,0,0,"2,32","2,65","3,32"
Fotbal,2.uruguayská liga,13,9,24,Albion_Montevideo,Atenas_Atlético,1,0,"2,10","2,77","3,63"
Fotbal,2.uruguayská liga,14,9,24,Oriental_La_Paz,Uruguay_Montevideo,0,2,"2,71","2,74","2,71"
Fotbal,2.uruguayská liga,14,9,24,Cerrito_CS,La_Luz,0,0,"2,77","2,69","2,70"
Fotbal,2.uruguayská liga,14,9,24,Plaza_Colonia,Rentistas,2,1,"2,18","2,64","3,65"
Fotbal,2.uruguayská liga,15,9,24,Juventud,Sud_América,1,0,"1,92","2,89","4,08"
Fotbal,2.uruguayská liga,15,9,24,Tacuarembo,Cooper,0,0,"2,25","2,69","3,40"
Fotbal,2.uruguayská liga,16,9,24,Montevideo_City_Torque,Colon_FC,2,0,"1,50","3,40","6,35"
Fotbal,2.uruguayská liga,20,9,24,Uruguay_Montevideo,Plaza_Colonia,3,0,"2,66","2,65","2,84"
Fotbal,2.uruguayská liga,21,9,24,Albion_Montevideo,Montevideo_City_Torque,2,1,"4,56","3,03","1,76"
Fotbal,2.uruguayská liga,21,9,24,Atenas_Atlético,Cooper,1,1,"2,25","2,70","3,38"
Fotbal,2.uruguayská liga,21,9,24,La_Luz,Oriental_La_Paz,1,1,"2,93","2,74","2,50"
Fotbal,2.uruguayská liga,22,9,24,Rentistas,Tacuarembo,2,0,"2,14","2,78","3,53"
Fotbal,2.uruguayská liga,22,9,24,Colon_FC,Juventud,3,0,"2,88","2,54","2,74"
Fotbal,2.uruguayská liga,22,9,24,Sud_América,Cerrito_CS,0,1,"2,32","2,74","3,18"
Fotbal,2.uruguayská liga,25,9,24,Cooper,Rentistas,1,1,"3,46","2,71","2,21"
Fotbal,2.uruguayská liga,25,9,24,Montevideo_City_Torque,Atenas_Atlético,3,2,"1,61","3,30","5,14"
Fotbal,2.uruguayská liga,25,9,24,Plaza_Colonia,La_Luz,2,0,"1,98","2,84","3,92"
Fotbal,2.uruguayská liga,25,9,24,Oriental_La_Paz,Sud_América,1,2,"1,97","2,90","3,87"
Fotbal,2.uruguayská liga,26,9,24,Tacuarembo,Uruguay_Montevideo,0,0,"3,17","2,64","2,41"
Fotbal,2.uruguayská liga,25,9,24,Juventud,Albion_Montevideo,0,0,"2,24","2,70","3,40"
Fotbal,2.uruguayská liga,26,9,24,Cerrito_CS,Colon_FC,0,2,"3,16","2,71","2,36"
Fotbal,2.uruguayská liga,29,9,24,La_Luz,Tacuarembo,2,0,"2,30","2,65","3,35"
Fotbal,2.uruguayská liga,29,9,24,Uruguay_Montevideo,Cooper,0,0,"1,62","3,25","5,18"
Fotbal,2.uruguayská liga,29,9,24,Atenas_Atlético,Rentistas,2,0,"2,93","2,50","2,74"
Fotbal,2.uruguayská liga,30,9,24,Colon_FC,Oriental_La_Paz,0,1,"2,57","2,67","2,91"
Fotbal,2.uruguayská liga,30,9,24,Sud_América,Plaza_Colonia,3,3,"4,55","2,85","1,83"
Fotbal,2.uruguayská liga,30,9,24,Montevideo_City_Torque,Juventud,3,0,"1,71","3,14","4,66"
Fotbal,2.uruguayská liga,1,10,24,Albion_Montevideo,Cerrito_CS,0,3,"2,02","2,79","3,87"
Fotbal,2.uruguayská liga,5,10,24,Oriental_La_Paz,Albion_Montevideo,1,1,"2,27","2,83","3,17"
Fotbal,2.uruguayská liga,5,10,24,Plaza_Colonia,Colon_FC,0,2,"1,84","2,93","4,35"
Fotbal,2.uruguayská liga,6,10,24,Tacuarembo,Sud_América,2,2,"2,09","2,81","3,60"
Fotbal,2.uruguayská liga,6,10,24,Cooper,La_Luz,0,0,"3,34","2,73","2,25"
Fotbal,2.uruguayská liga,7,10,24,Juventud,Atenas_Atlético,1,0,"2,38","2,58","3,30"
Fotbal,2.uruguayská liga,7,10,24,Cerrito_CS,Montevideo_City_Torque,2,2,"6,03","3,46","1,50"
Fotbal,2.uruguayská liga,7,10,24,Rentistas,Uruguay_Montevideo,0,3,"3,08","2,62","2,49"
