Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.španělská liga,2,9,24,Eibar,Levante,2,2,"2,27","3,16","3,20"
Fotbal,2.španělská liga,2,9,24,Elche_FC,Cordoba,3,1,"1,99","3,19","3,99"
Fotbal,2.španělská liga,6,9,24,Tenerife_CD,Santander,0,1,"2,20","3,18","3,36"
Fotbal,2.španělská liga,7,9,24,Granada,La_Coruna,1,1,"2,32","3,09","3,19"
Fotbal,2.španělská liga,7,9,24,Huesca,Burgos_Real,0,1,"2,15","2,88","3,91"
Fotbal,2.španělská liga,7,9,24,Gijon_Sporting,Oviedo,3,1,"2,49","2,81","3,20"
Fotbal,2.španělská liga,7,9,24,Cordoba,Málaga_FC,0,0,"2,11","2,98","3,90"
Fotbal,2.španělská liga,8,9,24,Ferrol,Mirandes,0,0,"2,28","2,73","3,80"
Fotbal,2.španělská liga,8,9,24,Cartagena,Levante,0,1,"3,10","3,19","2,32"
Fotbal,2.španělská liga,8,9,24,Eldense_CD,Almeria,1,0,"3,03","3,31","2,29"
Fotbal,2.španělská liga,8,9,24,Zaragoza,Elche_FC,3,0,"2,24","2,88","3,63"
Fotbal,2.španělská liga,9,9,24,Albacete,Eibar,0,1,"2,49","3,16","2,87"
Fotbal,2.španělská liga,9,9,24,Castellon_CD,Cádiz_FC,1,3,"1,86","3,46","4,20"
Fotbal,2.španělská liga,13,9,24,Cordoba,La_Coruna,2,0,"2,36","2,93","3,30"
Fotbal,2.španělská liga,14,9,24,Eibar,Tenerife_CD,1,0,"1,73","3,33","5,28"
Fotbal,2.španělská liga,14,9,24,Málaga_FC,Huesca,1,0,"2,39","2,63","3,67"
Fotbal,2.španělská liga,15,9,24,Mirandes,Albacete,2,0,"2,64","2,78","3,03"
Fotbal,2.španělská liga,15,9,24,Almeria,Castellon_CD,,,"2,16","3,20","3,23"
Fotbal,2.španělská liga,15,9,24,Burgos_Real,Zaragoza,1,0,"2,65","2,81","2,98"
Fotbal,2.španělská liga,15,9,24,Levante,Eldense_CD,,,"1,79","3,46","4,64"
Fotbal,2.španělská liga,15,9,24,Santander,Gijon_Sporting,,,"2,09","3,33","3,47"
Fotbal,2.španělská liga,15,9,24,Oviedo,Cartagena,1,0,"1,54","3,79","6,45"
Fotbal,2.španělská liga,15,9,24,Cádiz_FC,Ferrol,0,0,"1,59","3,54","6,38"
Fotbal,2.španělská liga,15,9,24,Elche_FC,Granada,2,2,"2,12","3,12","3,63"
Fotbal,2.španělská liga,14,9,24,Levante,Eldense_CD,3,1,"1,95","3,29","4,04"
Fotbal,2.španělská liga,14,9,24,Santander,Gijon_Sporting,1,0,"1,97","3,42","3,77"
Fotbal,2.španělská liga,16,9,24,Almeria,Castellon_CD,2,5,"1,88","3,84","3,70"
Fotbal,2.španělská liga,20,9,24,Granada,Málaga_FC,2,2,"1,75","3,50","4,81"
Fotbal,2.španělská liga,21,9,24,Ferrol,Albacete,1,4,"2,45","2,89","3,17"
Fotbal,2.španělská liga,21,9,24,La_Coruna,Burgos_Real,0,2,"2,00","3,42","3,66"
Fotbal,2.španělská liga,21,9,24,Eldense_CD,Oviedo,1,1,"2,85","2,73","2,85"
Fotbal,2.španělská liga,21,9,24,Zaragoza,Levante,2,1,"2,26","3,16","3,23"
Fotbal,2.španělská liga,22,9,24,Tenerife_CD,Gijon_Sporting,1,1,"2,01","2,97","4,32"
Fotbal,2.španělská liga,22,9,24,Castellon_CD,Santander,0,1,"1,95","4,00","3,32"
Fotbal,2.španělská liga,22,9,24,Cartagena,Cádiz_FC,1,2,"3,74","2,82","2,24"
Fotbal,2.španělská liga,22,9,24,Elche_FC,Mirandes,1,0,"1,96","2,98","4,55"
Fotbal,2.španělská liga,22,9,24,Almeria,Eibar,2,2,"1,87","3,57","4,04"
Fotbal,2.španělská liga,23,9,24,Huesca,Cordoba,4,1,"2,43","2,78","3,35"
Fotbal,2.španělská liga,28,9,24,Mirandes,Huesca,1,0,"2,68","2,53","3,30"
Fotbal,2.španělská liga,28,9,24,Málaga_FC,Elche_FC,0,3,"2,71","2,57","3,20"
Fotbal,2.španělská liga,29,9,24,Levante,Almeria,4,2,"2,19","3,65","2,98"
Fotbal,2.španělská liga,29,9,24,Burgos_Real,Granada,2,2,"2,37","3,13","3,06"
Fotbal,2.španělská liga,29,9,24,Castellon_CD,Tenerife_CD,2,1,"1,73","3,69","4,67"
Fotbal,2.španělská liga,29,9,24,Albacete,La_Coruna,,,"2,34","3,22","3,03"
Fotbal,2.španělská liga,29,9,24,Cádiz_FC,Eldense_CD,,,"1,63","3,40","5,59"
Fotbal,2.španělská liga,29,9,24,Gijon_Sporting,Zaragoza,,,"2,34","2,84","3,45"
Fotbal,2.španělská liga,29,9,24,Santander,Cartagena,,,"1,50","3,94","6,07"
Fotbal,2.španělská liga,29,9,24,Cordoba,Ferrol,3,1,"1,74","3,48","4,92"
Fotbal,2.španělská liga,29,9,24,Oviedo,Eibar,1,0,"2,08","3,01","3,94"
Fotbal,2.španělská liga,27,9,24,Albacete,La_Coruna,2,5,"2,14","3,30","3,38"
Fotbal,2.španělská liga,28,9,24,Cádiz_FC,Eldense_CD,1,2,"1,71","3,38","5,35"
Fotbal,2.španělská liga,28,9,24,Gijon_Sporting,Zaragoza,1,0,"2,42","2,85","3,28"
Fotbal,2.španělská liga,30,9,24,Santander,Cartagena,1,2,"1,46","4,40","6,46"
Fotbal,2.španělská liga,4,10,24,Huesca,Cádiz_FC,3,1,"3,02","2,63","2,78"
Fotbal,2.španělská liga,5,10,24,Ferrol,Elche_FC,1,0,"3,27","2,78","2,47"
Fotbal,2.španělská liga,5,10,24,Eibar,Gijon_Sporting,1,3,"1,95","3,22","4,13"
Fotbal,2.španělská liga,6,10,24,La_Coruna,Málaga_FC,0,0,"1,76","3,45","4,84"
Fotbal,2.španělská liga,6,10,24,Eldense_CD,Castellon_CD,2,3,"2,45","3,34","2,79"
Fotbal,2.španělská liga,6,10,24,Almeria,Burgos_Real,,,"1,72","3,89","4,47"
