Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,2.švédská liga,13,9,24,Landskrona,Östers,0,0,"2,33","3,44","2,74"
Fotbal,2.švédská liga,13,9,24,Östersunds_FK,Helsingborg,1,0,"2,39","3,29","2,77"
Fotbal,2.švédská liga,13,9,24,Trelleborg_FF,Örebro_SK,2,1,"2,58","3,39","2,49"
Fotbal,2.švédská liga,14,9,24,Oddevold,Varbergs_BoIS_FC,3,2,"2,12","3,44","3,08"
Fotbal,2.švédská liga,14,9,24,Sandvikens_IF,Skövde_AIK,2,2,"1,28","5,17","8,92"
Fotbal,2.švédská liga,14,9,24,Sundsvall,Brage,0,0,"3,07","3,44","2,13"
Fotbal,2.švédská liga,14,9,24,Utsiktens_BK,Degerfors,0,3,"3,29","3,33","2,08"
Fotbal,2.švédská liga,15,9,24,Gefle,Örgryte,2,3,"2,52","3,53","2,47"
Fotbal,2.švédská liga,18,9,24,Brage,Utsiktens_BK,0,0,"1,51","4,09","5,63"
Fotbal,2.švédská liga,18,9,24,Örebro_SK,Sandvikens_IF,1,0,"2,24","3,55","2,81"
Fotbal,2.švédská liga,18,9,24,Östers,Trelleborg_FF,4,1,"1,52","4,21","5,22"
Fotbal,2.švédská liga,18,9,24,Östersunds_FK,Sundsvall,1,2,"1,74","3,53","4,40"
Fotbal,2.švédská liga,18,9,24,Skövde_AIK,Varbergs_BoIS_FC,2,2,"2,99","3,44","2,18"
Fotbal,2.švédská liga,19,9,24,Degerfors,Gefle,1,0,"1,31","4,89","8,38"
Fotbal,2.švédská liga,19,9,24,Helsingborg,Oddevold,0,0,"1,81","3,43","4,18"
Fotbal,2.švédská liga,19,9,24,Örgryte,Landskrona,2,1,"2,89","3,54","2,19"
Fotbal,2.švédská liga,21,9,24,Gefle,Östersunds_FK,,,"2,70","3,47","2,35"
Fotbal,2.švédská liga,21,9,24,Landskrona,Helsingborg,,,"2,07","3,41","3,24"
Fotbal,2.švédská liga,21,9,24,Utsiktens_BK,Örgryte,,,"2,33","3,34","2,80"
Fotbal,2.švédská liga,22,9,24,Trelleborg_FF,Skövde_AIK,1,1,"1,56","4,07","5,01"
Fotbal,2.švédská liga,22,9,24,Varbergs_BoIS_FC,Brage,0,1,"2,86","3,61","2,18"
Fotbal,2.švédská liga,23,9,24,Oddevold,Örebro_SK,0,0,"2,37","3,27","2,80"
Fotbal,2.švédská liga,23,9,24,Sandvikens_IF,Degerfors,0,1,"2,12","3,57","3,01"
Fotbal,2.švédská liga,23,9,24,Sundsvall,Östers,0,2,"4,43","3,77","1,69"
Fotbal,2.švédská liga,24,9,24,Gefle,Östersunds_FK,0,0,"2,75","3,45","2,32"
Fotbal,2.švédská liga,24,9,24,Landskrona,Helsingborg,0,1,"1,98","3,43","3,48"
Fotbal,2.švédská liga,24,9,24,Utsiktens_BK,Örgryte,1,1,"2,62","3,39","2,45"
Fotbal,2.švédská liga,28,9,24,Degerfors,Trelleborg_FF,2,0,"1,38","4,70","6,70"
Fotbal,2.švédská liga,28,9,24,Skövde_AIK,Sundsvall,0,2,"2,62","3,18","2,57"
Fotbal,2.švédská liga,28,9,24,Brage,Sandvikens_IF,1,2,"2,40","3,51","2,61"
Fotbal,2.švédská liga,28,9,24,Örgryte,Varbergs_BoIS_FC,3,3,"2,12","3,61","2,98"
Fotbal,2.švédská liga,28,9,24,Örebro_SK,Landskrona,1,0,"2,22","3,34","2,98"
Fotbal,2.švédská liga,29,9,24,Helsingborg,Gefle,4,0,"1,44","4,32","6,26"
Fotbal,2.švédská liga,30,9,24,Östers,Utsiktens_BK,5,2,"1,35","4,69","7,81"
Fotbal,2.švédská liga,30,9,24,Östersunds_FK,Oddevold,0,2,"2,19","3,11","3,25"
Fotbal,2.švédská liga,4,10,24,Landskrona,Skövde_AIK,4,1,"1,24","5,30","10,50"
Fotbal,2.švédská liga,5,10,24,Sandvikens_IF,Östersunds_FK,3,1,"1,59","4,07","4,77"
Fotbal,2.švédská liga,5,10,24,Utsiktens_BK,Helsingborg,4,0,"3,46","3,36","2,00"
Fotbal,2.švédská liga,5,10,24,Gefle,Brage,2,1,"4,34","3,89","1,67"
Fotbal,2.švédská liga,5,10,24,Varbergs_BoIS_FC,Örebro_SK,1,1,"2,31","3,08","3,04"
Fotbal,2.švédská liga,6,10,24,Trelleborg_FF,Örgryte,1,0,"2,26","3,57","2,77"
Fotbal,2.švédská liga,6,10,24,Oddevold,Östers,1,1,"3,78","3,48","1,88"
Fotbal,2.švédská liga,6,10,24,Sundsvall,Degerfors,1,2,"4,17","3,42","1,81"
Fotbal,2.švédská liga,18,10,24,Örgryte,Sandvikens_IF,4,2,"2,96","3,81","2,07"
Fotbal,2.švédská liga,19,10,24,Gefle,Oddevold,1,1,"2,93","3,27","2,28"
