Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,3.italská liga C A,2,9,24,Arzignano_Valchiampo,Albinoleffe,1,1,"2,07","2,75","3,79"
Fotbal,3.italská liga C A,7,9,24,Pro_Patria,FeralpiSalo_AC,0,0,"2,94","2,83","2,41"
Fotbal,3.italská liga C A,7,9,24,Lecco,Lumezzane,1,1,"1,94","2,99","3,80"
Fotbal,3.italská liga C A,7,9,24,Alcione,Renate,0,1,"3,09","2,82","2,32"
Fotbal,3.italská liga C A,7,9,24,Atalanta_Bergamo_U23,Trento,1,1,"2,04","2,95","3,53"
Fotbal,3.italská liga C A,7,9,24,Pergolettese,Clodiense,2,2,"1,86","2,88","4,38"
Fotbal,3.italská liga C A,7,9,24,Virtus_Verona,Novara,1,0,"2,94","2,61","2,61"
Fotbal,3.italská liga C A,7,9,24,Albinoleffe,Vicenza,1,1,"4,81","3,05","1,72"
Fotbal,3.italská liga C A,8,9,24,Pro_Vercelli,Erminio,0,1,"2,99","2,67","2,51"
Fotbal,3.italská liga C A,8,9,24,Triestina,Caldiero_Terme,0,1,"1,57","3,58","4,96"
Fotbal,3.italská liga C A,8,9,24,Arzignano_Valchiampo,Padova,1,4,"4,16","2,91","1,89"
Fotbal,3.italská liga C A,13,9,24,Renate,Erminio,1,0,"2,58","2,59","2,99"
Fotbal,3.italská liga C A,13,9,24,Albinoleffe,Pergolettese,3,0,"2,18","2,78","3,42"
Fotbal,3.italská liga C A,13,9,24,FeralpiSalo_AC,Virtus_Verona,1,0,"1,55","3,35","5,70"
Fotbal,3.italská liga C A,14,9,24,Padova,Alcione,1,0,"1,32","4,27","8,27"
Fotbal,3.italská liga C A,15,9,24,Caldiero_Terme,Pro_Vercelli,4,1,"2,57","2,70","2,89"
Fotbal,3.italská liga C A,15,9,24,Clodiense,Lumezzane,1,1,"2,68","2,62","2,85"
Fotbal,3.italská liga C A,15,9,24,Trento,Arzignano_Valchiampo,3,2,"2,18","2,72","3,52"
Fotbal,3.italská liga C A,15,9,24,Vicenza,Pro_Patria,2,0,"1,44","3,55","6,99"
Fotbal,3.italská liga C A,15,9,24,Triestina,Atalanta_Bergamo_U23,1,5,"2,01","3,10","3,42"
Fotbal,3.italská liga C A,16,9,24,Novara,Lecco,0,0,"2,76","2,65","2,74"
Fotbal,3.italská liga C A,20,9,24,Erminio,Albinoleffe,0,2,"2,12","2,79","3,55"
Fotbal,3.italská liga C A,20,9,24,Pro_Vercelli,Padova,1,3,"5,08","3,27","1,62"
Fotbal,3.italská liga C A,20,9,24,Virtus_Verona,Renate,1,2,"2,59","2,56","3,01"
Fotbal,3.italská liga C A,21,9,24,Alcione,Vicenza,1,2,"6,81","3,62","1,44"
Fotbal,3.italská liga C A,21,9,24,Arzignano_Valchiampo,Clodiense,1,0,"2,00","2,80","3,93"
Fotbal,3.italská liga C A,21,9,24,Lecco,Triestina,2,1,"2,29","2,82","3,14"
Fotbal,3.italská liga C A,21,9,24,Pergolettese,FeralpiSalo_AC,2,2,"3,45","2,95","2,07"
Fotbal,3.italská liga C A,22,9,24,Lumezzane,Atalanta_Bergamo_U23,2,1,"2,94","2,87","2,38"
Fotbal,3.italská liga C A,22,9,24,Trento,Caldiero_Terme,1,0,"2,19","2,77","3,42"
Fotbal,3.italská liga C A,24,9,24,Albinoleffe,Pro_Patria,0,0,"1,93","2,84","4,15"
Fotbal,3.italská liga C A,24,9,24,Novara,Pro_Vercelli,1,0,"2,11","2,78","3,60"
Fotbal,3.italská liga C A,24,9,24,Padova,Virtus_Verona,4,1,"1,28","4,49","9,38"
Fotbal,3.italská liga C A,24,9,24,Vicenza,Renate,1,0,"1,57","3,27","5,61"
