Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,3.italská liga C B,2,9,24,Ascoli,Pianese,1,0,"1,45","3,87","5,93"
Fotbal,3.italská liga C B,2,9,24,Vis_Pesaro,Arezzo,3,0,"3,28","2,82","2,21"
Fotbal,3.italská liga C B,7,9,24,Gubbio_1910,Ternana,0,0,"2,89","2,75","2,52"
Fotbal,3.italská liga C B,7,9,24,Pineto,Arezzo,3,1,"3,09","2,63","2,47"
Fotbal,3.italská liga C B,7,9,24,Rimini,Pescara,0,1,"2,45","3,32","2,52"
Fotbal,3.italská liga C B,8,9,24,Pianese,Campobasso,2,0,"3,30","2,97","2,12"
Fotbal,3.italská liga C B,8,9,24,Carpi,Perugia,2,0,"3,13","3,05","2,15"
Fotbal,3.italská liga C B,8,9,24,Legnago_Salus,Vis_Pesaro,0,1,"2,58","2,72","2,86"
Fotbal,3.italská liga C B,8,9,24,Spal,Lucchese,2,3,"1,93","2,92","3,95"
Fotbal,3.italská liga C B,8,9,24,Pontedera,Sestri_Levante,4,1,"1,75","3,24","4,28"
Fotbal,3.italská liga C B,9,9,24,Entella,Ascoli,2,1,"2,85","2,69","2,62"
Fotbal,3.italská liga C B,13,9,24,Arezzo,Legnago_Salus,1,0,"1,53","3,44","5,73"
Fotbal,3.italská liga C B,13,9,24,Entella,Carpi,1,1,"1,64","3,25","4,99"
Fotbal,3.italská liga C B,14,9,24,Milan_AC_U23,Ascoli,0,2,"3,76","3,12","1,90"
Fotbal,3.italská liga C B,14,9,24,Vis_Pesaro,Pontedera,2,0,"2,74","2,96","2,48"
Fotbal,3.italská liga C B,14,9,24,Campobasso,Torres,0,1,"3,13","2,90","2,24"
Fotbal,3.italská liga C B,14,9,24,Sestri_Levante,Spal,1,3,"3,99","3,04","1,88"
Fotbal,3.italská liga C B,15,9,24,Perugia,Gubbio_1910,1,1,"2,12","2,81","3,52"
Fotbal,3.italská liga C B,15,9,24,Ternana,Pineto,3,0,"1,61","3,26","5,16"
Fotbal,3.italská liga C B,16,9,24,Pescara,Pianese,2,1,"1,53","3,60","5,34"
Fotbal,3.italská liga C B,16,9,24,Lucchese,Rimini,2,2,"2,05","2,93","3,52"
Fotbal,3.italská liga C B,15,9,24,Vis_Pesaro,Pontedera,2,0,"2,74","2,96","2,48"
Fotbal,3.italská liga C B,18,9,24,Torres,Milan_AC_U23,0,0,"1,73","3,20","4,45"
Fotbal,3.italská liga C B,20,9,24,Gubbio_1910,Campobasso,0,0,"1,94","2,87","4,04"
Fotbal,3.italská liga C B,20,9,24,Vis_Pesaro,Ternana,0,2,"3,31","2,87","2,17"
Fotbal,3.italská liga C B,21,9,24,Legnago_Salus,Sestri_Levante,0,3,"2,55","2,78","2,82"
Fotbal,3.italská liga C B,21,9,24,Torres,Pineto,1,1,"1,58","3,19","5,76"
Fotbal,3.italská liga C B,21,9,24,Pontedera,Arezzo,0,1,"2,63","2,95","2,59"
Fotbal,3.italská liga C B,22,9,24,Ascoli,Lucchese,1,2,"1,63","3,36","4,84"
Fotbal,3.italská liga C B,22,9,24,Pianese,Entella,1,1,"3,57","2,99","2,01"
Fotbal,3.italská liga C B,23,9,24,Pescara,Perugia,0,0,"1,66","3,55","4,35"
Fotbal,3.italská liga C B,23,9,24,Spal,Carpi,2,1,"1,68","3,36","4,46"
Fotbal,3.italská liga C B,23,9,24,Rimini,Milan_AC_U23,1,0,"2,65","3,10","2,46"
Fotbal,3.italská liga C B,24,9,24,Arezzo,Gubbio_1910,2,0,"2,04","2,78","3,82"
Fotbal,3.italská liga C B,24,9,24,Sestri_Levante,Torres,1,2,"4,22","3,13","1,80"
Fotbal,3.italská liga C B,25,9,24,Lucchese,Pianese,3,3,"1,65","3,33","4,74"
