Sport,Soutez,Den,Mesic,Rok,Tym1,Tym2,Skore1,Skore2,Kurz1,KurzX,Kurz2
Fotbal,3.italská liga C C,2,9,24,Altamura,Foggia,0,2,"3,07","2,81","2,34"
Fotbal,3.italská liga C C,2,9,24,Avellino,Giugliano,1,1,"1,51","3,70","5,43"
Fotbal,3.italská liga C C,2,9,24,Cavese,Crotone,2,1,"3,06","2,98","2,23"
Fotbal,3.italská liga C C,2,9,24,Catania_Calcio,Benevento,1,0,"2,26","2,72","3,34"
Fotbal,3.italská liga C C,7,9,24,Juventus_U23,Catania_Calcio,1,3,"3,10","2,92","2,24"
Fotbal,3.italská liga C C,7,9,24,Picerno,Casertana,0,0,"1,92","2,97","3,91"
Fotbal,3.italská liga C C,7,9,24,Messina,Taranto,4,1,"2,34","2,72","3,19"
Fotbal,3.italská liga C C,7,9,24,Crotone,Trapani,1,2,"2,44","3,05","2,71"
Fotbal,3.italská liga C C,7,9,24,Turris_Neapolis,Latina,2,0,"2,35","2,90","2,95"
Fotbal,3.italská liga C C,8,9,24,Sorrento,Altamura,2,1,"2,06","2,78","3,74"
Fotbal,3.italská liga C C,8,9,24,Avellino,Audace_Cerignola,0,0,"1,92","2,92","4,03"
Fotbal,3.italská liga C C,8,9,24,Benevento,Potenza,4,1,"1,65","3,31","4,73"
Fotbal,3.italská liga C C,8,9,24,Foggia,Monopoli,1,4,"1,70","3,11","4,78"
Fotbal,3.italská liga C C,8,9,24,Giugliano,Cavese,0,0,"1,95","3,07","3,65"
Fotbal,3.italská liga C C,13,9,24,Potenza,Sorrento,1,0,"2,13","2,88","3,40"
Fotbal,3.italská liga C C,13,9,24,Taranto,Trapani,0,0,"5,71","3,76","1,48"
Fotbal,3.italská liga C C,14,9,24,Crotone,Messina,2,0,"1,48","3,81","5,57"
Fotbal,3.italská liga C C,14,9,24,Monopoli,Juventus_U23,0,0,"2,08","2,99","3,37"
Fotbal,3.italská liga C C,14,9,24,Casertana,Turris_Neapolis,0,0,"1,61","3,33","5,02"
Fotbal,3.italská liga C C,14,9,24,Catania_Calcio,Picerno,0,0,"1,74","3,04","4,69"
Fotbal,3.italská liga C C,15,9,24,Altamura,Benevento,0,2,"4,47","3,41","1,67"
Fotbal,3.italská liga C C,15,9,24,Audace_Cerignola,Giugliano,3,1,"1,80","3,18","4,10"
Fotbal,3.italská liga C C,15,9,24,Cavese,Avellino,1,1,"3,32","2,95","2,12"
Fotbal,3.italská liga C C,16,9,24,Latina,Foggia,0,0,"3,13","2,84","2,28"
Fotbal,3.italská liga C C,20,9,24,Messina,Casertana,2,2,"2,61","2,65","2,90"
Fotbal,3.italská liga C C,21,9,24,Sorrento,Turris_Neapolis,0,0,"1,81","2,99","4,38"
Fotbal,3.italská liga C C,21,9,24,Avellino,Latina,0,1,"1,43","3,83","6,44"
Fotbal,3.italská liga C C,21,9,24,Cavese,Monopoli,0,1,"2,42","2,73","3,04"
Fotbal,3.italská liga C C,21,9,24,Taranto,Altamura,1,2,"2,61","2,72","2,83"
Fotbal,3.italská liga C C,22,9,24,Trapani,Juventus_U23,1,1,"1,67","3,33","4,60"
Fotbal,3.italská liga C C,22,9,24,Giugliano,Catania_Calcio,3,2,"3,28","2,93","2,15"
Fotbal,3.italská liga C C,22,9,24,Audace_Cerignola,Potenza,0,1,"1,63","3,43","4,73"
Fotbal,3.italská liga C C,22,9,24,Benevento,Foggia,4,0,"1,76","3,27","4,20"
Fotbal,3.italská liga C C,22,9,24,Picerno,Crotone,5,2,"2,42","2,82","2,94"
Fotbal,3.italská liga C C,24,9,24,Altamura,Cavese,0,0,"2,61","2,82","2,73"
Fotbal,3.italská liga C C,24,9,24,Casertana,Taranto,2,0,"1,55","3,36","5,65"
Fotbal,3.italská liga C C,24,9,24,Turris_Neapolis,Avellino,0,0,"4,98","3,22","1,65"
Fotbal,3.italská liga C C,25,9,24,Potenza,Trapani,1,5,"3,22","3,15","2,07"
Fotbal,3.italská liga C C,25,9,24,Catania_Calcio,Audace_Cerignola,0,0,"2,17","2,83","3,37"
Fotbal,3.italská liga C C,25,9,24,Crotone,Sorrento,1,2,"1,82","3,09","4,17"
Fotbal,3.italská liga C C,25,9,24,Foggia,Giugliano,1,2,"1,85","3,43","3,56"
Fotbal,3.italská liga C C,25,9,24,Latina,Messina,1,1,"1,88","3,04","3,94"
Fotbal,3.italská liga C C,26,9,24,Juventus_U23,Picerno,1,1,"2,68","2,91","2,57"
Fotbal,3.italská liga C C,26,9,24,Monopoli,Benevento,1,0,"4,25","3,16","1,78"
Fotbal,3.italská liga C C,28,9,24,Taranto,Sorrento,2,2,"3,17","2,69","2,37"
Fotbal,3.italská liga C C,29,9,24,Audace_Cerignola,Casertana,0,0,"1,76","3,09","4,47"
Fotbal,3.italská liga C C,29,9,24,Cavese,Latina,1,0,"2,02","2,91","3,64"
Fotbal,3.italská liga C C,29,9,24,Trapani,Turris_Neapolis,4,0,"1,36","4,25","7,08"
Fotbal,3.italská liga C C,29,9,24,Avellino,Foggia,2,1,"1,80","3,06","4,33"
Fotbal,3.italská liga C C,29,9,24,Catania_Calcio,Monopoli,1,0,"1,80","2,98","4,46"
Fotbal,3.italská liga C C,29,9,24,Giugliano,Altamura,2,3,"1,89","3,12","3,78"
Fotbal,3.italská liga C C,29,9,24,Potenza,Crotone,3,3,"2,85","2,98","2,38"
Fotbal,3.italská liga C C,30,9,24,Picerno,Messina,2,0,"1,52","3,46","5,73"
Fotbal,3.italská liga C C,30,9,24,Benevento,Juventus_U23,4,1,"1,33","4,42","7,20"
Fotbal,3.italská liga C C,4,10,24,Foggia,Taranto,2,0,"1,44","3,77","6,28"
Fotbal,3.italská liga C C,5,10,24,Juventus_U23,Potenza,2,3,"2,22","3,14","2,94"
Fotbal,3.italská liga C C,5,10,24,Altamura,Monopoli,0,1,"2,89","2,66","2,61"
Fotbal,3.italská liga C C,5,10,24,Picerno,Cavese,1,1,"1,86","2,95","4,24"
Fotbal,3.italská liga C C,6,10,24,Latina,Giugliano,0,1,"2,47","2,98","2,74"
Fotbal,3.italská liga C C,6,10,24,Messina,Benevento,0,0,"5,14","3,74","1,52"
Fotbal,3.italská liga C C,6,10,24,Casertana,Catania_Calcio,1,3,"3,29","2,70","2,30"
Fotbal,3.italská liga C C,6,10,24,Sorrento,Trapani,1,1,"3,92","3,02","1,90"
Fotbal,3.italská liga C C,6,10,24,Turris_Neapolis,Audace_Cerignola,0,3,"4,39","3,15","1,76"
Fotbal,3.italská liga C C,7,10,24,Crotone,Avellino,0,4,"2,39","2,85","2,95"
Fotbal,3.italská liga C C,11,10,24,Trapani,Messina,1,1,"1,35","4,30","7,06"
Fotbal,3.italská liga C C,11,10,24,Audace_Cerignola,Sorrento,2,0,"1,70","3,17","4,69"
